Item,Value,Uncertainty,Uncertainty Type,Unit,SRM,Source
CO2,2.23545833305927e-05,,,mol/molCa,NIST610,GeoRem
CO2,2.23545833305927e-05,,,mol/molCa,NIST610,GeoRem
H2O,0.003549648536170505,,,mol/molCa,NIST610,GeoRem
H2O,0.003549648536170505,,,mol/molCa,NIST610,GeoRem
Na2O,1.0635151287014137,0.015124854994020078,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
Al2O3,0.09407676343816318,0.0012696554272435224,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
SiO2,5.706302498790371,0.054078135702913845,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
CaO,1.0,1.3877787807814458e-18,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
H,0.007320480646822127,,,mol/molCa,NIST610,GeoRem
Li,0.03316704858241267,0.0008988263732958628,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
Be,0.02598124853125217,0.0008761874605075159,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
B,0.015925211001789927,0.00128165270543709,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
F,0.00787117379071802,,,mol/molCa,NIST610,GeoRem
Mg,0.008743214629868231,0.00030332069602373695,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
P,0.006559022594821922,0.0003697759700385941,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
S,0.008821036491118645,0.00025736239319316105,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
S,0.008821036491118645,0.00025736239319316105,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
Cl,0.0038017240517591614,0.0004660041099438991,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
K,0.005837718165248896,0.0001416813644915789,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
K,0.005837718165248896,0.0001416813644915789,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
Sc,0.004978604436712685,7.000298753986867e-05,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
Ti,0.004644994921967631,6.557729771801546e-05,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
V,0.004345340398196694,5.7802297621641945e-05,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
Cr,0.0038598676277239023,5.8171339436089665e-05,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
Mn,0.003975509137382613,6.784807087942423e-05,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
Fe,0.004034262942700112,5.3136590082496694e-05,approx SD (0.5 * 95% CI),mol/molCa,NIST610,GeoRem
