# GeoRem Preferred Values Downloaded on Jun 22. 2017
Item,SRM,Value,Uncertainty,Uncertainty_Type,Unit,GeoReM_bibcode,Reference
CO2,NIST610,0.0002,,,%m/m,GeoReM 5211,Jochum et al 2011
H2O,NIST610,0.013,,,%m/m,GeoReM 5211,Jochum et al 2011
Na2O,NIST610,13.4,0.3,95%CL,%m/m,GeoReM 5211,Jochum et al 2011
Al2O3,NIST610,1.95,0.04,95%CL,%m/m,GeoReM 5211,Jochum et al 2011
SiO2,NIST610,69.7,0.5,95%CL,%m/m,GeoReM 5211,Jochum et al 2011
CaO,NIST610,11.4,0.2,95%CL,%m/m,GeoReM 5211,Jochum et al 2011
H,NIST610,15,,,ug/g,GeoReM 5211,Jochum et al 2011
Li,NIST610,468,24,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Be,NIST610,476,31,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
B,NIST610,350,56,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
F,NIST610,304,,,ug/g,GeoReM 5211,Jochum et al 2011
Mg,NIST610,432,29,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
P,NIST610,413,46,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
S,NIST610,575,32,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Cl,NIST610,274,67,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
K,NIST610,464,21,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Sc,NIST610,455,10,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ti,NIST610,452,10,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
V,NIST610,450,9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Cr,NIST610,408,10,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Mn,NIST610,444,13,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Fe,NIST610,458,9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Co,NIST610,410,10,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ni,NIST610,458.7,4,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Cu,NIST610,441,15,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Zn,NIST610,460,18,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ga,NIST610,433,13,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ge,NIST610,447,78,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
As,NIST610,325,18,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Se,NIST610,138,42,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
