,Residual Summary,Residual Summary,Residual Summary,Residual Summary,Residual Summary,Residual Regression,Residual Regression,Residual Regression,Residual Regression,Residual Regression,Residual Regression,Residual Regression,Kolmogorov-Smirnov,Kolmogorov-Smirnov
,N,Median,LQ,IQR,UQ,Slope,Slope t,Slope p,Intercept,Intercept t,Intercept p,R2,KS,p
Li,24,0.1704942285561355,-0.013113198987643404,0.45406092797997144,0.44094772899232804,0.03827485316023377,1.0877547504321057,0.2884771857319645,-0.4825130408613664,-0.9653977574118627,0.3448387363160553,0.051037383383116364,0.08333333333333337,0.9999895542039053
Mg,13,0.8297135325105751,-0.32954345809857655,2.6855415956182838,2.355998137519707,0.08330423805270196,40.99051973538284,2.2138118732755366e-13,0.06241270093565193,0.19996235829304565,0.8451587362635633,0.9934958300010893,0.15384615384615385,0.9949616500961083
Al,26,0.00020971424681442974,-4.6680910952454955e-05,0.0008878433173569608,0.0008411624064045059,0.054617172394444205,4.805377802131644,6.811935940263114e-05,7.086734324187437e-05,0.2049581534801256,0.839333172062556,0.49035557188486933,0.07692307692307698,0.9999966882059398
P,26,-22.8580449709101,-62.709481890058385,86.48914556222235,23.779663672163963,-0.017980996579441445,-0.8070100940331205,0.42758631423776106,7.940059992639025,0.17709388422762432,0.8609207197606497,0.026419142553550712,0.07692307692307698,0.9999966882059398
Ti,26,-0.4275947481422504,-1.0535780767260419,1.4336491715081954,0.3800710947821535,-0.001291978535089772,-0.05311013305112597,0.9580837684872108,-0.31901350577108567,-0.8130501222935602,0.42418198741689117,0.00011751478168264828,0.11538461538461539,0.9918780643253126
Y,26,14.331448050724475,-92.21176538308589,192.54439498357362,100.33262960048773,0.016946340746445136,0.4251084058899507,0.674545005368519,-48.52300287604553,-0.3143243393830031,0.7559908659638805,0.007473606162577751,0.07692307692307693,0.99999668820594
La,24,-0.010499834499586826,-0.04364585685454949,0.04556678488630877,0.0019209280317592763,-0.07892599588584781,-1.9297021329894235,0.06663891557650999,-0.02622630756567569,-0.4150415375830237,0.6821311872580453,0.14475923127235346,0.125,0.9867794517653834
Ce,26,0.06615360312421048,-0.1814133165613982,0.398826944875408,0.2174136283140098,-0.03590029594031691,-3.0145678918219057,0.0059944579933489785,0.28089686664603697,1.7879976441111356,0.08641065847467032,0.274653169109624,0.11538461538461539,0.9918780643253126
Pr,26,-0.00010581486613934002,-0.026554418682024822,0.04299721790238331,0.01644279922035849,-0.06926850964838464,-1.6499452725841277,0.11198260522855993,-0.010026980591977683,-0.15592288167288862,0.8773979066704622,0.10187436807097316,0.11538461538461542,0.9918780643253124
Nd,26,-0.00043126664041814866,-0.22237996598679088,0.3469540131389879,0.124574047152197,-0.0691236735906609,-1.6339719159474027,0.11531593685391969,0.04678900821120853,0.12032803172720576,0.9052249780861965,0.10010790455738272,0.15384615384615385,0.8921769959310172
Sm,26,0.09386771802026628,-0.27369575122667733,0.5011632371635425,0.22746748593686517,-0.02093083427508142,-0.4536385321513866,0.6541643958826608,0.17007283529764333,0.3664821612355471,0.7172164411167474,0.008501599640170832,0.11538461538461542,0.9918780643253124
Eu,26,-0.01892899330423238,-0.03962291248754235,0.0686520300890714,0.029029117601529056,-0.05935011654573528,-1.6454568953768527,0.1129109829026186,0.01264773072135278,0.3629169605857078,0.7198436769171221,0.10137697335918294,0.11538461538461542,0.9918780643253124
Gd,26,0.12705677510965785,-0.8501794037625974,1.9853753154255749,1.1351959116629775,0.00797002189218041,0.15174314975200995,0.8806578901366041,-0.030781419345298655,-0.010520948572349547,0.9916926211050692,0.0009584963822825143,0.07692307692307698,0.9999966882059398
Tb,26,0.0753786462143271,-0.5886168291759732,0.9417244305277388,0.35310760135176555,0.016523815904492874,0.3378963747954108,0.738379091153283,-0.25856173857502374,-0.23280434766876792,0.8178873086694383,0.004734724079240582,0.11538461538461536,0.9918780643253124
Dy,26,1.1217590783155629,-7.003493329789052,14.599216882390209,7.595723552601157,0.022704276470130527,0.5646650546857787,0.5775417222087859,-4.092302164132507,-0.32183518041962417,0.7503639817610491,0.01311109152967993,0.07692307692307698,0.9999966882059398
Ho,26,0.8348241736929438,-2.64102280541708,5.557459698616054,2.9164368931989735,0.01813486943312237,0.45121618745488,0.6558844799398017,-1.560714895721945,-0.3037663315475014,0.7639238537192589,0.008411809857471253,0.11538461538461536,0.9918780643253124
Er,26,5.449606332752808,-7.399304523116854,21.807562385542525,14.408257862425671,0.01500655791357067,0.36457700291705386,0.7186199331506118,-4.330350157246558,-0.1614000580106077,0.8731293356349172,0.005507680418817218,0.11538461538461536,0.9918780643253124
Tm,26,0.6841997027091793,-2.8211736625819057,5.868444860962837,3.0472711983809315,0.0023550031408714305,0.06099512587286848,0.9518681924138814,0.6368083837400687,0.1163397053901082,0.9083513554274864,0.00015499286433173776,0.11538461538461531,0.9918780643253127
Yb,26,7.070878252982993,-20.065546196793605,45.66135966838385,25.595813471590247,0.010569675151744163,0.23597025032857785,0.8154578893555928,-0.27729051819328276,-0.004758308799840599,0.9962427647966117,0.0023147113074966086,0.11538461538461531,0.9918780643253127
Lu,26,0.5064268000167687,-3.9371438693914556,9.914398962236682,5.977255092845226,-0.0048994590010326446,-0.13834769471095457,0.8911198967998808,2.254442196188534,0.25470346138604744,0.8011219595613066,0.0007968680212693258,0.11538461538461531,0.9918780643253127
