C:\ICPMH\1\METHODS\103015JF.M.B\AR5-8A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  03:30:56 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
0.348,120.00,466.67,575.01,5600.88,1366.72,19360.69,40849.16,0.00,33.33,0.00
0.686,60.00,533.34,350.00,4900.68,833.35,19160.47,37942.41,33.33,100.00,0.00
1.024,180.00,766.68,625.01,6301.12,1133.37,19160.47,38844.45,100.00,0.00,0.00
1.362,200.00,500.01,275.00,4100.47,1266.71,17258.49,33766.93,66.67,100.00,0.00
1.700,80.00,333.34,275.00,4800.65,1033.36,19711.08,36338.91,0.00,66.67,20.00
2.038,100.00,633.34,325.00,4000.45,1033.36,16157.44,37040.43,66.67,200.00,0.00
2.376,220.00,866.69,650.01,7401.54,933.36,17458.69,37073.83,33.33,0.00,0.00
2.714,160.00,600.01,375.00,7401.54,1000.03,19410.75,39646.31,66.67,100.00,20.00
3.052,20.00,700.01,325.00,7101.42,1300.05,19661.02,36071.68,0.00,66.67,0.00
3.390,120.00,566.68,325.00,6701.26,1033.36,19210.52,38644.00,0.00,100.00,20.00
3.728,40.00,966.69,525.01,6601.23,966.69,19661.02,37140.65,66.67,66.67,60.00
4.066,260.00,566.68,300.00,5400.82,1100.03,16007.30,37708.56,100.00,200.00,20.00
4.404,120.00,666.68,325.00,7401.54,1100.03,18059.30,39846.78,133.33,33.33,0.00
4.742,100.00,400.00,500.01,6401.15,1233.38,16007.30,36739.77,0.00,0.00,0.00
5.081,100.00,600.01,450.01,6901.34,1233.38,17008.25,38744.23,0.00,100.00,0.00
5.418,220.00,566.68,325.00,6801.30,966.69,16457.72,38510.36,33.33,0.00,0.00
5.757,160.00,600.01,225.00,6401.15,1333.38,19811.19,38944.68,66.67,133.33,0.00
6.095,80.00,433.34,350.00,6101.05,1300.05,16908.15,38376.73,66.67,233.33,0.00
6.433,40.00,466.67,425.01,4200.50,1233.38,17708.94,40414.78,66.67,100.00,0.00
