C:\ICPMH\1\METHODS\103015JF.M.B\B10-F1_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  02:41:56 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
0.348,120.00,600.01,425.01,11303.60,2200.14,26620.20,34301.34,100.00,66.67,0.00
0.686,100.00,566.68,600.01,11403.66,1733.42,24467.06,32364.20,33.33,33.33,0.00
1.024,260.00,533.34,700.01,11003.41,1833.43,22864.90,34802.36,0.00,0.00,0.00
1.362,220.00,266.67,650.01,13004.75,1366.72,25768.93,32430.99,166.67,133.33,20.00
1.700,200.00,600.01,800.02,11903.99,2066.79,26570.12,34568.54,33.33,133.33,0.00
2.038,320.00,433.34,425.01,9902.76,2000.11,24417.00,32664.78,133.33,66.67,40.00
2.376,300.00,633.34,800.02,9502.54,2000.11,23966.37,33933.93,0.00,33.33,60.00
2.714,100.00,533.34,475.01,8101.85,1833.43,24817.56,30226.93,66.67,0.00,60.00
3.052,180.00,666.68,875.02,10403.04,2133.46,24767.49,33466.34,133.33,0.00,60.00
3.390,140.00,500.01,675.01,11203.53,1766.76,26469.97,34034.13,33.33,66.67,0.00
3.728,200.00,533.34,525.01,12104.12,1900.10,24667.35,32898.56,33.33,33.33,40.00
4.066,100.00,433.34,650.01,13104.83,2133.46,24417.00,33633.33,100.00,133.33,0.00
4.404,100.00,533.34,475.01,11003.41,1666.75,23766.10,34601.95,66.67,133.33,40.00
4.742,160.00,733.35,525.01,10403.04,1733.42,23115.23,32130.42,100.00,66.67,0.00
5.080,80.00,366.67,700.01,10903.34,1700.08,24467.06,32531.19,0.00,0.00,0.00
5.418,380.00,533.34,475.01,11803.92,1966.78,25218.13,33232.55,66.67,66.67,40.00
5.756,40.00,1000.03,600.01,12504.40,2033.45,24016.44,32698.17,100.00,66.67,80.00
6.094,140.00,800.02,850.02,11003.41,1966.78,23415.63,33666.73,66.67,133.33,80.00
6.432,200.00,900.02,275.00,14105.60,966.69,23065.17,34201.13,66.67,100.00,40.00
6.770,80.00,533.34,650.01,10202.93,1966.78,24917.70,33533.13,66.67,133.33,0.00
7.109,200.00,333.34,675.01,11503.72,1500.06,24717.42,34702.15,0.00,0.00,0.00
7.447,120.00,400.00,550.01,10603.16,1966.78,26319.75,34000.73,0.00,66.67,0.00
7.785,180.00,433.34,600.01,11803.92,1700.08,26820.50,34234.53,66.67,0.00,60.00
8.123,220.00,766.68,575.01,9702.65,1366.72,24066.51,30661.04,133.33,66.67,0.00
8.461,180.00,433.34,600.01,11103.47,1700.08,25418.42,31262.13,0.00,233.33,80.00
8.799,120.00,733.35,975.03,12804.61,1766.76,25568.64,31796.46,133.33,0.00,0.00
9.137,120.00,633.34,650.01,9802.70,2033.45,24417.00,30828.01,100.00,200.00,0.00
9.475,280.00,333.34,450.01,11603.79,2066.79,24917.70,32531.19,66.67,233.33,20.00
9.813,220.00,633.34,600.01,7901.76,1666.75,21963.75,32731.57,100.00,100.00,0.00
10.151,180.00,400.00,575.01,12604.47,1666.75,22914.97,33466.34,33.33,100.00,0.00
10.489,100.00,666.68,800.02,9902.76,1966.78,25618.71,33967.33,66.67,133.33,60.00
10.827,140.00,800.02,750.02,12704.54,1566.74,25568.64,32631.38,33.33,66.67,20.00
11.165,260.00,566.68,550.01,8201.89,2533.52,24316.86,33132.35,0.00,100.00,20.00
11.503,120.00,400.00,450.01,11503.72,1300.05,25718.86,33299.34,33.33,100.00,0.00
11.841,140.00,466.67,825.02,13004.75,2600.19,20361.82,35036.17,166.67,100.00,0.00
12.179,180.00,700.01,475.01,10002.81,1700.08,24917.70,31896.65,66.67,66.67,40.00
12.517,120.00,433.34,700.01,10302.99,2100.13,24417.00,32998.76,0.00,66.67,0.00
12.855,200.00,500.01,650.01,10403.04,1800.09,26119.45,30961.59,200.00,33.33,60.00
13.193,200.00,633.34,675.01,10903.34,1766.76,25318.27,36505.93,333.34,0.00,60.00
13.531,80.00,333.34,925.02,11003.41,2100.13,23665.97,35002.77,0.00,0.00,0.00
13.869,140.00,333.34,700.01,8702.13,1966.78,26269.68,33065.55,66.67,333.34,0.00
14.207,60.00,933.36,625.01,9402.49,1733.42,23465.70,34869.16,200.00,33.33,0.00
14.545,80.00,366.67,500.01,11003.41,1866.77,26019.30,34301.34,166.67,0.00,20.00
