C:\ICPMH\1\METHODS\103015JF.M.B\B11-F_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  02:32:26 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
0.348,80.00,300.00,500.01,9702.65,1900.10,23415.63,38042.65,0.00,66.67,0.00
0.686,40.00,533.34,550.01,10002.81,1900.10,23065.17,37040.43,66.67,66.67,0.00
1.024,160.00,266.67,300.00,10703.22,1000.03,21413.07,33800.33,300.00,200.00,0.00
1.362,120.00,533.34,650.01,10903.34,1166.71,23265.43,34802.36,133.33,233.33,0.00
1.700,140.00,766.68,650.01,11203.53,1966.78,24016.44,36372.32,166.67,66.67,0.00
2.038,120.00,666.68,400.00,9202.38,1500.06,21763.50,35670.83,100.00,100.00,0.00
2.376,60.00,533.34,700.01,7901.76,1266.71,21963.75,35904.65,33.33,0.00,0.00
2.714,280.00,533.34,600.01,7901.76,1800.09,22214.07,33633.33,66.67,33.33,0.00
3.052,120.00,400.00,250.00,8101.85,1333.38,20962.53,34000.73,166.67,0.00,0.00
3.390,200.00,433.34,500.01,9602.59,1333.38,23515.76,32798.36,0.00,66.67,0.00
3.728,60.00,766.68,425.01,10503.10,1333.38,20812.35,35470.41,200.00,66.67,40.00
4.066,120.00,500.01,525.01,9702.65,1100.03,20061.48,36873.39,66.67,66.67,0.00
4.404,20.00,700.01,525.01,7801.71,1566.74,20962.53,36439.12,0.00,100.00,0.00
4.742,60.00,333.34,600.01,8502.03,1133.37,22514.45,35370.20,0.00,366.67,0.00
5.080,160.00,500.01,475.01,7801.71,1400.06,24867.63,36639.56,66.67,66.67,0.00
5.418,20.00,533.34,650.01,9302.43,1300.05,22414.32,37541.53,0.00,33.33,0.00
5.757,60.00,233.33,425.01,11203.53,1300.05,21963.75,35804.44,0.00,100.00,40.00
6.095,180.00,433.34,375.00,9002.28,2033.45,21613.32,35303.39,33.33,166.67,0.00
6.433,0.00,433.34,675.01,10903.34,1666.75,24366.93,34535.14,33.33,66.67,0.00
6.771,120.00,333.34,500.01,7701.67,1833.43,19560.91,34902.56,100.00,133.33,60.00
7.109,200.00,333.34,550.01,9402.49,1366.72,22464.38,35971.46,100.00,0.00,80.00
7.447,260.00,333.34,325.00,10703.22,1633.41,21413.07,37474.72,66.67,100.00,40.00
7.785,120.00,700.01,525.01,8902.23,833.35,20762.29,36839.99,33.33,66.67,0.00
8.123,160.00,533.34,700.01,9502.54,1800.09,23415.63,35871.25,66.67,100.00,40.00
8.461,160.00,666.68,500.01,8201.89,1900.10,21212.83,36873.39,133.33,300.00,0.00
8.799,60.00,533.34,525.01,9502.54,866.69,21062.65,35570.61,0.00,100.00,40.00
9.137,120.00,633.34,625.01,9902.76,1566.74,22464.38,37073.83,33.33,166.67,0.00
9.475,240.00,566.68,550.01,11003.41,1200.04,23816.17,36305.51,0.00,0.00,0.00
9.813,120.00,533.34,625.01,8401.99,1533.40,21513.19,34702.15,66.67,100.00,0.00
10.151,160.00,800.02,300.00,8201.89,1133.37,19661.02,35169.78,66.67,66.67,20.00
10.489,160.00,500.01,650.01,10002.81,2066.79,24917.70,36572.74,66.67,433.34,40.00
10.827,100.00,800.02,600.01,11303.60,1700.08,21613.32,36672.96,33.33,33.33,0.00
11.165,180.00,666.68,325.00,8001.80,1066.70,22164.01,35804.44,0.00,0.00,40.00
11.503,160.00,400.00,375.00,8201.89,2000.11,22314.20,35804.44,66.67,266.67,20.00
11.841,140.00,566.68,650.01,8702.13,1966.78,22864.90,38710.82,66.67,100.00,0.00
12.179,120.00,833.35,625.01,10302.99,1366.72,22013.82,35804.44,0.00,33.33,0.00
12.517,180.00,800.02,675.01,7701.67,1500.06,22364.26,38978.10,100.00,0.00,0.00
12.855,80.00,766.68,600.01,6701.26,1333.38,22063.88,33967.33,0.00,133.33,20.00
13.193,80.00,500.01,300.00,9902.76,1500.06,23766.10,36038.27,0.00,100.00,0.00
13.531,160.00,633.34,600.01,10503.10,1733.42,19711.08,37040.43,66.67,100.00,40.00
13.869,80.00,466.67,375.00,10603.16,1533.40,21162.77,32931.96,0.00,133.33,60.00
14.207,20.00,666.68,400.00,7001.38,1566.74,23065.17,36272.10,66.67,100.00,40.00
14.545,80.00,733.35,475.01,8602.08,1933.44,24016.44,36338.91,33.33,33.33,0.00
14.883,200.00,333.34,525.01,11303.60,1800.09,21913.69,34234.53,0.00,166.67,0.00
15.221,160.00,366.67,450.01,8502.03,1533.40,20461.94,37975.82,200.00,33.33,0.00
15.559,40.00,466.67,575.01,7601.63,1500.06,21463.14,38577.18,0.00,66.67,0.00
15.898,160.00,466.67,675.01,8401.99,1366.72,21713.44,35537.21,100.00,233.33,0.00
16.236,140.00,466.67,650.01,7701.67,1533.40,22664.65,36739.77,133.33,66.67,0.00
16.574,120.00,566.68,825.02,10002.81,1466.73,24066.51,34935.96,66.67,33.33,0.00
16.912,240.00,266.67,400.00,6901.34,1633.41,22564.51,36004.87,200.00,66.67,60.00
17.250,140.00,566.68,675.01,8902.23,1866.77,22714.71,36105.07,0.00,133.33,20.00
17.588,100.00,600.01,725.01,8802.18,1800.09,22464.38,36071.68,100.00,66.67,0.00
17.926,120.00,466.67,225.00,8401.99,1600.07,21763.50,35203.18,66.67,33.33,0.00
18.264,80.00,666.68,875.02,9202.38,1533.40,20161.59,37641.75,33.33,33.33,60.00
18.602,120.00,866.69,275.00,8401.99,1566.74,20812.35,37541.53,33.33,133.33,0.00
18.940,80.00,566.68,200.00,10903.34,2033.45,21513.19,38911.28,66.67,0.00,0.00
19.278,220.00,366.67,575.01,12004.05,1733.42,23716.03,34334.74,233.33,300.00,40.00
19.616,200.00,800.02,575.01,8702.13,1333.38,20461.94,34468.34,100.00,66.67,20.00
19.954,160.00,533.34,550.01,7301.50,1400.06,20562.05,36572.74,33.33,0.00,0.00
20.292,60.00,500.01,650.01,8101.85,1633.41,20762.29,34735.55,33.33,66.67,20.00
20.630,40.00,533.34,450.01,10102.87,1800.09,21713.44,35102.98,0.00,133.33,20.00
20.968,100.00,266.67,550.01,9902.76,1966.78,22364.26,37942.41,0.00,100.00,0.00
21.306,100.00,366.67,450.01,8301.94,1533.40,20662.17,33399.54,0.00,33.33,0.00
21.644,240.00,300.00,425.01,8602.08,2066.79,20161.59,35938.05,0.00,0.00,0.00
21.982,100.00,966.69,450.01,7801.71,1200.04,23265.43,39078.33,0.00,100.00,0.00
22.320,160.00,433.34,500.01,9302.43,1533.40,22314.20,35069.57,66.67,100.00,0.00
22.658,80.00,300.00,550.01,9202.38,2300.15,22514.45,36171.88,133.33,66.67,40.00
22.996,180.00,333.34,700.01,7901.76,1366.72,22364.26,35503.81,100.00,0.00,40.00
23.334,140.00,466.67,550.01,8902.23,2366.83,23015.10,34067.53,0.00,66.67,20.00
23.672,160.00,433.34,550.01,10403.04,1500.06,22314.20,37207.46,166.67,33.33,80.00
24.010,100.00,433.34,675.01,8602.08,1866.77,21212.83,35604.02,66.67,66.67,40.00
24.348,120.00,466.67,425.01,8401.99,1766.76,23165.30,35837.84,0.00,233.33,0.00
24.686,100.00,466.67,725.01,7901.76,1300.05,21963.75,33399.54,0.00,166.67,0.00
25.024,120.00,533.34,275.00,7301.50,1500.06,22063.88,38443.54,233.33,66.67,0.00
25.362,80.00,500.01,475.01,9702.65,1166.71,21913.69,36171.88,133.33,33.33,0.00
25.700,60.00,433.34,450.01,8702.13,1900.10,22814.84,36773.17,0.00,33.33,0.00
26.039,220.00,766.68,500.01,8502.03,1633.41,20912.47,36338.91,66.67,33.33,40.00
26.377,0.00,433.34,675.01,10202.93,1633.41,23816.17,35804.44,100.00,0.00,40.00
26.715,140.00,566.68,875.02,6901.34,1700.08,19310.63,35470.41,66.67,66.67,0.00
27.053,80.00,566.68,450.01,7101.42,1900.10,21413.07,36773.17,133.33,33.33,20.00
27.391,160.00,333.34,350.00,8902.23,2200.14,22063.88,33666.73,0.00,66.67,20.00
27.729,280.00,466.67,1000.03,7501.58,1500.06,23766.10,37675.15,0.00,266.67,0.00
28.067,160.00,566.68,300.00,8001.80,1333.38,23065.17,34702.15,66.67,233.33,0.00
28.405,20.00,866.69,375.00,9702.65,2000.11,24867.63,36405.72,33.33,0.00,0.00
28.743,100.00,500.01,375.00,8301.94,1300.05,24467.06,36171.88,66.67,133.33,0.00
29.081,280.00,800.02,425.01,6501.19,2166.80,18259.51,34668.75,33.33,133.33,0.00
29.418,140.00,633.34,400.00,7101.42,2100.13,22514.45,33265.95,0.00,66.67,0.00
29.757,140.00,833.35,650.01,10002.81,1133.37,22514.45,35704.23,66.67,166.67,0.00
30.095,240.00,733.35,450.01,10202.93,1333.38,21813.57,36338.91,66.67,66.67,0.00
30.433,180.00,500.01,825.02,11503.72,1633.41,22063.88,37474.72,0.00,0.00,0.00
30.771,140.00,600.01,675.01,6201.08,1766.76,24366.93,36472.53,0.00,133.33,0.00
31.109,60.00,400.00,475.01,9302.43,933.36,23665.97,35771.03,166.67,66.67,40.00
31.447,80.00,700.01,350.00,10803.28,1566.74,19560.91,37007.02,133.33,33.33,0.00
31.785,240.00,300.00,475.01,9502.54,2000.11,22364.26,36405.72,0.00,66.67,0.00
32.123,200.00,333.34,475.01,8902.23,1733.42,21363.01,37608.34,0.00,0.00,60.00
32.461,160.00,633.34,575.01,10503.10,1500.06,22063.88,35971.46,166.67,166.67,0.00
32.799,120.00,566.68,675.01,7301.50,1400.06,21413.07,37641.75,66.67,33.33,0.00
33.137,200.00,466.67,825.02,7901.76,1266.71,21563.26,33733.53,33.33,66.67,20.00
33.475,60.00,433.34,800.02,9602.59,1300.05,24567.21,34835.76,0.00,33.33,0.00
33.813,160.00,433.34,550.01,9902.76,1000.03,23816.17,36973.61,0.00,66.67,60.00
34.151,40.00,733.35,550.01,8201.89,1700.08,23766.10,34735.55,66.67,33.33,0.00
34.489,20.00,333.34,400.00,8101.85,1600.07,22063.88,35804.44,0.00,33.33,20.00
34.827,80.00,533.34,575.01,9302.43,1300.05,22013.82,34935.96,33.33,0.00,60.00
35.165,140.00,400.00,550.01,8101.85,1266.71,20912.47,36372.32,66.67,0.00,0.00
35.503,80.00,400.00,550.01,9902.76,1900.10,19761.13,34902.56,0.00,100.00,40.00
35.841,100.00,566.68,625.01,8201.89,1700.08,22814.84,38009.23,0.00,66.67,0.00
36.180,220.00,766.68,375.00,8201.89,1533.40,22965.03,35938.05,66.67,0.00,0.00
36.518,80.00,933.36,750.02,6701.26,1933.44,20862.41,37374.48,66.67,133.33,0.00
36.856,200.00,266.67,575.01,8301.94,1600.07,23716.03,37174.05,33.33,0.00,0.00
37.194,120.00,566.68,650.01,7801.71,1266.71,21663.38,35537.21,133.33,200.00,0.00
37.532,100.00,466.67,450.01,9202.38,1533.40,23315.50,36272.10,266.67,100.00,0.00
37.870,100.00,633.34,300.00,8802.18,1700.08,20111.53,34902.56,133.33,66.67,20.00
38.208,160.00,900.02,300.00,8702.13,1633.41,21913.69,35637.43,0.00,33.33,0.00
38.546,0.00,700.01,375.00,6701.26,1566.74,20912.47,36238.69,166.67,133.33,0.00
38.884,260.00,300.00,600.01,8301.94,1566.74,19510.86,35470.41,100.00,4367.23,120.00
39.222,240.00,208648.00,37765.02,12904.68,94219.02,1522964.49,169577.30,40815.79,598981.20,2680.22
39.560,800.02,706259.91,139166.86,13004.75,220915.70,3542940.70,230118.04,84108.29,700745.26,38886.36
39.898,620.01,799860.76,109309.57,11403.66,279746.30,4753923.15,246039.31,84711.29,1058813.96,4040.50
40.236,680.01,771552.49,94801.77,9702.65,342239.53,5510985.28,253582.59,80591.27,859832.51,3520.38
40.574,780.02,669479.90,84701.03,8902.23,363562.18,6397736.86,250301.03,77610.73,1058849.37,2980.27
40.912,540.01,503241.78,61380.65,9302.43,395372.57,6543611.47,230118.04,83036.36,855136.74,2360.17
41.250,600.01,420675.20,50321.03,10403.04,406113.78,6352404.44,308956.68,75367.30,914418.18,1920.11
41.588,280.00,350616.38,46385.36,9702.65,415803.56,6505002.88,243401.65,88798.82,913644.81,2320.17
41.926,480.01,308548.87,42651.04,9402.49,436258.08,7284836.10,262144.70,82567.43,942743.90,1960.12
42.264,460.01,303225.30,42074.66,8401.99,448425.86,6768132.18,249827.45,83940.81,934399.76,2280.16
42.602,380.00,315570.25,42450.55,8201.89,435779.73,6734030.62,247628.90,80021.91,920079.77,1780.10
42.940,260.00,279237.96,39518.82,8101.85,398986.37,7056901.72,234612.36,79988.42,862040.84,1280.05
43.278,400.00,275412.44,36086.54,8201.89,391589.10,6821672.03,327839.75,70278.83,840216.75,1700.09
43.616,260.00,243891.36,33456.41,9002.28,379732.72,6273684.12,232550.90,76070.43,875576.39,1480.07
43.954,280.00,232743.72,33531.55,9602.59,413926.60,6543152.10,232787.47,75534.72,881962.13,1860.11
44.292,280.00,226058.45,29699.76,8702.13,373807.50,6163097.01,232483.32,75936.49,882418.38,1700.09
44.630,400.00,221029.27,27746.61,6901.34,398236.27,6103951.31,240020.64,70379.24,872454.58,1240.05
44.968,400.00,218802.06,28748.19,8301.94,401373.22,6528668.51,243570.72,76271.33,852228.73,1480.07
45.306,160.00,232338.47,30801.62,7601.63,417202.87,6461334.13,246918.63,78849.77,921416.23,1400.06
45.644,420.00,230818.90,31803.38,9702.65,419216.71,6558188.43,250098.07,76606.18,911816.69,1160.04
45.982,340.00,240107.13,34333.08,7601.63,417851.38,6444944.28,241271.51,70144.94,907352.88,1340.06
46.320,300.00,226632.36,30526.15,10102.87,386750.20,6466238.43,231165.48,77845.14,906755.42,1500.07
46.659,380.00,222345.51,30425.98,9302.43,408740.44,6399040.77,242894.46,80021.91,926728.08,1360.06
46.997,300.00,213808.63,30976.93,7701.67,411230.93,6513706.79,254800.66,76974.50,861935.57,1360.06
47.335,240.00,198095.24,29299.09,8602.08,410753.33,6649921.24,237316.25,77141.93,879189.93,1340.06
47.673,520.01,187178.13,26920.34,9802.70,396667.98,6792176.71,233666.09,81395.09,899763.37,1200.04
48.011,360.00,197320.02,25017.57,7901.76,405056.49,6648357.18,240155.83,72990.25,861970.72,1000.03
48.349,160.00,171387.08,23840.95,9502.54,403726.31,6567289.99,240223.44,75903.01,875681.53,1740.09
48.687,200.00,165061.09,22964.80,7401.54,417919.64,6693887.65,230422.14,73090.69,855066.69,1140.04
49.025,640.01,160217.17,19986.21,8902.23,380379.79,6251148.58,232145.40,64991.10,818734.72,980.03
49.363,520.01,147172.04,19135.28,8301.94,408876.90,6078069.28,227145.02,70546.61,831711.74,1100.04
49.701,560.01,145693.26,18834.96,8802.18,396156.62,6108700.53,210330.12,68069.84,812616.95,1560.07
50.039,240.00,131349.08,19010.14,9302.43,418465.76,6199818.89,220491.33,70981.76,784258.35,1100.04
50.377,400.00,134337.91,20061.30,8902.23,395065.83,6561528.27,227617.94,70647.02,867825.34,1180.04
50.715,260.00,131281.91,16757.88,9002.28,384944.47,6296847.02,219444.57,71182.60,833006.46,960.03
51.053,140.00,120606.85,16032.22,9502.54,383479.53,6265389.98,218971.85,69408.59,769259.65,1340.06
51.391,260.00,114097.52,17408.51,9002.28,410105.09,6071122.40,211983.86,68772.67,833741.29,1280.05
51.729,360.00,121278.05,15781.99,5200.76,408296.95,6298405.22,222011.02,72688.97,811148.98,1100.04
52.067,380.00,113996.87,14380.81,6901.34,401611.92,6379813.81,222889.05,64020.76,772432.63,1180.04
52.405,440.01,101287.10,14180.65,10903.34,394315.89,6333543.89,213131.45,66831.59,768039.41,1200.04
52.743,280.00,106416.88,12779.59,9002.28,392032.17,6442262.25,225253.36,71115.64,788132.18,1400.06
53.081,360.00,141492.97,16832.95,7301.50,388658.37,6428871.24,211713.86,68203.70,845573.78,1140.04
53.418,440.01,96225.83,21487.97,7901.76,392304.83,6028620.84,212625.17,69776.76,801260.83,980.03
53.757,260.00,94851.83,12929.70,6501.19,379596.43,6353131.00,208912.77,65392.65,760162.13,1780.10
54.095,140.00,92238.15,12554.43,8502.03,365603.95,5918108.34,212456.37,66664.26,756190.06,1380.06
54.433,340.00,95253.97,13830.37,8001.80,379834.87,6480827.88,211916.36,67500.90,745253.92,1100.04
54.771,280.00,93611.96,13755.31,8201.89,402873.71,5940761.85,217047.34,65426.11,802553.40,1100.04
55.109,260.00,104270.91,15081.38,8502.03,400895.84,6356738.03,224476.49,63853.46,770654.31,1060.03
55.447,360.00,103700.94,15907.10,8802.18,434857.24,6253563.42,217013.58,67567.84,776024.82,1280.05
55.785,280.00,115103.96,14881.22,10102.87,388624.23,6214960.69,219377.04,67433.97,824085.37,1460.07
56.123,220.00,128696.49,13755.31,9802.70,366454.73,6262242.33,218566.69,68739.19,748979.77,1280.05
56.461,80.00,111850.00,16582.72,7501.58,387090.89,6327484.91,211308.86,66530.40,816042.53,1320.05
56.800,220.00,118626.97,17158.26,8301.94,382934.48,7044255.63,227516.61,63953.85,816811.74,1500.07
57.138,240.00,113024.05,15606.84,10503.10,369518.04,6173930.61,215696.94,72755.93,754030.03,1140.04
57.476,300.00,140921.80,15957.15,7601.63,351452.38,6051584.90,217283.66,63853.46,750233.55,1520.07
57.814,180.00,115405.91,15756.97,8502.03,382219.15,6048393.89,211275.12,64924.19,774071.83,1780.10
58.152,220.00,118962.52,16032.22,7701.67,351758.47,5957816.15,210296.36,67768.63,760162.13,1260.05
58.490,240.00,113594.33,16232.40,8602.08,395133.96,6089616.54,231773.70,61411.13,813910.30,1560.07
58.828,480.01,115707.86,14881.22,7401.54,391691.45,6115281.39,218161.51,64790.34,792356.01,1080.04
59.166,300.00,110273.55,15381.64,9802.70,374931.03,5872422.01,212658.91,65928.05,745776.19,1460.07
59.504,200.00,120137.02,16182.35,9402.49,364310.72,5918716.54,207225.59,63920.38,746646.70,1260.05
59.842,360.00,109871.08,16082.26,7901.76,371015.76,5816405.21,212557.65,64455.74,734951.12,1420.06
60.180,320.00,123627.45,17258.36,8401.99,382832.30,7760193.92,217486.22,67367.03,804893.90,1260.05
60.518,300.00,118257.85,17883.98,6801.30,398372.63,6056570.06,220221.23,67601.30,762566.75,1280.05
60.856,220.00,124634.43,17433.53,7601.63,377655.25,5852748.18,211646.39,67701.69,776827.10,1080.04
61.194,240.00,122855.47,15781.99,9002.28,367782.10,5762151.30,220457.57,67902.50,760650.02,1560.07
61.532,400.00,130039.52,16282.44,7601.63,393191.02,6397594.28,229915.34,73927.65,794800.02,1540.07
61.870,360.00,124231.63,16782.91,8101.85,374079.86,6077579.04,216203.31,65024.57,768143.96,1200.04
62.208,420.00,117083.46,17608.71,9002.28,374692.75,5818348.18,207630.49,63953.85,761312.19,1140.04
62.546,440.01,123459.63,17333.44,9702.65,382661.96,6058687.24,212152.63,65526.50,791308.68,1560.07
62.884,220.00,132322.91,16607.74,7401.54,372615.80,5690117.31,209081.48,66798.12,769015.58,1600.08
63.222,340.00,134136.39,16757.88,9302.43,393429.66,8234502.53,207428.05,67735.17,795603.14,1660.08
63.560,400.00,131046.85,17458.56,10002.81,411333.41,6100226.31,210532.64,66865.04,791972.02,1480.07
63.898,360.00,129267.26,18209.31,9502.54,374590.60,6277831.39,224712.90,62916.64,769364.14,1420.06
64.236,260.00,138738.09,16582.72,10503.10,372888.22,6161228.65,207293.05,65693.81,825519.29,1620.08
64.574,420.00,140552.25,19961.19,9302.43,364753.13,5987361.07,219106.91,63451.96,774525.21,1700.09
64.912,300.00,140955.41,19210.36,6201.08,380209.55,6111866.93,221403.15,67634.76,794311.22,1620.08
65.250,440.01,146869.57,25893.82,7701.67,366386.66,5736219.66,221571.98,65827.66,759604.64,1720.09
65.588,320.00,150096.28,21137.54,8702.13,365127.48,5932666.54,199567.84,64254.97,785305.16,1260.05
65.926,260.00,147709.79,19585.77,9002.28,369007.40,5655655.60,210600.12,65559.97,762148.45,1860.11
66.264,320.00,166171.34,20812.16,8201.89,357064.04,6366857.17,201962.65,64991.10,799724.11,1760.10
