C:\ICPMH\1\METHODS\103015JF.M.B\B8-F_B.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  02:56:19 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
0.348,160.00,333.34,325.00,5600.88,600.01,17058.30,36372.32,66.67,133.33,0.00
0.686,40.00,300.00,525.01,6501.19,1666.75,19460.80,35670.83,166.67,33.33,0.00
1.024,160.00,700.01,275.00,7801.71,1066.70,18409.66,38577.18,0.00,33.33,40.00
1.362,100.00,600.01,600.01,5100.73,1366.72,19711.08,40013.84,133.33,33.33,20.00
1.700,120.00,266.67,325.00,4300.52,1566.74,19911.30,37140.65,0.00,33.33,0.00
2.038,60.00,633.34,475.01,5700.91,900.02,19010.31,34601.95,100.00,33.33,0.00
2.376,40.00,633.34,275.00,7001.38,833.35,17258.49,37541.53,66.67,66.67,0.00
2.714,80.00,500.01,400.00,4500.57,833.35,17558.79,39278.79,133.33,66.67,0.00
3.052,100.00,600.01,300.00,5200.76,866.69,19961.36,37574.93,0.00,66.67,0.00
3.390,260.00,266.67,300.00,7601.63,1200.04,17058.30,38109.46,233.33,200.00,0.00
3.728,120.00,800.02,475.01,4900.68,1100.03,18659.93,40047.25,66.67,100.00,0.00
4.066,80.00,366.67,600.01,7101.42,1100.03,19610.96,37675.15,0.00,33.33,40.00
4.404,200.00,800.02,600.01,6601.23,1333.38,17408.64,40147.49,33.33,33.33,0.00
4.742,140.00,800.02,550.01,6301.12,800.02,20512.00,37975.82,166.67,200.00,40.00
5.080,80.00,733.35,375.00,5700.91,1366.72,17809.04,38309.91,33.33,166.67,40.00
5.418,140.00,900.02,350.00,9102.33,900.02,20712.23,36639.56,0.00,66.67,0.00
5.756,120.00,433.34,425.01,7001.38,1466.73,23115.23,37341.08,66.67,33.33,0.00
6.094,200.00,500.01,125.00,5900.98,766.68,20411.88,38443.54,100.00,133.33,0.00
6.432,40.00,133.33,500.01,5400.82,1233.38,17008.25,41417.20,100.00,100.00,0.00
6.771,140.00,366.67,450.01,7801.71,1033.36,18860.14,36639.56,0.00,0.00,0.00
7.109,100.00,466.67,350.00,7501.58,1733.42,17758.99,37508.12,66.67,0.00,40.00
7.447,100.00,300.00,200.00,6001.01,633.34,18459.71,38710.82,133.33,66.67,0.00
7.785,80.00,333.34,650.01,6901.34,1200.04,18509.77,34167.73,0.00,466.67,40.00
8.123,80.00,466.67,325.00,5200.76,1133.37,21463.14,36773.17,66.67,33.33,40.00
8.461,140.00,366.67,175.00,7201.46,966.69,15857.17,38276.49,0.00,833.35,40.00
8.799,80.00,533.34,300.00,5800.95,1166.71,28473.11,37574.93,0.00,0.00,0.00
9.137,80.00,733.35,450.01,5300.79,1200.04,25768.93,37975.82,0.00,66.67,40.00
9.475,120.00,366.67,400.00,6701.26,1166.71,20461.94,34535.14,66.67,300.00,0.00
9.813,140.00,533.34,375.00,6101.05,1000.03,17458.69,38343.32,66.67,66.67,60.00
10.151,100.00,400.00,325.00,5200.76,1000.03,17058.30,37508.12,0.00,166.67,20.00
10.489,100.00,466.67,375.00,6701.26,1366.72,18059.30,38577.18,66.67,133.33,0.00
10.827,160.00,1000.03,350.00,6501.19,1300.05,27571.67,37374.48,0.00,166.67,0.00
11.165,140.00,1000.03,425.01,5600.88,1233.38,18860.14,36706.37,0.00,66.67,0.00
11.503,140.00,2633.53,300.00,5200.76,1700.08,17708.94,36806.58,66.67,66.67,0.00
11.841,160.00,1900.10,425.01,6701.26,1233.38,16758.01,39278.79,133.33,200.00,0.00
12.179,40.00,633.34,375.00,8602.08,1533.40,17358.59,38677.41,0.00,33.33,0.00
12.517,0.00,333.34,525.01,5400.82,1033.36,17458.69,37508.12,0.00,33.33,0.00
12.855,60.00,533.34,425.01,5300.79,1333.38,18209.45,36038.27,100.00,66.67,0.00
13.193,100.00,466.67,400.00,5100.73,2133.46,18960.25,35437.00,100.00,100.00,0.00
13.531,160.00,500.01,725.01,5800.95,1700.08,17508.74,35604.02,133.33,166.67,0.00
13.869,140.00,400.00,425.01,5900.98,1500.06,17158.40,37307.68,33.33,66.67,0.00
14.207,200.00,666.68,475.01,4500.57,1300.05,16157.44,36773.17,166.67,0.00,0.00
14.545,260.00,1266.71,400.00,4800.65,1233.38,19160.47,37741.97,133.33,100.00,0.00
14.883,140.00,600.01,375.00,6301.12,833.35,18359.61,39880.19,66.67,66.67,0.00
15.221,60.00,400.00,450.01,4800.65,1333.38,19410.75,37775.38,66.67,233.33,0.00
15.559,180.00,500.01,700.01,7201.46,1000.03,18309.56,38877.87,66.67,0.00,0.00
15.897,100.00,533.34,525.01,5100.73,1766.76,18109.35,40481.61,33.33,0.00,60.00
16.234,20.00,266.67,150.00,6501.19,666.68,16557.82,38877.87,100.00,66.67,0.00
16.573,200.00,700.01,325.00,10102.87,1000.03,17508.74,38343.32,0.00,66.67,0.00
16.912,100.00,500.01,375.00,6101.05,1133.37,16307.58,34702.15,0.00,66.67,0.00
17.250,180.00,333.34,475.01,6101.05,1100.03,16958.20,37274.27,0.00,66.67,20.00
17.588,80.00,566.68,375.00,6301.12,1166.71,18009.25,37341.08,0.00,66.67,0.00
17.926,100.00,766.68,525.01,5000.70,1000.03,19260.58,37007.02,166.67,100.00,0.00
18.264,140.00,466.67,400.00,4400.55,1333.38,19811.19,38076.05,66.67,0.00,0.00
18.602,200.00,400.00,375.00,7601.63,1033.36,18760.03,36038.27,0.00,0.00,0.00
18.940,20.00,366.67,300.00,5300.79,866.69,21212.83,37608.34,66.67,266.67,0.00
19.278,180.00,333.34,275.00,4700.62,1266.71,18309.56,34802.36,0.00,0.00,40.00
19.616,140.00,466.67,500.01,6101.05,1000.03,22764.77,38710.82,0.00,100.00,0.00
19.954,180.00,466.67,400.00,5000.70,1366.72,18910.19,39980.43,66.67,33.33,0.00
20.292,80.00,700.01,450.01,7101.42,1233.38,17909.14,35403.60,0.00,200.00,0.00
20.630,140.00,500.01,775.02,5300.79,900.02,18960.25,37073.83,0.00,66.67,0.00
20.968,100.00,666.68,225.00,6701.26,466.67,17408.64,36639.56,33.33,100.00,0.00
21.306,100.00,566.68,225.00,5400.82,800.02,18509.77,38577.18,0.00,66.67,20.00
21.644,100.00,366.67,275.00,6201.08,933.36,17508.74,37274.27,0.00,0.00,0.00
21.982,40.00,500.01,450.01,5700.91,866.69,17258.49,40147.49,100.00,100.00,0.00
22.320,180.00,566.68,375.00,6201.08,1800.09,17959.20,36606.15,0.00,100.00,0.00
22.658,60.00,800.02,325.00,7801.71,1233.38,18109.35,38309.91,0.00,0.00,40.00
22.996,160.00,3366.98,350.00,7301.50,1233.38,19060.36,36472.53,0.00,66.67,0.00
23.334,120.00,266.67,550.01,7001.38,1333.38,18159.40,38109.46,0.00,133.33,0.00
23.672,60.00,666.68,600.01,3700.39,1833.43,17859.09,35537.21,0.00,133.33,0.00
24.010,180.00,300.00,550.01,7401.54,1100.03,18359.61,38744.23,0.00,0.00,0.00
24.348,180.00,466.67,350.00,6101.05,1133.37,19410.75,38276.49,66.67,0.00,20.00
24.686,100.00,733.35,425.01,6701.26,1200.04,19560.91,36105.07,100.00,0.00,0.00
25.024,40.00,366.67,350.00,7101.42,1133.37,18359.61,40047.25,33.33,100.00,0.00
25.362,240.00,666.68,375.00,6201.08,1333.38,17008.25,38343.32,133.33,0.00,40.00
25.700,140.00,100.00,500.01,6801.30,1233.38,18109.35,37407.90,66.67,33.33,20.00
26.038,100.00,466.67,475.01,6301.12,1200.04,20862.41,38343.32,200.00,466.67,0.00
26.376,80.00,700.01,325.00,7401.54,933.36,16908.15,36739.77,33.33,33.33,0.00
26.714,160.00,700.01,350.00,5700.91,1100.03,22464.38,38610.59,33.33,133.33,0.00
27.053,220.00,500.01,475.01,7801.71,1200.04,19310.63,38276.49,0.00,100.00,0.00
27.391,200.00,500.01,275.00,5200.76,1266.71,17658.89,38109.46,33.33,66.67,20.00
27.729,80.00,400.00,150.00,6701.26,1333.38,17458.69,38710.82,0.00,0.00,20.00
28.067,260.00,800.02,550.01,8001.80,1700.08,19260.58,35403.60,33.33,866.69,0.00
28.405,160.00,766.68,500.01,4800.65,1166.71,16858.10,37240.87,0.00,66.67,0.00
28.743,260.00,966.69,550.01,4800.65,1266.71,17458.69,36539.34,0.00,33.33,0.00
29.081,160.00,566.68,475.01,6201.08,1000.03,17959.20,37307.68,0.00,0.00,40.00
29.418,40.00,700.01,700.01,6001.01,1533.40,16758.01,37608.34,166.67,66.67,0.00
