C:\ICPMH\1\DATA\15J30l00.B\C4-F_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  01:10:04 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
0.348,60.00,333.34,275.00,6701.26,1300.05,21613.32,38410.13,66.67,166.67,0.00
0.686,240.00,333.34,625.01,6301.12,1666.75,21813.57,31796.46,0.00,66.67,40.00
1.024,140.00,600.01,550.01,5300.79,700.01,20712.23,36105.07,0.00,33.33,40.00
1.362,140.00,433.34,300.00,7901.76,1233.38,22364.26,38710.82,66.67,33.33,0.00
1.700,60.00,333.34,625.01,5000.70,1533.40,23215.36,34201.13,66.67,66.67,0.00
2.038,40.00,333.34,450.01,7801.71,833.35,23265.43,37741.97,233.33,33.33,40.00
2.377,80.00,466.67,250.00,5300.79,1633.41,24967.77,37007.02,0.00,100.00,60.00
2.715,160.00,500.01,100.00,5700.91,1266.71,23215.36,35069.57,0.00,0.00,80.00
3.053,120.00,733.35,500.01,6101.05,833.35,21513.19,36038.27,66.67,133.33,0.00
3.391,180.00,400.00,675.01,7501.58,1100.03,23615.90,36606.15,0.00,133.33,0.00
3.729,100.00,633.34,525.01,7101.42,1200.04,22664.65,35737.63,233.33,100.00,20.00
4.067,180.00,233.33,400.00,7401.54,1133.37,20111.53,36004.87,0.00,66.67,0.00
4.405,80.00,700.01,175.00,7001.38,1266.71,24366.93,35069.57,0.00,100.00,20.00
4.743,220.00,600.01,475.01,6201.08,1000.03,22364.26,35637.43,0.00,66.67,0.00
5.081,100.00,533.34,550.01,6501.19,1066.70,19210.52,33666.73,0.00,66.67,0.00
5.418,100.00,500.01,400.00,7101.42,1233.38,21563.26,35136.38,66.67,100.00,0.00
5.757,40.00,400.00,300.00,7701.67,1400.06,21312.95,36539.34,0.00,66.67,0.00
6.095,140.00,733.35,375.00,5900.98,1100.03,21413.07,36672.96,0.00,33.33,0.00
6.433,320.00,466.67,525.01,7101.42,733.35,22113.94,35336.79,66.67,100.00,0.00
6.771,120.00,633.34,525.01,4200.50,1200.04,20762.29,35737.63,133.33,0.00,40.00
7.109,100.00,433.34,450.01,5700.91,900.02,23565.83,36171.88,133.33,133.33,40.00
7.447,220.00,500.01,325.00,4900.68,1766.76,22314.20,37842.20,66.67,33.33,0.00
7.785,140.00,266.67,250.00,5800.95,2166.80,21463.14,37240.87,0.00,33.33,40.00
8.123,180.00,500.01,200.00,7001.38,1766.76,20662.17,34301.34,33.33,0.00,0.00
8.461,180.00,300.00,475.01,4400.55,1333.38,21913.69,34201.13,133.33,133.33,20.00
8.799,140.00,233.33,350.00,7201.46,1833.43,20712.23,35637.43,0.00,100.00,0.00
9.137,100.00,566.68,450.01,4400.55,966.69,22264.13,35804.44,66.67,66.67,0.00
9.475,160.00,500.01,400.00,7701.67,1533.40,22464.38,37307.68,33.33,66.67,40.00
9.813,260.00,300.00,425.01,5600.88,1633.41,22214.07,37040.43,100.00,133.33,0.00
10.151,80.00,400.00,450.01,6501.19,966.69,23966.37,34034.13,0.00,66.67,40.00
10.489,120.00,433.34,275.00,7901.76,1666.75,22214.07,34401.54,0.00,0.00,0.00
10.827,20.00,433.34,425.01,4600.60,1633.41,21563.26,34535.14,66.67,33.33,0.00
11.165,60.00,366.67,475.01,7501.58,1000.03,22364.26,35837.84,66.67,100.00,0.00
11.503,160.00,700.01,325.00,7301.50,1600.07,22464.38,36004.87,33.33,0.00,0.00
11.841,80.00,866.69,475.01,7001.38,1000.03,21763.50,35737.63,66.67,0.00,40.00
12.179,120.00,900.02,600.01,3700.39,1066.70,21062.65,37073.83,66.67,66.67,20.00
12.518,100.00,400.00,500.01,7901.76,1600.07,23015.10,38811.05,133.33,100.00,20.00
12.856,100.00,766.68,450.01,7401.54,700.01,21863.63,35704.23,33.33,33.33,40.00
13.194,240.00,500.01,575.01,6201.08,1733.42,22714.71,36205.29,0.00,0.00,0.00
13.532,280.00,366.67,525.01,6801.30,1433.39,20461.94,36338.91,0.00,66.67,0.00
13.870,260.00,400.00,250.00,7301.50,1200.04,19610.96,33232.55,0.00,66.67,0.00
14.208,100.00,366.67,650.01,6401.15,1566.74,20211.65,36472.53,0.00,100.00,60.00
14.546,240.00,433.34,375.00,6801.30,1033.36,20261.70,35036.17,66.67,166.67,40.00
14.884,220.00,700.01,300.00,7001.38,900.02,22764.77,37608.34,100.00,66.67,20.00
15.222,40.00,666.68,550.01,9002.28,1600.07,21413.07,37073.83,100.00,166.67,0.00
15.560,140.00,500.01,150.00,6101.05,1200.04,23115.23,31863.26,0.00,133.33,40.00
15.898,380.00,333.34,425.01,5200.76,933.36,21663.38,35336.79,33.33,166.67,0.00
16.236,120.00,666.68,575.01,6801.30,833.35,21413.07,34167.73,200.00,33.33,40.00
16.574,100.00,600.01,500.01,6201.08,1000.03,23665.97,33800.33,33.33,133.33,0.00
16.912,180.00,300.00,425.01,7001.38,1300.05,23315.50,36505.93,133.33,33.33,40.00
17.250,120.00,400.00,550.01,6901.34,1000.03,23515.76,33800.33,100.00,1600.08,100.00
17.588,100.00,224741.96,21638.14,96159.45,56892.11,1549982.65,59805.31,152685.08,286436.76,2660.22
17.926,180.00,794599.69,113611.40,97768.18,244661.01,4841055.58,158066.85,267563.32,808388.10,4580.64
18.264,600.01,1523773.21,209905.30,92841.88,406147.93,6344948.58,173819.94,404574.52,1090394.03,5881.06
18.602,520.01,1803106.68,233040.48,36838.14,454376.08,7851926.74,178669.96,481926.22,1296490.65,6301.22
18.940,560.01,1774124.52,247914.39,26119.18,552189.53,8614936.13,184565.99,466057.95,1397760.58,7641.79
19.278,660.01,1755836.63,236713.43,17608.72,575900.66,9189848.64,193868.93,455510.17,1322167.48,6101.14
19.616,540.01,1490226.60,210259.45,14906.25,605885.76,9399643.18,196262.94,460920.26,1336640.52,5901.07
19.954,720.01,1377709.15,176899.61,14005.52,581859.26,9827514.28,186554.24,456811.18,1299689.22,4740.69
