C:\ICPMH\1\DATA\15J30l00.B\C5-F1_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  01:20:34 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
0.348,40.00,1000.03,325.00,7101.42,1400.06,21813.57,33867.13,66.67,166.67,60.00
0.686,60.00,700.01,400.00,7601.63,1000.03,22164.01,35604.02,0.00,66.67,60.00
1.024,120.00,433.34,500.01,7501.58,1200.04,20011.42,34368.14,100.00,66.67,0.00
1.362,40.00,166.67,650.01,5800.95,1466.73,20361.82,35303.39,0.00,66.67,20.00
1.700,160.00,600.01,400.00,5200.76,1400.06,22714.71,36439.12,133.33,33.33,0.00
2.038,160.00,400.00,300.00,6501.19,1100.03,19811.19,36105.07,66.67,33.33,40.00
2.376,60.00,500.01,300.00,4700.62,1200.04,23165.30,34869.16,33.33,33.33,0.00
2.714,20.00,500.01,500.01,5500.85,1433.39,19861.25,35971.46,166.67,133.33,0.00
3.052,100.00,600.01,325.00,6501.19,1066.70,20261.70,34568.54,166.67,133.33,0.00
3.390,0.00,933.36,575.01,8401.99,1133.37,20562.05,37341.08,0.00,66.67,0.00
3.728,80.00,466.67,250.00,6101.05,933.36,20161.59,36305.51,66.67,0.00,40.00
4.066,100.00,366.67,325.00,6401.15,1766.76,19460.80,34869.16,33.33,200.00,40.00
4.404,20.00,966.69,450.01,4400.55,1233.38,20361.82,37641.75,0.00,0.00,0.00
4.742,100.00,133.33,375.00,6901.34,966.69,21062.65,34368.14,66.67,166.67,0.00
5.080,180.00,466.67,500.01,6201.08,1300.05,21663.38,34869.16,66.67,66.67,0.00
5.418,200.00,533.34,325.00,6201.08,800.02,20261.70,33399.54,33.33,266.67,0.00
5.756,60.00,433.34,425.01,7401.54,1066.70,21563.26,38443.54,0.00,0.00,40.00
6.094,140.00,333.34,500.01,9102.33,1166.71,20111.53,35036.17,100.00,66.67,0.00
6.432,60.00,600.01,450.01,5700.91,1233.38,20562.05,33733.53,0.00,0.00,0.00
6.771,160.00,400.00,425.01,7401.54,1300.05,19560.91,36205.29,66.67,66.67,40.00
