C:\ICPMH\1\DATA\15J30l00.B\E6-F1_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  02:03:22 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
0.348,80.00,433.34,475.01,6901.34,1766.76,19060.36,35203.18,0.00,266.67,0.00
0.686,120.00,433.34,375.00,5700.91,2400.16,22364.26,38042.65,66.67,66.67,0.00
1.024,140.00,633.34,575.01,7601.63,1000.03,20061.48,36639.56,0.00,1000.03,0.00
1.362,140.00,900.02,400.00,5800.95,1433.39,21413.07,37541.53,66.67,100.00,0.00
1.700,220.00,766.68,200.00,8101.85,966.69,22714.71,36572.74,533.34,966.69,0.00
2.038,240.00,566.68,450.01,6801.30,966.69,30977.35,33933.93,0.00,300.00,20.00
2.376,140.00,633.34,425.01,6901.34,3000.26,18309.56,37374.48,66.67,3133.62,80.00
2.714,200.00,400.00,350.00,7101.42,933.36,24366.93,36472.53,233.33,433.34,0.00
3.052,200.00,500.01,425.01,8401.99,966.69,28923.84,37207.46,0.00,66.67,40.00
3.390,40.00,766.68,500.01,7901.76,1366.72,22965.03,35837.84,400.00,766.68,0.00
3.728,60.00,633.34,275.00,5700.91,1333.38,42902.45,35670.83,433.34,233.33,0.00
4.066,0.00,566.68,300.00,5700.91,966.69,19160.47,36038.27,133.33,66.67,0.00
4.404,140.00,300.00,300.00,6401.15,1366.72,21863.63,37641.75,100.00,100.00,0.00
4.742,160.00,566.68,475.01,6001.01,1000.03,20211.65,37541.53,233.33,33.33,0.00
5.080,140.00,1266.71,375.00,5800.95,1200.04,19010.31,36906.80,166.67,566.68,0.00
5.418,220.00,566.68,700.01,4700.62,1166.71,23165.30,37140.65,66.67,1000.03,0.00
5.756,100.00,566.68,350.00,6201.08,1233.38,22214.07,34201.13,133.33,100.00,60.00
6.094,220.00,233.33,475.01,7301.50,1366.72,20161.59,34668.75,66.67,100.00,40.00
6.432,120.00,633.34,350.00,8502.03,1000.03,22063.88,34869.16,66.67,200.00,40.00
6.770,20.00,633.34,450.01,5600.88,1300.05,22314.20,35570.61,100.00,2033.46,60.00
7.108,180.00,633.34,275.00,7701.67,1133.37,20962.53,37775.38,0.00,266.67,20.00
7.446,120.00,666.68,450.01,5200.76,1233.38,22864.90,36505.93,0.00,700.01,0.00
7.784,100.00,1166.70,525.01,6101.05,1600.07,20812.35,36606.15,66.67,100.00,0.00
8.122,180.00,466.67,450.01,5100.73,1766.76,20211.65,32865.16,133.33,166.67,0.00
8.460,200.00,300.00,200.00,6901.34,1533.40,35485.88,37574.93,66.67,700.01,40.00
8.798,100.00,266.67,275.00,5900.98,1400.06,21012.59,36138.48,33.33,566.68,0.00
9.136,0.00,533.34,350.00,7501.58,1466.73,22113.94,34067.53,33.33,266.67,40.00
9.475,240.00,533.34,425.01,5400.82,1966.78,17959.20,34501.74,66.67,33.33,20.00
9.813,160.00,766.68,375.00,5000.70,1633.41,19961.36,37842.20,166.67,3300.32,20.00
10.151,80.00,833.35,650.01,6001.01,1266.71,32129.43,37608.34,33.33,100.00,0.00
10.489,160.00,533.34,500.01,9102.33,1533.40,19010.31,36940.21,0.00,166.67,20.00
10.827,160.00,766.68,600.01,7901.76,1333.38,17608.84,38610.59,133.33,366.67,0.00
11.165,120.00,700.01,450.01,5900.98,1733.42,20161.59,37441.30,266.67,2000.12,20.00
11.503,100.00,733.35,500.01,6601.23,1200.04,27922.22,36973.61,33.33,900.02,40.00
11.841,60.00,533.34,625.01,7401.54,1200.04,19911.30,36038.27,66.67,833.35,0.00
12.179,120.00,600.01,700.01,6701.26,1666.75,22514.45,36472.53,100.00,633.35,0.00
12.517,200.00,1500.06,525.01,5700.91,1000.03,20862.41,37675.15,100.00,633.35,40.00
12.855,100.00,666.68,600.01,5300.79,1566.74,22364.26,38243.09,33.33,33.33,0.00
13.193,80.00,800.02,450.01,6001.01,1133.37,21463.14,35604.02,66.67,200.00,80.00
13.531,260.00,466.67,400.00,5800.95,1600.07,20411.88,35136.38,133.33,333.34,40.00
13.869,0.00,1100.03,450.01,6501.19,1366.72,22164.01,37942.41,0.00,366.67,0.00
14.207,40.00,333.34,550.01,6701.26,1033.36,21413.07,34802.36,133.33,366.67,0.00
14.545,60.00,600.01,225.00,6801.30,1066.70,28072.46,38042.65,100.00,166.67,20.00
14.883,140.00,400.00,575.01,6201.08,1433.39,23615.90,38109.46,100.00,0.00,0.00
15.221,120.00,500.01,300.00,7301.50,1366.72,30476.47,37307.68,0.00,600.01,20.00
15.559,220.00,766.68,400.00,7101.42,1466.73,20311.76,35269.99,133.33,333.34,0.00
15.897,140.00,400.00,350.00,5600.88,2133.46,19460.80,35336.79,66.67,666.68,40.00
16.234,140.00,633.34,225.00,6201.08,1133.37,34283.50,36672.96,0.00,533.34,40.00
16.573,220.00,433.34,375.00,6701.26,900.02,26570.12,38610.59,66.67,533.34,40.00
16.911,80.00,800.02,325.00,6101.05,1766.76,20161.59,35503.81,0.00,433.34,0.00
17.249,240.00,666.68,425.01,6601.23,766.68,18810.09,36973.61,133.33,333.34,40.00
17.587,60.00,400.00,300.00,6701.26,1533.40,41849.90,37341.08,66.67,1700.09,0.00
17.925,140.00,933.36,625.01,5300.79,1533.40,19360.69,38476.95,0.00,0.00,0.00
18.263,60.00,466.67,325.00,5600.88,833.35,20161.59,36405.72,0.00,566.68,40.00
18.601,200.00,733.35,575.01,7601.63,1633.41,18309.56,39779.95,100.00,133.33,0.00
18.939,80.00,800.02,275.00,8201.89,1000.03,24617.28,36405.72,100.00,366.67,0.00
19.277,120.00,600.01,525.01,6701.26,1600.07,19460.80,38777.63,200.00,133.33,0.00
19.616,200.00,233.33,525.01,6601.23,1333.38,21012.59,35871.25,133.33,300.00,40.00
19.954,120.00,333.34,450.01,3900.43,1733.42,24467.06,37875.60,400.00,21747.30,360.00
20.292,160.00,86744.00,19110.25,20611.95,126588.44,1454220.74,124455.19,23816.73,366560.20,2020.13
20.630,160.00,274904.66,37714.91,21613.14,240740.66,5036968.47,219512.10,52514.61,600500.27,2860.25
20.968,220.00,315197.11,40295.56,18109.22,385387.38,6553879.83,298776.63,67601.30,824050.28,2880.25
21.306,260.00,279305.70,38266.08,9902.76,446408.73,7317398.60,391093.27,79854.45,887823.59,3520.38
21.644,180.00,229637.13,31502.85,10803.28,460123.02,7396292.35,361037.44,84845.30,899341.82,2740.23
21.982,240.00,209491.13,29824.96,7601.63,479806.59,7475124.39,362501.57,77543.76,950528.34,3040.28
22.320,380.00,196376.32,27245.83,7301.50,529059.52,8198333.00,362092.98,82232.46,966460.44,3680.42
22.658,440.01,173137.19,23590.62,9002.28,517385.69,8299744.72,374252.84,86051.35,957082.70,3320.34
22.996,200.00,157257.65,24441.77,9702.65,546515.96,8279176.75,354433.67,80959.68,936617.47,2860.25
23.334,460.01,157593.92,21137.54,7701.67,517008.08,8773196.29,358450.07,79720.50,936652.56,2740.23
23.672,400.00,147945.06,19911.13,8902.23,512169.22,8619468.16,374491.28,79452.57,984913.11,2880.25
24.010,300.00,139510.76,22439.13,7201.46,517866.26,8468719.72,368801.96,86118.36,993634.66,3080.29
24.348,180.00,126648.55,16908.03,7701.67,561064.60,8392998.63,359335.16,84912.29,1023434.14,3480.37
24.686,320.00,126715.71,15656.89,8401.99,511036.93,8714161.91,349329.30,84108.29,948449.76,2920.26
25.024,560.01,141324.97,15181.47,6301.12,546240.96,8112032.99,356339.62,86654.44,1077364.74,3240.32
25.362,340.00,119096.73,16057.24,7801.71,556867.40,8751237.70,356577.87,86620.92,933308.68,2580.20
25.700,540.01,112822.78,15431.69,6701.26,519994.51,8653303.32,347424.06,95066.03,958986.09,2900.26
26.038,240.00,118324.97,15681.90,10403.04,509355.74,7937172.05,356577.87,83304.36,958034.33,3180.31
26.376,200.00,109435.08,17058.17,4900.68,532185.36,8464610.35,332223.90,84208.80,971821.25,2400.18
26.714,280.00,122318.47,13755.31,8001.80,496597.60,8404104.88,322777.29,85582.33,999463.37,3360.35
27.052,360.00,117318.34,16182.35,5600.88,507194.44,8139969.71,308583.31,88396.72,1003986.29,2840.25
27.390,580.01,114063.96,14856.20,6401.15,501878.07,7693598.61,309975.01,88530.76,1016501.06,3280.33
27.728,300.00,112353.14,16632.77,6201.08,540225.60,7877318.14,297080.54,82600.91,1003173.46,3340.34
28.066,440.01,113057.60,15406.66,6501.19,475491.45,10169097.10,287246.59,90809.43,1014131.79,2740.23
