C:\ICPMH\1\DATA\15J30l00.B\E9-F_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  02:12:04 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
0.348,200.00,266.67,450.01,5500.85,1066.70,20762.29,38410.13,0.00,0.00,0.00
0.686,160.00,333.34,475.01,3900.43,466.67,18659.93,36205.29,100.00,200.00,0.00
1.024,100.00,933.36,325.00,5500.85,900.02,19510.86,37641.75,133.33,100.00,60.00
1.362,120.00,500.01,400.00,6401.15,966.69,16157.44,40748.92,133.33,66.67,0.00
1.700,160.00,433.34,275.00,8602.08,1066.70,19711.08,35102.98,0.00,66.67,40.00
2.038,60.00,533.34,325.00,4200.50,1200.04,17508.74,36773.17,133.33,333.34,0.00
2.376,20.00,600.01,400.00,5500.85,966.69,19010.31,36606.15,100.00,100.00,40.00
2.714,100.00,466.67,375.00,5500.85,833.35,18609.88,37741.97,66.67,100.00,0.00
3.052,40.00,633.34,275.00,6201.08,1733.42,21513.19,36773.17,0.00,100.00,0.00
3.390,260.00,200.00,300.00,6801.30,966.69,22764.77,38710.82,66.67,33.33,0.00
3.728,240.00,700.01,725.01,7301.50,1100.03,18659.93,37207.46,0.00,66.67,20.00
4.066,100.00,733.35,225.00,6201.08,1266.71,20912.47,38376.73,33.33,66.67,20.00
4.404,80.00,233.33,475.01,5500.85,800.02,20512.00,37140.65,200.00,66.67,0.00
4.742,80.00,466.67,425.01,7701.67,1766.76,18509.77,39078.33,33.33,100.00,0.00
5.080,40.00,533.34,150.00,6501.19,1233.38,18509.77,36372.32,0.00,0.00,60.00
5.418,100.00,333.34,425.01,7301.50,1133.37,19861.25,36940.21,0.00,0.00,40.00
5.756,120.00,566.68,300.00,5000.70,1400.06,19711.08,36038.27,0.00,166.67,0.00
6.094,140.00,400.00,400.00,6601.23,1100.03,29625.02,34501.74,0.00,300.00,0.00
6.432,140.00,500.01,150.00,5500.85,1000.03,17909.14,40414.78,66.67,433.34,0.00
6.770,120.00,500.01,150.00,7601.63,633.34,18359.61,36739.77,66.67,133.33,0.00
7.108,100.00,666.68,550.01,6801.30,1200.04,20111.53,36238.69,66.67,166.67,40.00
7.446,160.00,666.68,450.01,6301.12,966.69,20061.48,36305.51,33.33,200.00,0.00
7.784,40.00,600.01,425.01,5600.88,966.69,17909.14,40414.78,0.00,100.00,20.00
8.122,160.00,500.01,375.00,7601.63,1100.03,22013.82,35069.57,0.00,133.33,60.00
8.460,140.00,333.34,400.00,8001.80,1766.76,19360.69,38911.28,33.33,0.00,40.00
8.799,100.00,333.34,525.01,5400.82,1533.40,20361.82,38276.49,166.67,533.34,0.00
9.137,60.00,633.34,675.01,6201.08,1000.03,18409.66,37374.48,66.67,100.00,0.00
9.475,160.00,300.00,475.01,8201.89,1366.72,19260.58,39145.15,133.33,500.01,0.00
9.813,120.00,633.34,225.00,5600.88,1000.03,18860.14,38009.23,66.67,400.00,0.00
10.151,120.00,533.34,250.00,5800.95,1333.38,20562.05,36205.29,133.33,466.67,20.00
10.489,120.00,500.01,475.01,6801.30,1600.07,20962.53,35537.21,100.00,100.00,40.00
10.827,20.00,500.01,375.00,7001.38,1200.04,24116.58,36305.51,200.00,433.34,0.00
11.165,180.00,700.01,350.00,5900.98,1166.71,18509.77,39111.73,33.33,66.67,20.00
11.503,240.00,366.67,300.00,6101.05,1166.71,20161.59,36472.53,0.00,133.33,40.00
11.841,60.00,266.67,200.00,6101.05,1166.71,17959.20,37474.72,0.00,0.00,0.00
12.179,40.00,700.01,325.00,7901.76,1200.04,20862.41,36338.91,100.00,0.00,0.00
12.517,200.00,433.34,400.00,7501.58,1266.71,15807.13,37675.15,66.67,133.33,0.00
12.855,80.00,433.34,575.01,7101.42,966.69,17508.74,39345.61,0.00,666.68,0.00
13.193,200.00,666.68,425.01,8001.80,766.68,19610.96,36572.74,66.67,0.00,20.00
13.531,80.00,366.67,200.00,5400.82,1800.09,17508.74,36572.74,33.33,100.00,0.00
13.869,160.00,600.01,450.01,6201.08,966.69,16758.01,35102.98,33.33,0.00,20.00
14.207,160.00,466.67,425.01,7401.54,1166.71,19861.25,36405.72,33.33,100.00,0.00
14.545,120.00,666.68,450.01,6901.34,933.36,19911.30,38343.32,66.67,0.00,0.00
