C:\ICPMH\1\DATA\15J30l00.B\JF2-A_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  12:21:56 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
0.348,80.00,800.02,325.00,5500.85,833.35,27321.28,34935.96,66.67,200.00,40.00
0.686,140.00,633.34,525.01,6101.05,1600.07,24917.70,35136.38,133.33,100.00,0.00
1.024,80.00,433.34,500.01,7401.54,1033.36,23465.70,33098.95,66.67,100.00,0.00
1.362,240.00,466.67,350.00,4500.57,1433.39,25718.86,36171.88,0.00,33.33,0.00
1.700,220.00,566.68,275.00,6401.15,1500.06,24016.44,35102.98,33.33,100.00,0.00
2.038,100.00,566.68,625.01,8101.85,1200.04,23315.50,34702.15,33.33,166.67,0.00
2.376,140.00,500.01,250.00,6701.26,1300.05,23665.97,35236.59,0.00,0.00,0.00
2.714,260.00,200.00,275.00,7401.54,1300.05,23916.30,34535.14,133.33,66.67,0.00
3.052,60.00,700.01,675.01,5800.95,1300.05,23866.24,34167.73,200.00,66.67,0.00
3.390,140.00,366.67,400.00,6501.19,1200.04,21463.14,34401.54,0.00,33.33,0.00
3.728,160.00,800.02,175.00,6201.08,1400.06,23115.23,33833.73,66.67,0.00,0.00
4.066,220.00,333.34,625.01,7101.42,866.69,24467.06,33366.14,0.00,100.00,0.00
4.404,120.00,666.68,375.00,5700.91,1400.06,24366.93,35771.03,133.33,66.67,0.00
4.742,120.00,466.67,350.00,6201.08,1400.06,23265.43,35002.77,33.33,166.67,0.00
5.080,60.00,566.68,700.01,6301.12,866.69,22214.07,31930.04,0.00,0.00,0.00
5.418,100.00,400.00,150.00,5700.91,1733.42,24116.58,34969.37,0.00,100.00,0.00
5.756,160.00,366.67,575.01,7001.38,1300.05,24467.06,35771.03,0.00,166.67,60.00
6.094,80.00,300.00,125.00,7901.76,1300.05,21763.50,31395.71,33.33,33.33,0.00
6.432,0.00,733.35,175.00,5900.98,1300.05,22664.65,33933.93,100.00,366.67,0.00
6.770,260.00,566.68,300.00,8702.13,1366.72,22214.07,34134.33,0.00,66.67,60.00
7.108,160.00,833.35,100.00,5600.88,666.68,22965.03,31629.48,33.33,0.00,40.00
7.446,80.00,533.34,525.01,7501.58,1433.39,20461.94,33800.33,33.33,66.67,40.00
7.784,220.00,466.67,575.01,5900.98,1266.71,23766.10,31362.32,0.00,0.00,0.00
8.122,160.00,333.34,475.01,5900.98,1366.72,22564.51,33098.95,0.00,66.67,0.00
