C:\ICPMH\1\DATA\15J30l00.B\LN1_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  11:58:02 am using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
0.348,140.00,533.34,150.00,7301.50,1000.03,27671.83,34201.13,233.33,0.00,0.00
0.686,160.00,400.00,550.01,8301.94,833.35,25819.00,31529.29,133.33,166.67,40.00
1.024,80.00,733.35,350.00,5700.91,1700.08,23315.50,33232.55,66.67,33.33,20.00
1.362,100.00,300.00,425.01,8502.03,1733.42,27020.81,33399.54,0.00,0.00,0.00
1.700,240.00,766.68,700.01,6001.01,1333.38,25518.56,34468.34,100.00,66.67,20.00
2.038,140.00,366.67,575.01,6301.12,966.69,25318.27,34434.94,0.00,133.33,0.00
2.376,300.00,466.67,350.00,5000.70,1266.71,26670.28,32030.23,133.33,266.67,0.00
2.714,200.00,266.67,375.00,7401.54,1100.03,27621.75,33700.13,133.33,166.67,0.00
3.052,160.00,233.33,400.00,5200.76,1566.74,27822.06,36405.72,66.67,66.67,0.00
3.390,200.00,600.01,400.00,6801.30,1200.04,27221.12,32831.76,33.33,0.00,0.00
3.728,300.00,533.34,300.00,6901.34,1566.74,27621.75,33132.35,166.67,233.33,40.00
4.066,240.00,533.34,275.00,7901.76,1266.71,29224.35,36238.69,66.67,0.00,0.00
4.404,200.00,400.00,425.01,7301.50,1300.05,27221.12,34935.96,66.67,66.67,0.00
4.742,100.00,700.01,450.01,5500.85,1533.40,25718.86,34869.16,33.33,66.67,0.00
5.080,100.00,433.34,525.01,8201.89,1600.07,26419.89,33700.13,0.00,200.00,0.00
5.418,120.00,500.01,425.01,6401.15,1400.06,25568.64,35503.81,100.00,133.33,0.00
5.756,240.00,600.01,425.01,6601.23,1133.37,27771.99,35871.25,233.33,166.67,0.00
6.094,280.00,433.34,400.00,7901.76,1433.39,28272.79,34969.37,0.00,133.33,0.00
6.432,240.00,500.01,275.00,5000.70,1700.08,26620.20,32264.01,66.67,133.33,0.00
6.770,100.00,166.67,375.00,4400.55,1633.41,24617.28,36105.07,166.67,133.33,40.00
7.108,220.00,266.67,350.00,8101.85,1533.40,25568.64,33232.55,66.67,0.00,0.00
7.446,60.00,200.00,450.01,8201.89,1366.72,26620.20,33733.53,0.00,66.67,60.00
7.785,80.00,400.00,425.01,6401.15,1466.73,27070.89,33566.53,66.67,66.67,0.00
8.123,100.00,366.67,500.01,7501.58,1500.06,27721.91,34034.13,0.00,66.67,0.00
8.461,100.00,466.67,300.00,5900.98,1366.72,24417.00,35938.05,133.33,33.33,20.00
8.799,100.00,433.34,275.00,6001.01,1500.06,26469.97,35169.78,166.67,0.00,0.00
9.137,260.00,266.67,425.01,8301.94,1633.41,27020.81,35102.98,66.67,66.67,0.00
9.475,280.00,433.34,350.00,6801.30,1800.09,27471.52,34969.37,133.33,66.67,0.00
