C:\ICPMH\1\DATA\15J30l00.B\LN4_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  12:12:28 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
0.349,160.00,500.01,450.01,6601.23,866.69,23465.70,34134.33,0.00,200.00,20.00
0.687,40.00,333.34,250.00,6801.30,1400.06,23916.30,33700.13,66.67,0.00,0.00
1.025,180.00,600.01,325.00,6801.30,1300.05,25668.78,33032.15,100.00,0.00,0.00
1.363,100.00,533.34,250.00,5700.91,1166.71,23716.03,33900.53,0.00,66.67,0.00
1.701,160.00,433.34,175.00,7201.46,1633.41,23465.70,31896.65,0.00,66.67,20.00
2.039,420.00,466.67,550.01,5900.98,966.69,25568.64,34368.14,0.00,100.00,0.00
2.377,200.00,400.00,500.01,6601.23,933.36,25218.13,33165.75,33.33,33.33,40.00
2.715,80.00,500.01,450.01,8301.94,1466.73,24467.06,34468.34,0.00,100.00,40.00
3.053,240.00,533.34,500.01,5900.98,1500.06,23866.24,38376.73,100.00,66.67,60.00
3.391,200.00,466.67,200.00,6901.34,1400.06,25718.86,34401.54,0.00,66.67,0.00
3.729,80.00,400.00,850.02,5800.95,1266.71,25418.42,31295.53,66.67,166.67,0.00
4.067,220.00,533.34,350.00,7401.54,933.36,24266.79,32564.58,100.00,0.00,0.00
4.405,140.00,266.67,200.00,6601.23,1400.06,26369.82,32631.38,66.67,66.67,0.00
4.743,200.00,433.34,275.00,9002.28,1600.07,26319.75,36439.12,133.33,100.00,0.00
5.081,240.00,266.67,425.01,6301.12,1200.04,23615.90,32597.98,66.67,33.33,40.00
5.418,100.00,366.67,500.01,8802.18,1366.72,23966.37,35837.84,0.00,133.33,40.00
5.757,220.00,666.68,100.00,8101.85,1400.06,23265.43,33199.14,0.00,0.00,0.00
6.095,60.00,400.00,600.01,6001.01,1900.10,25117.99,33366.14,133.33,0.00,0.00
6.433,220.00,366.67,275.00,8401.99,1266.71,24517.14,32831.76,0.00,166.67,0.00
6.771,180.00,333.34,475.01,4900.68,1400.06,27421.43,31896.65,133.33,0.00,40.00
7.109,100.00,233.33,250.00,6701.26,1166.71,23265.43,35637.43,33.33,66.67,0.00
7.447,80.00,666.68,175.00,7701.67,1366.72,26570.12,31429.11,33.33,33.33,0.00
7.785,40.00,233.33,275.00,6501.19,1466.73,24316.86,33132.35,0.00,133.33,0.00
8.123,140.00,400.00,225.00,6701.26,933.36,25218.13,33232.55,0.00,100.00,0.00
8.461,120.00,100.00,625.01,5400.82,1666.75,23816.17,34601.95,0.00,33.33,0.00
8.799,140.00,533.34,675.01,6401.15,1366.72,23565.83,34835.76,66.67,0.00,80.00
9.137,180.00,433.34,300.00,7901.76,1133.37,25869.08,32564.58,33.33,133.33,0.00
9.475,100.00,700.01,675.01,6801.30,1733.42,23365.57,32764.97,66.67,200.00,0.00
9.813,160.00,533.34,650.01,5600.88,1300.05,22113.94,32764.97,100.00,0.00,20.00
10.151,220.00,500.01,250.00,4600.60,1366.72,23015.10,33165.75,0.00,100.00,0.00
10.489,160.00,300.00,375.00,9202.38,1400.06,20862.41,31896.65,66.67,66.67,0.00
10.828,140.00,333.34,500.01,7501.58,766.68,25518.56,32798.36,33.33,66.67,0.00
11.166,320.00,600.01,300.00,7101.42,1733.42,23665.97,34869.16,100.00,0.00,40.00
11.504,80.00,500.01,475.01,8602.08,1800.09,24967.77,32397.60,0.00,166.67,0.00
11.842,60.00,500.01,175.00,5400.82,1666.75,23665.97,32597.98,33.33,33.33,20.00
12.180,160.00,466.67,475.01,8301.94,1166.71,24417.00,32397.60,100.00,66.67,0.00
12.518,260.00,200.00,325.00,5700.91,1566.74,28473.11,34368.14,200.00,0.00,0.00
