C:\ICPMH\1\METHODS\103015JF.M.B\STD4.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  03:35:15 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
0.348,300.00,500.01,275.00,6101.05,1500.06,20061.48,35470.41,200.00,166.67,0.00
0.686,200.00,700.01,225.00,5100.73,666.68,17558.79,37474.72,133.33,133.33,0.00
1.024,40.00,466.67,350.00,5900.98,866.69,19310.63,39445.84,0.00,200.00,40.00
1.362,20.00,466.67,450.01,5800.95,1266.71,18409.66,38877.87,66.67,100.00,20.00
1.700,60.00,433.34,775.02,7501.58,1166.71,17508.74,38076.05,66.67,233.33,0.00
2.038,140.00,400.00,300.00,7101.42,1333.38,17208.44,35169.78,0.00,0.00,80.00
2.376,180.00,800.02,525.01,5700.91,833.35,19010.31,38543.77,0.00,66.67,0.00
2.714,120.00,533.34,650.01,7301.50,700.01,20662.17,37073.83,0.00,100.00,60.00
3.052,200.00,500.01,375.00,6401.15,1266.71,19110.41,38209.68,66.67,33.33,40.00
3.390,40.00,466.67,225.00,6901.34,1066.70,18259.51,39011.51,66.67,66.67,20.00
3.728,240.00,500.01,625.01,5100.73,1933.44,17608.84,37942.41,33.33,133.33,20.00
4.066,160.00,600.01,225.00,6501.19,1166.71,17358.59,36672.96,33.33,33.33,0.00
4.404,40.00,266.67,450.01,5700.91,666.68,19110.41,36806.58,200.00,133.33,0.00
4.742,140.00,666.68,325.00,7001.38,1733.42,17458.69,38944.68,166.67,0.00,0.00
5.080,60.00,433.34,450.01,7501.58,1166.71,16357.63,40314.55,66.67,100.00,40.00
5.418,140.00,733.35,500.01,6701.26,766.68,18309.56,35938.05,66.67,33.33,0.00
5.756,180.00,766.68,150.00,5900.98,1100.03,19861.25,37207.46,0.00,33.33,40.00
6.094,260.00,533.34,475.01,6201.08,1066.70,18709.98,38076.05,100.00,233.33,0.00
6.432,100.00,400.00,475.01,7501.58,1933.44,19210.52,35169.78,0.00,33.33,0.00
6.770,200.00,700.01,425.01,6701.26,1133.37,17809.04,36272.10,0.00,66.67,0.00
7.108,200.00,966.69,450.01,7601.63,1400.06,17558.79,36873.39,100.00,66.67,20.00
7.446,120.00,366.67,500.01,8001.80,900.02,17108.35,36305.51,133.33,133.33,0.00
7.784,20.00,533.34,425.01,7301.50,866.69,18760.03,39111.73,100.00,33.33,0.00
8.122,120.00,600.01,400.00,5400.82,866.69,18359.61,35303.39,66.67,33.33,20.00
8.460,40.00,400.00,300.00,6801.30,733.35,18810.09,35437.00,66.67,66.67,0.00
8.798,140.00,466.67,475.01,6501.19,766.68,18259.51,39813.37,66.67,66.67,0.00
9.136,140.00,500.01,450.01,4300.52,1166.71,19510.86,39445.84,66.67,33.33,0.00
9.474,180.00,566.68,475.01,4700.62,1366.72,17058.30,36873.39,66.67,0.00,0.00
9.812,160.00,633.34,350.00,5900.98,700.01,18709.98,38844.45,0.00,200.00,20.00
10.151,120.00,366.67,425.01,5100.73,1333.38,18109.35,39579.48,0.00,33.33,40.00
10.489,140.00,500.01,225.00,8001.80,1200.04,19010.31,36472.53,100.00,33.33,80.00
10.827,100.00,466.67,300.00,3000.25,1433.39,18860.14,37942.41,33.33,0.00,120.00
11.165,160.00,566.68,350.00,8001.80,1266.71,16707.96,37073.83,0.00,66.67,0.00
11.503,100.00,666.68,350.00,5900.98,1300.05,18009.25,36372.32,66.67,66.67,0.00
11.841,60.00,800.02,450.01,6601.23,1266.71,17959.20,38109.46,200.00,33.33,0.00
12.179,100.00,200.00,475.01,6001.01,1033.36,18760.03,38476.95,133.33,133.33,0.00
12.517,40.00,533.34,500.01,6401.15,933.36,18860.14,39412.43,200.00,166.67,0.00
12.855,120.00,533.34,375.00,7101.42,1366.72,17708.94,36606.15,33.33,100.00,40.00
13.193,100.00,233.33,400.00,7001.38,700.01,20261.70,38076.05,100.00,166.67,0.00
13.531,160.00,633.34,325.00,6101.05,966.69,18810.09,37741.97,133.33,0.00,0.00
13.869,160.00,300.00,225.00,7401.54,1100.03,17458.69,38510.36,66.67,0.00,0.00
14.207,120.00,333.34,250.00,6701.26,766.68,20512.00,35336.79,66.67,166.67,0.00
