C:\ICPMH\1\DATA\15J30l00.B\STD_3.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  02:17:20 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
0.348,180.00,366.67,300.00,7301.50,1233.38,18509.77,38677.41,0.00,66.67,20.00
0.686,120.00,800.02,300.00,6601.23,1133.37,18459.71,36071.68,0.00,233.33,0.00
1.024,200.00,433.34,400.00,5100.73,900.02,16908.15,37574.93,33.33,33.33,20.00
1.362,160.00,266.67,325.00,5800.95,1300.05,21312.95,34368.14,33.33,33.33,20.00
1.700,160.00,433.34,225.00,5200.76,866.69,18159.40,39412.43,66.67,133.33,20.00
2.038,120.00,466.67,300.00,5800.95,666.68,19761.13,39579.48,233.33,200.00,0.00
2.376,260.00,600.01,325.00,6201.08,966.69,18359.61,35437.00,100.00,166.67,0.00
2.714,180.00,733.35,300.00,6101.05,1100.03,18109.35,34869.16,33.33,0.00,0.00
3.052,60.00,466.67,500.01,8301.94,1133.37,25067.92,38109.46,33.33,100.00,0.00
3.390,80.00,600.01,425.01,7001.38,433.34,18509.77,37274.27,66.67,0.00,0.00
3.728,240.00,366.67,525.01,6801.30,1333.38,17308.54,37741.97,200.00,66.67,0.00
4.066,100.00,166.67,325.00,6001.01,1200.04,19761.13,36505.93,66.67,0.00,0.00
4.405,160.00,466.67,450.01,6701.26,1100.03,21162.77,38042.65,133.33,133.33,60.00
4.743,60.00,666.68,325.00,5700.91,1200.04,19110.41,36238.69,0.00,0.00,40.00
5.081,160.00,300.00,150.00,5600.88,1066.70,19410.75,39947.01,0.00,66.67,0.00
5.418,60.00,200.00,325.00,6701.26,1066.70,17208.44,37140.65,33.33,33.33,40.00
5.757,100.00,633.34,500.01,7801.71,1466.73,17959.20,36071.68,0.00,133.33,40.00
6.095,80.00,666.68,675.01,6701.26,766.68,19610.96,37875.60,133.33,66.67,0.00
6.433,160.00,600.01,325.00,6201.08,933.36,19410.75,35269.99,0.00,33.33,0.00
6.771,240.00,633.34,425.01,7501.58,1033.36,18760.03,37007.02,0.00,33.33,0.00
7.109,120.00,666.68,125.00,5400.82,1033.36,19560.91,36372.32,66.67,233.33,0.00
7.447,80.00,533.34,350.00,5500.85,1500.06,17408.64,37574.93,133.33,0.00,20.00
7.785,120.00,400.00,500.01,4400.55,1366.72,17758.99,35470.41,200.00,33.33,0.00
8.123,80.00,466.67,300.00,7001.38,1133.37,22164.01,40448.20,166.67,33.33,0.00
8.461,80.00,500.01,175.00,8502.03,833.35,18910.19,37007.02,133.33,33.33,40.00
8.799,60.00,533.34,425.01,6101.05,966.69,19110.41,37407.90,0.00,133.33,80.00
9.137,80.00,266.67,450.01,6601.23,1000.03,20361.82,36004.87,66.67,133.33,40.00
9.475,140.00,733.35,300.00,6201.08,1166.71,22013.82,38309.91,0.00,66.67,60.00
9.813,100.00,566.68,575.01,6701.26,1433.39,19060.36,37307.68,100.00,33.33,20.00
10.151,140.00,300.00,250.00,5900.98,1166.71,17859.09,36305.51,66.67,133.33,20.00
10.489,180.00,133.33,125.00,6501.19,1300.05,20862.41,36205.29,0.00,66.67,0.00
10.827,100.00,566.68,350.00,6701.26,1166.71,19210.52,38978.10,233.33,166.67,40.00
11.165,160.00,500.01,550.01,6201.08,1300.05,18059.30,37040.43,0.00,66.67,0.00
11.503,80.00,366.67,250.00,7301.50,1300.05,22464.38,40414.78,133.33,33.33,0.00
