statistic,sample,rep,B11,Mg24,Mg25,Al27,Ca44,Sr86,Sr87,Sr88,Ba138
mean,LN1_A,0,6.850342309128234e-05,0.0030735993221443023,0.003177390321319661,0.00011621024572048518,0.9815268977244526,0.0011958387980426832,0.0004409373753065209,0.0011868318926460508,7.362403521069998e-07
mean,LN1_A,1,7.587488596744986e-05,0.0030286895858263564,0.003134099024083006,0.00012853363317010574,0.9748521220959476,0.0011766122537331214,0.00043409020676031507,0.0011907603951782655,7.346887986964765e-07
mean,LN1_A,2,7.62647252707082e-05,0.00305145168371226,0.003153063507183432,8.196947914214698e-05,0.9775229895411447,0.0011901393804653244,0.0004369883139239752,0.0012008558858268232,7.278312345955177e-07
mean,LN1_A,3,6.872477773032829e-05,0.002983803620918794,0.0031663096619776636,0.0001316982393382023,0.9894208848621906,0.0011910891619545734,0.0004384996705226056,0.0012055714672977466,9.990864256581775e-07
mean,LN1_A,4,6.159728845972056e-05,0.002964898286320459,0.0030687162969020316,2.345648838218596e-05,0.9849152130777152,0.0011970395451518926,0.00043820637699077075,0.001190518052296848,6.681945793883994e-07
mean,LN1_A,5,6.454895552879258e-05,0.0029564296905745086,0.0031066399397890096,7.214806806709555e-05,0.9824495576240371,0.0011802648334924889,0.0004369376268822071,0.001184586248154751,7.349763693560641e-07
mean,LN3_A,0,7.30951889265962e-05,0.009318338984737941,0.009810822668986668,5.811246740987267e-06,0.9916976837068471,0.0014454680615311863,0.0004928187275928205,0.0014353601641373696,6.692037970663175e-07
mean,LN3_A,1,6.346679223829217e-05,0.009451934235805919,0.009894742169262866,2.8662175051642474e-05,0.984730121952289,0.0014547934805082094,0.0004910462501027692,0.0014413273560080265,6.697663806883153e-07
mean,LN4_A,0,7.991560038173768e-05,0.009354255558617516,0.009809914749583086,2.0855898444516212e-05,0.9812798402967237,0.001420648319359612,0.0004904007520805595,0.001427678080278492,6.441384669787062e-07
mean,LN4_A,1,7.700368395003945e-05,0.008464400365297976,0.00901194126844088,3.2701305611318706e-05,0.9828283832787894,0.0014262581063108459,0.0004892277439998282,0.001422501955755295,6.407972053247777e-07
mean,LN5_A,0,0.0001094928517058258,0.008552504099487447,0.00906761253167854,1.5290670824670092e-05,0.9681498577323632,0.0014094554738277735,0.0004895333410857071,0.001403238156765629,7.45649167706466e-07
mean,LN5_A,1,9.887271719543475e-05,0.00880728343164417,0.009259268822669007,2.3397767339764524e-05,0.9762320451154057,0.0014148076749641676,0.00048492505410627673,0.0014135465252989835,7.207921856968093e-07
mean,JF2-A_A,0,5.5541145553340406e-05,0.007397453554627666,0.0077138124675836,7.727467953347375e-05,0.9813129804697034,0.0012628237447484107,0.00044860054761463003,0.0012167657704958595,9.040768106810769e-07
mean,JF2-A_A,1,5.960629868473487e-05,0.00740653609891684,0.007836190827500047,6.705403023322964e-05,0.996482965101318,0.0012704506919250695,0.0004499229533638215,0.0012305533742786499,9.02731470609867e-07
mean,C3_A,0,5.735400731337681e-05,0.0039469369880927654,0.004100245016436103,4.1660611281478685e-06,0.9893223716575195,0.0013615638035191972,0.0009592056441534227,0.0013562494950717348,2.8736443490222703e-06
mean,C3_A,1,5.074695673183458e-05,0.004143135753885572,0.004297855895073676,2.156317442733713e-06,0.978546218731726,0.0013340759621253096,0.0009202176073109748,0.0013302327552122703,2.8660608985952492e-06
mean,C3-F_A,0,4.922088524820452e-05,0.004979665043410277,0.005186067900313723,3.775112253471913e-06,0.9894818802083154,0.0014430974222528696,0.0009693831891472743,0.0014605114933627613,2.9468457226281363e-06
mean,C1-F_A,0,6.0015669806012745e-05,0.002316433682329016,0.002389369591868484,7.454390647982807e-06,0.9739035373498884,0.0013960740340940136,0.0009944470688427252,0.0013714397417711095,2.198820930896933e-06
mean,C1-F_A,1,4.906888621779911e-05,0.0021996832013467227,0.0022013285962719934,4.168931757721277e-06,0.9829964145043834,0.0012843082545911132,0.0011360139883477905,0.0013061373108768399,2.5429402152829566e-06
mean,C1-F_A,2,7.694704068410354e-05,0.0009519374177068548,0.0009416667150802289,4.0840849037034765e-07,0.9915963294566233,0.0014809115970952416,0.0005479835088486547,0.0014497493816557395,1.3072152948534047e-06
mean,C1-F_A,3,7.924048963594162e-05,0.0008218010413398185,0.0008238214457481115,4.983391898614114e-06,0.9974434522606455,0.0015286581214272394,0.0005078253775253047,0.0014937455888504396,1.1258440076701244e-06
mean,C1-F_A,4,0.00010495056841211962,0.0013616861198944927,0.0013692618033371308,-3.181744826569101e-06,0.9888418465306269,0.0014549515438549317,0.0005024439866184277,0.0014225104436242798,1.5391123007857856e-06
mean,C4-F_A,0,5.597587217008571e-05,0.0045415741163222475,0.0046641550445253935,2.0629803183498384e-05,0.9900446143160685,0.001262343541026129,0.001113342705240179,0.0012702383446749448,3.2544405761058113e-06
mean,C4-F_A,1,6.195866874942528e-05,0.004177476875700662,0.00433894086549048,1.39843968206751e-05,0.9901445021522616,0.0012795381428156317,0.0010639070872766087,0.0012775280137156885,3.458028454220118e-06
mean,C4-F1_A,0,5.674782387708184e-05,0.002716192412283636,0.002798052734561082,1.0758350999189511e-05,0.9939874835270722,0.0011619707965960673,0.0010252544899818552,0.0011567013227481943,3.1731277004155923e-06
mean,C4-F1_A,1,5.704050436546582e-05,0.0022794299503189892,0.0023440475210884906,6.839803134961649e-06,0.9818842101090703,0.0011417115098364052,0.0010491365326536287,0.0011345709357304357,2.9421483450290737e-06
mean,C5-F1_A,0,4.778166571174091e-05,0.005177590923580819,0.005435171077551593,2.5967220702724577e-06,0.9839151375989813,0.0014730271821225488,0.0008044858286079864,0.0014560280905287551,2.6750396001240178e-06
mean,C5-F1_A,1,5.008464878360652e-05,0.005050006938882046,0.005247805517266754,6.557213016594105e-07,0.9888324831713955,0.0014536453072980188,0.0008115679472483575,0.001453041521045146,2.627921308273202e-06
mean,C7-F_A,0,4.100741663328489e-05,0.0029318400663144884,0.003041364514626021,1.885627427752549e-05,0.9756074771792124,0.0012742506903825486,0.0012963082070035483,0.0012487395630674573,2.778981442881822e-06
mean,C7-F_A,1,3.631610552448216e-05,0.003548204542506843,0.0036516743204394026,1.65042747878036e-05,0.9953613224732009,0.0012805187344399804,0.001318892002321123,0.001283493514464752,2.9816583344747434e-06
mean,C7-F_A,2,5.16337818497951e-05,0.0018798845740412462,0.0019309133674104883,4.414522596865594e-06,0.9884138406944736,0.0014341486079154232,0.0005395214558427633,0.0014358736520919892,2.1778948597044015e-06
mean,C7-F_A,3,4.482141565525381e-05,0.0020167978665454746,0.002056818722371481,2.8816987073154795e-06,0.9856508729343986,0.0014142569297640982,0.0005494020492882102,0.0014178545859024185,2.174553927351493e-06
mean,C8-F_A,0,3.764216891821561e-05,0.0026844013435701015,0.002802553594784527,4.077342138379078e-06,0.9844144072465351,0.0012987290411479826,0.0010556302139879026,0.0012859871344751133,3.4349634264124875e-06
mean,C8-F_A,1,4.395737845062645e-05,0.002880495282155556,0.0030243685490244305,5.6282006210525925e-06,0.9863472195606607,0.001231279133006691,0.001097813022438555,0.0012205578650265516,2.7261880651698026e-06
mean,C9-F_A,0,5.128517161099593e-05,0.0025139592611416704,0.002583674005317201,5.045029591783244e-06,0.9859179727782011,0.001237508266858962,0.0009292028361092061,0.0012181786755232555,2.8263176407192982e-06
mean,C9-F_A,1,4.626248069920034e-05,0.0021209849112120336,0.002188798192805205,4.259232199337391e-06,0.9880563905282952,0.001241542991726601,0.0008770213426897021,0.0012244375114614202,3.011134751409834e-06
mean,E6-F1_A,0,5.0555032066732244e-05,0.0017192212200733681,0.0017441321745918599,9.37519748958361e-06,0.9780307713391047,0.001973846884348431,0.00046137645770365183,0.0012720297782266585,3.6599108307194296e-06
mean,E6-F1_A,1,5.318327229041758e-05,0.0018118270364173093,0.0018556557009191258,9.50298887093355e-06,0.9816262337996012,0.0016471911885800725,0.0004681155449906913,0.0013476696297968964,4.219881188647095e-06
mean,E6-F1_A,2,4.793501662049739e-05,0.003557231423462673,0.003713712616309148,4.658441253639677e-06,0.9711725996034816,0.0027397025026080417,0.00047446988254006646,0.0013413273699567974,3.4798909884716553e-06
mean,E6-F1_A,3,4.199309781677836e-05,0.0020512297286293547,0.0020727870036685065,1.701850675642389e-05,0.9801710531464838,0.0014402739791673175,0.00047581491422848005,0.0013506524980452016,5.022817791289205e-06
mean,E7-F_A,0,5.5133304612085144e-05,0.0009449658324993754,0.0009192956293130587,2.524228268079258e-05,0.9721182309450113,0.0036316658324978233,0.00044262985445427854,0.001180887721947103,3.2468948494617906e-06
mean,E7-F_A,1,6.48916540767201e-05,0.001048294699837807,0.0010466674197870567,3.89264488295799e-05,1.0214118232735472,0.002456880684980744,0.0004724587673953082,0.0013559326440467899,2.5797093023800236e-06
mean,E9-F_A,0,5.169641291230355e-05,0.0032291200861019986,0.0033595722923488672,1.009221022678916e-05,0.99020831997999,0.0023507852083609645,0.0004327769302227969,0.0011501426089228965,2.8509235667369337e-06
mean,E9-F_A,1,5.041403716542875e-05,0.003903918484138397,0.004088251886129696,2.4387706223606967e-05,0.992810988355972,0.0023564059584706477,0.0004314133061894815,0.0011441255562636228,2.8404115630095715e-06
mean,E9-F_A,2,5.9289810139354955e-05,0.0033145628411824315,0.0034964257565888394,5.458939962557278e-06,0.9809308076813842,0.002191937129685556,0.0004265584866698345,0.0011230608226325618,3.4046403967886482e-06
mean,B12-F_A,0,5.8377401306396744e-05,0.0031233385857622306,0.0032543235692791914,-4.665848109851239e-06,0.9869541025728178,0.0021155404573477395,0.00043542027276812406,0.0011922130631831281,1.4466411375594084e-06
mean,B12-F_A,1,6.670297771548224e-05,0.0032810107641487118,0.0034100367282275247,-9.810167880725107e-06,0.990208655455639,0.0021378508970687064,0.00044711021992905383,0.0012349835982878338,1.5409839479252336e-06
mean,B12-F_A,2,5.380309216614513e-05,0.0026281145444409667,0.002690378864076165,-1.1994940649983282e-05,0.9924443354659876,0.002029377000451238,0.00042652739575753927,0.0011256764675616267,1.3166989040827986e-06
mean,B11-F_A,0,5.0572507976073e-05,0.0030913710445332416,0.0032478058409288755,-1.017034187387483e-05,0.9799022637445413,0.0021783237519261995,0.00045741070264469135,0.0012619102918912904,2.1708417775255694e-06
mean,B11-F_A,1,6.821444914970297e-05,0.0023100170657560596,0.0024162999646379748,-2.1680847937514453e-05,0.9857633884397665,0.002063843642734885,0.0004436811989783147,0.00119028422117989,2.5034689505881408e-06
mean,B11-F_A,2,5.93395798209443e-05,0.001957509202299102,0.0019856564748854787,-4.651010488462483e-05,0.9923689954189411,0.002095429958709539,0.0004297819241718314,0.001124176308233303,1.912488542316642e-06
mean,B10-F_A,0,6.0596894494987026e-05,0.0033966351720897503,0.003532879214262392,7.853543072369717e-06,0.9916067348026857,0.002110640116761427,0.00045884025757688887,0.001260852557189982,1.9397502900606284e-06
mean,B10-F_A,1,5.838960016728872e-05,0.0035463102134320485,0.003765460841230391,-2.5249410316095766e-06,0.9686208472297249,0.0021384750663422827,0.00045576178804779716,0.0012488039916696814,1.8970174533944286e-06
mean,B10-F1_A,0,5.564106081292316e-05,0.0033274779267030183,0.00352554002186293,3.873118879859941e-06,0.9879613272168828,0.0020169051930306182,0.0004428486428713733,0.0011831650165350035,2.0236324437749437e-06
mean,B10-F1_A,1,5.1471991940535545e-05,0.0026808523545099132,0.0028279403619289943,1.2443642698313444e-05,0.9934223744943427,0.002008171581496735,0.0004303020233649558,0.001130965403911159,1.8486898648581867e-06
mean,B8-F_B,0,8.297740176893145e-05,0.0052090184013602455,0.005467410881685683,-1.4086994952828656e-05,0.9909400400468139,0.0021517864918997533,0.00044131889995252733,0.0011841482613354289,1.5631793086842872e-06
mean,B8-F_B,1,8.419519227728208e-05,0.0052202861752693374,0.0055280118981635784,-7.0344221066259526e-06,0.9884919840801437,0.00213027630265744,0.00043160079529732683,0.0011377332053646733,1.4844440297937972e-06
mean,B3-F_A,0,8.665034254125679e-05,0.0019868160309219588,0.002014809985978565,-1.1568624788155404e-06,0.9926057242134131,0.0015845147070598078,0.00046526467127517017,0.0013174662628930318,2.1286137014959872e-06
mean,B3-F_A,1,9.298735335512066e-05,0.0020011699272303968,0.002077743517937697,3.5240823727578195e-06,0.9825047210839621,0.001494548577656247,0.0004584793836918835,0.0012542260430631607,2.5002099386065396e-06
mean,B4-F_A,0,7.041354496242336e-05,0.00322775857997858,0.003396646152597139,-8.709265710476893e-06,0.9898226306947226,0.0023312739547613074,0.00046173038731072845,0.001277158911944199,1.8010678722175688e-06
mean,B4-F_A,1,6.672031908115486e-05,0.0023405515557795103,0.0024709286322673013,-1.7527912356273948e-06,0.9896759042495763,0.0020324657292517825,0.0004345746969794016,0.0011619936863221062,1.8175115543674306e-06
mean,AR5-8A,0,7.414370700690416e-05,0.006909849496409239,0.007414926928368824,1.9713935545596852e-05,0.9842415562768984,0.004086925584805874,0.00046996841143436994,0.001317061034527572,7.85055926021791e-07
std,LN1_A,0,2.0199025210029588e-05,0.0008056487244157501,0.0008643698775594622,3.3965508515181235e-05,0.029099098937244855,4.780811567716201e-05,1.4579673000269458e-05,3.711875898751053e-05,1.2956913459441082e-07
std,LN1_A,1,2.1065493104967475e-05,0.0007392198103330675,0.0007800132413525558,2.9877342780961407e-05,0.03212026536198816,5.539737760793753e-05,1.2306334684721378e-05,4.0384976904959486e-05,1.4599194318098612e-07
std,LN1_A,2,2.2702297155018755e-05,0.0007519910065882466,0.0007881484608677597,2.562764631549901e-05,0.021294184343078507,5.087255732960686e-05,8.095265100067664e-06,4.0716746380483854e-05,1.46915129296926e-07
std,LN1_A,3,2.4068304408092074e-05,0.0007793271843623699,0.0008541202861865417,3.1560729492202704e-05,0.027433348307561646,5.212301540546729e-05,1.1176224740248934e-05,3.583598427772154e-05,2.4100814511521973e-07
std,LN1_A,4,2.046281369662254e-05,0.0009269799734644482,0.0009892781948453455,2.525773629023075e-05,0.024124603263748084,5.4638722925105386e-05,8.714179147190145e-06,4.0430856735238394e-05,1.28569162827401e-07
