C:\ICPMH\1\DATA\12G13l01.B\414_3.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  03:33:51 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
0.246,150.00,0.00,100.00,133.33,17508.74,2250.15,0.00,0.00
0.482,50.00,0.00,600.01,366.67,17558.79,3100.28,0.00,0.00
0.718,250.00,0.00,600.01,600.01,19260.58,2250.15,0.00,0.00
0.954,150.00,0.00,900.02,700.01,18109.35,1900.10,0.00,0.00
1.190,0.00,100.00,300.00,366.67,17458.69,2550.19,0.00,0.00
1.426,400.00,0.00,300.00,400.00,19010.31,2400.17,0.00,0.00
1.662,0.00,0.00,100.00,433.34,14806.25,2200.14,0.00,0.00
1.898,100.00,0.00,0.00,200.00,15656.99,1950.11,0.00,0.00
2.134,100.00,0.00,100.00,433.34,17508.74,2550.19,0.00,0.00
2.370,100.00,0.00,200.00,500.01,18910.19,3150.29,0.00,0.00
2.606,150.00,33.33,200.00,133.33,18509.77,2000.11,0.00,0.00
2.842,250.00,0.00,100.00,266.67,18459.71,3150.29,0.00,16.67
3.078,200.00,133.33,600.01,366.67,19761.13,2750.22,0.00,0.00
3.314,100.00,0.00,300.00,300.00,17258.49,2550.19,0.00,0.00
3.550,50.00,0.00,700.01,300.00,19661.02,2350.16,0.00,0.00
3.786,100.00,33.33,500.01,333.34,16958.20,1400.06,0.00,0.00
4.022,250.00,0.00,500.01,100.00,17458.69,2850.23,0.00,0.00
4.258,200.00,0.00,900.02,133.33,16157.44,2650.20,0.00,0.00
4.494,0.00,66.67,300.00,666.68,18609.88,2100.13,0.00,33.33
4.730,100.00,66.67,700.01,166.67,16557.82,3000.26,0.00,0.00
4.966,250.00,66.67,300.00,400.00,17408.64,2500.18,0.00,0.00
5.202,400.00,0.00,300.00,366.67,15106.51,2100.13,0.00,0.00
5.438,150.00,0.00,100.00,400.00,18009.25,2850.23,0.00,0.00
5.674,50.00,133.33,400.00,266.67,18059.30,2500.18,0.00,0.00
5.910,0.00,0.00,900.02,266.67,16457.72,2600.19,0.00,0.00
6.146,150.00,0.00,400.00,166.67,18860.14,2700.21,0.00,0.00
6.382,50.00,0.00,200.00,300.00,18659.93,2550.19,0.00,0.00
6.618,400.00,66.67,900.02,500.01,17258.49,2050.12,0.00,0.00
6.854,100.00,0.00,200.00,433.34,17308.54,2550.19,0.00,0.00
7.090,50.00,0.00,200.00,466.67,17408.64,3950.45,1166.71,333.34
7.326,26269.35,7101.42,218332.94,7534.95,168909.95,86062.64,30560.90,5934.41
7.563,183894.19,30559.54,192234.06,33331.64,639196.16,187455.91,104823.60,3533.72
7.799,273838.46,34366.48,271152.84,61674.90,1073655.69,174774.72,194612.46,3800.44
8.035,311855.70,48532.74,121816.05,86914.79,1434265.85,122278.80,230897.63,1183.38
8.271,366634.04,47997.95,60001.12,101727.45,1692714.10,103557.72,289928.85,1066.70
8.507,393906.94,45959.25,27020.53,116451.92,1758798.09,78928.89,288572.60,916.69
