statistic,sample,rep,Mg24,Mg25,Al27,Ca44,Mn55,Sr88,Ba138
mean,412_1,0,0.006585645412818196,0.006606207851937577,1.5669520439134817e-05,0.9946240096477875,2.806360130412523e-05,0.0014535827473767665,1.3882383053122719e-06
mean,412_1,1,0.006747941024289108,0.006941096498920356,3.925887788187745e-05,0.9740904541433053,8.340046215105802e-05,0.001420985222029613,1.4538741688655523e-06
mean,412_1,2,0.005547263592474886,0.0057564630574619925,3.2701152602351915e-05,0.9927152735007069,4.852593869151431e-05,0.0014105131392242534,1.4648968028988464e-06
mean,412_1,3,0.006837617788831033,0.006886383707935561,2.9207168839174145e-05,0.9796232712278755,3.884024827199624e-05,0.0014386892014039603,1.44650898119436e-06
mean,412_2,0,0.006326353576955575,0.006415075018721765,7.177905905279118e-07,0.9927581110636984,3.4870126808935914e-05,0.0014402034323480538,1.1977360407840174e-06
mean,412_2,1,0.006113421079137815,0.006213336187281259,2.7955830586764544e-05,0.9975129787511927,3.1730798724956064e-05,0.0014490755922297095,1.5273987615643412e-06
mean,412_2,2,0.006255184732816327,0.006332118356235639,6.829214936172426e-06,1.0094618360412289,3.323899629883875e-05,0.0014873663507961868,1.4821045778409501e-06
mean,412_3,0,0.009275229417052234,0.009421750101346538,3.12756658794813e-05,0.9935013539507197,4.759293845035444e-05,0.0014493243991036621,2.0189830803837746e-06
mean,412_3,1,0.008526465586640967,0.008678102904713075,6.39558778474192e-05,0.9888201905229196,5.908798766480301e-05,0.0013247069209897325,1.5777596550024956e-06
mean,412_4,0,0.004999013267454467,0.005079666658809356,7.445397438698253e-06,1.0008469885983813,5.566582759733355e-05,0.001374564068017543,1.6447186261303316e-06
mean,412_4,1,0.005461327818036479,0.00556555265585781,3.910023433951664e-06,0.9994300452577545,5.8657606033154464e-05,0.0013924947258941408,1.7640766256775228e-06
mean,412_4,2,0.005245034237494825,0.005361696923333733,2.044173890415274e-05,0.9866424228975792,4.804556607909324e-05,0.0013848522932742803,1.590273846860544e-06
mean,412_5,0,0.009451847324132331,0.009648612994530043,9.945287487552214e-06,0.9973754827063279,1.990494405531273e-05,0.001443787778542467,1.0882522339901932e-06
mean,412_5,1,0.009485519519736335,0.00962320489519959,2.2582401812307692e-05,0.99076393805181,3.703818108577323e-05,0.0014198691485488662,1.2409289990017621e-06
mean,412_5,2,0.008994926482271254,0.0090353651327725,8.321918304814435e-08,0.9973966634252268,2.021865040542418e-05,0.0014359019372117798,1.031432798884647e-06
mean,412_6,0,0.005057794050730845,0.005144018421219025,4.480077242751471e-05,0.9930870730927729,4.711438246507458e-05,0.0013264232228959972,9.175028984088067e-07
mean,412_6,1,0.006347022186398771,0.00650765468061814,4.476182251720202e-05,0.9943615366232652,3.8741774342762776e-05,0.001297852993134977,8.856268804588333e-07
mean,412_6,2,0.0071587223237054125,0.007359428212820609,7.974629631405582e-06,0.9881705782178466,6.028187413415726e-05,0.0014065043141951344,1.0824571456277267e-06
mean,412_7,0,0.006989591550280252,0.007060783463629126,5.173899870879373e-05,0.9974865097326137,6.7680377583445e-05,0.0014103934048297327,1.3077576110540624e-06
mean,412_7,1,0.006608484899961043,0.006679944912073078,8.408110821729828e-05,1.0036846595366566,6.227903276249486e-05,0.0014194267469070292,1.6098341861756591e-06
mean,412_7,2,0.00667050321872509,0.006717989730740674,3.0706356720476394e-05,1.0083510007113667,3.981249218159167e-05,0.0014037046533671455,1.171374653460234e-06
mean,412_8,0,0.004888871293932588,0.004947815679981984,2.5944076193254774e-05,0.9852785483836256,4.9282943665804834e-05,0.0012775390396310956,1.5739683067968546e-06
mean,412_8,1,0.004161826724047768,0.004216506487146626,,0.9915327728861495,,0.0013185057883951165,
mean,412_8,2,0.004754480347008812,0.004868465917371013,6.714474169681938e-06,0.99981954445947,4.9353407913601145e-05,0.0012929318965668535,1.5470954252320085e-06
mean,412_9,0,0.00248734492253468,0.002501466951518633,1.81853002900468e-05,0.997100334394334,5.1130585651658124e-05,0.0015046877612149494,1.1736178728385644e-06
mean,412_9,1,0.0023374021714529184,0.0023829645086019735,3.0293589436515296e-05,0.9903949730201802,8.768159722201078e-05,0.0014846634419495616,1.9069223927667675e-06
