NCC:01/28/2015 07:00:59 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.649266862170088;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.985337243402;Extraction Lens 1 Positive Readback=2.62463343108504;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.6975349438822;Exhaust Flow Readback=0.524517106549365;Quad Board Temperature Readback=30.2629521016618;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=23.1272301776909;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0362263440860215;Nebulizer Flow Readback=0.624633431085044;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,340.004624062887,1350.07290393681,228.573518386454,18113.1138944596,15897.6029266599,1095488.61192877,3750.56258438766,900.032401166442,2000.16001280102,200.0016000128,
0.47744,500.010000200004,1850.13691013135,128.572089799319,19648.7641627892,16873.8814330266,1123811.54073364,4150.68901437639,700.019600548815,1900.14441097523,20.0000160000128,
0.90196,460.00846415574,2125.18064035443,200.0016000128,17044.9466236329,15872.5711463924,1110060.51963894,3950.62419862338,750.02250067502,1950.15211186473,80.0002560008192,
1.32661,520.010816224977,1800.12960933187,257.145502068021,17178.4625442804,15759.9287551157,1109515.14282253,3900.60849492521,900.032401166442,1800.12960933187,80.0002560008192,
1.75114,380.005776087797,1275.06502831644,171.429746946836,19448.4512627816,15935.1506909902,1127014.91539027,4050.65620630542,850.028900982633,1900.14441097523,40.0000640001024,
2.17591,500.010000200004,1525.09303067487,242.859502063734,17512.2585810067,17061.6360357764,1120572.56295058,3550.50417159237,700.019600548815,2600.27042812453,100.0004000016,
2.60051,560.012544280992,1700.11560786133,214.287551036152,19014.4509827469,18038.0054018948,1135573.2332701,3700.5476810568,450.008100145803,2600.27042812453,120.000576002765,
3.02533,360.005184074651,1250.06250312516,214.287551036152,17278.6004200234,17524.776105662,1144210.06837931,4250.72262284588,1000.04000160006,2050.16811378533,120.000576002765,
3.45011,460.00846415574,1750.1225085756,185.715665316371,17512.2585810067,18501.1816238108,1160077.35011671,4150.68901437639,750.02250067502,1950.15211186473,60.0001440003456,
3.87469,400.006400102402,1675.11223251958,314.289665355793,18580.4657592372,17712.5404786589,1173625.36119603,4100.67251029169,600.014400345608,2050.16811378533,100.0004000016,
4.29941,460.00846415574,1275.06502831644,214.287551036152,16978.1891977355,18526.2186649214,1141148.25865098,4450.7922410189,950.036101371852,1950.15211186473,120.000576002765,
4.72405,580.013456312186,1675.11223251958,257.145502068021,18313.4054127621,18388.5155589358,1141804.30036166,4350.75703172352,700.019600548815,2450.24012353211,200.0016000128,
5.14864,520.010816224977,1400.07840439065,314.289665355793,18012.9693379233,17474.7060821984,1155734.73202578,4400.77453631839,900.032401166442,1450.08410487808,40.0000640001024,
5.57319,380.005776087797,1450.08410487808,200.0016000128,17812.6826300326,17274.4279925288,1150189.95497983,3400.46246289495,500.010000200004,2800.31363512713,80.0002560008192,
5.99798,380.005776087797,1800.12960933187,200.0016000128,15242.6211704999,20253.8955284303,1168072.9970608,4100.67251029169,500.010000200004,1850.13691013135,20.0000160000128,
6.42262,560.012544280992,1600.10240655402,328.575746995532,18380.1699648675,17912.8255831175,1163435.65678596,3350.44896016066,650.016900439411,2050.16811378533,80.0002560008192,
6.84743,520.010816224977,1425.08122963009,242.859502063734,17745.921106705,18451.1076919228,1198310.73292394,4550.82825074164,1050.04410185228,2350.22092076655,180.001296009331,
7.27223,520.010816224977,1125.05062727823,200.0016000128,16577.6521241409,18275.8505087967,1176840.96487138,3800.57768780855,700.019600548815,1800.12960933187,60.0001440003456,
7.69686,500.010000200004,1050.04410185228,214.287551036152,17378.7390974263,17512.2585810067,1157449.71143102,3950.62419862338,900.032401166442,2200.1936170383,120.000576002765,
8.12155,500.010000200004,1825.13323472614,285.717551057726,16844.6754147793,17762.6114541324,1112533.18032549,3900.60849492521,500.010000200004,2150.18491590277,100.0004000016,
8.5462,440.007744136297,1800.12960933187,257.145502068021,16844.6754147793,17612.3991289868,1148293.59722424,5251.10273157363,750.02250067502,1850.13691013135,100.0004000016,
8.97102,400.006400102402,1300.06760351538,271.431518399343,17044.9466236329,17286.9452791879,1111878.60692083,4150.68901437639,850.028900982633,2450.24012353211,80.0002560008192,
9.39562,440.007744136297,1350.07290393681,185.715665316371,17812.6826300326,17850.2361434884,1175561.93696366,4650.86506090133,750.02250067502,1700.11560786133,100.0004000016,
9.82036,700.019600548815,1300.06760351538,200.0016000128,17579.0188572504,19001.9319673292,1193955.41299835,3900.60849492521,750.02250067502,2350.22092076655,100.0004000016,
10.24499,500.010000200004,1250.06250312516,271.431518399343,18280.0232703362,19465.1438819401,1159274.40451028,4500.81014582625,900.032401166442,2100.17641481884,120.000576002765,
10.66954,520.010816224977,1850.13691013135,342.861844962445,15643.1154948895,18839.185906988,1137176.26493478,5001.00020004001,500.010000200004,1750.1225085756,100.0004000016,
11.09407,380.005776087797,1550.09610595857,271.431518399343,17011.567866149,18488.6631220472,1168693.86815165,3600.51847466035,700.019600548815,3000.36004320518,80.0002560008192,
11.5186,320.004096052429,1700.11560786133,257.145502068021,17712.5404786589,18688.9606536082,1154603.6984702,4600.84655576626,600.014400345608,2600.27042812453,80.0002560008192,
11.94339,320.004096052429,1325.07022872212,71.4287755107872,17545.6386745904,18038.0054018948,1142460.37500139,3450.47616571087,550.012100266206,2350.22092076655,160.001024006554,
12.368,300.003600043201,1575.09923125157,285.717551057726,18012.9693379233,20291.456371117,1160442.34168747,4100.67251029169,950.036101371852,2250.20251822664,80.0002560008192,
12.79272,340.004624062887,1125.05062727823,185.715665316371,19081.2192765683,18113.1138944596,1133205.47807738,5101.04061228491,800.025600819226,1850.13691013135,40.0000640001024,
13.21724,460.00846415574,1450.08410487808,185.715665316371,17846.0635253147,19152.1609792296,1175963.90369479,4050.65620630542,600.014400345608,1650.10890718787,20.0000160000128,
13.64188,560.012544280992,1625.10563186607,171.429746946836,17445.4986610663,18526.2186649214,1175269.60527693,4750.90267150759,750.02250067502,2150.18491590277,160.001024006554,
14.06668,480.009216176951,1575.09923125157,228.573518386454,16644.4074123984,18588.8114869348,1124757.9105767,4550.82825074164,650.016900439411,1850.13691013135,140.00078400439,
14.49131,560.012544280992,1525.09303067487,157.143844904168,18079.7322865324,18964.3749962472,1145923.53676954,2800.31363512713,800.025600819226,1950.15211186473,60.0001440003456,
14.91604,580.013456312186,1425.08122963009,285.717551057726,16911.4321281186,18513.7001381022,1160259.84462898,3150.3969500157,650.016900439411,2050.16811378533,20.0000160000128,
15.34057,480.009216176951,1200.05760276493,228.573518386454,18547.0829041263,18025.4873636455,1122392.11452057,3700.5476810568,950.036101371852,1700.11560786133,140.00078400439,
15.76509,440.007744136297,1650.10890718787,200.0016000128,17745.921106705,18350.960429475,1160478.84140471,3750.56258438766,600.014400345608,1900.14441097523,100.0004000016,
16.18972,480.009216176951,1725.11903321329,185.715665316371,16510.8971921468,19089.5653383532,1154056.45928476,4850.94108257002,750.02250067502,2050.16811378533,120.000576002765,
