1308H1-2a:01/28/2015 04:46:01 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.4868035190616;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-160.312805474096;CCT Bias Readback=-2.97653958944282;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.18443597427409E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.1853246450069;Exhaust Flow Readback=0.521496578690127;Quad Board Temperature Readback=30.1818181818182;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=22.044647034427;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-545.576735092864;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0362263440860215;Nebulizer Flow Readback=0.621700879765396;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,460.00846415574,1375.0756291596,214.287551036152,21284.7729134917,18138.1501588652,1127633.83967526,3850.59299132066,250.002500025,2600.27042812453,40.0000640001024,
0.47745,540.011664251948,2150.18491590277,257.145502068021,20149.5604460125,19227.2761617303,1167123.48649358,3700.5476810568,250.002500025,2850.32493704282,160.001024006554,
0.90218,480.009216176951,1375.0756291596,185.715665316371,22119.5536854579,19853.2535566972,1155552.30064238,4050.65620630542,800.025600819226,2000.16001280102,80.0002560008192,
1.32684,480.009216176951,1225.06002794137,257.145502068021,21652.069590886,19590.3392356215,1171652.5409534,4600.84655576626,200.0016000128,1900.14441097523,60.0001440003456,
1.75135,540.011664251948,1825.13323472614,214.287551036152,21518.505915087,19615.3784567101,1189711.2846228,3100.38444767151,600.014400345608,2100.17641481884,100.0004000016,
2.17613,480.009216176951,1400.07840439065,228.573518386454,21318.1630749398,20892.4451917351,1183786.44084838,3150.3969500157,150.0009000054,2250.20251822664,100.0004000016,
2.60076,460.00846415574,1325.07022872212,100.0004000016,21652.069590886,19239.7954026647,1175379.22889427,3600.51847466035,150.0009000054,2600.27042812453,60.0001440003456,
3.02547,640.016384419441,1400.07840439065,128.572089799319,21885.8094546697,20003.4927924876,1144392.34157544,5101.04061228491,850.028900982633,1950.15211186473,40.0000640001024,
3.45007,640.016384419441,1050.04410185228,185.715665316371,22119.5536854579,19440.1049615551,1126978.50899256,3750.56258438766,450.008100145803,1900.14441097523,140.00078400439,
3.87463,440.007744136297,1750.1225085756,214.287551036152,22854.2068422493,20817.3200102485,1168255.60314689,3600.51847466035,250.002500025,2700.2916314962,20.0000160000128,
4.2994,500.010000200004,1275.06502831644,200.0016000128,21318.1630749398,21330.6844084582,1176840.96487138,4400.77453631839,350.004900068601,2250.20251822664,20.0000160000128,
4.72403,580.013456312186,1700.11560786133,257.145502068021,21718.8519635043,19540.2609437971,1184517.75799082,3500.49006860961,350.004900068601,2200.1936170383,20.0000160000128,
5.14882,500.010000200004,1100.04840212969,200.0016000128,22754.0243261206,20166.2540007246,1175890.81791632,5051.02030610183,400.006400102402,2550.26012653291,100.0004000016,
5.57362,640.016384419441,1625.10563186607,300.0036000432,21485.1152189347,20241.3752725955,1186236.5140882,4500.81014582625,300.003600043201,1550.09610595857,20.0000160000128,
5.99826,460.00846415574,1525.09303067487,228.573518386454,19882.4666001249,19552.7804979592,1160077.35011671,3650.53297781476,600.014400345608,2550.26012653291,20.0000160000128,
6.423,600.014400345608,1525.09303067487,214.287551036152,19214.7569333248,18926.8181379213,1153472.76272733,3850.59299132066,200.0016000128,1850.13691013135,40.0000640001024,
6.84764,540.011664251948,1300.06760351538,300.0036000432,21585.2875747478,20554.3854276288,1198896.43261853,4050.65620630542,550.012100266206,1850.13691013135,120.000576002765,
7.27242,460.00846415574,1025.0420267231,271.431518399343,21952.5930749911,19415.0660912868,1169205.19587825,3050.37214540174,250.002500025,1850.13691013135,40.0000640001024,
7.69703,500.010000200004,1200.05760276493,228.573518386454,21351.5533255044,19590.3392356215,1178375.96336424,3100.38444767151,700.019600548815,1950.15211186473,100.0004000016,
8.12183,440.007744136297,1975.15603732695,271.431518399343,21785.6346926057,19327.4304400149,1148257.13150133,3450.47616571087,450.008100145803,2100.17641481884,80.0002560008192,
8.54665,400.006400102402,1425.08122963009,185.715665316371,20550.2119073799,20692.1123769357,1180751.91119489,3650.53297781476,250.002500025,2200.1936170383,20.0000160000128,
8.97127,420.007056118543,1275.06502831644,200.0016000128,22052.7691738986,20479.262276173,1177571.89408345,4050.65620630542,300.003600043201,2000.16001280102,60.0001440003456,
