1308H1-26d:01/28/2015 07:47:25 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.649266862170088;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.7565982404692;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.6256109481916;CCT Focus Lens Readback=3.18181818181818;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.18443597427409E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=36.3326104165916;Exhaust Flow Readback=0.519482893450635;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2329.41176470588;Peltier Temperature Hot Side Readback=24.1929778866051;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0362263440860215;Nebulizer Flow Readback=0.621700879765396;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,460.00846415574,1400.07840439065,228.573518386454,16577.6521241409,16398.2490522538,1130219.07575673,3350.44896016066,850.028900982633,2000.16001280102,0,
0.47755,440.007744136297,1300.06760351538,200.0016000128,16777.9190577147,17462.1886076481,1112569.54647689,4100.67251029169,800.025600819226,1750.1225085756,100.0004000016,
0.90237,520.010816224977,1200.05760276493,200.0016000128,16477.5198597476,18613.8487034354,1161208.85713887,4450.7922410189,500.010000200004,1800.12960933187,140.00078400439,
1.32719,380.005776087797,1550.09610595857,257.145502068021,17679.1599396907,18451.1076919228,1138925.25103824,4350.75703172352,1150.05290243351,2100.17641481884,80.0002560008192,
1.75182,560.012544280992,1450.08410487808,242.859502063734,16577.6521241409,18501.1816238108,1155588.78671547,4400.77453631839,600.014400345608,2300.21161946899,20.0000160000128,
2.17654,400.006400102402,1800.12960933187,157.143844904168,17278.6004200234,18701.4793558185,1147965.40937952,4400.77453631839,800.025600819226,2250.20251822664,140.00078400439,
2.60108,300.003600043201,1350.07290393681,200.0016000128,15743.2410797195,19502.7023564869,1156975.33292598,3250.42255493214,800.025600819226,2350.22092076655,100.0004000016,
3.0256,660.017424460006,1150.05290243351,228.573518386454,16744.5410127846,17950.3793972175,1131020.23864938,3850.59299132066,1000.04000160006,2250.20251822664,160.001024006554,
3.45025,460.00846415574,1600.10240655402,271.431518399343,18480.3174611646,17737.5759413424,1152925.57086606,3750.56258438766,800.025600819226,2300.21161946899,60.0001440003456,
3.875,440.007744136297,1600.10240655402,185.715665316371,16143.7514342589,18325.9237391389,1145012.08945359,3450.47616571087,700.019600548815,2150.18491590277,0,
4.29958,260.002704028122,1275.06502831644,185.715665316371,15242.6211704999,18350.960429475,1140273.58758874,4500.81014582625,800.025600819226,2000.16001280102,60.0001440003456,
4.7243,460.00846415574,1400.07840439065,300.0036000432,16611.0297237366,18238.2957175781,1113878.79539114,3850.59299132066,800.025600819226,2150.18491590277,140.00078400439,
5.14893,480.009216176951,1250.06250312516,214.287551036152,16444.1426164132,18601.3300889211,1134225.38155969,4000.64010241639,750.02250067502,1900.14441097523,20.0000160000128,
5.57374,460.00846415574,1575.09923125157,157.143844904168,17412.118834709,19214.7569333248,1166575.72327904,4350.75703172352,700.019600548815,2150.18491590277,140.00078400439,
5.99834,440.007744136297,1725.11903321329,200.0016000128,18513.7001381022,18388.5155589358,1131493.67617853,3700.5476810568,650.016900439411,2850.32493704282,80.0002560008192,
6.42313,400.006400102402,1225.06002794137,185.715665316371,16611.0297237366,17750.0936914741,1136921.22401642,4300.73972723308,500.010000200004,2600.27042812453,160.001024006554,
6.84796,420.007056118543,1600.10240655402,114.286236737082,18079.7322865324,18463.6261561032,1132185.65419662,4400.77453631839,650.016900439411,2300.21161946899,160.001024006554,
7.27259,520.010816224977,975.038026483033,271.431518399343,17211.841747122,16223.0206288778,1145631.86671445,3900.60849492521,600.014400345608,1900.14441097523,140.00078400439,
7.69732,440.007744136297,1175.0552275957,242.859502063734,17111.7044058136,17061.6360357764,1137139.83021314,3950.62419862338,900.032401166442,2200.1936170383,120.000576002765,
8.12193,540.011664251948,1575.09923125157,214.287551036152,18280.0232703362,18764.0730547911,1129891.34145985,3850.59299132066,750.02250067502,1900.14441097523,100.0004000016,
8.54647,460.00846415574,1500.09000540032,200.0016000128,19314.911111378,18000.4513247281,1126905.6965015,4000.64010241639,750.02250067502,2050.16811378533,60.0001440003456,
8.97125,420.007056118543,1700.11560786133,128.572089799319,16444.1426164132,18538.7372042684,1142314.57779116,3450.47616571087,750.02250067502,1850.13691013135,100.0004000016,
9.39584,400.006400102402,1225.06002794137,342.861844962445,18046.3507676871,17725.0582037374,1156975.33292598,4000.64010241639,950.036101371852,2200.1936170383,40.0000640001024,
9.82063,460.00846415574,1575.09923125157,285.717551057726,18513.7001381022,18789.1106220772,1156829.37377063,4200.70571856072,750.02250067502,1750.1225085756,140.00078400439,
10.24546,560.012544280992,1400.07840439065,300.0036000432,17812.6826300326,18350.960429475,1141913.64384815,3250.42255493214,700.019600548815,1800.12960933187,80.0002560008192,
10.67007,400.006400102402,1850.13691013135,271.431518399343,16611.0297237366,18200.7410391059,1152196.01733437,4600.84655576626,500.010000200004,2250.20251822664,80.0002560008192,
11.09478,380.005776087797,1400.07840439065,142.857959188338,17545.6386745904,18538.7372042684,1146215.2133322,4350.75703172352,800.025600819226,2550.26012653291,100.0004000016,
11.51939,560.012544280992,1250.06250312516,285.717551057726,17211.841747122,17224.3589711516,1121482.30704932,3850.59299132066,900.032401166442,2250.20251822664,100.0004000016,
11.94418,380.005776087797,1425.08122963009,285.717551057726,17712.5404786589,18263.3322325297,1148184.20036064,3700.5476810568,500.010000200004,2600.27042812453,60.0001440003456,
12.36878,520.010816224977,1425.08122963009,342.861844962445,18713.9980705568,17925.3435086239,1161427.86980399,3650.53297781476,450.008100145803,2650.28092977856,80.0002560008192,
12.79352,500.010000200004,1200.05760276493,214.287551036152,16978.1891977355,18325.9237391389,1143590.35852274,3900.60849492521,500.010000200004,2400.23042212052,120.000576002765,
13.21807,660.017424460006,1875.14063554767,171.429746946836,17412.118834709,18939.3370781682,1147163.20710645,3550.50417159237,950.036101371852,3000.36004320518,240.002304022119,
13.64272,600.014400345608,1525.09303067487,228.573518386454,18146.495591469,18113.1138944596,1152378.40190138,4150.68901437639,400.006400102402,1850.13691013135,80.0002560008192,
14.0675,420.007056118543,1375.0756291596,200.0016000128,15576.3655502826,17925.3435086239,1129235.8975288,4400.77453631839,700.019600548815,2200.1936170383,60.0001440003456,
14.49213,560.012544280992,1775.12603394841,228.573518386454,16644.4074123984,18964.3749962472,1151065.28979565,3250.42255493214,650.016900439411,2150.18491590277,60.0001440003456,
14.91691,360.005184074651,1375.0756291596,314.289665355793,17111.7044058136,17649.952041165,1143845.52961157,3800.57768780855,700.019600548815,2300.21161946899,60.0001440003456,
15.34171,540.011664251948,1300.06760351538,300.0036000432,16344.0114207949,17236.8762077071,1118389.43563384,4400.77453631839,600.014400345608,2200.1936170383,80.0002560008192,
15.76634,680.018496503105,1350.07290393681,257.145502068021,18079.7322865324,18688.9606536082,1137686.36170376,4200.70571856072,600.014400345608,2100.17641481884,80.0002560008192,
16.19107,480.009216176951,1500.09000540032,157.143844904168,17011.567866149,18989.41296444,1165151.64624157,3950.62419862338,850.028900982633,2600.27042812453,100.0004000016,
16.61569,620.015376381334,1300.06760351538,157.143844904168,15609.7404780583,18476.1446328113,1132477.0243262,4350.75703172352,950.036101371852,1850.13691013135,140.00078400439,
17.04047,360.005184074651,1350.07290393681,357.147959256561,17512.2585810067,18038.0054018948,1119080.71980007,3750.56258438766,1000.04000160006,2450.24012353211,60.0001440003456,
17.46509,580.013456312186,1600.10240655402,200.0016000128,17245.2210390362,18075.5595918051,1174575.34368962,4750.90267150759,800.025600819226,2200.1936170383,60.0001440003456,
17.88989,500.010000200004,1425.08122963009,171.429746946836,17579.0188572504,18088.0776801628,1151940.68321422,4150.68901437639,850.028900982633,1900.14441097523,140.00078400439,
18.31471,420.007056118543,1500.09000540032,200.0016000128,17178.4625442804,17599.881516647,1153947.01419567,3500.49006860961,700.019600548815,1650.10890718787,100.0004000016,
18.73934,340.004624062887,1725.11903321329,100.0004000016,17345.3594492181,18463.6261561032,1152232.49404427,4000.64010241639,700.019600548815,1850.13691013135,140.00078400439,
19.16415,560.012544280992,1575.09923125157,157.143844904168,16878.0537269144,18150.6683098588,1127597.43155266,4050.65620630542,750.02250067502,1900.14441097523,60.0001440003456,
19.58895,400.006400102402,1800.12960933187,200.0016000128,17245.2210390362,18764.0730547911,1140237.14423137,3750.56258438766,1000.04000160006,2350.22092076655,60.0001440003456,
20.01356,640.016384419441,1575.09923125157,271.431518399343,16143.7514342589,17261.9107183957,1143080.03128804,3650.53297781476,800.025600819226,1500.09000540032,120.000576002765,
20.43827,440.007744136297,1750.1225085756,214.287551036152,17111.7044058136,18138.1501588652,1154457.7657816,4600.84655576626,650.016900439411,2350.22092076655,60.0001440003456,
