1308H1-27b:01/28/2015 07:50:12 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.985337243402;Extraction Lens 1 Positive Readback=2.62463343108504;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.11339198435973;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=34.5397429897907;Exhaust Flow Readback=0.534585532746823;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=21.7321852825217;Spray Chamber Temperature Readback=19.9783669914792;
Power Supply:Supply Voltage 500 V Readback=-546.798631476051;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.890029325513196;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05286,600.014400345608,1125.05062727823,214.287551036152,16143.7514342589,18012.9693379233,1134917.50426173,3150.3969500157,500.010000200004,2600.27042812453,100.0004000016,
0.47754,560.012544280992,1550.09610595857,185.715665316371,17011.567866149,18188.2228380032,1125777.15478443,4850.94108257002,700.019600548815,1450.08410487808,40.0000640001024,
0.90215,460.00846415574,1325.07022872212,242.859502063734,17579.0188572504,17499.7410688777,1110060.51963894,3900.60849492521,700.019600548815,2300.21161946899,40.0000640001024,
1.3269,320.004096052429,1400.07840439065,271.431518399343,17745.921106705,18438.5892402701,1135099.64790794,4050.65620630542,1100.04840212969,1900.14441097523,80.0002560008192,
1.75153,620.015376381334,1450.08410487808,285.717551057726,17278.6004200234,18488.6631220472,1145303.7456808,4550.82825074164,1000.04000160006,2250.20251822664,120.000576002765,
2.17631,420.007056118543,1500.09000540032,285.717551057726,15709.8657957197,18225.7774788934,1137795.67074463,3900.60849492521,950.036101371852,1900.14441097523,120.000576002765,
2.60091,480.009216176951,1675.11223251958,157.143844904168,18446.9348733133,16836.3308506625,1102972.39767287,4350.75703172352,650.016900439411,2150.18491590277,220.001936017037,
3.02563,460.00846415574,1250.06250312516,128.572089799319,16611.0297237366,18150.6683098588,1143189.38544682,4100.67251029169,750.02250067502,2450.24012353211,80.0002560008192,
3.45029,520.010816224977,1625.10563186607,257.145502068021,16310.634533716,19465.1438819401,1163654.70673683,4050.65620630542,750.02250067502,2200.1936170383,120.000576002765,
3.8751,420.007056118543,1250.06250312516,285.717551057726,19648.7641627892,17662.4697036108,1133569.72018264,3800.57768780855,850.028900982633,2050.16811378533,140.00078400439,
4.2997,480.009216176951,1775.12603394841,228.573518386454,17211.841747122,17149.2558148611,1147892.47986612,4700.88376614804,700.019600548815,1950.15211186473,100.0004000016,
4.72444,460.00846415574,1425.08122963009,228.573518386454,15809.9919148902,17837.718293143,1125922.76759215,3850.59299132066,800.025600819226,2450.24012353211,80.0002560008192,
5.1491,520.010816224977,1825.13323472614,300.0036000432,16544.2746136111,17086.6701957437,1133460.44648495,4500.81014582625,1050.04410185228,2800.31363512713,120.000576002765,
5.57388,540.011664251948,1650.10890718787,314.289665355793,17011.567866149,17712.5404786589,1117807.32998004,3550.50417159237,700.019600548815,1850.13691013135,180.001296009331,
5.99851,620.015376381334,1550.09610595857,214.287551036152,17145.083430511,17487.2235692749,1119662.88221773,3450.47616571087,650.016900439411,2000.16001280102,60.0001440003456,
6.42321,580.013456312186,1575.09923125157,228.573518386454,18046.3507676871,18688.9606536082,1133897.54675877,3350.44896016066,1200.05760276493,2400.23042212052,80.0002560008192,
6.84776,260.002704028122,1875.14063554767,171.429746946836,17946.2067456389,18526.2186649214,1157851.12206718,3250.42255493214,550.012100266206,2200.1936170383,140.00078400439,
7.27231,500.010000200004,1625.10563186607,328.575746995532,16844.6754147793,17962.8973603047,1144683.98397575,4350.75703172352,1000.04000160006,2500.2500250025,120.000576002765,
7.69695,480.009216176951,1775.12603394841,257.145502068021,18413.5523745477,18513.7001381022,1149095.86886124,4000.64010241639,700.019600548815,1800.12960933187,80.0002560008192,
8.12174,720.020736597214,1350.07290393681,285.717551057726,15576.3655502826,18526.2186649214,1129308.72300842,4050.65620630542,1000.04000160006,2700.2916314962,200.0016000128,
8.54634,460.00846415574,1875.14063554767,242.859502063734,17111.7044058136,17537.2936428436,1126213.99807711,4150.68901437639,1150.05290243351,2250.20251822664,140.00078400439,
8.97109,520.010816224977,1350.07290393681,171.429746946836,17345.3594492181,18451.1076919228,1157632.16928382,3750.56258438766,600.014400345608,2400.23042212052,140.00078400439,
9.3957,580.013456312186,1300.06760351538,214.287551036152,17745.921106705,18964.3749962472,1146652.74037838,4700.88376614804,1000.04000160006,2700.2916314962,100.0004000016,
9.82048,480.009216176951,1300.06760351538,385.720236826511,17311.9798900839,19039.4890511679,1143590.35852274,3800.57768780855,700.019600548815,2300.21161946899,100.0004000016,
10.24507,480.009216176951,1325.07022872212,271.431518399343,17712.5404786589,19114.6035571176,1161792.89906152,2600.27042812453,900.032401166442,1900.14441097523,80.0002560008192,
10.66976,520.010816224977,2025.1640382871,271.431518399343,18079.7322865324,18563.7743205458,1160113.84881547,4050.65620630542,1250.06250312516,2300.21161946899,100.0004000016,
11.09443,440.007744136297,1300.06760351538,271.431518399343,18113.1138944596,18801.6294245125,1130947.40362907,3500.49006860961,900.032401166442,2450.24012353211,60.0001440003456,
11.51919,460.00846415574,1150.05290243351,242.859502063734,18647.2317367211,17549.8111925516,1136119.69924644,2800.31363512713,900.032401166442,2300.21161946899,80.0002560008192,
11.94382,360.005184074651,1725.11903321329,214.287551036152,17278.6004200234,16798.7803810259,1135718.95529607,4150.68901437639,950.036101371852,1500.09000540032,140.00078400439,
12.36855,500.010000200004,1725.11903321329,242.859502063734,16477.5198597476,19415.0660912868,1135026.7901448,4400.77453631839,650.016900439411,2300.21161946899,120.000576002765,
12.7931,280.003136035124,1625.10563186607,200.0016000128,16410.7654621432,18250.8139687902,1151466.50450433,4000.64010241639,550.012100266206,2550.26012653291,40.0000640001024,
13.21773,640.016384419441,1450.08410487808,142.857959188338,15676.4906007765,18113.1138944596,1159931.35634012,3700.5476810568,900.032401166442,1750.1225085756,160.001024006554,
13.64227,380.005776087797,1675.11223251958,257.145502068021,16577.6521241409,18338.4420780432,1165991.4677935,4450.7922410189,850.028900982633,2250.20251822664,80.0002560008192,
14.06706,380.005776087797,1500.09000540032,300.0036000432,16544.2746136111,18701.4793558185,1148257.13150133,4050.65620630542,1150.05290243351,2050.16811378533,120.000576002765,
14.49168,340.004624062887,1775.12603394841,271.431518399343,16744.5410127846,17512.2585810067,1151357.08109013,4350.75703172352,900.032401166442,2450.24012353211,60.0001440003456,
14.91643,420.007056118543,1375.0756291596,171.429746946836,16277.2577357,18651.4046221458,1176694.78392709,4500.81014582625,500.010000200004,2550.26012653291,40.0000640001024,
15.34098,540.011664251948,1425.08122963009,114.286236737082,18213.259252736,18063.0415159745,1121955.39902506,4300.73972723308,600.014400345608,1850.13691013135,140.00078400439,
15.76562,380.005776087797,1700.11560786133,285.717551057726,17412.118834709,17612.3991289868,1182982.03917253,4750.90267150759,400.006400102402,2200.1936170383,100.0004000016,
16.19038,440.007744136297,1325.07022872212,242.859502063734,19181.3723854956,17712.5404786589,1130146.24520251,4100.67251029169,1000.04000160006,2000.16001280102,80.0002560008192,
16.61501,420.007056118543,1725.11903321329,257.145502068021,16310.634533716,18000.4513247281,1143481.00100949,4350.75703172352,700.019600548815,2300.21161946899,120.000576002765,
17.03972,480.009216176951,1775.12603394841,200.0016000128,18213.259252736,18576.2928974764,1137904.98069977,4000.64010241639,800.025600819226,1700.11560786133,120.000576002765,
17.46422,540.011664251948,1700.11560786133,171.429746946836,17512.2585810067,19264.83392212,1166721.79122724,4650.86506090133,950.036101371852,2100.17641481884,40.0000640001024,
17.88879,480.009216176951,1425.08122963009,400.006400102402,17311.9798900839,18025.4873636455,1173296.53716817,4500.81014582625,900.032401166442,1800.12960933187,200.0016000128,
18.31342,360.005184074651,1425.08122963009,185.715665316371,18380.1699648675,17862.7540063605,1148658.26004736,5201.0818250196,1150.05290243351,2150.18491590277,100.0004000016,
18.73824,580.013456312186,1250.06250312516,257.145502068021,16978.1891977355,18138.1501588652,1158216.05151843,3950.62419862338,600.014400345608,1800.12960933187,160.001024006554,
19.16284,460.00846415574,1350.07290393681,285.717551057726,17779.3018238295,17049.1189745812,1148074.8044124,3650.53297781476,1000.04000160006,3400.46246289495,120.000576002765,
19.58765,640.016384419441,1500.09000540032,185.715665316371,16110.3750815525,18839.185906988,1134043.25009931,5351.14514506104,650.016900439411,1950.15211186473,100.0004000016,
20.01223,360.005184074651,1425.08122963009,271.431518399343,17612.3991289868,17549.8111925516,1144538.16196228,3650.53297781476,950.036101371852,1900.14441097523,60.0001440003456,
20.43698,580.013456312186,1875.14063554767,185.715665316371,15843.3674660618,18388.5155589358,1170958.47122521,4600.84655576626,800.025600819226,2600.27042812453,100.0004000016,
20.86161,380.005776087797,2150.18491590277,185.715665316371,17245.2210390362,18463.6261561032,1154859.08459388,3400.46246289495,500.010000200004,1650.10890718787,140.00078400439,
21.28631,460.00846415574,1650.10890718787,228.573518386454,17111.7044058136,18613.8487034354,1183055.16455527,5001.00020004001,750.02250067502,2450.24012353211,100.0004000016,
21.71084,580.013456312186,1675.11223251958,57.1429877554006,16711.163056922,17549.8111925516,1125886.36423805,4900.9605882753,400.006400102402,2300.21161946899,100.0004000016,
