1308H1-32b:01/28/2015 08:30:51 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.121407624633431;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.7565982404692;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.77126099706744;CCT Entry Lens Readback=-70.6256109481916;CCT Focus Lens Readback=3.11339198435973;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.18443597427409E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.5698319496243;Exhaust Flow Readback=0.545660801564027;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=23.2805005813106;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.621700879765396;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,440.007744136297,1775.12603394841,271.431518399343,16444.1426164132,16923.9490515334,1093672.80621795,4200.70571856072,550.012100266206,1950.15211186473,40.0000640001024,
0.47744,420.007056118543,1625.10563186607,271.431518399343,16177.1278760265,16948.9829359391,1134043.25009931,4400.77453631839,650.016900439411,2050.16811378533,20.0000160000128,
0.90223,340.004624062887,1400.07840439065,200.0016000128,15743.2410797195,18150.6683098588,1134808.21929265,4550.82825074164,750.02250067502,1700.11560786133,160.001024006554,
1.32682,340.004624062887,1875.14063554767,171.429746946836,17679.1599396907,19565.3000646506,1146215.2133322,2950.34814108065,500.010000200004,2000.16001280102,80.0002560008192,
1.75155,500.010000200004,1200.05760276493,157.143844904168,17512.2585810067,19815.6940296715,1152597.26673975,4350.75703172352,800.025600819226,2450.24012353211,80.0002560008192,
2.17618,380.005776087797,1475.08703013478,200.0016000128,16076.998817907,18626.3673304775,1138451.54419001,4400.77453631839,600.014400345608,1650.10890718787,120.000576002765,
2.60094,480.009216176951,1475.08703013478,242.859502063734,17412.118834709,17324.4972143209,1128362.0234361,4200.70571856072,800.025600819226,2300.21161946899,200.0016000128,
3.02555,460.00846415574,1975.15603732695,271.431518399343,17979.5879972407,17524.776105662,1142496.82455805,4000.64010241639,900.032401166442,2050.16811378533,160.001024006554,
3.45027,220.001936017037,1225.06002794137,171.429746946836,16143.7514342589,17311.9798900839,1137795.67074463,3600.51847466035,1000.04000160006,2350.22092076655,80.0002560008192,
3.87481,420.007056118543,1525.09303067487,228.573518386454,17512.2585810067,18138.1501588652,1138852.37194402,4150.68901437639,850.028900982633,1700.11560786133,80.0002560008192,
4.29945,580.013456312186,1350.07290393681,157.143844904168,17345.3594492181,16811.2971917128,1119153.48868309,4750.90267150759,850.028900982633,3150.3969500157,60.0001440003456,
4.724,440.007744136297,1450.08410487808,300.0036000432,15743.2410797195,17499.7410688777,1127488.20779366,3700.5476810568,950.036101371852,2350.22092076655,80.0002560008192,
5.14876,440.007744136297,1225.06002794137,300.0036000432,16978.1891977355,18250.8139687902,1132731.97851959,3900.60849492521,800.025600819226,2200.1936170383,100.0004000016,
5.57337,580.013456312186,1350.07290393681,285.717551057726,16844.6754147793,18288.368797591,1141075.36716012,3650.53297781476,750.02250067502,2000.16001280102,160.001024006554,
5.99812,600.014400345608,1275.06502831644,200.0016000128,17478.8785764988,17412.118834709,1114969.93644661,3550.50417159237,700.019600548815,1900.14441097523,80.0002560008192,
6.42273,480.009216176951,1525.09303067487,285.717551057726,15876.7431062915,16974.0168704466,1080751.57075673,3400.46246289495,750.02250067502,2200.1936170383,180.001296009331,
6.84752,360.005184074651,1125.05062727823,228.573518386454,16410.7654621432,17374.5666365291,1129600.02898644,4250.72262284588,600.014400345608,1600.10240655402,140.00078400439,
7.27211,420.007056118543,1400.07840439065,71.4287755107872,16310.634533716,17487.2235692749,1133241.901831,4200.70571856072,1000.04000160006,1550.09610595857,160.001024006554,
7.69677,540.011664251948,1650.10890718787,171.429746946836,17612.3991289868,18401.0339604779,1129272.31021787,3900.60849492521,1000.04000160006,2350.22092076655,140.00078400439,
8.1214,620.015376381334,1600.10240655402,285.717551057726,15910.1188355794,16723.6797799329,1124321.11597527,4250.72262284588,800.025600819226,2100.17641481884,120.000576002765,
8.54623,600.014400345608,1475.08703013478,414.292579705607,17145.083430511,19314.911111378,1148694.72688909,3950.62419862338,1050.04410185228,2400.23042212052,140.00078400439,
8.97084,640.016384419441,1675.11223251958,257.145502068021,14441.6709913857,18876.7425022179,1124867.11150929,4750.90267150759,1150.05290243351,1400.07840439065,40.0000640001024,
9.39554,500.010000200004,1375.0756291596,200.0016000128,18947.683045293,18038.0054018948,1158252.54502358,3850.59299132066,1050.04410185228,1650.10890718787,140.00078400439,
9.82019,360.005184074651,1425.08122963009,214.287551036152,17345.3594492181,18776.59183217,1171177.64716228,3450.47616571087,900.032401166442,2350.22092076655,60.0001440003456,
10.24472,580.013456312186,1800.12960933187,142.857959188338,17445.4986610663,18113.1138944596,1124794.31078613,5051.02030610183,1100.04840212969,1750.1225085756,60.0001440003456,
10.66949,320.004096052429,1450.08410487808,228.573518386454,18079.7322865324,17549.8111925516,1141694.95778988,4700.88376614804,1150.05290243351,2050.16811378533,60.0001440003456,
11.0941,400.006400102402,1175.0552275957,228.573518386454,15242.6211704999,18125.6320203988,1153764.60774933,3700.5476810568,900.032401166442,2700.2916314962,100.0004000016,
11.51893,500.010000200004,1500.09000540032,185.715665316371,17912.8255831175,16535.9302498952,1130801.73480651,3300.43565750679,600.014400345608,2850.32493704282,60.0001440003456,
11.94349,440.007744136297,1450.08410487808,128.572089799319,16344.0114207949,17136.7386659862,1116133.92074902,5051.02030610183,750.02250067502,1550.09610595857,140.00078400439,
12.36828,520.010816224977,1175.0552275957,242.859502063734,16110.3750815525,17750.0936914741,1160296.34383698,4600.84655576626,800.025600819226,2100.17641481884,100.0004000016,
12.7929,420.007056118543,1500.09000540032,200.0016000128,17812.6826300326,17612.3991289868,1169351.29318466,4400.77453631839,1000.04000160006,2200.1936170383,80.0002560008192,
13.21769,620.015376381334,1650.10890718787,157.143844904168,16010.246557797,18626.3673304775,1126250.40234426,2850.32493704282,850.028900982633,2050.16811378533,80.0002560008192,
13.64252,560.012544280992,1925.1482364142,300.0036000432,17311.9798900839,17825.2004553244,1152196.01733437,4850.94108257002,750.02250067502,2000.16001280102,80.0002560008192,
14.06713,500.010000200004,1525.09303067487,157.143844904168,16744.5410127846,17975.4153359189,1162888.04795553,3400.46246289495,950.036101371852,2000.16001280102,160.001024006554,
14.49192,440.007744136297,1575.09923125157,100.0004000016,17712.5404786589,17987.93332406,1143335.19241495,3750.56258438766,700.019600548815,2150.18491590277,200.0016000128,
14.91674,420.007056118543,1300.06760351538,200.0016000128,16510.8971921468,16097.8589722486,1127269.76301521,4150.68901437639,500.010000200004,3100.38444767151,100.0004000016,
15.34133,420.007056118543,1675.11223251958,328.575746995532,17512.2585810067,17762.6114541324,1115479.16681175,3900.60849492521,700.019600548815,2100.17641481884,140.00078400439,
15.76605,420.007056118543,1300.06760351538,200.0016000128,17178.4625442804,20153.7338326022,1161172.35538453,3800.57768780855,1150.05290243351,2050.16811378533,220.001936017037,
16.19059,360.005184074651,1550.09610595857,171.429746946836,15976.8705613318,18701.4793558185,1122137.36204029,4000.64010241639,600.014400345608,1800.12960933187,120.000576002765,
16.61522,620.015376381334,1650.10890718787,128.572089799319,17011.567866149,18213.259252736,1185541.67062359,4450.7922410189,550.012100266206,1750.1225085756,120.000576002765,
17.03997,460.00846415574,1525.09303067487,271.431518399343,16878.0537269144,17875.2718817595,1166320.10829368,3950.62419862338,800.025600819226,1850.13691013135,100.0004000016,
17.46459,360.005184074651,1650.10890718787,257.145502068021,16677.7851901268,19352.4691348758,1146105.83385858,4200.70571856072,750.02250067502,2750.30253327866,20.0000160000128,
17.88934,640.016384419441,1300.06760351538,171.429746946836,17078.3254701877,17024.0848897675,1145486.03412718,3400.46246289495,450.008100145803,1750.1225085756,240.002304022119,
18.31398,620.015376381334,1550.09610595857,342.861844962445,17712.5404786589,17549.8111925516,1150335.84004642,4550.82825074164,1050.04410185228,1400.07840439065,60.0001440003456,
18.73877,620.015376381334,1725.11903321329,257.145502068021,18346.7876442725,16548.4467975566,1124321.11597527,3800.57768780855,1300.06760351538,2750.30253327866,100.0004000016,
19.16333,580.013456312186,1375.0756291596,285.717551057726,16410.7654621432,17725.0582037374,1150117.01305693,4000.64010241639,1350.07290393681,2400.23042212052,120.000576002765,
19.58804,460.00846415574,1400.07840439065,271.431518399343,18046.3507676871,18075.5595918051,1152743.17866717,3750.56258438766,1000.04000160006,2300.21161946899,80.0002560008192,
20.01269,440.007744136297,1500.09000540032,285.717551057726,17178.4625442804,18288.368797591,1170666.24235293,3050.37214540174,1050.04410185228,2900.33643902693,80.0002560008192,
20.43747,480.009216176951,1725.11903321329,257.145502068021,17345.3594492181,18701.4793558185,1142861.32571495,4150.68901437639,600.014400345608,1750.1225085756,120.000576002765,
20.86206,540.011664251948,1400.07840439065,171.429746946836,16677.7851901268,18563.7743205458,1142496.82455805,4200.70571856072,600.014400345608,1850.13691013135,40.0000640001024,
21.28678,400.006400102402,1500.09000540032,171.429746946836,15075.7523200649,18125.6320203988,1112787.74551243,3800.57768780855,650.016900439411,2000.16001280102,60.0001440003456,
21.71141,560.012544280992,1200.05760276493,171.429746946836,17311.9798900839,18300.8870989129,1125777.15478443,4000.64010241639,800.025600819226,1900.14441097523,100.0004000016,
22.13616,600.014400345608,1150.05290243351,185.715665316371,17111.7044058136,17362.049262188,1142496.82455805,3900.60849492521,750.02250067502,2050.16811378533,120.000576002765,
22.56076,440.007744136297,1600.10240655402,300.0036000432,16744.5410127846,16836.3308506625,1124284.71708445,4100.67251029169,850.028900982633,2000.16001280102,60.0001440003456,
22.9855,400.006400102402,1425.08122963009,171.429746946836,16444.1426164132,17649.952041165,1147345.52148266,3800.57768780855,500.010000200004,2100.17641481884,140.00078400439,
23.41001,440.007744136297,1725.11903321329,400.006400102402,16611.0297237366,17762.6114541324,1133314.74964284,3750.56258438766,1000.04000160006,2400.23042212052,120.000576002765,
23.83458,420.007056118543,1775.12603394841,285.717551057726,18680.6148590948,18951.8560309434,1162157.93850567,3900.60849492521,800.025600819226,2150.18491590277,280.003136035124,
24.25908,260.002704028122,1625.10563186607,257.145502068021,16410.7654621432,17637.4343912458,1164056.30784001,3100.38444767151,650.016900439411,2400.23042212052,140.00078400439,
24.68365,420.007056118543,1650.10890718787,242.859502063734,16310.634533716,18776.59183217,1141622.06325018,5151.06111859043,800.025600819226,2550.26012653291,180.001296009331,
25.1083,500.010000200004,1575.09923125157,285.717551057726,16444.1426164132,17975.4153359189,1126505.23505494,3350.44896016066,650.016900439411,1650.10890718787,160.001024006554,
25.5331,480.009216176951,1575.09923125157,257.145502068021,16410.7654621432,17387.0840233963,1145267.28829654,4750.90267150759,700.019600548815,2350.22092076655,160.001024006554,
25.9577,440.007744136297,1400.07840439065,271.431518399343,17078.3254701877,17700.022766107,1172200.51674393,4050.65620630542,1150.05290243351,1850.13691013135,40.0000640001024,
26.38244,500.010000200004,1125.05062727823,228.573518386454,16811.2971917128,17074.1531094972,1149424.08508395,4800.92177698118,650.016900439411,2150.18491590277,140.00078400439,
