1308H1-32d:01/28/2015 08:33:38 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.649266862170088;Torch Vertical Position Readback=0.121407624633431;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.2346041055718;Focus Lens Readback=17.7565982404692;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.6256109481916;CCT Focus Lens Readback=3.11339198435973;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=34.798693581476;Exhaust Flow Readback=0.523510263929619;Quad Board Temperature Readback=30.3440860215054;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=21.7321852825217;Spray Chamber Temperature Readback=19.8760924774048;
Power Supply:Supply Voltage 500 V Readback=-546.798631476051;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.621700879765396;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,580.013456312186,1300.06760351538,142.857959188338,15876.7431062915,17887.7897696853,1150882.92354319,3050.37214540174,850.028900982633,1700.11560786133,40.0000640001024,
0.47754,400.006400102402,1175.0552275957,242.859502063734,15576.3655502826,17211.841747122,1126468.83007763,3850.59299132066,500.010000200004,2200.1936170383,120.000576002765,
0.90235,440.007744136297,1650.10890718787,242.859502063734,16177.1278760265,17399.6014227896,1123520.36380659,3950.62419862338,650.016900439411,1750.1225085756,120.000576002765,
1.32693,540.011664251948,1475.08703013478,228.573518386454,16777.9190577147,17587.3639168335,1140054.92896876,3950.62419862338,550.012100266206,1800.12960933187,60.0001440003456,
1.75169,500.010000200004,1225.06002794137,314.289665355793,17445.4986610663,18250.8139687902,1129017.42352559,3350.44896016066,1150.05290243351,2000.16001280102,180.001296009331,
2.1763,420.007056118543,1275.06502831644,157.143844904168,16510.8971921468,17674.987378583,1134953.93278787,4600.84655576626,850.028900982633,2300.21161946899,160.001024006554,
2.60107,320.004096052429,1850.13691013135,214.287551036152,18613.8487034354,18313.4054127621,1173588.82478492,4450.7922410189,1000.04000160006,2000.16001280102,160.001024006554,
3.02591,460.00846415574,1525.09303067487,171.429746946836,17078.3254701877,19264.83392212,1176585.1492903,3750.56258438766,1200.05760276493,1600.10240655402,20.0000160000128,
3.45054,260.002704028122,1325.07022872212,185.715665316371,17178.4625442804,17787.6470170291,1168657.34550723,4300.73972723308,700.019600548815,2350.22092076655,180.001296009331,
3.87508,320.004096052429,1425.08122963009,171.429746946836,16243.8810267467,19465.1438819401,1143954.89017447,4050.65620630542,550.012100266206,2250.20251822664,140.00078400439,
4.29976,300.003600043201,1200.05760276493,171.429746946836,16711.163056922,17024.0848897675,1135208.93531431,3650.53297781476,1250.06250312516,2850.32493704282,60.0001440003456,
4.72433,360.005184074651,1500.09000540032,200.0016000128,15476.2413012851,18038.0054018948,1134953.93278787,3650.53297781476,950.036101371852,1850.13691013135,60.0001440003456,
5.1488,500.010000200004,1700.11560786133,271.431518399343,16444.1426164132,17412.118834709,1133096.2074257,4300.73972723308,750.02250067502,1950.15211186473,80.0002560008192,
5.57337,560.012544280992,1525.09303067487,171.429746946836,16577.6521241409,17399.6014227896,1122501.29567606,3800.57768780855,700.019600548815,2100.17641481884,80.0002560008192,
5.99798,480.009216176951,1500.09000540032,242.859502063734,16844.6754147793,16811.2971917128,1155917.16595406,3850.59299132066,1000.04000160006,2250.20251822664,60.0001440003456,
6.42253,460.00846415574,1500.09000540032,257.145502068021,17311.9798900839,18939.3370781682,1179874.58792877,4300.73972723308,650.016900439411,2250.20251822664,80.0002560008192,
6.84733,480.009216176951,1150.05290243351,271.431518399343,18079.7322865324,18088.0776801628,1164275.36818368,4000.64010241639,600.014400345608,1850.13691013135,140.00078400439,
