1308H1-33f:01/28/2015 08:43:21 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.649266862170088;Torch Vertical Position Readback=0.110850439882697;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.2346041055718;Focus Lens Readback=17.7565982404692;D2 Lens Readback=-79.960899315738;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.8396871945259;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=34.4099049754133;Exhaust Flow Readback=0.521496578690127;Quad Board Temperature Readback=30.3440860215054;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=21.7321852825217;Spray Chamber Temperature Readback=19.9783669914792;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0362263440860215;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,560.012544280992,1400.07840439065,214.287551036152,15776.6164527762,16923.9490515334,1149205.27335333,3750.56258438766,700.019600548815,1800.12960933187,140.00078400439,
0.47749,460.00846415574,1325.07022872212,242.859502063734,17011.567866149,17562.3287547859,1123374.77777716,3850.59299132066,800.025600819226,2000.16001280102,20.0000160000128,
0.90204,480.009216176951,1700.11560786133,185.715665316371,17011.567866149,17324.4972143209,1123884.33597962,3850.59299132066,1000.04000160006,1650.10890718787,180.001296009331,
1.32676,420.007056118543,1450.08410487808,242.859502063734,17278.6004200234,17687.5050660817,1136083.2674704,3950.62419862338,800.025600819226,2100.17641481884,60.0001440003456,
1.7514,520.010816224977,1625.10563186607,157.143844904168,16177.1278760265,17950.3793972175,1148658.26004736,3750.56258438766,400.006400102402,1950.15211186473,140.00078400439,
2.17616,380.005776087797,1700.11560786133,242.859502063734,15576.3655502826,17449.6711456241,1116570.4416138,3700.5476810568,1000.04000160006,2100.17641481884,80.0002560008192,
2.60077,420.007056118543,1350.07290393681,328.575746995532,15242.6211704999,17825.2004553244,1138743.05406468,4250.72262284588,1000.04000160006,2250.20251822664,160.001024006554,
3.0255,540.011664251948,1650.10890718787,300.0036000432,15542.9907115621,18375.9971699213,1137686.36170376,4000.64010241639,950.036101371852,1850.13691013135,60.0001440003456,
3.45013,400.006400102402,1425.08122963009,128.572089799319,17111.7044058136,19039.4890511679,1137394.87539781,3950.62419862338,1350.07290393681,2400.23042212052,120.000576002765,
3.87493,400.006400102402,1575.09923125157,185.715665316371,15809.9919148902,18551.2557561432,1148147.73494285,4050.65620630542,800.025600819226,2100.17641481884,60.0001440003456,
4.29954,500.010000200004,1550.09610595857,285.717551057726,17645.7794898001,18225.7774788934,1146105.83385858,3500.49006860961,950.036101371852,2550.26012653291,100.0004000016,
4.72427,500.010000200004,1525.09303067487,271.431518399343,16677.7851901268,18225.7774788934,1156282.0414455,4350.75703172352,1150.05290243351,1850.13691013135,200.0016000128,
5.14892,400.006400102402,1425.08122963009,185.715665316371,18513.7001381022,17474.7060821984,1139289.65260536,4650.86506090133,1150.05290243351,2000.16001280102,100.0004000016,
5.57366,500.010000200004,1300.06760351538,171.429746946836,16978.1891977355,19014.4509827469,1168401.68985071,4500.81014582625,600.014400345608,2900.33643902693,100.0004000016,
5.99828,300.003600043201,1525.09303067487,157.143844904168,16477.5198597476,16848.8476989252,1127342.5775355,4100.67251029169,1000.04000160006,2050.16811378533,100.0004000016,
6.42303,400.006400102402,1750.1225085756,171.429746946836,16777.9190577147,18188.2228380032,1147381.98466299,3800.57768780855,550.012100266206,1800.12960933187,80.0002560008192,
6.84782,480.009216176951,1400.07840439065,200.0016000128,17412.118834709,18038.0054018948,1121846.22243275,3250.42255493214,1000.04000160006,1750.1225085756,100.0004000016,
7.27244,320.004096052429,1475.08703013478,157.143844904168,17612.3991289868,18538.7372042684,1132513.44604925,4000.64010241639,1150.05290243351,2050.16811378533,160.001024006554,
