1308H1-35b:01/28/2015 08:51:42 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.121407624633431;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.985337243402;Extraction Lens 1 Positive Readback=2.62463343108504;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.8250244379277;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-159.579667644184;CCT Bias Readback=-2.8396871945259;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.18181818181818;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.37070660868161;Analyzer Pressure Readback=6.18443597427409E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.1853246450069;Exhaust Flow Readback=0.545660801564027;Quad Board Temperature Readback=30.3440860215054;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=22.819657378328;Spray Chamber Temperature Readback=19.9783669914792;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,400.006400102402,1575.09923125157,142.857959188338,16644.4074123984,17950.3793972175,1122464.90185616,3850.59299132066,1000.04000160006,2050.16811378533,140.00078400439,
0.47746,520.010816224977,1225.06002794137,228.573518386454,16010.246557797,16460.8312269473,1138415.10591286,3850.59299132066,1250.06250312516,1950.15211186473,140.00078400439,
0.90205,480.009216176951,1275.06502831644,171.429746946836,16477.5198597476,19289.8724916911,1153983.49579025,3350.44896016066,850.028900982633,1900.14441097523,80.0002560008192,
1.32678,380.005776087797,1425.08122963009,300.0036000432,17712.5404786589,19077.0462477639,1150554.67069827,4000.64010241639,600.014400345608,1800.12960933187,180.001296009331,
1.75141,360.005184074651,1350.07290393681,228.573518386454,17178.4625442804,17825.2004553244,1142095.88502497,4250.72262284588,750.02250067502,2150.18491590277,100.0004000016,
2.17611,520.010816224977,875.030626071912,257.145502068021,16210.5044068556,18764.0730547911,1138451.54419001,3200.40965243551,750.02250067502,1850.13691013135,160.001024006554,
2.60076,440.007744136297,1300.06760351538,171.429746946836,15643.1154948895,17061.6360357764,1139872.71624645,3400.46246289495,900.032401166442,1850.13691013135,0,
3.02554,300.003600043201,1775.12603394841,228.573518386454,16110.3750815525,17374.5666365291,1153217.40367596,4100.67251029169,650.016900439411,2100.17641481884,100.0004000016,
3.45015,460.00846415574,1250.06250312516,228.573518386454,16143.7514342589,16999.050855056,1139617.62270285,3500.49006860961,900.032401166442,2250.20251822664,100.0004000016,
3.87488,480.009216176951,1450.08410487808,385.720236826511,16377.3883969372,18976.8939740793,1153837.57002254,3200.40965243551,1200.05760276493,2250.20251822664,200.0016000128,
4.29941,560.012544280992,1275.06502831644,214.287551036152,17512.2585810067,18300.8870989129,1164056.30784001,4050.65620630542,850.028900982633,2150.18491590277,20.0000160000128,
4.72392,420.007056118543,1625.10563186607,242.859502063734,17712.5404786589,18526.2186649214,1152268.97085591,4150.68901437639,700.019600548815,2050.16811378533,80.0002560008192,
5.14856,460.00846415574,1100.04840212969,271.431518399343,16878.0537269144,18826.6670669679,1159566.3790277,4000.64010241639,850.028900982633,2100.17641481884,180.001296009331,
5.57337,340.004624062887,1750.1225085756,214.287551036152,15042.3788171287,17662.4697036108,1137795.67074463,3800.57768780855,900.032401166442,1600.10240655402,180.001296009331,
5.99799,500.010000200004,1550.09610595857,171.429746946836,16177.1278760265,18075.5595918051,1142205.2309507,4000.64010241639,550.012100266206,2400.23042212052,100.0004000016,
6.42272,460.00846415574,1250.06250312516,242.859502063734,16310.634533716,16773.7467972275,1146069.37423741,3800.57768780855,800.025600819226,2750.30253327866,180.001296009331,
6.84737,460.00846415574,1650.10890718787,157.143844904168,16076.998817907,17587.3639168335,1113915.16529064,3450.47616571087,1200.05760276493,1550.09610595857,80.0002560008192,
7.27215,460.00846415574,1800.12960933187,185.715665316371,16878.0537269144,18501.1816238108,1131202.32797655,3300.43565750679,800.025600819226,2100.17641481884,120.000576002765,
7.69674,320.004096052429,1350.07290393681,285.717551057726,15609.7404780583,18426.070801145,1135718.95529607,3950.62419862338,650.016900439411,1850.13691013135,200.0016000128,
8.12157,540.011664251948,1350.07290393681,285.717551057726,15309.3693340324,18814.1482394761,1134152.52867091,4150.68901437639,750.02250067502,2250.20251822664,40.0000640001024,
8.54638,320.004096052429,1700.11560786133,314.289665355793,15843.3674660618,16986.5338564886,1115624.66484948,4150.68901437639,850.028900982633,1750.1225085756,80.0002560008192,
8.97102,440.007744136297,1425.08122963009,171.429746946836,17111.7044058136,17574.8463295465,1171542.94854884,3150.3969500157,750.02250067502,2000.16001280102,140.00078400439,
9.39572,360.005184074651,1300.06760351538,200.0016000128,15442.8667297278,17837.718293143,1125995.5746047,3850.59299132066,1300.06760351538,2350.22092076655,100.0004000016,
9.82038,380.005776087797,1425.08122963009,342.861844962445,16777.9190577147,16911.4321281186,1127633.83967526,5001.00020004001,700.019600548815,2050.16811378533,40.0000640001024,
10.24515,380.005776087797,1425.08122963009,185.715665316371,16377.3883969372,17387.0840233963,1149059.40090064,4700.88376614804,600.014400345608,1700.11560786133,120.000576002765,
10.66975,500.010000200004,1575.09923125157,228.573518386454,16911.4321281186,17424.6362591545,1174063.80608578,3800.57768780855,600.014400345608,1950.15211186473,60.0001440003456,
11.09431,440.007744136297,1425.08122963009,157.143844904168,16644.4074123984,18601.3300889211,1133569.72018264,4850.94108257002,1000.04000160006,2200.1936170383,20.0000160000128,
11.5191,480.009216176951,1200.05760276493,114.286236737082,16711.163056922,19264.83392212,1136411.15711119,3400.46246289495,1550.09610595857,2050.16811378533,240.002304022119,
11.94388,480.009216176951,1475.08703013478,100.0004000016,16110.3750815525,17725.0582037374,1156573.94916836,4450.7922410189,1700.11560786133,1700.11560786133,60.0001440003456,
12.36849,540.011664251948,1750.1225085756,200.0016000128,17712.5404786589,17900.307670138,1107770.09010314,3950.62419862338,700.019600548815,2050.16811378533,160.001024006554,
12.7932,300.003600043201,1400.07840439065,257.145502068021,16210.5044068556,18563.7743205458,1150189.95497983,3700.5476810568,1550.09610595857,1750.1225085756,20.0000160000128,
13.21772,600.014400345608,1500.09000540032,285.717551057726,17512.2585810067,17812.6826300326,1123920.73375475,3500.49006860961,800.025600819226,2250.20251822664,120.000576002765,
13.64233,320.004096052429,1675.11223251958,57.1429877554006,15776.6164527762,17737.5759413424,1103953.6003965,5151.06111859043,850.028900982633,2100.17641481884,100.0004000016,
14.06709,460.00846415574,1425.08122963009,300.0036000432,16043.6226433219,18613.8487034354,1143954.89017447,3950.62419862338,950.036101371852,2350.22092076655,140.00078400439,
14.49173,360.005184074651,1350.07290393681,271.431518399343,17044.9466236329,18038.0054018948,1141221.15054834,3300.43565750679,750.02250067502,1950.15211186473,60.0001440003456,
14.91646,460.00846415574,1450.08410487808,185.715665316371,15843.3674660618,19252.3146561279,1133715.41986776,3550.50417159237,950.036101371852,1800.12960933187,100.0004000016,
15.34108,440.007744136297,1350.07290393681,385.720236826511,15476.2413012851,18551.2557561432,1154092.94118468,3650.53297781476,950.036101371852,1750.1225085756,200.0016000128,
15.76589,560.012544280992,1550.09610595857,200.0016000128,17111.7044058136,17236.8762077071,1116461.31002956,3300.43565750679,1050.04410185228,1800.12960933187,140.00078400439,
16.19047,520.010816224977,1350.07290393681,214.287551036152,16577.6521241409,19064.5271697033,1144137.15981249,4700.88376614804,500.010000200004,2100.17641481884,80.0002560008192,
16.61529,480.009216176951,1600.10240655402,300.0036000432,16844.6754147793,18325.9237391389,1128398.43368961,4250.72262284588,1100.04840212969,2300.21161946899,80.0002560008192,
17.04009,420.007056118543,1300.06760351538,242.859502063734,16043.6226433219,18000.4513247281,1114169.75742374,4400.77453631839,600.014400345608,2650.28092977856,120.000576002765,
17.46473,300.003600043201,1525.09303067487,185.715665316371,15275.9952077402,17775.1292293174,1165589.80728171,4850.94108257002,500.010000200004,2150.18491590277,240.002304022119,
17.88945,380.005776087797,1250.06250312516,242.859502063734,15609.7404780583,17887.7897696853,1139654.06433283,3300.43565750679,650.016900439411,2200.1936170383,80.0002560008192,
18.31398,300.003600043201,1300.06760351538,357.147959256561,19248.141570248,19202.2377174481,1180093.91323289,4200.70571856072,900.032401166442,1900.14441097523,0,
18.73861,500.010000200004,1375.0756291596,142.857959188338,15342.743549377,19139.6418259969,1178266.31464461,4050.65620630542,1050.04410185228,2150.18491590277,120.000576002765,
19.1634,440.007744136297,1475.08703013478,157.143844904168,16844.6754147793,18638.8859700477,1176292.79474855,3750.56258438766,1300.06760351538,1800.12960933187,140.00078400439,
19.58804,320.004096052429,1475.08703013478,200.0016000128,15242.6211704999,18063.0415159745,1151247.65859163,3600.51847466035,750.02250067502,2350.22092076655,140.00078400439,
20.01272,480.009216176951,1425.08122963009,257.145502068021,14675.276162015,17712.5404786589,1146069.37423741,3900.60849492521,900.032401166442,2250.20251822664,140.00078400439,
20.43735,380.005776087797,1400.07840439065,371.434089877907,15142.499593087,17124.221529637,1130656.06760802,4350.75703172352,550.012100266206,2350.22092076655,80.0002560008192,
20.86214,520.010816224977,1500.09000540032,214.287551036152,15242.6211704999,17750.0936914741,1102318.30350244,4150.68901437639,800.025600819226,2200.1936170383,80.0002560008192,
21.28674,400.006400102402,1875.14063554767,242.859502063734,14775.393999389,18000.4513247281,1137322.00483715,4200.70571856072,600.014400345608,2550.26012653291,160.001024006554,
21.71147,500.010000200004,1525.09303067487,271.431518399343,16210.5044068556,17725.0582037374,1130473.98589372,3850.59299132066,950.036101371852,1700.11560786133,100.0004000016,
22.13602,320.004096052429,1325.07022872212,100.0004000016,16711.163056922,17549.8111925516,1129672.85649584,3700.5476810568,550.012100266206,2000.16001280102,100.0004000016,
22.56068,520.010816224977,1350.07290393681,228.573518386454,16677.7851901268,18526.2186649214,1144538.16196228,3650.53297781476,900.032401166442,2550.26012653291,20.0000160000128,
22.98546,660.017424460006,1375.0756291596,314.289665355793,17311.9798900839,17549.8111925516,1155333.38634148,4900.9605882753,700.019600548815,1450.08410487808,100.0004000016,
23.41005,500.010000200004,1375.0756291596,200.0016000128,15976.8705613318,18038.0054018948,1137759.23429609,3950.62419862338,1300.06760351538,1300.06760351538,100.0004000016,
23.83473,380.005776087797,1150.05290243351,185.715665316371,16344.0114207949,18688.9606536082,1135609.66362425,3750.56258438766,1000.04000160006,2100.17641481884,100.0004000016,
24.25924,300.003600043201,1500.09000540032,300.0036000432,15376.1178537741,18138.1501588652,1135427.51286908,3300.43565750679,450.008100145803,1750.1225085756,100.0004000016,
24.68381,500.010000200004,1575.09923125157,200.0016000128,15209.2472223112,17775.1292293174,1111805.87856827,3900.60849492521,800.025600819226,2150.18491590277,80.0002560008192,
25.10845,460.00846415574,1325.07022872212,214.287551036152,15109.1259120509,17161.7729762617,1103226.7764812,4700.88376614804,850.028900982633,1850.13691013135,180.001296009331,
25.53326,420.007056118543,1200.05760276493,257.145502068021,16878.0537269144,16886.3983188652,1118462.20066501,3650.53297781476,1050.04410185228,2100.17641481884,120.000576002765,
25.95786,440.007744136297,1575.09923125157,285.717551057726,15843.3674660618,17349.5319003729,1119953.97315844,3800.57768780855,400.006400102402,1850.13691013135,140.00078400439,
26.38259,440.007744136297,1300.06760351538,271.431518399343,15910.1188355794,18676.4419639261,1130401.15391851,4550.82825074164,950.036101371852,2050.16811378533,140.00078400439,
26.80723,480.009216176951,1300.06760351538,257.145502068021,16344.0114207949,18451.1076919228,1125995.5746047,5201.0818250196,550.012100266206,2050.16811378533,140.00078400439,
27.232,360.005184074651,1725.11903321329,242.859502063734,16878.0537269144,17224.3589711516,1142569.72397629,3400.46246289495,1050.04410185228,2500.2500250025,60.0001440003456,
27.65661,480.009216176951,1325.07022872212,257.145502068021,17111.7044058136,17437.1536961262,1128143.564046,4000.64010241639,5251.10273157363,4200.70571856072,134439.087792786,
28.08139,9463.58101905761,457470.749366109,96067.7473368053,4675730.32474951,467494.054613513,3485156.1538959,209287.504865392,174864.60957813,50552.0139641797,888856.14003836,
28.5062,43756.4512716618,1485578.72696173,287087.921615229,2493446.70064833,823618.488058126,2780795.31151532,183436.148908651,154752.034516345,46787.3988610725,1519418.27336842,
28.93079,28211.8003413448,2271732.67103737,338419.936674221,5369997.3763181,1151411.152805,2344631.2871483,76382.6615871946,112554.469130644,58888.3877111211,1534476.64448127,
29.35558,26207.4444358132,1539292.80005844,181899.653439502,867670.65419684,924291.735387643,2631827.67440512,96974.7102805239,80558.7547201612,54568.8509573852,1191942.93928079,
29.78017,17972.9117397939,968656.8699043,125555.992660466,657797.507293657,568006.038140306,1858719.59838588,36904.3970812978,62606.3907641288,19765.6148357202,721731.200089553,
30.20494,18032.9981850918,673993.682143635,81220.1569310447,730011.897557501,421346.100950199,1791073.78905118,26277.5914710446,34647.952766629,12606.3536022155,440445.342119039,
30.62954,6581.7323119445,365722.994129357,49512.1500153732,436283.128215146,245831.282109542,1227297.65115316,35801.1957098651,19164.6801449911,8202.69048247825,264468.455795265,
31.05434,3720.55361837841,199174.273457407,35421.5449973791,94421.9449716132,138753.349110415,1167160.00485662,11755.5250967955,10404.3282005314,5001.00020004001,154934.271162947,
31.47915,2060.16975798806,285984.48451992,14694.3461644898,92977.8472500104,96609.397877128,1174538.80462626,7152.04548500871,7852.46567422171,4800.92177698118,92138.3319549385,
31.90377,1260.06350720076,74596.9258544169,9675.17148062422,68453.5906047447,65483.5758418869,1188796.78192065,9053.27728637767,6651.76937065259,3500.49006860961,66958.8605081895,
32.3285,1240.06150705075,48142.5299425496,5572.67048085002,41736.2270450751,47389.6612390643,1173223.466284,5601.25468104855,3950.62419862338,2750.30253327866,41207.8115747274,
32.75312,1020.041617698,40666.0416516423,5015.29163849435,29334.3798932349,36829.1757174804,1143590.35852274,5851.36922039757,3150.3969500157,3200.40965243551,49216.7009740739,
33.17791,800.025600819226,24323.6425805883,3086.09519803587,27997.9870815486,34810.9045627946,1159675.87115209,4500.81014582625,10904.7544729502,2400.23042212052,17612.3991289868,
33.60249,980.038417505966,20692.1123769357,3028.93836281881,24457.2362055182,33018.5514693881,1157267.25612359,4150.68901437639,1600.10240655402,2300.21161946899,15129.1501099865,
34.02724,860.029585017725,20266.4157967954,1714.40327336732,29200.7341898882,23760.0601771382,1149278.21018999,4650.86506090133,2000.16001280102,1350.07290393681,10024.0176262646,
34.45186,500.010000200004,12481.2281328383,1414.36572697541,22286.5165240508,25012.4999937438,1111078.61732439,4350.75703172352,1550.09610595857,2000.16001280102,9223.40159050658,
34.87669,840.028224948358,7352.16153549143,1214.34469674241,19648.7641627892,21969.2890357734,1135245.36465288,4700.88376614804,1350.07290393681,2400.23042212052,4620.85393380697,
35.30132,280.003136035124,6551.71654973603,685.733094393446,20717.1538033492,20917.487019148,1137577.05357715,3450.47616571087,1250.06250312516,2200.1936170383,3920.61475239318,
35.72604,700.019600548815,5501.21026625858,671.446604565951,17011.567866149,20316.4969955604,1135718.95529607,4150.68901437639,1100.04840212969,2150.18491590277,2760.30473764304,
36.15067,520.010816224977,5176.07144678949,614.300808534152,16444.1426164132,20266.4157967954,1145303.7456808,3600.51847466035,1200.05760276493,2000.16001280102,2960.35050549985,
36.57523,660.017424460006,3750.56258438766,542.868930868213,19281.5262962657,19615.3784567101,1121409.5251894,3000.36004320518,1050.04410185228,1900.14441097523,1160.05382649755,
37.00003,580.013456312186,2950.34814108065,357.147959256561,16744.5410127846,18426.070801145,1155844.19207736,4650.86506090133,1050.04410185228,2100.17641481884,1440.08294877785,
