1308H1-35c:01/28/2015 08:53:05 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.7565982404692;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=34.2798234803526;Exhaust Flow Readback=0.51847605083089;Quad Board Temperature Readback=30.3440860215054;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=21.260828215309;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9980449657869;Auxilliary Flow Readback=0.890029325513196;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,240.002304022119,1375.0756291596,171.429746946836,16310.634533716,17599.881516647,1161026.34938574,3900.60849492521,1000.04000160006,1550.09610595857,100.0004000016,
0.47757,480.009216176951,1800.12960933187,171.429746946836,17178.4625442804,17900.307670138,1134917.50426173,4600.84655576626,750.02250067502,2250.20251822664,80.0002560008192,
0.90215,340.004624062887,1300.06760351538,128.572089799319,16377.3883969372,16936.4659874735,1120390.62173495,4450.7922410189,500.010000200004,1750.1225085756,140.00078400439,
1.32696,460.00846415574,1750.1225085756,314.289665355793,16978.1891977355,18288.368797591,1153801.08883505,3850.59299132066,600.014400345608,750.02250067502,100.0004000016,
1.75177,640.016384419441,1400.07840439065,185.715665316371,15242.6211704999,19364.9885010999,1123520.36380659,3900.60849492521,500.010000200004,1600.10240655402,60.0001440003456,
2.17638,440.007744136297,1425.08122963009,271.431518399343,17278.6004200234,18601.3300889211,1167671.27264201,3500.49006860961,600.014400345608,1950.15211186473,80.0002560008192,
2.60109,240.002304022119,1200.05760276493,214.287551036152,16811.2971917128,17236.8762077071,1122828.84461863,4500.81014582625,800.025600819226,1600.10240655402,120.000576002765,
3.0257,340.004624062887,1450.08410487808,242.859502063734,16477.5198597476,17274.4279925288,1132477.0243262,3300.43565750679,750.02250067502,1950.15211186473,120.000576002765,
3.45046,620.015376381334,1725.11903321329,157.143844904168,14942.2588426153,18776.59183217,1135136.07694184,3700.5476810568,1150.05290243351,2050.16811378533,100.0004000016,
3.87511,580.013456312186,1450.08410487808,171.429746946836,15743.2410797195,19728.0555718184,1156975.33292598,4250.72262284588,500.010000200004,2150.18491590277,80.0002560008192,
4.29979,640.016384419441,1425.08122963009,185.715665316371,16510.8971921468,18075.5595918051,1146470.43566295,3850.59299132066,1050.04410185228,2400.23042212052,40.0000640001024,
4.72434,420.007056118543,1575.09923125157,114.286236737082,16544.2746136111,17512.2585810067,1129636.44269039,4000.64010241639,800.025600819226,1800.12960933187,60.0001440003456,
5.14895,360.005184074651,1400.07840439065,271.431518399343,14875.5126381822,18488.6631220472,1130656.06760802,3900.60849492521,900.032401166442,2350.22092076655,100.0004000016,
5.57375,440.007744136297,1700.11560786133,228.573518386454,16210.5044068556,17762.6114541324,1127014.91539027,4900.9605882753,1200.05760276493,1550.09610595857,140.00078400439,
5.99836,680.018496503105,1125.05062727823,200.0016000128,17345.3594492181,18401.0339604779,1152451.35644048,3500.49006860961,850.028900982633,2150.18491590277,120.000576002765,
6.42308,460.00846415574,1475.08703013478,314.289665355793,16043.6226433219,17412.118834709,1126068.38202304,4000.64010241639,750.02250067502,2550.26012653291,200.0016000128,
6.84772,520.010816224977,1450.08410487808,214.287551036152,15576.3655502826,18075.5595918051,1138888.81144033,4200.70571856072,650.016900439411,2100.17641481884,100.0004000016,
7.27248,360.005184074651,1250.06250312516,257.145502068021,15242.6211704999,16761.2300241162,1137249.13468281,4250.72262284588,950.036101371852,1750.1225085756,220.001936017037,
7.69709,440.007744136297,1475.08703013478,200.0016000128,16777.9190577147,18038.0054018948,1165480.26564591,3950.62419862338,800.025600819226,2600.27042812453,100.0004000016,
8.12182,400.006400102402,1525.09303067487,200.0016000128,17078.3254701877,19239.7954026647,1117079.73439975,3950.62419862338,650.016900439411,1550.09610595857,60.0001440003456,
8.54634,460.00846415574,1475.08703013478,300.0036000432,17145.083430511,18000.4513247281,1150080.54224807,3750.56258438766,450.008100145803,1900.14441097523,40.0000640001024,
8.9709,300.003600043201,1425.08122963009,257.145502068021,16210.5044068556,18626.3673304775,1113260.52259946,3800.57768780855,650.016900439411,1650.10890718787,80.0002560008192,
9.39554,440.007744136297,1625.10563186607,157.143844904168,16477.5198597476,18338.4420780432,1164129.32754699,4200.70571856072,450.008100145803,1750.1225085756,140.00078400439,
9.82007,480.009216176951,1350.07290393681,271.431518399343,15209.2472223112,17687.5050660817,1146251.67336011,4400.77453631839,1000.04000160006,1700.11560786133,120.000576002765,
10.24485,640.016384419441,1500.09000540032,200.0016000128,15809.9919148902,18438.5892402701,1158179.5581151,3400.46246289495,950.036101371852,1900.14441097523,200.0016000128,
10.66947,400.006400102402,1550.09610595857,200.0016000128,15976.8705613318,17912.8255831175,1130656.06760802,3850.59299132066,600.014400345608,1800.12960933187,120.000576002765,
11.09417,480.009216176951,1675.11223251958,214.287551036152,16210.5044068556,18501.1816238108,1149788.77943943,3650.53297781476,950.036101371852,2250.20251822664,100.0004000016,
11.51877,540.011664251948,1750.1225085756,342.861844962445,16344.0114207949,19127.1226852929,1188869.93978655,4150.68901437639,1000.04000160006,1950.15211186473,80.0002560008192,
11.94356,500.010000200004,1600.10240655402,185.715665316371,17478.8785764988,18651.4046221458,1133205.47807738,3850.59299132066,1500.09000540032,2350.22092076655,80.0002560008192,
12.36814,300.003600043201,1250.06250312516,285.717551057726,17311.9798900839,16823.814014925,1143590.35852274,3950.62419862338,1100.04840212969,1900.14441097523,40.0000640001024,
12.79287,580.013456312186,1575.09923125157,285.717551057726,16310.634533716,18238.2957175781,1134698.93523752,3700.5476810568,1400.07840439065,2600.27042812453,0,
13.2174,580.013456312186,1450.08410487808,257.145502068021,16444.1426164132,17086.6701957437,1133897.54675877,4200.70571856072,700.019600548815,2300.21161946899,60.0001440003456,
13.64194,340.004624062887,1575.09923125157,200.0016000128,17111.7044058136,17787.6470170291,1135901.11011369,3650.53297781476,1150.05290243351,1550.09610595857,80.0002560008192,
14.06655,320.004096052429,1225.06002794137,200.0016000128,17645.7794898001,16786.2635828641,1112460.44832657,3950.62419862338,1150.05290243351,2150.18491590277,100.0004000016,
14.49135,640.016384419441,1475.08703013478,285.717551057726,16210.5044068556,17024.0848897675,1100537.87988463,4250.72262284588,700.019600548815,2000.16001280102,80.0002560008192,
14.91597,480.009216176951,1250.06250312516,185.715665316371,15643.1154948895,18713.9980705568,1131311.58279096,3850.59299132066,800.025600819226,2200.1936170383,80.0002560008192,
15.34068,600.014400345608,1600.10240655402,257.145502068021,16277.2577357,17624.9167538531,1137540.61773812,4200.70571856072,950.036101371852,2250.20251822664,100.0004000016,
15.76529,480.009216176951,1225.06002794137,185.715665316371,17545.6386745904,17987.93332406,1137540.61773812,4200.70571856072,1100.04840212969,2250.20251822664,60.0001440003456,
16.18991,440.007744136297,1300.06760351538,342.861844962445,18480.3174611646,17449.6711456241,1136010.40422302,4400.77453631839,1000.04000160006,2150.18491590277,100.0004000016,
16.6147,460.00846415574,1725.11903321329,100.0004000016,16744.5410127846,18463.6261561032,1129600.02898644,4550.82825074164,1050.04410185228,2900.33643902693,80.0002560008192,
17.03929,540.011664251948,1575.09923125157,242.859502063734,16577.6521241409,17737.5759413424,1140164.25782149,5201.0818250196,650.016900439411,1300.06760351538,160.001024006554,
17.46397,420.007056118543,1550.09610595857,157.143844904168,17345.3594492181,17299.4625783729,1125522.33627658,3650.53297781476,1250.06250312516,2050.16811378533,80.0002560008192,
17.88862,460.00846415574,1475.08703013478,214.287551036152,15876.7431062915,19064.5271697033,1145012.08945359,3250.42255493214,1000.04000160006,2450.24012353211,80.0002560008192,
18.31339,460.00846415574,1425.08122963009,214.287551036152,16377.3883969372,17937.8614466573,1130546.81827494,3150.3969500157,350.004900068601,2400.23042212052,100.0004000016,
