1308H1-37a:01/28/2015 09:04:13 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.121407624633431;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.2346041055718;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.6256109481916;CCT Focus Lens Readback=3.18181818181818;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.37070660868161;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=36.2060497510433;Exhaust Flow Readback=0.531565004887586;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=24.1929778866051;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.624633431085044;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,460.00846415574,1375.0756291596,185.715665316371,14675.276162015,17649.952041165,1139216.77147912,3550.50417159237,400.006400102402,1900.14441097523,60.0001440003456,
0.4774,620.015376381334,1700.11560786133,242.859502063734,15509.6159618964,18225.7774788934,1138670.17598644,4350.75703172352,900.032401166442,2050.16811378533,140.00078400439,
0.90213,600.014400345608,1150.05290243351,300.0036000432,16076.998817907,18463.6261561032,1148366.52897518,4000.64010241639,950.036101371852,2500.2500250025,100.0004000016,
1.32673,400.006400102402,1300.06760351538,157.143844904168,16611.0297237366,18814.1482394761,1151357.08109013,3700.5476810568,600.014400345608,2050.16811378533,120.000576002765,
1.75153,640.016384419441,1525.09303067487,157.143844904168,15142.499593087,17925.3435086239,1118753.26484416,3450.47616571087,800.025600819226,2100.17641481884,140.00078400439,
2.17613,420.007056118543,1875.14063554767,228.573518386454,16177.1278760265,18939.3370781682,1133678.99479417,5251.10273157363,700.019600548815,2400.23042212052,80.0002560008192,
2.60088,420.007056118543,1275.06502831644,257.145502068021,16510.8971921468,18513.7001381022,1175488.85342983,3550.50417159237,1100.04840212969,2700.2916314962,120.000576002765,
3.02545,400.006400102402,1700.11560786133,328.575746995532,15476.2413012851,18363.4787934344,1132768.40095332,3050.37214540174,1000.04000160006,1950.15211186473,80.0002560008192,
3.45007,520.010816224977,1625.10563186607,128.572089799319,16677.7851901268,17837.718293143,1108351.7484241,3250.42255493214,950.036101371852,2000.16001280102,80.0002560008192,
3.87482,400.006400102402,1125.05062727823,142.857959188338,16544.2746136111,18613.8487034354,1120427.00977531,4900.9605882753,1050.04410185228,2250.20251822664,80.0002560008192,
4.29944,460.00846415574,1525.09303067487,171.429746946836,15309.3693340324,18801.6294245125,1147309.05840402,3450.47616571087,1250.06250312516,1850.13691013135,200.0016000128,
4.72426,360.005184074651,1800.12960933187,285.717551057726,17145.083430511,18939.3370781682,1172054.38762278,4150.68901437639,800.025600819226,1700.11560786133,80.0002560008192,
5.14905,480.009216176951,1550.09610595857,257.145502068021,16544.2746136111,18225.7774788934,1101191.88482623,4100.67251029169,600.014400345608,2050.16811378533,260.002704028122,
5.57369,340.004624062887,1725.11903321329,200.0016000128,15910.1188355794,17987.93332406,1158033.58552003,3750.56258438766,800.025600819226,1500.09000540032,40.0000640001024,
5.99841,420.007056118543,1025.0420267231,242.859502063734,17311.9798900839,18563.7743205458,1149205.27335333,3750.56258438766,800.025600819226,1950.15211186473,80.0002560008192,
6.42306,380.005776087797,1450.08410487808,371.434089877907,16277.2577357,18388.5155589358,1162778.52894022,2350.22092076655,750.02250067502,1400.07840439065,60.0001440003456,
6.8476,460.00846415574,1550.09610595857,214.287551036152,17011.567866149,16923.9490515334,1108315.39401973,3400.46246289495,900.032401166442,2150.18491590277,120.000576002765,
