1308H1-40e:01/28/2015 09:30:39 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.670381231671555;Torch Vertical Position Readback=0.110850439882697;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.8396871945259;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=34.1494972533635;Exhaust Flow Readback=0.517469208211144;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=21.5754227699432;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0362263440860215;Nebulizer Flow Readback=0.624633431085044;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05285,520.010816224977,1475.08703013478,371.434089877907,17044.9466236329,18526.2186649214,1130219.07575673,3900.60849492521,1200.05760276493,2200.1936170383,100.0004000016,
0.47741,440.007744136297,1400.07840439065,128.572089799319,15743.2410797195,18739.0355376177,1137686.36170376,3800.57768780855,1250.06250312516,1700.11560786133,80.0002560008192,
0.90193,340.004624062887,1600.10240655402,328.575746995532,16210.5044068556,17474.7060821984,1127997.92648208,3550.50417159237,1000.04000160006,2550.26012653291,80.0002560008192,
1.32658,480.009216176951,1500.09000540032,228.573518386454,15542.9907115621,17086.6701957437,1133861.12117749,4300.73972723308,750.02250067502,1800.12960933187,180.001296009331,
1.75136,620.015376381334,1425.08122963009,314.289665355793,15376.1178537741,18926.8181379213,1154311.83472149,4300.73972723308,1100.04840212969,2450.24012353211,100.0004000016,
2.17597,380.005776087797,1475.08703013478,200.0016000128,14908.8856958747,17274.4279925288,1119917.58643603,4500.81014582625,1100.04840212969,1800.12960933187,160.001024006554,
2.60054,360.005184074651,1575.09923125157,200.0016000128,15075.7523200649,18451.1076919228,1130546.81827494,3550.50417159237,1000.04000160006,1550.09610595857,220.001936017037,
3.02523,480.009216176951,1450.08410487808,228.573518386454,16611.0297237366,18275.8505087967,1155990.14023796,4600.84655576626,1100.04840212969,1950.15211186473,80.0002560008192,
3.4499,340.004624062887,1725.11903321329,171.429746946836,16377.3883969372,17587.3639168335,1140893.14021139,3900.60849492521,800.025600819226,2250.20251822664,140.00078400439,
3.87467,800.025600819226,1525.09303067487,242.859502063734,17679.1599396907,17725.0582037374,1131238.74614651,3900.60849492521,800.025600819226,1650.10890718787,100.0004000016,
4.29929,340.004624062887,1200.05760276493,228.573518386454,16477.5198597476,18225.7774788934,1152743.17866717,4600.84655576626,650.016900439411,3200.40965243551,80.0002560008192,
4.72402,460.00846415574,1075.04622698776,114.286236737082,16844.6754147793,17024.0848897675,1128507.66505901,4300.73972723308,950.036101371852,2050.16811378533,100.0004000016,
5.14862,560.012544280992,1450.08410487808,228.573518386454,15275.9952077402,17499.7410688777,1110424.11684101,4550.82825074164,950.036101371852,1600.10240655402,100.0004000016,
5.57343,620.015376381334,1275.06502831644,85.7145795928443,15042.3788171287,16911.4321281186,1108824.36489414,3800.57768780855,800.025600819226,2200.1936170383,60.0001440003456,
5.99803,460.00846415574,1475.08703013478,185.715665316371,15876.7431062915,17875.2718817595,1115079.05556732,3500.49006860961,700.019600548815,1750.1225085756,120.000576002765,
6.42274,480.009216176951,1750.1225085756,228.573518386454,17679.1599396907,18513.7001381022,1159675.87115209,4150.68901437639,750.02250067502,2250.20251822664,140.00078400439,
6.84742,340.004624062887,1425.08122963009,142.857959188338,15809.9919148902,18012.9693379233,1142132.33356524,3700.5476810568,800.025600819226,2200.1936170383,220.001936017037,
7.27217,560.012544280992,1600.10240655402,228.573518386454,15910.1188355794,17850.2361434884,1138415.10591286,4000.64010241639,1550.09610595857,2450.24012353211,20.0000160000128,
7.6968,280.003136035124,1100.04840212969,228.573518386454,17145.083430511,18801.6294245125,1134735.36315434,2650.28092977856,650.016900439411,1650.10890718787,120.000576002765,
8.1215,340.004624062887,1600.10240655402,228.573518386454,16444.1426164132,17562.3287547859,1145522.49212148,3000.36004320518,1050.04410185228,2050.16811378533,120.000576002765,
8.54603,520.010816224977,1525.09303067487,142.857959188338,15409.4922472243,17812.6826300326,1144210.06837931,3550.50417159237,650.016900439411,2100.17641481884,80.0002560008192,
8.97066,480.009216176951,1000.04000160006,185.715665316371,15042.3788171287,17662.4697036108,1126323.2111829,3800.57768780855,900.032401166442,1750.1225085756,100.0004000016,
9.39542,660.017424460006,1875.14063554767,242.859502063734,17178.4625442804,18213.259252736,1144902.72004596,4000.64010241639,950.036101371852,2750.30253327866,240.002304022119,
9.82002,440.007744136297,1650.10890718787,185.715665316371,15676.4906007765,18263.3322325297,1108169.97741469,4150.68901437639,1150.05290243351,2200.1936170383,120.000576002765,
10.24483,380.005776087797,1525.09303067487,114.286236737082,16010.246557797,18088.0776801628,1149898.18972971,3900.60849492521,700.019600548815,1900.14441097523,140.00078400439,
10.66942,420.007056118543,1625.10563186607,171.429746946836,17178.4625442804,18000.4513247281,1159931.35634012,2900.33643902693,950.036101371852,2100.17641481884,180.001296009331,
11.09397,560.012544280992,1200.05760276493,257.145502068021,14775.393999389,18000.4513247281,1127488.20779366,3600.51847466035,750.02250067502,2950.34814108065,100.0004000016,
11.51877,500.010000200004,1375.0756291596,114.286236737082,14641.9037276486,18275.8505087967,1146105.83385858,4550.82825074164,850.028900982633,2050.16811378533,160.001024006554,
11.94334,320.004096052429,1550.09610595857,157.143844904168,16143.7514342589,17712.5404786589,1131165.9099081,3750.56258438766,950.036101371852,1950.15211186473,60.0001440003456,
12.36804,360.005184074651,1600.10240655402,185.715665316371,16944.8106183922,18163.1864733797,1143335.19241495,3650.53297781476,1000.04000160006,2400.23042212052,80.0002560008192,
12.7927,460.00846415574,1175.0552275957,357.147959256561,16110.3750815525,17725.0582037374,1149168.80508758,4250.72262284588,550.012100266206,2450.24012353211,60.0001440003456,
13.21753,380.005776087797,1625.10563186607,171.429746946836,16744.5410127846,16273.0856422103,1127524.61561186,4250.72262284588,1150.05290243351,2350.22092076655,60.0001440003456,
13.64216,340.004624062887,1450.08410487808,142.857959188338,16711.163056922,19728.0555718184,1154603.6984702,4250.72262284588,1100.04840212969,2350.22092076655,200.0016000128,
14.0669,640.016384419441,1600.10240655402,314.289665355793,16911.4321281186,17674.987378583,1141694.95778988,3700.5476810568,850.028900982633,2250.20251822664,100.0004000016,
14.49142,460.00846415574,1175.0552275957,328.575746995532,16243.8810267467,17299.4625783729,1116243.04959718,4650.86506090133,800.025600819226,1750.1225085756,60.0001440003456,
14.91595,580.013456312186,1775.12603394841,157.143844904168,16611.0297237366,18964.3749962472,1131821.45067148,3700.5476810568,1100.04840212969,1600.10240655402,140.00078400439,
15.34048,420.007056118543,1100.04840212969,142.857959188338,16711.163056922,18325.9237391389,1105552.7554933,4300.73972723308,950.036101371852,2350.22092076655,80.0002560008192,
15.76499,560.012544280992,1325.07022872212,214.287551036152,14641.9037276486,18200.7410391059,1127378.98494784,4000.64010241639,950.036101371852,2200.1936170383,260.002704028122,
16.18963,320.004096052429,1675.11223251958,228.573518386454,14708.648685427,17599.881516647,1116061.16869026,3200.40965243551,700.019600548815,2300.21161946899,140.00078400439,
16.61419,480.009216176951,1400.07840439065,314.289665355793,17211.841747122,17161.7729762617,1124466.71255284,3800.57768780855,1200.05760276493,1950.15211186473,120.000576002765,
17.03897,260.002704028122,1250.06250312516,285.717551057726,16544.2746136111,17712.5404786589,1149424.08508395,4400.77453631839,900.032401166442,2200.1936170383,20.0000160000128,
17.46359,520.010816224977,1625.10563186607,200.0016000128,16410.7654621432,16811.2971917128,1137722.79794913,4250.72262284588,1050.04410185228,2000.16001280102,100.0004000016,
17.8883,460.00846415574,1325.07022872212,200.0016000128,16243.8810267467,17662.4697036108,1131348.00126545,3800.57768780855,800.025600819226,1900.14441097523,180.001296009331,
18.31292,380.005776087797,1600.10240655402,171.429746946836,15409.4922472243,18088.0776801628,1149569.96160546,3800.57768780855,750.02250067502,1800.12960933187,120.000576002765,
18.73773,380.005776087797,1550.09610595857,228.573518386454,15542.9907115621,19427.5855201564,1172163.98431066,3950.62419862338,950.036101371852,2600.27042812453,80.0002560008192,
19.16234,440.007744136297,1475.08703013478,242.859502063734,15609.7404780583,17086.6701957437,1131748.61118467,3800.57768780855,500.010000200004,2500.2500250025,80.0002560008192,
19.58706,440.007744136297,1450.08410487808,171.429746946836,15976.8705613318,17124.221529637,1149022.93304177,4050.65620630542,800.025600819226,1900.14441097523,120.000576002765,
20.01169,520.010816224977,1375.0756291596,271.431518399343,17579.0188572504,17024.0848897675,1133023.36083224,3250.42255493214,850.028900982633,1950.15211186473,60.0001440003456,
20.43646,480.009216176951,1175.0552275957,157.143844904168,15843.3674660618,17512.2585810067,1113696.94741328,3400.46246289495,800.025600819226,2250.20251822664,120.000576002765,
20.86107,420.007056118543,1575.09923125157,342.861844962445,15542.9907115621,18213.259252736,1146725.66297638,3450.47616571087,1500.09000540032,1350.07290393681,60.0001440003456,
21.28578,360.005184074651,1175.0552275957,242.859502063734,15910.1188355794,17362.049262188,1127014.91539027,3450.47616571087,700.019600548815,2450.24012353211,140.00078400439,
21.71036,680.018496503105,1400.07840439065,242.859502063734,15609.7404780583,17111.7044058136,1136775.48858346,3950.62419862338,1350.07290393681,2050.16811378533,120.000576002765,
22.13486,340.004624062887,1875.14063554767,214.287551036152,16744.5410127846,17762.6114541324,1157121.29371029,4350.75703172352,1300.06760351538,1600.10240655402,40.0000640001024,
22.55954,520.010816224977,1475.08703013478,271.431518399343,14475.0428914865,17424.6362591545,1105552.7554933,3500.49006860961,1100.04840212969,2000.16001280102,80.0002560008192,
22.98408,340.004624062887,1350.07290393681,171.429746946836,14775.393999389,17399.6014227896,1115551.91562796,4450.7922410189,1150.05290243351,2050.16811378533,80.0002560008192,
23.40863,420.007056118543,1200.05760276493,228.573518386454,13907.7326993809,18338.4420780432,1143918.43655185,4550.82825074164,1100.04840212969,2000.16001280102,220.001936017037,
23.83339,700.019600548815,1600.10240655402,142.857959188338,16577.6521241409,17574.8463295465,1127269.76301521,3700.5476810568,1050.04410185228,2500.2500250025,100.0004000016,
24.25802,480.009216176951,1750.1225085756,214.287551036152,17044.9466236329,16923.9490515334,1136265.42736627,3700.5476810568,1000.04000160006,1400.07840439065,100.0004000016,
24.68276,420.007056118543,1500.09000540032,171.429746946836,15175.8733631737,19289.8724916911,1151867.73152423,3550.50417159237,1000.04000160006,2600.27042812453,140.00078400439,
25.10737,220.001936017037,1175.0552275957,257.145502068021,16978.1891977355,18063.0415159745,1109296.99847522,4400.77453631839,550.012100266206,1750.1225085756,240.002304022119,
25.53195,560.012544280992,1225.06002794137,385.720236826511,17545.6386745904,17311.9798900839,1149059.40090064,4800.92177698118,800.025600819226,2150.18491590277,40.0000640001024,
25.9565,280.003136035124,1550.09610595857,271.431518399343,17211.841747122,18513.7001381022,1165224.67206252,4400.77453631839,950.036101371852,1900.14441097523,80.0002560008192,
26.38128,480.009216176951,1650.10890718787,257.145502068021,14708.648685427,17449.6711456241,1134225.38155969,3850.59299132066,600.014400345608,1950.15211186473,140.00078400439,
26.80588,440.007744136297,1550.09610595857,300.0036000432,16444.1426164132,17950.3793972175,1162303.95713568,3750.56258438766,850.028900982633,1650.10890718787,120.000576002765,
27.23062,460.00846415574,1500.09000540032,271.431518399343,16611.0297237366,17775.1292293174,1115988.41703682,3550.50417159237,800.025600819226,1950.15211186473,120.000576002765,
27.65527,460.00846415574,1225.06002794137,257.145502068021,15743.2410797195,17537.2936428436,1144756.89559248,4300.73972723308,900.032401166442,1950.15211186473,100.0004000016,
28.08005,400.006400102402,5201.0818250196,8988.94516943518,174746.305689895,208639.303192876,1216772.86207461,43274.7788177972,148223.630075666,41217.8445721658,628870.984673525,
28.50464,53353.621873141,1103315.38931509,170990.131821194,870597.341744382,1185219.87301494,1310582.74783517,124416.108569637,228927.286194933,236924.244810279,2840375.23133243,
28.92935,71182.1002189416,2387986.05033592,272174.094375252,456520.26339013,1677392.35064167,1266206.24925579,60546.2798120259,178059.234909278,149842.763183045,2271363.4742241,
29.35389,27790.8589698001,1388882.50003815,309279.394197088,312183.597705029,1743092.80177131,1239409.77421513,50853.232061084,138310.987050753,85743.0698126195,1688610.23777324,
29.77856,26327.6967369673,1231390.22283472,128586.567262765,206322.148896098,896913.709411767,1253076.86060806,33093.7499374173,93800.6267427644,52610.4820122257,928420.149312043,
30.20307,15950.1698282825,790158.888010877,97651.3761257372,116036.086720649,566201.890160438,1192528.35428503,56075.4969622014,69341.7994171879,25125.2257266295,669817.961972526,
30.62786,9723.78060589957,477239.653183432,75470.0002808453,158160.971977163,350637.340373374,1166247.07635799,18463.6261561032,37155.1382251261,17662.4697036108,385308.364479414,
31.05246,5001.00020004001,275860.744161782,29062.3169302871,48360.0337718689,215224.549139177,1143298.74052044,15609.7404780583,23371.8292885555,14958.9454493787,239166.340240115,
