NCC:01/28/2015 09:32:02 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.649266862170088;Torch Vertical Position Readback=0.121407624633431;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.97653958944282;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.53631577901868;Analyzer Pressure Readback=6.18443597427409E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.6975349438822;Exhaust Flow Readback=0.528544477028348;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=23.4334286558825;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.798631476051;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0193768817204302;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,380.005776087797,1275.06502831644,328.575746995532,15209.2472223112,16823.814014925,1108788.00917358,4150.68901437639,700.019600548815,2100.17641481884,20.0000160000128,
0.47738,360.005184074651,1650.10890718787,285.717551057726,15542.9907115621,17086.6701957437,1109078.85777306,4000.64010241639,900.032401166442,1800.12960933187,80.0002560008192,
0.90217,280.003136035124,1625.10563186607,157.143844904168,16611.0297237366,17862.7540063605,1103372.13802628,5001.00020004001,1250.06250312516,2400.23042212052,140.00078400439,
1.32676,460.00846415574,1450.08410487808,342.861844962445,16043.6226433219,14658.5899337011,1098903.01090865,3900.60849492521,1050.04410185228,1850.13691013135,80.0002560008192,
1.75151,360.005184074651,2125.18064035443,242.859502063734,15442.8667297278,16373.2162700487,1097667.91239535,4000.64010241639,1000.04000160006,2100.17641481884,160.001024006554,
2.17609,560.012544280992,1375.0756291596,228.573518386454,15910.1188355794,16085.3428754689,1094907.52660637,3600.51847466035,1200.05760276493,1800.12960933187,260.002704028122,
2.60081,360.005184074651,1350.07290393681,85.7145795928443,16878.0537269144,18588.8114869348,1148220.66588013,3750.56258438766,1100.04840212969,1450.08410487808,80.0002560008192,
3.02531,520.010816224977,1475.08703013478,200.0016000128,15442.8667297278,17499.7410688777,1155917.16595406,4350.75703172352,750.02250067502,2050.16811378533,140.00078400439,
3.44988,420.007056118543,1375.0756291596,257.145502068021,17178.4625442804,18476.1446328113,1128216.3834368,4500.81014582625,700.019600548815,2000.16001280102,140.00078400439,
3.87437,440.007744136297,1625.10563186607,214.287551036152,17145.083430511,18213.259252736,1117298.0088172,3750.56258438766,1150.05290243351,1800.12960933187,80.0002560008192,
4.29891,540.011664251948,1300.06760351538,214.287551036152,16577.6521241409,16786.2635828641,1137176.26493478,3900.60849492521,1050.04410185228,2300.21161946899,120.000576002765,
4.72359,520.010816224977,1325.07022872212,285.717551057726,16410.7654621432,18463.6261561032,1119553.72478767,4200.70571856072,950.036101371852,2000.16001280102,120.000576002765,
5.14812,420.007056118543,1450.08410487808,242.859502063734,16611.0297237366,18038.0054018948,1158362.02614999,5101.04061228491,950.036101371852,1250.06250312516,40.0000640001024,
5.57288,420.007056118543,1525.09303067487,328.575746995532,16143.7514342589,17950.3793972175,1131857.87056717,4050.65620630542,850.028900982633,2400.23042212052,120.000576002765,
5.99748,620.015376381334,1500.09000540032,200.0016000128,14975.6320784043,17962.8973603047,1141148.25865098,4200.70571856072,900.032401166442,1600.10240655402,160.001024006554,
6.42226,440.007744136297,1175.0552275957,242.859502063734,14875.5126381822,18826.6670669679,1143954.89017447,4450.7922410189,950.036101371852,2450.24012353211,120.000576002765,
6.84704,560.012544280992,1850.13691013135,228.573518386454,16844.6754147793,19139.6418259969,1132622.71182756,4500.81014582625,1100.04840212969,1650.10890718787,100.0004000016,
7.27167,560.012544280992,1475.08703013478,228.573518386454,17078.3254701877,17562.3287547859,1120427.00977531,4650.86506090133,1050.04410185228,2550.26012653291,160.001024006554,
7.69638,380.005776087797,1575.09923125157,357.147959256561,16243.8810267467,18451.1076919228,1141221.15054834,4000.64010241639,500.010000200004,1950.15211186473,60.0001440003456,
8.12101,560.012544280992,1175.0552275957,228.573518386454,17679.1599396907,17149.2558148611,1128434.8440446,4350.75703172352,650.016900439411,2500.2500250025,160.001024006554,
8.54579,400.006400102402,1275.06502831644,228.573518386454,15809.9919148902,17074.1531094972,1109987.8014137,2850.32493704282,900.032401166442,2400.23042212052,140.00078400439,
8.9704,360.005184074651,1275.06502831644,171.429746946836,16477.5198597476,17837.718293143,1131857.87056717,4300.73972723308,950.036101371852,2200.1936170383,160.001024006554,
9.39514,360.005184074651,1725.11903321329,200.0016000128,16377.3883969372,17574.8463295465,1104062.62747484,3900.60849492521,650.016900439411,1800.12960933187,20.0000160000128,
9.81975,360.005184074651,1825.13323472614,171.429746946836,15476.2413012851,16510.8971921468,1115115.4288102,3250.42255493214,800.025600819226,1300.06760351538,100.0004000016,
10.24432,420.007056118543,1625.10563186607,200.0016000128,15542.9907115621,17161.7729762617,1120208.68305391,5051.02030610183,950.036101371852,1400.07840439065,160.001024006554,
10.66911,600.014400345608,1425.08122963009,200.0016000128,16043.6226433219,18501.1816238108,1130255.49118609,4550.82825074164,850.028900982633,1650.10890718787,100.0004000016,
