NCC:01/28/2015 09:33:31 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.121407624633431;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.960899315738;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.97653958944282;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.11339198435973;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=36.2060497510433;Exhaust Flow Readback=0.526530791788856;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=24.0417426885951;Spray Chamber Temperature Readback=19.9783669914792;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.892961876832845;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,480.009216176951,1475.08703013478,242.859502063734,15042.3788171287,18113.1138944596,1159785.36419304,4250.72262284588,800.025600819226,1550.09610595857,100.0004000016,
0.47753,300.003600043201,1500.09000540032,228.573518386454,17879.4445096763,18476.1446328113,1157814.62968207,3850.59299132066,1100.04840212969,2250.20251822664,120.000576002765,
0.90215,360.005184074651,1625.10563186607,300.0036000432,16377.3883969372,18989.41296444,1140820.25014325,3700.5476810568,800.025600819226,2150.18491590277,100.0004000016,
1.32696,420.007056118543,1500.09000540032,214.287551036152,16344.0114207949,18000.4513247281,1118607.73194368,3700.5476810568,1050.04410185228,1750.1225085756,60.0001440003456,
1.75176,440.007744136297,1600.10240655402,185.715665316371,15643.1154948895,18075.5595918051,1124066.32586951,3350.44896016066,1400.07840439065,1400.07840439065,120.000576002765,
2.17639,540.011664251948,1375.0756291596,157.143844904168,15542.9907115621,18250.8139687902,1127269.76301521,3850.59299132066,1300.06760351538,1900.14441097523,60.0001440003456,
2.60111,540.011664251948,1750.1225085756,300.0036000432,14842.1396695373,17412.118834709,1131093.07407573,4250.72262284588,1050.04410185228,1950.15211186473,20.0000160000128,
3.02562,600.014400345608,1575.09923125157,200.0016000128,16177.1278760265,17712.5404786589,1103699.20742208,3550.50417159237,950.036101371852,2400.23042212052,120.000576002765,
3.45019,400.006400102402,1750.1225085756,371.434089877907,16677.7851901268,18839.185906988,1167671.27264201,3950.62419862338,1150.05290243351,2050.16811378533,180.001296009331,
3.87483,400.006400102402,1650.10890718787,142.857959188338,16210.5044068556,18338.4420780432,1142861.32571495,3800.57768780855,1050.04410185228,2450.24012353211,120.000576002765,
4.29938,500.010000200004,1375.0756291596,257.145502068021,15876.7431062915,17837.718293143,1132367.75976619,4200.70571856072,1300.06760351538,1950.15211186473,100.0004000016,
4.72415,520.010816224977,1050.04410185228,200.0016000128,17345.3594492181,17962.8973603047,1142423.92554638,4500.81014582625,850.028900982633,2100.17641481884,120.000576002765,
5.14876,460.00846415574,1650.10890718787,228.573518386454,16143.7514342589,17599.881516647,1125995.5746047,3600.51847466035,1300.06760351538,1650.10890718787,100.0004000016,
5.57349,300.003600043201,1350.07290393681,171.429746946836,15609.7404780583,18063.0415159745,1133132.63087473,4300.73972723308,850.028900982633,2550.26012653291,160.001024006554,
5.998,340.004624062887,1350.07290393681,314.289665355793,16611.0297237366,17449.6711456241,1101191.88482623,4150.68901437639,750.02250067502,2250.20251822664,40.0000640001024,
6.42259,460.00846415574,1400.07840439065,185.715665316371,17846.0635253147,17011.567866149,1103880.91618357,3750.56258438766,450.008100145803,1650.10890718787,100.0004000016,
6.84721,520.010816224977,1675.11223251958,157.143844904168,15542.9907115621,18426.070801145,1118243.90678782,3900.60849492521,750.02250067502,1950.15211186473,140.00078400439,
