NIST610:01/28/2015 09:37:42 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.15307917888563;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.985337243402;Extraction Lens 1 Positive Readback=2.62463343108504;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.2346041055718;Focus Lens Readback=17.8250244379277;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=36.2060497510433;Exhaust Flow Readback=0.526530791788856;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=24.0417426885951;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.624633431085044;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.890029325513196;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,500.010000200004,1500.09000540032,200.0016000128,15376.1178537741,17036.6019259115,1094035.94714392,3950.62419862338,450.008100145803,2050.16811378533,160.001024006554,
0.47745,420.007056118543,1475.08703013478,100.0004000016,16644.4074123984,18088.0776801628,1101228.21939509,4000.64010241639,950.036101371852,2200.1936170383,60.0001440003456,
0.90225,440.007744136297,1700.11560786133,257.145502068021,17044.9466236329,16348.183537942,1111914.97124904,5401.16665199683,900.032401166442,2250.20251822664,100.0004000016,
1.32685,360.005184074651,1525.09303067487,185.715665316371,15242.6211704999,16323.1508559335,1122719.66072508,4000.64010241639,1250.06250312516,2550.26012653291,60.0001440003456,
1.75166,360.005184074651,1575.09923125157,157.143844904168,17345.3594492181,16535.9302498952,1128762.54180602,3750.56258438766,900.032401166442,1400.07840439065,80.0002560008192,
2.17646,440.007744136297,1575.09923125157,228.573518386454,15109.1259120509,17086.6701957437,1106388.75545624,3350.44896016066,750.02250067502,1800.12960933187,120.000576002765,
2.60105,340.004624062887,1525.09303067487,242.859502063734,16477.5198597476,18401.0339604779,1146069.37423741,4450.7922410189,1100.04840212969,2350.22092076655,220.001936017037,
3.02579,380.005776087797,1450.08410487808,271.431518399343,16110.3750815525,17612.3991289868,1130146.24520251,4000.64010241639,450.008100145803,2300.21161946899,60.0001440003456,
3.45043,300.003600043201,1225.06002794137,214.287551036152,16744.5410127846,17862.7540063605,1113369.62743533,3400.46246289495,950.036101371852,1800.12960933187,40.0000640001024,
3.87523,340.004624062887,1825.13323472614,185.715665316371,14775.393999389,17950.3793972175,1136775.48858346,4000.64010241639,750.02250067502,1700.11560786133,200.0016000128,
4.29984,280.003136035124,1600.10240655402,285.717551057726,16043.6226433219,18739.0355376177,1134917.50426173,3250.42255493214,700.019600548815,2500.2500250025,120.000576002765,
4.72456,260.002704028122,1225.06002794137,200.0016000128,15342.743549377,17599.881516647,1141476.27539034,4050.65620630542,650.016900439411,2650.28092977856,140.00078400439,
5.14921,480.009216176951,1500.09000540032,257.145502068021,15976.8705613318,18563.7743205458,1127888.6993746,4750.90267150759,1400.07840439065,2100.17641481884,180.001296009331,
5.574,480.009216176951,1350.07290393681,228.573518386454,16777.9190577147,19039.4890511679,1133751.84504288,4450.7922410189,700.019600548815,2150.18491590277,120.000576002765,
5.99865,600.014400345608,1675.11223251958,228.573518386454,17011.567866149,18889.2613923512,1138342.22966332,4550.82825074164,900.032401166442,2000.16001280102,40.0000640001024,
6.42334,360.005184074651,1750.1225085756,271.431518399343,15309.3693340324,18150.6683098588,1140091.37181805,4100.67251029169,650.016900439411,2050.16811378533,100.0004000016,
6.84795,380.005776087797,1575.09923125157,185.715665316371,15643.1154948895,17987.93332406,1118425.81809875,5151.06111859043,1050.04410185228,1800.12960933187,140.00078400439,
