NIST610:01/28/2015 09:39:13 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.8396871945259;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.5698319496243;Exhaust Flow Readback=0.528544477028348;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=23.1272301776909;Spray Chamber Temperature Readback=19.8760924774048;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.624633431085044;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05291,640.016384419441,1350.07290393681,200.0016000128,15843.3674660618,15997.7305486859,1114533.46908248,4300.73972723308,1200.05760276493,2400.23042212052,60.0001440003456,
0.47756,400.006400102402,1575.09923125157,242.859502063734,17211.841747122,16999.050855056,1131493.67617853,4300.73972723308,1000.04000160006,2050.16811378533,120.000576002765,
0.90236,400.006400102402,1375.0756291596,171.429746946836,16010.246557797,17562.3287547859,1123629.55439358,4250.72262284588,800.025600819226,2400.23042212052,80.0002560008192,
1.327,620.015376381334,1450.08410487808,242.859502063734,17712.5404786589,17612.3991289868,1123374.77777716,3650.53297781476,400.006400102402,2600.27042812453,160.001024006554,
1.75182,460.00846415574,1525.09303067487,214.287551036152,16744.5410127846,18388.5155589358,1141439.82867946,3800.57768780855,1000.04000160006,2600.27042812453,80.0002560008192,
2.17661,580.013456312186,1100.04840212969,114.286236737082,16811.2971917128,19114.6035571176,1155771.21860784,3300.43565750679,500.010000200004,2050.16811378533,80.0002560008192,
2.60124,480.009216176951,1425.08122963009,257.145502068021,14641.9037276486,18976.8939740793,1146105.83385858,3850.59299132066,550.012100266206,1850.13691013135,100.0004000016,
3.02606,480.009216176951,1375.0756291596,142.857959188338,16310.634533716,18739.0355376177,1184334.9248754,4550.82825074164,750.02250067502,1800.12960933187,120.000576002765,
3.45084,660.017424460006,1700.11560786133,142.857959188338,14975.6320784043,19227.2761617303,1146725.66297638,3600.51847466035,1150.05290243351,2300.21161946899,100.0004000016,
3.87546,700.019600548815,1175.0552275957,328.575746995532,15643.1154948895,18163.1864733797,1153363.32252328,3950.62419862338,650.016900439411,1850.13691013135,100.0004000016,
4.30025,400.006400102402,1550.09610595857,171.429746946836,15275.9952077402,17311.9798900839,1136010.40422302,4250.72262284588,1300.06760351538,2150.18491590277,180.001296009331,
4.72483,300.003600043201,1075.04622698776,200.0016000128,16611.0297237366,17750.0936914741,1165115.13348395,4850.94108257002,800.025600819226,2300.21161946899,60.0001440003456,
5.14964,440.007744136297,1375.0756291596,228.573518386454,16210.5044068556,18463.6261561032,1129854.92704544,4650.86506090133,950.036101371852,1850.13691013135,160.001024006554,
5.57425,640.016384419441,1625.10563186607,271.431518399343,16711.163056922,18175.7046494278,1129345.13590047,3300.43565750679,1050.04410185228,2300.21161946899,160.001024006554,
5.99897,540.011664251948,1450.08410487808,185.715665316371,16410.7654621432,19465.1438819401,1171104.58810869,3800.57768780855,900.032401166442,1800.12960933187,120.000576002765,
6.42358,560.012544280992,1600.10240655402,171.429746946836,15876.7431062915,18613.8487034354,1122610.47774423,3500.49006860961,650.016900439411,1450.08410487808,80.0002560008192,
6.84817,400.006400102402,1650.10890718787,142.857959188338,15910.1188355794,18989.41296444,1145522.49212148,3900.60849492521,950.036101371852,2100.17641481884,60.0001440003456,
