1308H1-6c:01/28/2015 05:16:33 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.121407624633431;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.62463343108504;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.11339198435973;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=5.78062217507179E-07;
Detector:Detector Voltage (Counting) Readback=1345.06353861193;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=34.6693387747299;Exhaust Flow Readback=0.535592375366569;Quad Board Temperature Readback=30.1006842619746;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=21.7321852825217;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1176.6862170088;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0362263440860215;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05285,620.015376381334,1400.07840439065,300.0036000432,19682.1499579669,18300.8870989129,1139289.65260536,3150.3969500157,300.003600043201,1400.07840439065,40.0000640001024,
0.47753,540.011664251948,1525.09303067487,157.143844904168,19481.8365233729,18551.2557561432,1117916.47281369,3350.44896016066,200.0016000128,1750.1225085756,80.0002560008192,
0.90207,500.010000200004,1575.09923125157,300.0036000432,17979.5879972407,18526.2186649214,1147236.13255184,4200.70571856072,550.012100266206,1750.1225085756,60.0001440003456,
1.32679,580.013456312186,1525.09303067487,171.429746946836,20450.0478391005,18188.2228380032,1149971.13043187,3450.47616571087,550.012100266206,1950.15211186473,20.0000160000128,
1.75134,640.016384419441,1350.07290393681,242.859502063734,20316.4969955604,18901.7802950129,1145741.24222251,3950.62419862338,200.0016000128,1800.12960933187,200.0016000128,
2.17589,560.012544280992,1600.10240655402,142.857959188338,20249.7221084264,19477.6633609265,1172273.58191642,3200.40965243551,150.0009000054,1950.15211186473,80.0002560008192,
2.60054,500.010000200004,1550.09610595857,300.0036000432,22286.5165240508,19415.0660912868,1163654.70673683,3800.57768780855,300.003600043201,2300.21161946899,40.0000640001024,
3.02532,480.009216176951,1275.06502831644,228.573518386454,19548.6073118463,19778.1346154135,1196956.40267586,3300.43565750679,700.019600548815,1900.14441097523,40.0000640001024,
3.44994,560.012544280992,1550.09610595857,257.145502068021,18580.4657592372,19252.3146561279,1194211.56820204,4500.81014582625,600.014400345608,2400.23042212052,80.0002560008192,
3.87464,660.017424460006,1650.10890718787,300.0036000432,21585.2875747478,19565.3000646506,1171871.72851603,3850.59299132066,400.006400102402,2000.16001280102,60.0001440003456,
4.29914,580.013456312186,1600.10240655402,200.0016000128,21351.5533255044,18350.960429475,1165151.64624157,3700.5476810568,300.003600043201,1550.09610595857,40.0000640001024,
4.72379,600.014400345608,1350.07290393681,257.145502068021,20850.7089241034,20128.6935339481,1157157.7841609,3900.60849492521,550.012100266206,2250.20251822664,80.0002560008192,
5.1486,440.007744136297,1675.11223251958,242.859502063734,19949.2395269828,20466.7417947881,1203619.59331982,3900.60849492521,350.004900068601,1500.09000540032,140.00078400439,
5.57322,580.013456312186,1325.07022872212,328.575746995532,19915.8530190031,19440.1049615551,1193296.75119302,3550.50417159237,450.008100145803,2800.31363512713,20.0000160000128,
5.99794,700.019600548815,1700.11560786133,271.431518399343,19314.911111378,19415.0660912868,1196590.39150979,4500.81014582625,350.004900068601,1750.1225085756,20.0000160000128,
6.42255,580.013456312186,1325.07022872212,171.429746946836,21384.9436651858,20041.0528833596,1163435.65678596,3550.50417159237,400.006400102402,2450.24012353211,60.0001440003456,
6.84734,500.010000200004,1600.10240655402,185.715665316371,20049.3995855345,19665.4570492407,1206403.02792275,3600.51847466035,450.008100145803,2250.20251822664,120.000576002765,
7.27195,400.006400102402,1200.05760276493,171.429746946836,21151.213158857,20541.8648710591,1180093.91323289,4150.68901437639,450.008100145803,2600.27042812453,140.00078400439,
7.69674,520.010816224977,1150.05290243351,285.717551057726,20283.1095074407,19978.4527945565,1158179.5581151,4350.75703172352,500.010000200004,1850.13691013135,40.0000640001024,
8.12153,440.007744136297,1625.10563186607,171.429746946836,21084.4338162291,18238.2957175781,1112242.25476078,3250.42255493214,500.010000200004,1950.15211186473,100.0004000016,
8.54613,640.016384419441,1475.08703013478,171.429746946836,21184.6029638427,18751.5542899403,1135718.95529607,4550.82825074164,350.004900068601,1800.12960933187,80.0002560008192,
8.97086,420.007056118543,1050.04410185228,214.287551036152,20082.7864499238,18889.2613923512,1159347.3975286,3850.59299132066,700.019600548815,2100.17641481884,100.0004000016,
9.39539,520.010816224977,1650.10890718787,142.857959188338,20583.6001083558,19577.8196438713,1197066.20802007,3750.56258438766,500.010000200004,1800.12960933187,80.0002560008192,
9.81994,680.018496503105,1300.06760351538,200.0016000128,21852.417778193,21305.6417539535,1191540.48164497,3600.51847466035,150.0009000054,1650.10890718787,40.0000640001024,
10.24451,400.006400102402,1325.07022872212,285.717551057726,19982.6261240644,18789.1106220772,1178668.36444057,3550.50417159237,450.008100145803,2650.28092977856,100.0004000016,
10.66908,320.004096052429,1375.0756291596,242.859502063734,20650.3767776338,19452.624415483,1183932.70100881,3850.59299132066,150.0009000054,2350.22092076655,120.000576002765,
11.09361,400.006400102402,1225.06002794137,214.287551036152,19882.4666001249,19164.6801449911,1163800.74207516,3550.50417159237,400.006400102402,2000.16001280102,60.0001440003456,
11.51825,380.005776087797,1500.09000540032,242.859502063734,19181.3723854956,19440.1049615551,1138487.98256877,3950.62419862338,250.002500025,1850.13691013135,100.0004000016,
11.94302,540.011664251948,1825.13323472614,171.429746946836,19114.6035571176,18238.2957175781,1178266.31464461,3550.50417159237,400.006400102402,2650.28092977856,140.00078400439,
12.36764,520.010816224977,1500.09000540032,314.289665355793,18413.5523745477,18325.9237391389,1145850.61864569,3800.57768780855,400.006400102402,1600.10240655402,100.0004000016,
12.79237,520.010816224977,1800.12960933187,171.429746946836,19949.2395269828,22319.9093591484,1193150.38640135,4300.73972723308,700.019600548815,2050.16811378533,140.00078400439,
13.21686,440.007744136297,1525.09303067487,228.573518386454,20416.6599945556,19026.9700106931,1167379.11717543,3900.60849492521,450.008100145803,2850.32493704282,140.00078400439,
13.64143,660.017424460006,1725.11903321329,228.573518386454,20984.2654706414,20253.8955284303,1175086.90128851,4450.7922410189,450.008100145803,1550.09610595857,20.0000160000128,
14.06598,540.011664251948,1375.0756291596,157.143844904168,19815.6940296715,19440.1049615551,1181702.41109043,3450.47616571087,850.028900982633,2000.16001280102,60.0001440003456,
14.49059,740.021904648378,1300.06760351538,257.145502068021,21384.9436651858,19728.0555718184,1186894.82086069,3700.5476810568,250.002500025,1700.11560786133,40.0000640001024,
14.91536,500.010000200004,1550.09610595857,200.0016000128,19915.8530190031,18889.2613923512,1154530.73192234,3500.49006860961,250.002500025,2050.16811378533,60.0001440003456,
15.33996,640.016384419441,1450.08410487808,285.717551057726,20850.7089241034,19615.3784567101,1150335.84004642,4600.84655576626,150.0009000054,1750.1225085756,60.0001440003456,
15.76475,660.017424460006,1150.05290243351,185.715665316371,19782.3078780956,19314.911111378,1186675.38159223,4000.64010241639,400.006400102402,2050.16811378533,80.0002560008192,
16.18956,600.014400345608,1550.09610595857,228.573518386454,20717.1538033492,18651.4046221458,1147418.44794502,3750.56258438766,700.019600548815,1600.10240655402,20.0000160000128,
16.61419,560.012544280992,1525.09303067487,185.715665316371,20650.3767776338,19828.2138594836,1165772.37871292,3950.62419862338,500.010000200004,1850.13691013135,140.00078400439,
17.03892,520.010816224977,1375.0756291596,271.431518399343,19448.4512627816,19064.5271697033,1160040.85151979,4300.73972723308,750.02250067502,2000.16001280102,60.0001440003456,
17.46353,440.007744136297,1700.11560786133,271.431518399343,21284.7729134917,19214.7569333248,1185541.67062359,4050.65620630542,400.006400102402,2450.24012353211,20.0000160000128,
17.88814,480.009216176951,1175.0552275957,171.429746946836,18814.1482394761,18688.9606536082,1155698.24554551,4250.72262284588,650.016900439411,1600.10240655402,20.0000160000128,
18.31292,540.011664251948,1525.09303067487,228.573518386454,19982.6261240644,19602.8588399011,1174283.03403913,4900.9605882753,550.012100266206,2050.16811378533,40.0000640001024,
18.73754,420.007056118543,1600.10240655402,242.859502063734,19648.7641627892,18513.7001381022,1160624.84129221,3550.50417159237,450.008100145803,1950.15211186473,60.0001440003456,
19.16224,520.010816224977,1350.07290393681,185.715665316371,20717.1538033492,18864.223624613,1175123.44188215,2950.34814108065,450.008100145803,2400.23042212052,140.00078400439,
19.58688,520.010816224977,1600.10240655402,171.429746946836,20550.2119073799,17937.8614466573,1176110.07647612,4600.84655576626,450.008100145803,2800.31363512713,80.0002560008192,
20.01165,380.005776087797,1500.09000540032,171.429746946836,19448.4512627816,19390.0272711351,1143699.71695088,3450.47616571087,350.004900068601,1700.11560786133,60.0001440003456,
20.43624,540.011664251948,1200.05760276493,100.0004000016,19648.7641627892,19102.0844414711,1157340.23794112,3350.44896016066,650.016900439411,2450.24012353211,120.000576002765,
20.86079,580.013456312186,1275.06502831644,285.717551057726,19982.6261240644,20241.3752725955,1186858.24739388,4000.64010241639,400.006400102402,1950.15211186473,40.0000640001024,
21.28548,600.014400345608,1425.08122963009,214.287551036152,20349.8845727859,19402.5466749464,1171725.60306635,3700.5476810568,850.028900982633,2050.16811378533,160.001024006554,
