1308H1-7a:01/28/2015 05:20:42 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.649266862170088;Torch Vertical Position Readback=0.15307917888563;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.7565982404692;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-160.312805474096;CCT Bias Readback=-2.77126099706744;CCT Entry Lens Readback=-70.6256109481916;CCT Focus Lens Readback=3.11339198435973;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.18443597427409E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=34.6693387747299;Exhaust Flow Readback=0.529551319648094;Quad Board Temperature Readback=30.1818181818182;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=21.7321852825217;Spray Chamber Temperature Readback=19.9783669914792;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0193768817204302;Nebulizer Flow Readback=0.621700879765396;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.890029325513196;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05286,400.006400102402,1475.08703013478,242.859502063734,19515.221873061,18851.7047595363,1185907.37311357,4450.7922410189,450.008100145803,2350.22092076655,140.00078400439,
0.47742,380.005776087797,1500.09000540032,242.859502063734,19682.1499579669,19590.3392356215,1163070.58168529,4050.65620630542,300.003600043201,1950.15211186473,80.0002560008192,
0.90219,620.015376381334,2175.18924146401,200.0016000128,20450.0478391005,17124.221529637,1138998.13053885,4400.77453631839,450.008100145803,2050.16811378533,120.000576002765,
1.327,400.006400102402,1400.07840439065,328.575746995532,19815.6940296715,18175.7046494278,1176731.3290101,4550.82825074164,600.014400345608,1900.14441097523,40.0000640001024,
1.75161,400.006400102402,1525.09303067487,271.431518399343,21117.8234429859,17950.3793972175,1118898.79936646,3450.47616571087,550.012100266206,2350.22092076655,80.0002560008192,
2.17632,580.013456312186,1500.09000540032,285.717551057726,19682.1499579669,19089.5653383532,1144501.70671307,2900.33643902693,450.008100145803,2250.20251822664,40.0000640001024,
2.60095,480.009216176951,1250.06250312516,200.0016000128,19181.3723854956,19878.2933040301,1165991.4677935,3450.47616571087,450.008100145803,1700.11560786133,40.0000640001024,
3.02575,600.014400345608,1925.1482364142,242.859502063734,19248.141570248,18989.41296444,1171835.19700064,4250.72262284588,1100.04840212969,2300.21161946899,0,
3.45038,680.018496503105,1400.07840439065,271.431518399343,20016.0128102482,18751.5542899403,1161245.35899507,3950.62419862338,250.002500025,1600.10240655402,100.0004000016,
3.87516,500.010000200004,1300.06760351538,185.715665316371,19715.5358422437,18701.4793558185,1177827.72895128,4550.82825074164,400.006400102402,1600.10240655402,60.0001440003456,
4.29998,320.004096052429,1525.09303067487,142.857959188338,18446.9348733133,17712.5404786589,1133460.44648495,4000.64010241639,250.002500025,2050.16811378533,100.0004000016,
4.72458,420.007056118543,1475.08703013478,171.429746946836,21084.4338162291,20228.8550292912,1142022.98824934,4000.64010241639,400.006400102402,1950.15211186473,180.001296009331,
5.14929,520.010816224977,1575.09923125157,200.0016000128,18747.3813711074,19039.4890511679,1173661.89770914,3600.51847466035,850.028900982633,1650.10890718787,40.0000640001024,
5.57383,500.010000200004,1825.13323472614,200.0016000128,19114.6035571176,19001.9319673292,1163508.6730287,3750.56258438766,550.012100266206,2400.23042212052,100.0004000016,
5.99847,580.013456312186,1600.10240655402,314.289665355793,19982.6261240644,20379.098775953,1201166.26631285,3600.51847466035,350.004900068601,1900.14441097523,80.0002560008192,
6.42324,260.002704028122,1675.11223251958,428.578775636154,20416.6599945556,19152.1609792296,1177681.53698592,4000.64010241639,600.014400345608,2500.2500250025,60.0001440003456,
6.84788,460.00846415574,1725.11903321329,214.287551036152,20082.7864499238,18739.0355376177,1168693.86815165,3700.5476810568,500.010000200004,2350.22092076655,40.0000640001024,
