1308H1-13c:01/28/2015 06:11:01 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.638709677419355;Torch Vertical Position Readback=0.110850439882697;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.039100684262;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.97653958944282;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.3252146597918E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=34.9278086612741;Exhaust Flow Readback=0.535592375366569;Quad Board Temperature Readback=30.3440860215054;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2329.41176470588;Peltier Temperature Hot Side Readback=22.2003487762441;Spray Chamber Temperature Readback=19.9783669914792;
Power Supply:Supply Voltage 500 V Readback=-545.576735092864;Supply Voltage 1 kV Readback=-1176.6862170088;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0193768817204302;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,360.005184074651,1225.06002794137,242.859502063734,17979.5879972407,16823.814014925,1133205.47807738,4450.7922410189,450.008100145803,2550.26012653291,80.0002560008192,
0.47754,460.00846415574,1925.1482364142,128.572089799319,17545.6386745904,18451.1076919228,1154275.35221091,3400.46246289495,700.019600548815,2050.16811378533,0,
0.90233,360.005184074651,1675.11223251958,228.573518386454,19281.5262962657,18789.1106220772,1162595.99928559,3600.51847466035,700.019600548815,1900.14441097523,60.0001440003456,
1.32712,640.016384419441,1125.05062727823,300.0036000432,17378.7390974263,17825.2004553244,1128434.8440446,4200.70571856072,700.019600548815,2550.26012653291,0,
1.75176,580.013456312186,1600.10240655402,342.861844962445,18780.7647607471,20178.7741813773,1173406.14425944,3950.62419862338,800.025600819226,2100.17641481884,100.0004000016,
2.17647,580.013456312186,1850.13691013135,185.715665316371,18847.5318072948,18576.2928974764,1148913.53007543,4800.92177698118,650.016900439411,2250.20251822664,100.0004000016,
2.60111,660.017424460006,1200.05760276493,214.287551036152,20683.7652459366,19352.4691348758,1150262.89730966,3800.57768780855,650.016900439411,2750.30253327866,20.0000160000128,
3.02588,480.009216176951,1550.09610595857,142.857959188338,18480.3174611646,18038.0054018948,1136593.32157767,3650.53297781476,400.006400102402,2150.18491590277,140.00078400439,
3.45047,680.018496503105,1600.10240655402,142.857959188338,17278.6004200234,18601.3300889211,1139581.18117448,3950.62419862338,500.010000200004,2300.21161946899,40.0000640001024,
3.87521,600.014400345608,1350.07290393681,271.431518399343,17779.3018238295,17762.6114541324,1153363.32252328,4000.64010241639,750.02250067502,2250.20251822664,80.0002560008192,
4.29985,500.010000200004,1350.07290393681,214.287551036152,18847.5318072948,18125.6320203988,1130255.49118609,3850.59299132066,800.025600819226,2350.22092076655,100.0004000016,
4.72461,460.00846415574,1525.09303067487,200.0016000128,19181.3723854956,19590.3392356215,1176767.87419515,3650.53297781476,650.016900439411,2200.1936170383,40.0000640001024,
5.14921,400.006400102402,1475.08703013478,257.145502068021,18413.5523745477,18100.5957810476,1177535.34665339,3700.5476810568,600.014400345608,2400.23042212052,80.0002560008192,
5.57392,460.00846415574,1400.07840439065,285.717551057726,17879.4445096763,18701.4793558185,1165918.43769232,4150.68901437639,650.016900439411,2250.20251822664,100.0004000016,
5.99855,540.011664251948,1700.11560786133,242.859502063734,19648.7641627892,18300.8870989129,1153326.8426588,4150.68901437639,1150.05290243351,2200.1936170383,40.0000640001024,
6.42332,600.014400345608,1450.08410487808,228.573518386454,19849.0802703478,18663.9232867719,1177352.61103386,5051.02030610183,700.019600548815,2750.30253327866,60.0001440003456,
6.84793,520.010816224977,1275.06502831644,214.287551036152,18780.7647607471,18050.5234526711,1157121.29371029,4250.72262284588,850.028900982633,2000.16001280102,100.0004000016,
