1308H1-14a:01/28/2015 06:15:11 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.680938416422288;Torch Vertical Position Readback=0.15307917888563;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.2346041055718;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.97653958944282;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.18443597427409E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.6975349438822;Exhaust Flow Readback=0.52552394916911;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=23.4334286558825;Spray Chamber Temperature Readback=19.9783669914792;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.621700879765396;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05285,440.007744136297,1450.08410487808,214.287551036152,17979.5879972407,17912.8255831175,1127014.91539027,4100.67251029169,450.008100145803,2450.24012353211,100.0004000016,
0.47743,380.005776087797,1425.08122963009,157.143844904168,19047.8350851115,18150.6683098588,1126832.88441628,3200.40965243551,800.025600819226,1700.11560786133,80.0002560008192,
0.90217,380.005776087797,1225.06002794137,214.287551036152,17078.3254701877,18300.8870989129,1142351.02694126,3300.43565750679,900.032401166442,1800.12960933187,20.0000160000128,
1.3268,540.011664251948,1950.15211186473,271.431518399343,18547.0829041263,19364.9885010999,1160223.34552283,3600.51847466035,700.019600548815,1900.14441097523,120.000576002765,
1.75158,620.015376381334,1500.09000540032,171.429746946836,19982.6261240644,18463.6261561032,1161099.35218142,4700.88376614804,550.012100266206,2000.16001280102,40.0000640001024,
2.17619,460.00846415574,1650.10890718787,214.287551036152,19715.5358422437,18576.2928974764,1154348.31733385,4400.77453631839,900.032401166442,2650.28092977856,20.0000160000128,
2.60088,560.012544280992,1250.06250312516,342.861844962445,17378.7390974263,19928.3729490539,1172419.71348529,3950.62419862338,350.004900068601,2100.17641481884,120.000576002765,
3.02544,480.009216176951,1525.09303067487,257.145502068021,18246.6412169943,18100.5957810476,1153472.76272733,4000.64010241639,500.010000200004,2300.21161946899,120.000576002765,
3.45005,620.015376381334,1775.12603394841,285.717551057726,19648.7641627892,18375.9971699213,1141075.36716012,4700.88376614804,450.008100145803,2250.20251822664,0,
3.87485,520.010816224977,1375.0756291596,128.572089799319,18613.8487034354,18651.4046221458,1156500.97162682,3350.44896016066,300.003600043201,2050.16811378533,20.0000160000128,
4.29943,400.006400102402,1425.08122963009,314.289665355793,19581.9928397292,18250.8139687902,1158909.44552878,5051.02030610183,500.010000200004,2150.18491590277,60.0001440003456,
4.72423,460.00846415574,1675.11223251958,242.859502063734,18480.3174611646,19164.6801449911,1160880.34501667,3950.62419862338,800.025600819226,1550.09610595857,40.0000640001024,
5.14905,500.010000200004,1175.0552275957,242.859502063734,19314.911111378,18939.3370781682,1175525.39514573,3800.57768780855,750.02250067502,1850.13691013135,140.00078400439,
5.57366,560.012544280992,1800.12960933187,285.717551057726,17445.4986610663,18713.9980705568,1176329.33870914,4000.64010241639,750.02250067502,1500.09000540032,160.001024006554,
5.99839,760.023104702383,1825.13323472614,314.289665355793,19715.5358422437,18814.1482394761,1133933.97244159,4700.88376614804,700.019600548815,2150.18491590277,60.0001440003456,
6.42294,460.00846415574,1600.10240655402,157.143844904168,19214.7569333248,19014.4509827469,1164311.87859759,3550.50417159237,450.008100145803,2000.16001280102,40.0000640001024,
6.84747,600.014400345608,1600.10240655402,171.429746946836,20316.4969955604,18876.7425022179,1145157.91675382,3300.43565750679,950.036101371852,2550.26012653291,160.001024006554,
