NCC:01/28/2015 04:27:26 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.649266862170088;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.7565982404692;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.77126099706744;CCT Entry Lens Readback=-70.6256109481916;CCT Focus Lens Readback=3.11339198435973;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=5.91220869236558E-07;
Detector:Detector Voltage (Counting) Readback=1345.06353861193;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=36.3326104165916;Exhaust Flow Readback=0.528544477028348;Quad Board Temperature Readback=31.0742913000978;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2329.41176470588;Peltier Temperature Hot Side Readback=24.0417426885951;Spray Chamber Temperature Readback=19.8760924774048;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0362263440860215;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,620.015376381334,1575.09923125157,214.287551036152,23956.2674667215,21092.7812145639,1180422.90807949,4200.70571856072,250.002500025,2350.22092076655,40.0000640001024,
0.47766,620.015376381334,1550.09610595857,214.287551036152,24223.4482979524,20667.0710006465,1154640.1818968,3950.62419862338,400.006400102402,2000.16001280102,120.000576002765,
0.90228,360.005184074651,1300.06760351538,285.717551057726,23121.3641404658,20341.5376701258,1168547.77818562,3650.53297781476,250.002500025,2400.23042212052,20.0000160000128,
1.32697,760.023104702383,1425.08122963009,228.573518386454,23288.3403487512,19965.9328143859,1148548.86013246,3900.60849492521,150.0009000054,2000.16001280102,0,
1.7515,460.00846415574,1300.06760351538,228.573518386454,23054.5742811043,19302.3917952701,1171214.17684203,3450.47616571087,550.012100266206,2600.27042812453,20.0000160000128,
2.17603,420.007056118543,1100.04840212969,200.0016000128,22620.4488857928,19515.221873061,1162522.98813687,3450.47616571087,400.006400102402,2200.1936170383,120.000576002765,
2.60056,440.007744136297,1575.09923125157,185.715665316371,23655.6958511446,19990.972787257,1180020.80438987,3350.44896016066,200.0016000128,2500.2500250025,20.0000160000128,
3.0252,620.015376381334,1300.06760351538,200.0016000128,24223.4482979524,20178.7741813773,1173369.60846035,3400.46246289495,250.002500025,2150.18491590277,40.0000640001024,
3.45,520.010816224977,1550.09610595857,300.0036000432,24657.6293174208,20241.3752725955,1180532.57486585,3550.50417159237,600.014400345608,2150.18491590277,80.0002560008192,
3.87461,620.015376381334,1675.11223251958,171.429746946836,23889.4731503676,21606.1569164974,1188613.88904408,3250.42255493214,350.004900068601,2350.22092076655,60.0001440003456,
4.29934,560.012544280992,1350.07290393681,185.715665316371,21819.0261908384,20316.4969955604,1189857.61098214,2650.28092977856,400.006400102402,1350.07290393681,20.0000160000128,
4.72397,560.012544280992,1300.06760351538,271.431518399343,24423.8376655616,20579.4265783607,1149168.80508758,4600.84655576626,100.0004000016,2200.1936170383,0,
5.14872,720.020736597214,1300.06760351538,271.431518399343,22186.3385535175,21255.5565953277,1172785.04954683,3500.49006860961,350.004900068601,2100.17641481884,20.0000160000128,
5.57337,460.00846415574,1325.07022872212,200.0016000128,21451.7246119006,22194.6866870914,1201788.70877585,3400.46246289495,400.006400102402,1900.14441097523,0,
5.99791,340.004624062887,1375.0756291596,171.429746946836,24323.6425805883,20341.5376701258,1185322.25403254,4350.75703172352,200.0016000128,2350.22092076655,60.0001440003456,
6.42273,540.011664251948,1350.07290393681,242.859502063734,21518.505915087,19540.2609437971,1175671.56302962,3100.38444767151,500.010000200004,2400.23042212052,20.0000160000128,
6.84731,420.007056118543,1425.08122963009,171.429746946836,23254.9449288205,21293.1204454991,1185431.96186842,3900.60849492521,350.004900068601,2050.16811378533,20.0000160000128,
