1308H1-19d:01/28/2015 06:52:40 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.670381231671555;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=5.91220869236558E-07;
Detector:Detector Voltage (Counting) Readback=1345.06353861193;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=36.7109491461779;Exhaust Flow Readback=0.532571847507331;Quad Board Temperature Readback=30.1006842619746;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=24.3438782630382;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0193768817204302;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05286,460.00846415574,1600.10240655402,157.143844904168,17979.5879972407,17474.7060821984,1130073.41505427,3700.5476810568,450.008100145803,2550.26012653291,40.0000640001024,
0.47747,380.005776087797,1475.08703013478,242.859502063734,20082.7864499238,18713.9980705568,1177060.23934908,4050.65620630542,1150.05290243351,1850.13691013135,40.0000640001024,
0.90223,500.010000200004,1650.10890718787,200.0016000128,18647.2317367211,17549.8111925516,1162851.54151521,4050.65620630542,800.025600819226,2050.16811378533,40.0000640001024,
1.32689,460.00846415574,1425.08122963009,200.0016000128,19615.3784567101,18901.7802950129,1159967.8546315,3300.43565750679,650.016900439411,2000.16001280102,20.0000160000128,
1.75144,420.007056118543,1925.1482364142,128.572089799319,16777.9190577147,18613.8487034354,1133023.36083224,4200.70571856072,700.019600548815,1950.15211186473,80.0002560008192,
2.17621,460.00846415574,1250.06250312516,228.573518386454,17512.2585810067,19001.9319673292,1161573.88028464,2600.27042812453,1000.04000160006,2200.1936170383,40.0000640001024,
2.6008,420.007056118543,1525.09303067487,271.431518399343,17145.083430511,17562.3287547859,1138342.22966332,3250.42255493214,700.019600548815,1800.12960933187,40.0000640001024,
3.02555,340.004624062887,1825.13323472614,200.0016000128,16744.5410127846,17186.8073366403,1154530.73192234,4100.67251029169,650.016900439411,2200.1936170383,120.000576002765,
3.45019,320.004096052429,1575.09923125157,371.434089877907,18580.4657592372,19289.8724916911,1149059.40090064,3900.60849492521,500.010000200004,2700.2916314962,40.0000640001024,
3.87473,380.005776087797,1675.11223251958,328.575746995532,16143.7514342589,19377.5078798529,1146142.29358144,4100.67251029169,950.036101371852,2200.1936170383,80.0002560008192,
4.29949,500.010000200004,1850.13691013135,285.717551057726,18313.4054127621,19778.1346154135,1169022.57653916,4200.70571856072,1200.05760276493,2200.1936170383,100.0004000016,
4.72411,520.010816224977,1175.0552275957,242.859502063734,17946.2067456389,20103.6532854148,1161573.88028464,3950.62419862338,800.025600819226,2200.1936170383,180.001296009331,
5.14887,520.010816224977,1525.09303067487,271.431518399343,17979.5879972407,18363.4787934344,1128726.13053772,4000.64010241639,550.012100266206,1950.15211186473,100.0004000016,
5.57366,440.007744136297,1375.0756291596,200.0016000128,17679.1599396907,18238.2957175781,1154457.7657816,3800.57768780855,800.025600819226,2000.16001280102,80.0002560008192,
5.99828,560.012544280992,1775.12603394841,242.859502063734,18480.3174611646,18188.2228380032,1125231.12121132,3050.37214540174,550.012100266206,2150.18491590277,60.0001440003456,
6.42299,500.010000200004,1450.08410487808,171.429746946836,17912.8255831175,18375.9971699213,1133460.44648495,3350.44896016066,600.014400345608,2350.22092076655,80.0002560008192,
6.84762,680.018496503105,1700.11560786133,185.715665316371,17946.2067456389,17812.6826300326,1182543.29545359,4200.70571856072,450.008100145803,1750.1225085756,60.0001440003456,
