1308H1-19e:01/28/2015 06:54:03 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.670381231671555;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.2346041055718;Focus Lens Readback=17.7565982404692;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.4868035190616;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.8396871945259;CCT Entry Lens Readback=-70.6256109481916;CCT Focus Lens Readback=3.18181818181818;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1345.06353861193;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.1853246450069;Exhaust Flow Readback=0.528544477028348;Quad Board Temperature Readback=30.1818181818182;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2329.41176470588;Peltier Temperature Hot Side Readback=22.2003487762441;Spray Chamber Temperature Readback=19.9783669914792;
Power Supply:Supply Voltage 500 V Readback=-545.576735092864;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.621700879765396;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05285,600.014400345608,1650.10890718787,214.287551036152,16177.1278760265,18025.4873636455,1130619.65106216,3100.38444767151,500.010000200004,2050.16811378533,80.0002560008192,
0.47743,580.013456312186,1225.06002794137,271.431518399343,18113.1138944596,18063.0415159745,1131348.00126545,5001.00020004001,800.025600819226,1800.12960933187,180.001296009331,
0.90207,480.009216176951,1275.06502831644,228.573518386454,17846.0635253147,18300.8870989129,1139398.97505674,4750.90267150759,800.025600819226,2150.18491590277,80.0002560008192,
1.3266,580.013456312186,1075.04622698776,314.289665355793,17545.6386745904,18563.7743205458,1119189.87327666,3700.5476810568,900.032401166442,1950.15211186473,140.00078400439,
1.75138,600.014400345608,1550.09610595857,228.573518386454,17745.921106705,18125.6320203988,1152414.87912005,4200.70571856072,700.019600548815,1800.12960933187,180.001296009331,
2.17599,340.004624062887,1550.09610595857,300.0036000432,17311.9798900839,18275.8505087967,1129672.85649584,4550.82825074164,1050.04410185228,2200.1936170383,120.000576002765,
2.60078,380.005776087797,1250.06250312516,271.431518399343,18547.0829041263,19277.3532006411,1197834.87120446,4100.67251029169,550.012100266206,1950.15211186473,60.0001440003456,
3.02561,580.013456312186,1625.10563186607,300.0036000432,18814.1482394761,17637.4343912458,1187589.73614083,3650.53297781476,1050.04410185228,2500.2500250025,80.0002560008192,
3.45021,460.00846415574,1500.09000540032,242.859502063734,18513.7001381022,18651.4046221458,1170556.65820834,3000.36004320518,950.036101371852,2200.1936170383,100.0004000016,
3.87494,480.009216176951,1625.10563186607,171.429746946836,18346.7876442725,19077.0462477639,1135136.07694184,4550.82825074164,350.004900068601,2300.21161946899,160.001024006554,
4.2996,380.005776087797,1375.0756291596,185.715665316371,16978.1891977355,18688.9606536082,1187443.43512218,3800.57768780855,250.002500025,2650.28092977856,120.000576002765,
4.72438,640.016384419441,1450.08410487808,228.573518386454,17211.841747122,18038.0054018948,1163399.14881741,3750.56258438766,200.0016000128,2600.27042812453,180.001296009331,
5.14902,480.009216176951,1575.09923125157,214.287551036152,18780.7647607471,19102.0844414711,1180459.46357286,3850.59299132066,1050.04410185228,1950.15211186473,100.0004000016,
5.57386,460.00846415574,1525.09303067487,228.573518386454,16978.1891977355,18375.9971699213,1173808.04478164,3850.59299132066,1250.06250312516,2250.20251822664,180.001296009331,
5.99844,680.018496503105,1300.06760351538,285.717551057726,17745.921106705,17224.3589711516,1129891.34145985,4400.77453631839,900.032401166442,2350.22092076655,100.0004000016,
6.42322,600.014400345608,2025.1640382871,171.429746946836,17745.921106705,17499.7410688777,1144100.70568157,4400.77453631839,650.016900439411,2550.26012653291,160.001024006554,
6.84783,420.007056118543,1200.05760276493,214.287551036152,19181.3723854956,18388.5155589358,1155917.16595406,3800.57768780855,300.003600043201,1600.10240655402,120.000576002765,
