NCC:01/28/2015 07:02:29 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.649266862170088;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.97653958944282;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.11339198435973;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=36.4589463701334;Exhaust Flow Readback=0.540626588465298;Quad Board Temperature Readback=30.2629521016618;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=24.1929778866051;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.624633431085044;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,680.018496503105,1425.08122963009,371.434089877907,16878.0537269144,18238.2957175781,1158690.47502787,4150.68901437639,850.028900982633,2200.1936170383,100.0004000016,
0.4774,500.010000200004,1425.08122963009,285.717551057726,18713.9980705568,17975.4153359189,1145376.66075433,4250.72262284588,750.02250067502,2500.2500250025,140.00078400439,
0.90203,360.005184074651,1850.13691013135,157.143844904168,16978.1891977355,17387.0840233963,1138998.13053885,3950.62419862338,650.016900439411,2200.1936170383,80.0002560008192,
1.3268,760.023104702383,1425.08122963009,228.573518386454,18780.7647607471,18200.7410391059,1152998.52845795,4900.9605882753,950.036101371852,1950.15211186473,200.0016000128,
1.75137,520.010816224977,1425.08122963009,271.431518399343,17011.567866149,18225.7774788934,1170848.88463332,3850.59299132066,900.032401166442,1950.15211186473,140.00078400439,
2.17612,500.010000200004,1200.05760276493,314.289665355793,18246.6412169943,19903.3331014822,1145121.45977625,3900.60849492521,750.02250067502,2400.23042212052,120.000576002765,
2.60066,520.010816224977,1600.10240655402,228.573518386454,18780.7647607471,17474.7060821984,1140273.58758874,4850.94108257002,800.025600819226,2050.16811378533,220.001936017037,
3.02532,540.011664251948,1550.09610595857,171.429746946836,16277.2577357,19026.9700106931,1154749.63278732,4450.7922410189,400.006400102402,2450.24012353211,60.0001440003456,
3.45008,560.012544280992,1500.09000540032,200.0016000128,17779.3018238295,18676.4419639261,1164421.4104507,4050.65620630542,650.016900439411,2300.21161946899,20.0000160000128,
3.87471,520.010816224977,1525.09303067487,157.143844904168,17645.7794898001,18150.6683098588,1154165.90528984,3400.46246289495,700.019600548815,1550.09610595857,80.0002560008192,
4.29951,560.012544280992,1525.09303067487,342.861844962445,16711.163056922,17574.8463295465,1138269.35382016,4200.70571856072,650.016900439411,2750.30253327866,60.0001440003456,
4.72433,600.014400345608,1675.11223251958,171.429746946836,17345.3594492181,18588.8114869348,1141038.92156712,4350.75703172352,800.025600819226,1600.10240655402,0,
5.14895,360.005184074651,1425.08122963009,414.292579705607,17378.7390974263,19052.0081041713,1159201.4118993,4350.75703172352,450.008100145803,2000.16001280102,120.000576002765,
5.57368,500.010000200004,1225.06002794137,157.143844904168,17645.7794898001,19077.0462477639,1141221.15054834,4250.72262284588,650.016900439411,2850.32493704282,40.0000640001024,
5.99833,480.009216176951,1450.08410487808,257.145502068021,17679.1599396907,18851.7047595363,1155661.75916704,4050.65620630542,750.02250067502,2050.16811378533,180.001296009331,
6.42313,540.011664251948,1550.09610595857,271.431518399343,17245.2210390362,18075.5595918051,1152597.26673975,3700.5476810568,600.014400345608,2000.16001280102,60.0001440003456,
6.84775,460.00846415574,1575.09923125157,200.0016000128,17011.567866149,18864.223624613,1136228.99518396,4100.67251029169,500.010000200004,1950.15211186473,160.001024006554,
