1308H1-23e:01/28/2015 07:30:44 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.670381231671555;Torch Vertical Position Readback=0.121407624633431;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.8250244379277;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.8396871945259;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=34.4099049754133;Exhaust Flow Readback=0.53055816226784;Quad Board Temperature Readback=30.2629521016618;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=21.7321852825217;Spray Chamber Temperature Readback=19.9783669914792;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.624633431085044;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,620.015376381334,1650.10890718787,200.0016000128,17712.5404786589,17449.6711456241,1164750.01151249,4000.64010241639,1000.04000160006,2150.18491590277,80.0002560008192,
0.47753,500.010000200004,1300.06760351538,242.859502063734,17478.8785764988,17674.987378583,1126068.38202304,3850.59299132066,450.008100145803,2550.26012653291,100.0004000016,
0.90225,300.003600043201,1475.08703013478,285.717551057726,18280.0232703362,17925.3435086239,1155296.90098093,4250.72262284588,600.014400345608,2200.1936170383,180.001296009331,
1.32677,460.00846415574,1825.13323472614,257.145502068021,17078.3254701877,16823.814014925,1132622.71182756,3650.53297781476,500.010000200004,2550.26012653291,120.000576002765,
1.7514,340.004624062887,1300.06760351538,242.859502063734,17278.6004200234,18413.5523745477,1140856.69512651,3650.53297781476,600.014400345608,2400.23042212052,120.000576002765,
2.17621,520.010816224977,1550.09610595857,214.287551036152,18046.3507676871,19089.5653383532,1162997.56788775,3700.5476810568,500.010000200004,2050.16811378533,160.001024006554,
2.60083,500.010000200004,1325.07022872212,228.573518386454,17278.6004200234,17925.3435086239,1142861.32571495,4850.94108257002,500.010000200004,2050.16811378533,80.0002560008192,
3.02552,400.006400102402,1625.10563186607,357.147959256561,17478.8785764988,19728.0555718184,1137795.67074463,3800.57768780855,700.019600548815,2950.34814108065,80.0002560008192,
3.45006,660.017424460006,1700.11560786133,271.431518399343,17078.3254701877,18588.8114869348,1166137.52921885,4100.67251029169,900.032401166442,2000.16001280102,180.001296009331,
3.87464,560.012544280992,1925.1482364142,242.859502063734,18012.9693379233,17449.6711456241,1146105.83385858,3900.60849492521,650.016900439411,2150.18491590277,180.001296009331,
4.29912,420.007056118543,1400.07840439065,271.431518399343,16777.9190577147,19465.1438819401,1144829.80761588,4150.68901437639,800.025600819226,2750.30253327866,120.000576002765,
4.72381,480.009216176951,1400.07840439065,214.287551036152,19081.2192765683,18388.5155589358,1142751.97430063,3850.59299132066,1350.07290393681,2150.18491590277,120.000576002765,
5.1486,400.006400102402,1525.09303067487,228.573518386454,17579.0188572504,19077.0462477639,1116715.95181153,3500.49006860961,850.028900982633,2500.2500250025,40.0000640001024,
5.57319,660.017424460006,2000.16001280102,228.573518386454,18012.9693379233,17975.4153359189,1159420.39095428,3650.53297781476,450.008100145803,1700.11560786133,60.0001440003456,
5.99797,640.016384419441,1325.07022872212,228.573518386454,18280.0232703362,20128.6935339481,1174429.18804827,3200.40965243551,750.02250067502,1850.13691013135,40.0000640001024,
6.42279,440.007744136297,1700.11560786133,200.0016000128,18880.9154642037,18688.9606536082,1133496.87094931,4150.68901437639,900.032401166442,2400.23042212052,80.0002560008192,
6.84741,520.010816224977,1375.0756291596,114.286236737082,16844.6754147793,16886.3983188652,1137504.18200067,3650.53297781476,700.019600548815,1650.10890718787,140.00078400439,
