1308H1-24c:01/28/2015 07:34:54 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.960899315738;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.97653958944282;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.11339198435973;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=6.18443597427409E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.1853246450069;Exhaust Flow Readback=0.523510263929619;Quad Board Temperature Readback=30.3440860215054;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=22.6653524800945;Spray Chamber Temperature Readback=19.9783669914792;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.621700879765396;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,540.011664251948,1450.08410487808,171.429746946836,18513.7001381022,17875.2718817595,1160478.84140471,4400.77453631839,700.019600548815,2450.24012353211,40.0000640001024,
0.4775,480.009216176951,1500.09000540032,314.289665355793,18446.9348733133,18100.5957810476,1130182.66042887,4050.65620630542,850.028900982633,1600.10240655402,80.0002560008192,
0.9021,520.010816224977,1450.08410487808,200.0016000128,16577.6521241409,18050.5234526711,1151430.02993118,3700.5476810568,550.012100266206,2200.1936170383,40.0000640001024,
1.32689,500.010000200004,1425.08122963009,85.7145795928443,17311.9798900839,16636.062981883,1117043.35568488,3600.51847466035,700.019600548815,1150.05290243351,100.0004000016,
1.75168,540.011664251948,1200.05760276493,328.575746995532,18179.877377561,19853.2535566972,1148731.19383253,4400.77453631839,800.025600819226,1900.14441097523,80.0002560008192,
2.17628,460.00846415574,1925.1482364142,114.286236737082,18346.7876442725,18526.2186649214,1163070.58168529,3650.53297781476,850.028900982633,2450.24012353211,100.0004000016,
2.60101,620.015376381334,1375.0756291596,257.145502068021,17111.7044058136,19427.5855201564,1156355.0177654,4300.73972723308,400.006400102402,2450.24012353211,40.0000640001024,
3.02552,500.010000200004,1800.12960933187,228.573518386454,17512.2585810067,19064.5271697033,1166904.37845578,3650.53297781476,750.02250067502,2400.23042212052,40.0000640001024,
3.45011,380.005776087797,1575.09923125157,257.145502068021,17779.3018238295,18726.5167978232,1148330.06304885,3750.56258438766,550.012100266206,2100.17641481884,240.002304022119,
3.87474,440.007744136297,1550.09610595857,271.431518399343,17311.9798900839,17374.5666365291,1181227.15251577,3900.60849492521,600.014400345608,2600.27042812453,80.0002560008192,
4.29929,500.010000200004,1800.12960933187,200.0016000128,16878.0537269144,17349.5319003729,1154786.11662105,3450.47616571087,800.025600819226,2650.28092977856,40.0000640001024,
4.72405,540.011664251948,1175.0552275957,171.429746946836,17579.0188572504,17224.3589711516,1125813.55783419,4550.82825074164,650.016900439411,1900.14441097523,140.00078400439,
5.14867,400.006400102402,1450.08410487808,228.573518386454,17412.118834709,17487.2235692749,1135463.942817,4500.81014582625,350.004900068601,2550.26012653291,80.0002560008192,
5.57344,380.005776087797,1500.09000540032,185.715665316371,17245.2210390362,19189.7185141003,1166174.04482998,3250.42255493214,550.012100266206,1900.14441097523,60.0001440003456,
5.99825,420.007056118543,1325.07022872212,242.859502063734,19615.3784567101,18826.6670669679,1166393.14063704,5101.04061228491,800.025600819226,2350.22092076655,60.0001440003456,
6.42287,480.009216176951,1775.12603394841,300.0036000432,17779.3018238295,18375.9971699213,1151393.55545978,3700.5476810568,650.016900439411,1900.14441097523,180.001296009331,
6.84758,420.007056118543,1525.09303067487,157.143844904168,18446.9348733133,18213.259252736,1137030.52665768,3950.62419862338,300.003600043201,2000.16001280102,80.0002560008192,
7.27214,440.007744136297,1325.07022872212,285.717551057726,17145.083430511,19627.8980860485,1158435.01407673,4150.68901437639,1000.04000160006,2200.1936170383,120.000576002765,
7.69678,560.012544280992,1475.08703013478,342.861844962445,17445.4986610663,17950.3793972175,1156245.55343826,3900.60849492521,850.028900982633,1900.14441097523,120.000576002765,
8.12156,280.003136035124,1600.10240655402,285.717551057726,16878.0537269144,17887.7897696853,1134917.50426173,4200.70571856072,950.036101371852,2300.21161946899,120.000576002765,
8.54617,540.011664251948,1600.10240655402,228.573518386454,17779.3018238295,16510.8971921468,1144282.97735278,4400.77453631839,600.014400345608,2600.27042812453,40.0000640001024,
8.97089,420.007056118543,2000.16001280102,271.431518399343,18513.7001381022,19540.2609437971,1154092.94118468,4850.94108257002,650.016900439411,2250.20251822664,140.00078400439,
9.39545,580.013456312186,1125.05062727823,157.143844904168,17345.3594492181,18300.8870989129,1135208.93531431,4050.65620630542,850.028900982633,2000.16001280102,200.0016000128,
9.82008,360.005184074651,1500.09000540032,214.287551036152,16677.7851901268,18926.8181379213,1153436.28255754,3950.62419862338,700.019600548815,2300.21161946899,240.002304022119,
10.24465,420.007056118543,1525.09303067487,200.0016000128,18880.9154642037,17787.6470170291,1124393.91406119,4600.84655576626,750.02250067502,1300.06760351538,120.000576002765,
10.66942,280.003136035124,1125.05062727823,357.147959256561,17278.6004200234,19602.8588399011,1156500.97162682,3300.43565750679,850.028900982633,2200.1936170383,60.0001440003456,
11.09404,560.012544280992,1725.11903321329,314.289665355793,17178.4625442804,17449.6711456241,1144683.98397575,3550.50417159237,500.010000200004,2250.20251822664,80.0002560008192,
11.51882,360.005184074651,1325.07022872212,257.145502068021,16477.5198597476,18025.4873636455,1158471.50819283,3850.59299132066,800.025600819226,2150.18491590277,60.0001440003456,
11.94361,280.003136035124,1375.0756291596,128.572089799319,18413.5523745477,18501.1816238108,1136192.56310322,3600.51847466035,700.019600548815,2350.22092076655,160.001024006554,
12.36822,380.005776087797,1350.07290393681,171.429746946836,17512.2585810067,17862.7540063605,1168072.9970608,4550.82825074164,600.014400345608,1900.14441097523,140.00078400439,
12.79297,580.013456312186,1400.07840439065,200.0016000128,17478.8785764988,18713.9980705568,1154713.14905536,5051.02030610183,800.025600819226,1750.1225085756,100.0004000016,
13.21751,460.00846415574,1750.1225085756,271.431518399343,17679.1599396907,19715.5358422437,1156537.46034669,3400.46246289495,700.019600548815,2150.18491590277,120.000576002765,
13.64217,500.010000200004,1875.14063554767,242.859502063734,17478.8785764988,18012.9693379233,1152706.70053268,4100.67251029169,600.014400345608,2050.16811378533,140.00078400439,
14.06695,500.010000200004,1500.09000540032,171.429746946836,17278.6004200234,18350.960429475,1164275.36818368,3050.37214540174,900.032401166442,2300.21161946899,60.0001440003456,
14.49156,300.003600043201,2050.16811378533,285.717551057726,17044.9466236329,17775.1292293174,1156865.86340675,4850.94108257002,450.008100145803,1750.1225085756,60.0001440003456,
14.91629,520.010816224977,1000.04000160006,214.287551036152,17846.0635253147,18263.3322325297,1126942.1026963,4850.94108257002,800.025600819226,1750.1225085756,100.0004000016,
15.34095,480.009216176951,1500.09000540032,271.431518399343,16777.9190577147,18213.259252736,1123265.58931997,3750.56258438766,900.032401166442,2000.16001280102,140.00078400439,
15.76571,440.007744136297,1500.09000540032,257.145502068021,17078.3254701877,17362.049262188,1125121.91723561,3750.56258438766,350.004900068601,2500.2500250025,140.00078400439,
16.19033,360.005184074651,1850.13691013135,185.715665316371,18246.6412169943,18726.5167978232,1134516.79717664,3300.43565750679,1050.04410185228,2300.21161946899,200.0016000128,
16.61504,520.010816224977,1775.12603394841,214.287551036152,18880.9154642037,17687.5050660817,1130510.40203358,3950.62419862338,850.028900982633,2100.17641481884,120.000576002765,
17.03967,540.011664251948,1200.05760276493,271.431518399343,17211.841747122,16548.4467975566,1133678.99479417,3600.51847466035,1000.04000160006,1900.14441097523,140.00078400439,
17.46421,680.018496503105,1600.10240655402,171.429746946836,17912.8255831175,18213.259252736,1138014.2915692,4500.81014582625,800.025600819226,2150.18491590277,100.0004000016,
17.88896,420.007056118543,1725.11903321329,228.573518386454,17211.841747122,18375.9971699213,1142168.78220715,4100.67251029169,850.028900982633,2150.18491590277,80.0002560008192,
18.31359,540.011664251948,1400.07840439065,328.575746995532,16644.4074123984,18275.8505087967,1144319.431992,3500.49006860961,1100.04840212969,2000.16001280102,120.000576002765,
18.73831,600.014400345608,1775.12603394841,157.143844904168,16911.4321281186,17937.8614466573,1116897.84183885,3500.49006860961,1050.04410185228,2450.24012353211,60.0001440003456,
19.16292,500.010000200004,1500.09000540032,185.715665316371,17478.8785764988,18438.5892402701,1158508.00241077,4650.86506090133,300.003600043201,2350.22092076655,60.0001440003456,
19.58773,580.013456312186,1300.06760351538,357.147959256561,16410.7654621432,18138.1501588652,1135573.2332701,3850.59299132066,950.036101371852,1650.10890718787,60.0001440003456,
20.01234,520.010816224977,1275.06502831644,257.145502068021,16577.6521241409,18726.5167978232,1145850.61864569,3150.3969500157,550.012100266206,1750.1225085756,40.0000640001024,
20.43708,520.010816224977,1625.10563186607,257.145502068021,16210.5044068556,18000.4513247281,1173771.50786051,4850.94108257002,650.016900439411,2250.20251822664,100.0004000016,
20.86173,580.013456312186,1600.10240655402,271.431518399343,18547.0829041263,19490.1828524421,1151430.02993118,4000.64010241639,550.012100266206,1600.10240655402,80.0002560008192,
21.2865,420.007056118543,1625.10563186607,171.429746946836,16611.0297237366,18876.7425022179,1119844.81329535,3850.59299132066,950.036101371852,2250.20251822664,180.001296009331,
21.71109,640.016384419441,1425.08122963009,257.145502068021,16377.3883969372,18088.0776801628,1127124.13519219,4900.9605882753,850.028900982633,2400.23042212052,80.0002560008192,
22.13589,640.016384419441,1300.06760351538,185.715665316371,17612.3991289868,18613.8487034354,1118425.81809875,4350.75703172352,450.008100145803,1900.14441097523,120.000576002765,
22.56048,660.017424460006,1900.14441097523,257.145502068021,17879.4445096763,18426.070801145,1148658.26004736,3450.47616571087,550.012100266206,1150.05290243351,100.0004000016,
22.98526,460.00846415574,1625.10563186607,228.573518386454,16243.8810267467,16911.4321281186,1130838.15185989,3450.47616571087,1000.04000160006,2000.16001280102,220.001936017037,
23.40987,560.012544280992,1275.06502831644,242.859502063734,17812.6826300326,17712.5404786589,1130910.98627117,4200.70571856072,750.02250067502,1700.11560786133,180.001296009331,
23.83458,500.010000200004,1425.08122963009,171.429746946836,18413.5523745477,19502.7023564869,1146907.97125095,3350.44896016066,1100.04840212969,2600.27042812453,120.000576002765,
24.2592,420.007056118543,1475.08703013478,242.859502063734,19481.8365233729,17750.0936914741,1142533.27421635,3900.60849492521,950.036101371852,2350.22092076655,100.0004000016,
24.68398,520.010816224977,1525.09303067487,271.431518399343,18480.3174611646,17962.8973603047,1156318.52955455,4600.84655576626,600.014400345608,1650.10890718787,60.0001440003456,
25.10859,420.007056118543,1600.10240655402,185.715665316371,18647.2317367211,18388.5155589358,1135208.93531431,3850.59299132066,1000.04000160006,2000.16001280102,120.000576002765,
25.53329,440.007744136297,1575.09923125157,228.573518386454,17579.0188572504,17349.5319003729,1143371.6444111,4800.92177698118,900.032401166442,2400.23042212052,100.0004000016,
25.95797,480.009216176951,1150.05290243351,242.859502063734,17912.8255831175,17937.8614466573,1134953.93278787,3950.62419862338,850.028900982633,2500.2500250025,60.0001440003456,
26.38276,380.005776087797,1500.09000540032,242.859502063734,18713.9980705568,18250.8139687902,1124102.72415177,3400.46246289495,900.032401166442,1950.15211186473,140.00078400439,
26.80738,460.00846415574,1650.10890718787,157.143844904168,17612.3991289868,18901.7802950129,1169935.69872333,3650.53297781476,450.008100145803,1600.10240655402,20.0000160000128,
27.23215,420.007056118543,1550.09610595857,228.573518386454,18814.1482394761,17800.1648172675,1150445.25491454,4000.64010241639,700.019600548815,2150.18491590277,220.001936017037,
27.65665,440.007744136297,1575.09923125157,114.286236737082,17011.567866149,18751.5542899403,1154311.83472149,4350.75703172352,950.036101371852,2550.26012653291,100.0004000016,
28.08124,400.006400102402,105947.096748278,22391.4657344801,563243.464330754,151436.800978693,2934627.57263466,127092.835562274,472047.993413947,73414.9589999519,609946.985360945,
28.50586,144955.640275058,2922947.71140048,457552.222895271,7748758.87747523,1027126.34715349,2916912.99841269,463382.637232354,523643.061040303,133761.880729241,1743003.59350406,
28.93066,61249.6942527537,3325639.8293831,430901.189759281,5793626.8918269,990819.731807758,2458720.48796652,252729.314984364,262885.587422721,97579.3886631222,1725196.92652271,
29.35527,34607.8418806158,3170653.48256755,354572.834849875,2918960.35383507,1118212.38373286,2168495.18387382,153031.040852547,214576.042118428,111394.144424668,1773921.92202474,
29.78008,24564.1121324692,4399104.14010379,251359.244594766,2174725.97104742,778484.451964888,2005484.38688817,178059.234909278,140535.593970294,58637.211073913,1026983.1103619,
30.2049,18393.5229180494,1320568.65859467,178218.625205958,1363943.84547481,539887.685789913,1385669.83716875,74571.7764632016,80709.7238914828,29935.8032206519,708146.315138273,
30.62949,8162.66429362544,820657.972334714,94095.6890924713,704227.28294665,314994.476268205,1651192.90244863,31138.7365883159,49046.0321309123,17011.567866149,368307.231712901,
31.05404,5781.33664503233,482563.301235497,56986.7470017526,448780.765879361,202298.852892165,1205047.86089941,16811.2971917128,32241.5270868879,10554.4539795794,202669.789378264,
31.4787,3740.55958771432,233230.75183925,55494.3406081126,376932.03042525,122244.843408023,1192821.0716007,12406.1534521122,43625.9964858784,8703.02865397158,125183.715343327,
31.90327,2860.32722143413,148527.201652962,20416.6599945556,180290.882720277,98083.3095738145,1204535.13154677,6301.58800017604,10804.6676164103,7252.10310990187,95039.9352427514,
32.32787,1980.15682842081,140358.622187674,19715.5358422437,116776.265115276,60496.0374343666,1145267.28829654,9103.31360615264,5451.18835906228,4700.88376614804,64787.4626334149,
32.75245,1140.05198637058,74295.1364894181,9403.53572943427,58402.7840887829,64767.3588552821,1158106.57161392,5551.23237358694,5501.21026625858,4500.81014582625,42732.9194537559,
33.1772,1700.11560786133,54694.3978705514,7330.72037688762,60512.7848712023,33783.0902803333,1141439.82867946,12356.1039153342,4250.72262284588,3800.57768780855,26107.2350676225,
33.60181,680.018496503105,37280.5106804031,3972.05956146176,43308.2276950941,32717.7621150844,1121482.30704932,7402.19104855037,3000.36004320518,3100.38444767151,18774.088075692,
34.0265,840.028224948358,28281.958613233,3686.25774542761,30804.5768325553,26753.5995979702,1122756.05525485,5151.06111859043,2900.33643902693,3850.59299132066,14127.9794828119,
34.4511,740.021904648378,30211.4652385429,5329.70741763816,32642.5659059413,24486.4600011111,1159529.88185659,5101.04061228491,2200.1936170383,3100.38444767151,9623.70320099174,
34.87574,660.017424460006,19740.5753139227,1300.06760351538,28799.8056430266,25225.4272306485,1150335.84004642,4600.84655576626,2600.27042812453,2250.20251822664,8602.95941803981,
35.30052,480.009216176951,21117.8234429859,1657.25270932245,34313.6993105216,32692.6966618404,1147600.76588066,4950.98029409823,1350.07290393681,1850.13691013135,6081.47901569662,
35.72514,700.019600548815,23396.876079134,1085.76143878248,33277.5703168078,22332.431695288,1161683.38921469,4500.81014582625,2450.24012353211,2300.21161946899,5321.13233696131,
36.14986,800.025600819226,10979.8201410419,900.032401166442,21485.1152189347,21017.6548300572,1143845.52961157,4150.68901437639,3500.49006860961,2100.17641481884,3520.49568579256,
36.57438,540.011664251948,7327.14685402823,1200.05760276493,21217.9928579435,20554.3854276288,1137540.61773812,3850.59299132066,1500.09000540032,1750.1225085756,4840.93720544297,
36.9989,520.010816224977,8002.56081946223,1414.36572697541,19748.9218156198,20316.4969955604,1126760.0727369,4450.7922410189,850.028900982633,2600.27042812453,5881.38330135248,
37.42346,640.016384419441,4025.64812934883,1385.79109813515,18847.5318072948,20479.262276173,1131093.07407573,3550.50417159237,950.036101371852,2250.20251822664,1360.07398802495,
37.848,560.012544280992,7552.28078879822,671.446604565951,19147.98792676,18401.0339604779,1112933.21356201,4200.70571856072,700.019600548815,2000.16001280102,2500.2500250025,
38.27256,480.009216176951,3575.51129811563,585.72800848477,17946.2067456389,18225.7774788934,1157705.15313767,5051.02030610183,750.02250067502,1200.05760276493,1140.05198637058,
38.6971,420.007056118543,3125.39067383423,614.300808534152,17612.3991289868,19853.2535566972,1175196.5233755,4100.67251029169,800.025600819226,2400.23042212052,560.012544280992,
39.12176,960.036865415632,3775.57011108677,685.733094393446,17311.9798900839,17862.7540063605,1140674.47122644,4900.9605882753,700.019600548815,1900.14441097523,2300.21161946899,
39.54654,480.009216176951,28933.4470648069,8374.23274307854,31105.3202112492,137830.725869945,1151430.02993118,8602.95941803981,5951.41643711203,6451.6645294486,283744.291941889,
39.97117,1280.06553935562,485576.692726518,43217.4380931665,69123.9310525556,401779.953524903,1134881.07583715,13307.0793662228,12656.4041404951,9103.31360615264,640689.024800495,
