1308H1-26b:01/28/2015 07:44:38 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.2346041055718;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.8396871945259;CCT Entry Lens Readback=-70.6256109481916;CCT Focus Lens Readback=3.18181818181818;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=5.91220869236558E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.3137280514318;Exhaust Flow Readback=0.524517106549365;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=22.819657378328;Spray Chamber Temperature Readback=19.9783669914792;
Power Supply:Supply Voltage 500 V Readback=-545.576735092864;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0193768817204302;Nebulizer Flow Readback=0.621700879765396;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,300.003600043201,1825.13323472614,242.859502063734,16277.2577357,18213.259252736,1144683.98397575,4400.77453631839,650.016900439411,1750.1225085756,60.0001440003456,
0.47758,340.004624062887,1425.08122963009,128.572089799319,18547.0829041263,18113.1138944596,1172456.24663248,4400.77453631839,750.02250067502,2000.16001280102,120.000576002765,
0.90222,480.009216176951,1325.07022872212,257.145502068021,17745.921106705,17236.8762077071,1134043.25009931,4200.70571856072,600.014400345608,3050.37214540174,60.0001440003456,
1.32693,500.010000200004,1550.09610595857,185.715665316371,16310.634533716,17662.4697036108,1149351.14743353,4500.81014582625,400.006400102402,2850.32493704282,80.0002560008192,
1.75159,600.014400345608,1825.13323472614,414.292579705607,16878.0537269144,17224.3589711516,1145595.40841512,3650.53297781476,600.014400345608,1950.15211186473,40.0000640001024,
2.17635,420.007056118543,1650.10890718787,228.573518386454,17378.7390974263,17612.3991289868,1139872.71624645,3750.56258438766,650.016900439411,2000.16001280102,100.0004000016,
2.60096,420.007056118543,1600.10240655402,214.287551036152,18446.9348733133,18463.6261561032,1171542.94854884,5001.00020004001,850.028900982633,1600.10240655402,160.001024006554,
3.0257,440.007744136297,1400.07840439065,257.145502068021,16477.5198597476,19177.1993232813,1171104.58810869,2950.34814108065,850.028900982633,2300.21161946899,180.001296009331,
3.45034,360.005184074651,1700.11560786133,228.573518386454,18346.7876442725,18588.8114869348,1146470.43566295,4100.67251029169,550.012100266206,1600.10240655402,100.0004000016,
3.8751,380.005776087797,1450.08410487808,185.715665316371,17679.1599396907,17700.022766107,1121409.5251894,4050.65620630542,550.012100266206,1450.08410487808,140.00078400439,
4.29974,580.013456312186,1400.07840439065,185.715665316371,16811.2971917128,17712.5404786589,1147856.01526198,4000.64010241639,800.025600819226,2050.16811378533,60.0001440003456,
4.72456,540.011664251948,1600.10240655402,271.431518399343,18012.9693379233,17900.307670138,1150262.89730966,4150.68901437639,450.008100145803,2700.2916314962,100.0004000016,
5.14936,360.005184074651,1700.11560786133,171.429746946836,18647.2317367211,18413.5523745477,1150773.50501258,3950.62419862338,850.028900982633,1700.11560786133,100.0004000016,
5.57398,320.004096052429,1700.11560786133,342.861844962445,18914.2992102029,19364.9885010999,1149314.6787609,4250.72262284588,850.028900982633,2950.34814108065,80.0002560008192,
5.99866,500.010000200004,1875.14063554767,257.145502068021,17512.2585810067,18350.960429475,1169935.69872333,3350.44896016066,700.019600548815,2150.18491590277,80.0002560008192,
6.42325,520.010816224977,1325.07022872212,257.145502068021,17078.3254701877,17850.2361434884,1149825.24943447,4500.81014582625,500.010000200004,1850.13691013135,80.0002560008192,
6.84789,500.010000200004,1550.09610595857,300.0036000432,17712.5404786589,19440.1049615551,1167488.6747109,3850.59299132066,550.012100266206,1950.15211186473,100.0004000016,
7.27246,480.009216176951,1425.08122963009,271.431518399343,17779.3018238295,18050.5234526711,1153509.24299888,3300.43565750679,1000.04000160006,1600.10240655402,60.0001440003456,
7.69721,660.017424460006,1275.06502831644,200.0016000128,18313.4054127621,17987.93332406,1140893.14021139,4200.70571856072,1000.04000160006,2000.16001280102,180.001296009331,
8.12182,460.00846415574,1425.08122963009,100.0004000016,16410.7654621432,18025.4873636455,1139471.85719902,4400.77453631839,800.025600819226,2250.20251822664,80.0002560008192,
8.54654,500.010000200004,1200.05760276493,142.857959188338,18046.3507676871,17412.118834709,1153107.96560901,4550.82825074164,900.032401166442,2350.22092076655,60.0001440003456,
8.97118,640.016384419441,1300.06760351538,228.573518386454,17712.5404786589,18413.5523745477,1139471.85719902,3900.60849492521,950.036101371852,2100.17641481884,100.0004000016,
9.39597,520.010816224977,1375.0756291596,157.143844904168,18046.3507676871,18701.4793558185,1176183.16347899,3550.50417159237,900.032401166442,2100.17641481884,40.0000640001024,
9.82058,520.010816224977,1225.06002794137,214.287551036152,16911.4321281186,18701.4793558185,1121846.22243275,4150.68901437639,500.010000200004,1400.07840439065,140.00078400439,
10.24538,540.011664251948,1925.1482364142,285.717551057726,18313.4054127621,18576.2928974764,1160916.84595615,5001.00020004001,600.014400345608,2150.18491590277,140.00078400439,
10.67019,440.007744136297,1375.0756291596,214.287551036152,17345.3594492181,18839.185906988,1145959.99598398,3600.51847466035,700.019600548815,2300.21161946899,100.0004000016,
