1308H1-27d:01/28/2015 07:52:59 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.680938416422288;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.039100684262;Focus Lens Readback=17.7565982404692;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.59405090683201;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1345.06353861193;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=36.3326104165916;Exhaust Flow Readback=0.515455522971652;Quad Board Temperature Readback=30.2629521016618;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=24.1929778866051;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.621700879765396;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.890029325513196;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,480.009216176951,1525.09303067487,228.573518386454,17044.9466236329,21030.1758628127,1171141.11758449,3700.5476810568,800.025600819226,1800.12960933187,200.0016000128,
0.4776,520.010816224977,1325.07022872212,142.857959188338,16611.0297237366,18801.6294245125,1179326.2907455,4650.86506090133,850.028900982633,1900.14441097523,120.000576002765,
0.90222,260.002704028122,1500.09000540032,171.429746946836,16811.2971917128,17925.3435086239,1152670.22249994,3500.49006860961,700.019600548815,1650.10890718787,180.001296009331,
1.32696,580.013456312186,1625.10563186607,228.573518386454,16844.6754147793,17549.8111925516,1171104.58810869,3750.56258438766,800.025600819226,3150.3969500157,200.0016000128,
1.75157,280.003136035124,1350.07290393681,185.715665316371,15809.9919148902,17599.881516647,1153545.7233722,4200.70571856072,350.004900068601,1550.09610595857,140.00078400439,
2.17634,380.005776087797,1675.11223251958,185.715665316371,16978.1891977355,17362.049262188,1146652.74037838,4100.67251029169,750.02250067502,1550.09610595857,60.0001440003456,
2.60094,460.00846415574,1875.14063554767,285.717551057726,17345.3594492181,16923.9490515334,1129090.24778739,3700.5476810568,700.019600548815,2050.16811378533,40.0000640001024,
3.02567,560.012544280992,1625.10563186607,242.859502063734,17579.0188572504,18526.2186649214,1171396.82677048,4000.64010241639,750.02250067502,2200.1936170383,20.0000160000128,
3.4502,360.005184074651,1350.07290393681,200.0016000128,17645.7794898001,18964.3749962472,1141840.74808886,3400.46246289495,550.012100266206,2400.23042212052,180.001296009331,
3.87482,340.004624062887,1525.09303067487,114.286236737082,18346.7876442725,17362.049262188,1153655.16510279,4050.65620630542,850.028900982633,2150.18491590277,100.0004000016,
4.29963,620.015376381334,1775.12603394841,228.573518386454,17278.6004200234,17737.5759413424,1137941.41755466,4250.72262284588,1250.06250312516,2100.17641481884,40.0000640001024,
4.72422,380.005776087797,1375.0756291596,214.287551036152,16644.4074123984,17111.7044058136,1127888.6993746,4800.92177698118,650.016900439411,2300.21161946899,100.0004000016,
5.14905,540.011664251948,1225.06002794137,242.859502063734,16043.6226433219,17649.952041165,1127997.92648208,4150.68901437639,400.006400102402,2750.30253327866,40.0000640001024,
5.57386,480.009216176951,1550.09610595857,228.573518386454,17579.0188572504,18113.1138944596,1134808.21929265,4100.67251029169,550.012100266206,2050.16811378533,60.0001440003456,
5.99845,460.00846415574,2250.20251822664,228.573518386454,17745.921106705,18463.6261561032,1143371.6444111,3750.56258438766,800.025600819226,1550.09610595857,60.0001440003456,
6.42317,380.005776087797,1475.08703013478,171.429746946836,17712.5404786589,18213.259252736,1152414.87912005,4350.75703172352,650.016900439411,2200.1936170383,20.0000160000128,
6.84781,580.013456312186,1700.11560786133,342.861844962445,17044.9466236329,18426.070801145,1150700.5598342,3250.42255493214,800.025600819226,2400.23042212052,200.0016000128,
7.2726,320.004096052429,1175.0552275957,257.145502068021,17512.2585810067,18663.9232867719,1174429.18804827,4050.65620630542,900.032401166442,2000.16001280102,120.000576002765,
7.69723,540.011664251948,1600.10240655402,200.0016000128,16143.7514342589,19039.4890511679,1143809.07629391,3300.43565750679,800.025600819226,1700.11560786133,160.001024006554,
8.12204,400.006400102402,1375.0756291596,185.715665316371,17211.841747122,18138.1501588652,1154202.38749508,3900.60849492521,750.02250067502,2300.21161946899,140.00078400439,
8.54662,560.012544280992,1575.09923125157,142.857959188338,16377.3883969372,18939.3370781682,1141184.70454885,4400.77453631839,450.008100145803,2150.18491590277,160.001024006554,
8.97141,560.012544280992,1275.06502831644,242.859502063734,17311.9798900839,18012.9693379233,1139508.29842257,3300.43565750679,900.032401166442,1800.12960933187,120.000576002765,
9.39603,540.011664251948,1400.07840439065,314.289665355793,16644.4074123984,18438.5892402701,1140018.48622107,4700.88376614804,900.032401166442,2800.31363512713,40.0000640001024,
9.82058,500.010000200004,1400.07840439065,142.857959188338,15976.8705613318,18526.2186649214,1148293.59722424,3950.62419862338,700.019600548815,2200.1936170383,140.00078400439,
10.24527,560.012544280992,1400.07840439065,285.717551057726,16978.1891977355,18188.2228380032,1146324.59372098,4050.65620630542,700.019600548815,1650.10890718787,200.0016000128,
10.66984,280.003136035124,1525.09303067487,185.715665316371,17178.4625442804,18426.070801145,1141257.59664946,3850.59299132066,1050.04410185228,1600.10240655402,200.0016000128,
11.09445,660.017424460006,1325.07022872212,200.0016000128,17044.9466236329,18601.3300889211,1157230.76536755,3700.5476810568,700.019600548815,2500.2500250025,60.0001440003456,
11.519,440.007744136297,1200.05760276493,285.717551057726,18380.1699648675,18200.7410391059,1159675.87115209,4250.72262284588,900.032401166442,2000.16001280102,120.000576002765,
11.94377,360.005184074651,1150.05290243351,242.859502063734,15109.1259120509,18513.7001381022,1192967.43271201,3150.3969500157,750.02250067502,2350.22092076655,40.0000640001024,
12.36837,580.013456312186,1700.11560786133,257.145502068021,15676.4906007765,18225.7774788934,1144027.7977247,4650.86506090133,550.012100266206,2250.20251822664,80.0002560008192,
12.79319,520.010816224977,1350.07290393681,271.431518399343,16777.9190577147,17887.7897696853,1158471.50819283,2900.33643902693,950.036101371852,2950.34814108065,120.000576002765,
13.21801,420.007056118543,1425.08122963009,200.0016000128,18680.6148590948,17624.9167538531,1145012.08945359,4300.73972723308,1000.04000160006,1450.08410487808,120.000576002765,
