1308H1-30c:01/28/2015 08:12:26 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.649266862170088;Torch Vertical Position Readback=0.15307917888563;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-568.91495601173;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.11339198435973;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=36.0792631222433;Exhaust Flow Readback=0.528544477028348;Quad Board Temperature Readback=30.1006842619746;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2329.41176470588;Peltier Temperature Hot Side Readback=23.5860156526518;Spray Chamber Temperature Readback=19.8760924774048;
Power Supply:Supply Voltage 500 V Readback=-545.576735092864;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0362263440860215;Nebulizer Flow Readback=0.621700879765396;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,380.005776087797,1350.07290393681,242.859502063734,16577.6521241409,18513.7001381022,1212191.53493002,4300.73972723308,700.019600548815,1850.13691013135,140.00078400439,
0.47749,380.005776087797,1475.08703013478,214.287551036152,17078.3254701877,17800.1648172675,1151648.87889625,3450.47616571087,650.016900439411,2450.24012353211,160.001024006554,
0.9021,560.012544280992,1500.09000540032,228.573518386454,16677.7851901268,18688.9606536082,1137030.52665768,4600.84655576626,850.028900982633,2750.30253327866,120.000576002765,
1.32681,560.012544280992,1800.12960933187,242.859502063734,17211.841747122,18288.368797591,1148220.66588013,4750.90267150759,1000.04000160006,1900.14441097523,80.0002560008192,
1.75149,460.00846415574,1075.04622698776,300.0036000432,17912.8255831175,16861.3645597132,1150117.01305693,3800.57768780855,650.016900439411,3250.42255493214,140.00078400439,
2.17626,620.015376381334,1650.10890718787,157.143844904168,16744.5410127846,17487.2235692749,1144392.34157544,4350.75703172352,1000.04000160006,1800.12960933187,100.0004000016,
2.60087,300.003600043201,1125.05062727823,185.715665316371,16110.3750815525,17812.6826300326,1133824.69569775,3850.59299132066,950.036101371852,2250.20251822664,120.000576002765,
3.02561,540.011664251948,1575.09923125157,314.289665355793,17345.3594492181,18025.4873636455,1168146.03918942,4650.86506090133,1200.05760276493,2050.16811378533,120.000576002765,
3.45025,260.002704028122,1400.07840439065,242.859502063734,17345.3594492181,18776.59183217,1178558.71327148,4300.73972723308,600.014400345608,2600.27042812453,80.0002560008192,
3.87502,340.004624062887,1625.10563186607,200.0016000128,19081.2192765683,19377.5078798529,1199591.98502082,3600.51847466035,450.008100145803,1850.13691013135,100.0004000016,
4.29961,460.00846415574,1525.09303067487,314.289665355793,16043.6226433219,18476.1446328113,1143189.38544682,3750.56258438766,1100.04840212969,1950.15211186473,40.0000640001024,
4.72432,380.005776087797,1650.10890718787,242.859502063734,17011.567866149,18526.2186649214,1181154.0373434,3950.62419862338,1450.08410487808,2000.16001280102,60.0001440003456,
5.1489,480.009216176951,1500.09000540032,285.717551057726,15509.6159618964,17537.2936428436,1151575.92883424,4850.94108257002,1150.05290243351,2300.21161946899,100.0004000016,
5.57345,460.00846415574,1800.12960933187,142.857959188338,17245.2210390362,17537.2936428436,1146944.43321094,3750.56258438766,850.028900982633,1800.12960933187,100.0004000016,
5.9981,360.005184074651,1375.0756291596,185.715665316371,17211.841747122,18713.9980705568,1126286.80671285,3500.49006860961,550.012100266206,1900.14441097523,80.0002560008192,
6.42262,320.004096052429,1525.09303067487,257.145502068021,16611.0297237366,17925.3435086239,1136083.2674704,4400.77453631839,650.016900439411,2150.18491590277,60.0001440003456,
6.84741,440.007744136297,1800.12960933187,214.287551036152,16010.246557797,17850.2361434884,1176329.33870914,3750.56258438766,850.028900982633,2050.16811378533,180.001296009331,
