1308H1-32a:01/28/2015 08:29:27 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.110850439882697;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.8250244379277;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-159.579667644184;CCT Bias Readback=-2.8396871945259;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=34.6693387747299;Exhaust Flow Readback=0.521496578690127;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=21.5754227699432;Spray Chamber Temperature Readback=19.9783669914792;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,340.004624062887,1375.0756291596,414.292579705607,16911.4321281186,17487.2235692749,1165845.40799879,3700.5476810568,650.016900439411,2350.22092076655,260.002704028122,
0.47766,460.00846415574,1200.05760276493,314.289665355793,14675.276162015,18964.3749962472,1169862.64660357,3900.60849492521,650.016900439411,1850.13691013135,80.0002560008192,
0.90224,560.012544280992,1875.14063554767,342.861844962445,17044.9466236329,17750.0936914741,1133861.12117749,4150.68901437639,750.02250067502,2700.2916314962,140.00078400439,
1.32697,280.003136035124,1325.07022872212,185.715665316371,16410.7654621432,18438.5892402701,1140455.8058998,4650.86506090133,1200.05760276493,1950.15211186473,240.002304022119,
1.75159,440.007744136297,1175.0552275957,142.857959188338,16510.8971921468,19114.6035571176,1161099.35218142,3650.53297781476,900.032401166442,2450.24012353211,160.001024006554,
2.17637,400.006400102402,1650.10890718787,285.717551057726,16711.163056922,19052.0081041713,1166685.27408731,5051.02030610183,650.016900439411,1350.07290393681,200.0016000128,
2.60096,500.010000200004,1450.08410487808,200.0016000128,15876.7431062915,17950.3793972175,1141512.72220286,4450.7922410189,700.019600548815,2000.16001280102,40.0000640001024,
3.02566,340.004624062887,1675.11223251958,285.717551057726,16878.0537269144,18451.1076919228,1143116.48257265,4250.72262284588,700.019600548815,2550.26012653291,200.0016000128,
3.45036,460.00846415574,1500.09000540032,257.145502068021,15976.8705613318,17549.8111925516,1147892.47986612,3400.46246289495,1050.04410185228,2500.2500250025,100.0004000016,
3.8751,420.007056118543,1450.08410487808,328.575746995532,16410.7654621432,18526.2186649214,1173990.73091742,4000.64010241639,550.012100266206,2550.26012653291,40.0000640001024,
4.29971,300.003600043201,1550.09610595857,242.859502063734,17245.2210390362,17862.7540063605,1119044.33551062,4000.64010241639,1000.04000160006,1500.09000540032,120.000576002765,
4.7245,440.007744136297,1275.06502831644,142.857959188338,17445.4986610663,16836.3308506625,1141184.70454885,3800.57768780855,950.036101371852,1800.12960933187,80.0002560008192,
5.14929,460.00846415574,1175.0552275957,142.857959188338,16944.8106183922,17412.118834709,1137795.67074463,4650.86506090133,1250.06250312516,1650.10890718787,20.0000160000128,
5.57392,380.005776087797,1425.08122963009,114.286236737082,16043.6226433219,17850.2361434884,1142460.37500139,4400.77453631839,1050.04410185228,1950.15211186473,100.0004000016,
5.99865,460.00846415574,1650.10890718787,200.0016000128,16644.4074123984,18613.8487034354,1150919.3965902,4200.70571856072,550.012100266206,1700.11560786133,80.0002560008192,
6.42317,440.007744136297,1425.08122963009,157.143844904168,18513.7001381022,18088.0776801628,1141658.51046921,4450.7922410189,950.036101371852,2200.1936170383,120.000576002765,
6.84782,360.005184074651,1550.09610595857,200.0016000128,16944.8106183922,16886.3983188652,1146178.75340598,4300.73972723308,900.032401166442,1450.08410487808,160.001024006554,
7.27236,460.00846415574,1500.09000540032,271.431518399343,16944.8106183922,19390.0272711351,1171652.5409534,3600.51847466035,450.008100145803,1900.14441097523,200.0016000128,
7.69694,380.005776087797,1300.06760351538,300.0036000432,15876.7431062915,18050.5234526711,1101555.23506713,3700.5476810568,700.019600548815,1950.15211186473,80.0002560008192,
8.12147,480.009216176951,1700.11560786133,228.573518386454,16277.2577357,17186.8073366403,1102972.39767287,4200.70571856072,900.032401166442,2300.21161946899,100.0004000016,
8.54628,460.00846415574,1650.10890718787,214.287551036152,16243.8810267467,17900.307670138,1126614.45059562,4050.65620630542,900.032401166442,1800.12960933187,120.000576002765,
8.97087,320.004096052429,1225.06002794137,171.429746946836,16577.6521241409,16460.8312269473,1109333.3556133,3850.59299132066,550.012100266206,1800.12960933187,200.0016000128,
9.39559,740.021904648378,1500.09000540032,257.145502068021,15910.1188355794,18063.0415159745,1138160.04081735,4750.90267150759,1150.05290243351,2250.20251822664,120.000576002765,
9.82014,400.006400102402,1550.09610595857,285.717551057726,16010.246557797,17186.8073366403,1132768.40095332,4900.9605882753,900.032401166442,1750.1225085756,80.0002560008192,
10.24476,380.005776087797,1175.0552275957,300.0036000432,15042.3788171287,19077.0462477639,1137904.98069977,4000.64010241639,1050.04410185228,1950.15211186473,100.0004000016,
10.66955,380.005776087797,1600.10240655402,185.715665316371,18280.0232703362,17787.6470170291,1146798.58598113,3300.43565750679,1050.04410185228,1750.1225085756,20.0000160000128,
11.09415,500.010000200004,1850.13691013135,185.715665316371,16577.6521241409,17374.5666365291,1133970.39822596,3950.62419862338,1000.04000160006,2050.16811378533,200.0016000128,
11.51887,560.012544280992,1375.0756291596,171.429746946836,16076.998817907,17775.1292293174,1143262.28872758,4200.70571856072,700.019600548815,2450.24012353211,120.000576002765,
11.94353,580.013456312186,1525.09303067487,242.859502063734,16811.2971917128,18901.7802950129,1135536.8030175,3400.46246289495,850.028900982633,2050.16811378533,100.0004000016,
12.36832,460.00846415574,1425.08122963009,257.145502068021,16444.1426164132,17887.7897696853,1145121.45977625,3950.62419862338,750.02250067502,2100.17641481884,40.0000640001024,
12.7929,420.007056118543,1425.08122963009,185.715665316371,16911.4321281186,17412.118834709,1149533.4923225,4200.70571856072,800.025600819226,1900.14441097523,140.00078400439,
