1308H1-2e:01/28/2015 04:51:35 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1345.06353861193;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=34.9278086612741;Exhaust Flow Readback=0.539619745845552;Quad Board Temperature Readback=30.2629521016618;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=22.044647034427;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0193768817204302;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,560.012544280992,1100.04840212969,185.715665316371,20583.6001083558,18976.8939740793,1156975.33292598,3900.60849492521,550.012100266206,2350.22092076655,40.0000640001024,
0.47742,660.017424460006,1800.12960933187,171.429746946836,21117.8234429859,19765.6148357202,1203509.73303166,3600.51847466035,150.0009000054,1850.13691013135,140.00078400439,
0.90219,480.009216176951,1700.11560786133,242.859502063734,20316.4969955604,19114.6035571176,1157814.62968207,3550.50417159237,400.006400102402,2150.18491590277,40.0000640001024,
1.32679,580.013456312186,1475.08703013478,271.431518399343,21451.7246119006,20303.9766770734,1196004.79491672,3250.42255493214,400.006400102402,1900.14441097523,100.0004000016,
1.75151,460.00846415574,1150.05290243351,257.145502068021,21284.7729134917,19753.0950685566,1174502.26566492,4000.64010241639,400.006400102402,2250.20251822664,20.0000160000128,
2.17605,620.015376381334,1575.09923125157,257.145502068021,23054.5742811043,19703.0161251986,1149825.24943447,4000.64010241639,400.006400102402,1900.14441097523,0,
2.60068,560.012544280992,1475.08703013478,314.289665355793,22820.8125810739,19227.2761617303,1148621.79330735,4000.64010241639,150.0009000054,1950.15211186473,80.0002560008192,
3.02542,380.005776087797,1525.09303067487,285.717551057726,21017.6548300572,20053.5729387104,1180751.91119489,4200.70571856072,500.010000200004,2900.33643902693,80.0002560008192,
3.45002,520.010816224977,1900.14441097523,257.145502068021,22553.6617004126,20667.0710006465,1168109.51807414,4600.84655576626,350.004900068601,2050.16811378533,80.0002560008192,
3.87475,360.005184074651,1500.09000540032,285.717551057726,20116.1734034163,19552.7804979592,1166320.10829368,3950.62419862338,250.002500025,2200.1936170383,40.0000640001024,
4.2993,520.010816224977,1725.11903321329,200.0016000128,21785.6346926057,18438.5892402701,1170812.3559733,4150.68901437639,350.004900068601,2100.17641481884,40.0000640001024,
4.72395,540.011664251948,1400.07840439065,257.145502068021,21284.7729134917,19765.6148357202,1170666.24235293,4800.92177698118,250.002500025,1750.1225085756,20.0000160000128,
5.14873,440.007744136297,1250.06250312516,357.147959256561,21117.8234429859,19552.7804979592,1188577.31077531,3750.56258438766,450.008100145803,2450.24012353211,80.0002560008192,
5.57336,520.010816224977,1650.10890718787,271.431518399343,20984.2654706414,19339.9497811809,1160040.85151979,4150.68901437639,500.010000200004,1500.09000540032,60.0001440003456,
5.9981,640.016384419441,1250.06250312516,314.289665355793,21117.8234429859,19602.8588399011,1172967.72140237,3450.47616571087,600.014400345608,2600.27042812453,20.0000160000128,
6.42265,720.020736597214,1425.08122963009,200.0016000128,23221.549598027,20128.6935339481,1175561.93696366,5201.0818250196,300.003600043201,1800.12960933187,20.0000160000128,
6.84732,560.012544280992,1575.09923125157,157.143844904168,20817.3200102485,19765.6148357202,1180422.90807949,4200.70571856072,350.004900068601,1750.1225085756,20.0000160000128,
