1308H1-34a:01/28/2015 08:44:44 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.670381231671555;Torch Vertical Position Readback=0.121407624633431;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.7565982404692;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=6.18443597427409E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.4418967358893;Exhaust Flow Readback=0.528544477028348;Quad Board Temperature Readback=30.3440860215054;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=22.819657378328;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0362263440860215;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,460.00846415574,1300.06760351538,242.859502063734,17078.3254701877,17449.6711456241,1157267.25612359,3900.60849492521,700.019600548815,1950.15211186473,80.0002560008192,
0.4775,480.009216176951,1600.10240655402,257.145502068021,16210.5044068556,17412.118834709,1142059.43658634,3600.51847466035,600.014400345608,1850.13691013135,40.0000640001024,
0.9021,680.018496503105,1675.11223251958,300.0036000432,15876.7431062915,17299.4625783729,1107043.05364684,4250.72262284588,850.028900982633,1550.09610595857,80.0002560008192,
1.32683,380.005776087797,1600.10240655402,257.145502068021,15609.7404780583,17887.7897696853,1126832.88441628,4400.77453631839,800.025600819226,1450.08410487808,180.001296009331,
1.7513,400.006400102402,1225.06002794137,85.7145795928443,16444.1426164132,17161.7729762617,1136629.75477569,3400.46246289495,300.003600043201,1900.14441097523,120.000576002765,
2.17588,480.009216176951,1550.09610595857,314.289665355793,16510.8971921468,18063.0415159745,1159639.37367545,3950.62419862338,1250.06250312516,1800.12960933187,120.000576002765,
2.60052,440.007744136297,1475.08703013478,214.287551036152,16944.8106183922,18038.0054018948,1135500.37286647,3500.49006860961,1100.04840212969,2050.16811378533,60.0001440003456,
3.02507,300.003600043201,1175.0552275957,285.717551057726,16043.6226433219,19014.4509827469,1122537.68959738,3650.53297781476,1000.04000160006,1950.15211186473,180.001296009331,
3.44982,500.010000200004,1300.06760351538,185.715665316371,16143.7514342589,18375.9971699213,1179984.25012148,3750.56258438766,750.02250067502,1900.14441097523,40.0000640001024,
3.87442,560.012544280992,1575.09923125157,214.287551036152,16544.2746136111,17837.718293143,1125194.71978464,4500.81014582625,900.032401166442,2150.18491590277,60.0001440003456,
4.29911,400.006400102402,900.032401166442,285.717551057726,16177.1278760265,17499.7410688777,1120063.13393393,4100.67251029169,500.010000200004,1700.11560786133,140.00078400439,
4.72365,420.007056118543,1275.06502831644,114.286236737082,16811.2971917128,18150.6683098588,1120827.28491066,3550.50417159237,550.012100266206,2650.28092977856,100.0004000016,
5.1483,580.013456312186,1150.05290243351,200.0016000128,16243.8810267467,16736.1965154688,1122901.63438805,3600.51847466035,1250.06250312516,1300.06760351538,60.0001440003456,
5.57308,300.003600043201,1075.04622698776,157.143844904168,16043.6226433219,19302.3917952701,1148038.33929973,4200.70571856072,950.036101371852,2250.20251822664,100.0004000016,
5.99769,440.007744136297,1175.0552275957,228.573518386454,17145.083430511,17887.7897696853,1155771.21860784,3800.57768780855,950.036101371852,1850.13691013135,20.0000160000128,
6.42241,520.010816224977,1850.13691013135,200.0016000128,15910.1188355794,17587.3639168335,1122173.75494754,4200.70571856072,950.036101371852,2050.16811378533,60.0001440003456,
6.84704,380.005776087797,1550.09610595857,200.0016000128,15676.4906007765,19014.4509827469,1152305.44776931,4250.72262284588,900.032401166442,1950.15211186473,80.0002560008192,
7.27182,460.00846415574,1475.08703013478,142.857959188338,16777.9190577147,17387.0840233963,1114351.6119867,3650.53297781476,950.036101371852,1450.08410487808,100.0004000016,
7.69642,480.009216176951,1525.09303067487,271.431518399343,16210.5044068556,17762.6114541324,1161062.85073265,3450.47616571087,400.006400102402,2000.16001280102,60.0001440003456,
8.12116,500.010000200004,1275.06502831644,171.429746946836,17512.2585810067,17537.2936428436,1118935.18325045,4350.75703172352,1050.04410185228,2150.18491590277,60.0001440003456,
8.54567,440.007744136297,1000.04000160006,242.859502063734,17912.8255831175,18263.3322325297,1141476.27539034,4500.81014582625,1150.05290243351,2200.1936170383,140.00078400439,
8.97033,540.011664251948,1250.06250312516,157.143844904168,15776.6164527762,17499.7410688777,1135755.38605647,4100.67251029169,600.014400345608,1800.12960933187,100.0004000016,
9.39487,520.010816224977,1525.09303067487,271.431518399343,16544.2746136111,17700.022766107,1130219.07575673,4400.77453631839,850.028900982633,2100.17641481884,120.000576002765,
9.81966,440.007744136297,1400.07840439065,300.0036000432,16243.8810267467,18300.8870989129,1118353.0532703,4100.67251029169,750.02250067502,2000.16001280102,220.001936017037,
10.24424,240.002304022119,1650.10890718787,300.0036000432,17378.7390974263,17962.8973603047,1144465.25156553,4000.64010241639,850.028900982633,2150.18491590277,120.000576002765,
10.66908,440.007744136297,1375.0756291596,185.715665316371,16177.1278760265,18263.3322325297,1173698.43432426,3900.60849492521,750.02250067502,2700.2916314962,200.0016000128,
