1308H1-36c:01/28/2015 09:00:03 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.8396871945259;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=6.18443597427409E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=36.4589463701334;Exhaust Flow Readback=0.540626588465298;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=24.1929778866051;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.621700879765396;Cool Flow Readback=13.9393939393939;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,320.004096052429,1725.11903321329,157.143844904168,15976.8705613318,17437.1536961262,1137868.54394647,4000.64010241639,700.019600548815,2300.21161946899,120.000576002765,
0.47764,540.011664251948,1300.06760351538,185.715665316371,15342.743549377,17324.4972143209,1138451.54419001,4800.92177698118,900.032401166442,1800.12960933187,160.001024006554,
0.90225,260.002704028122,1700.11560786133,242.859502063734,16777.9190577147,19089.5653383532,1140929.58539789,4100.67251029169,950.036101371852,1600.10240655402,60.0001440003456,
1.32695,320.004096052429,1725.11903321329,171.429746946836,17044.9466236329,17474.7060821984,1102718.02382238,4100.67251029169,600.014400345608,2200.1936170383,140.00078400439,
1.75158,380.005776087797,1300.06760351538,242.859502063734,15910.1188355794,17311.9798900839,1172054.38762278,3350.44896016066,1000.04000160006,1550.09610595857,100.0004000016,
2.17637,520.010816224977,1425.08122963009,257.145502068021,16344.0114207949,18451.1076919228,1142460.37500139,3650.53297781476,300.003600043201,1800.12960933187,140.00078400439,
2.60101,520.010816224977,1450.08410487808,271.431518399343,16177.1278760265,18538.7372042684,1154859.08459388,3800.57768780855,1050.04410185228,2150.18491590277,100.0004000016,
3.02574,420.007056118543,1225.06002794137,257.145502068021,17044.9466236329,18075.5595918051,1124575.91105104,4200.70571856072,1000.04000160006,2350.22092076655,100.0004000016,
3.45038,600.014400345608,1575.09923125157,171.429746946836,17078.3254701877,17537.2936428436,1130983.82108847,4250.72262284588,1100.04840212969,2850.32493704282,180.001296009331,
3.87495,620.015376381334,1225.06002794137,228.573518386454,16377.3883969372,17549.8111925516,1167707.79253404,4050.65620630542,1400.07840439065,2150.18491590277,120.000576002765,
4.29972,620.015376381334,1400.07840439065,185.715665316371,15476.2413012851,18075.5595918051,1165480.26564591,3950.62419862338,550.012100266206,1500.09000540032,80.0002560008192,
4.72435,320.004096052429,1475.08703013478,85.7145795928443,17345.3594492181,17937.8614466573,1159675.87115209,4200.70571856072,1100.04840212969,1900.14441097523,160.001024006554,
5.14906,380.005776087797,1350.07290393681,228.573518386454,16611.0297237366,18300.8870989129,1167123.48649358,4150.68901437639,550.012100266206,1800.12960933187,200.0016000128,
5.57367,680.018496503105,1675.11223251958,242.859502063734,15976.8705613318,19189.7185141003,1153691.6458832,3900.60849492521,1000.04000160006,1750.1225085756,60.0001440003456,
5.99825,560.012544280992,1650.10890718787,200.0016000128,15910.1188355794,18138.1501588652,1169716.54358758,4350.75703172352,900.032401166442,2600.27042812453,140.00078400439,
6.42302,320.004096052429,1625.10563186607,242.859502063734,15876.7431062915,17800.1648172675,1119335.4126646,4200.70571856072,1000.04000160006,1750.1225085756,120.000576002765,
6.84761,560.012544280992,1775.12603394841,285.717551057726,15142.499593087,18864.223624613,1139872.71624645,3750.56258438766,1550.09610595857,2750.30253327866,100.0004000016,
