1308H1-38d:01/28/2015 09:15:20 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.11339198435973;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.37070660868161;Analyzer Pressure Readback=6.18443597427409E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2029.32551319648;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=34.9278086612741;Exhaust Flow Readback=0.536599217986315;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=22.2003487762441;Spray Chamber Temperature Readback=19.8760924774048;
Power Supply:Supply Voltage 500 V Readback=-545.576735092864;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05286,460.00846415574,1350.07290393681,200.0016000128,15275.9952077402,18526.2186649214,1124175.52102056,3200.40965243551,900.032401166442,1550.09610595857,160.001024006554,
0.47741,560.012544280992,1425.08122963009,200.0016000128,14908.8856958747,17324.4972143209,1096251.32568957,4900.9605882753,700.019600548815,1650.10890718787,100.0004000016,
0.9022,520.010816224977,1350.07290393681,228.573518386454,15709.8657957197,17374.5666365291,1144902.72004596,3200.40965243551,1450.08410487808,1650.10890718787,200.0016000128,
1.32702,560.012544280992,1175.0552275957,171.429746946836,15976.8705613318,17737.5759413424,1161318.36301306,4650.86506090133,1050.04410185228,2100.17641481884,100.0004000016,
1.75165,360.005184074651,1600.10240655402,271.431518399343,15809.9919148902,17599.881516647,1154092.94118468,4850.94108257002,850.028900982633,1800.12960933187,180.001296009331,
2.17635,500.010000200004,1425.08122963009,242.859502063734,16043.6226433219,18488.6631220472,1133023.36083224,4050.65620630542,850.028900982633,1500.09000540032,160.001024006554,
2.60096,460.00846415574,1275.06502831644,228.573518386454,15542.9907115621,18901.7802950129,1169899.17261247,4050.65620630542,600.014400345608,2300.21161946899,180.001296009331,
3.02572,400.006400102402,1250.06250312516,257.145502068021,16978.1891977355,18088.0776801628,1157048.31311452,3900.60849492521,600.014400345608,1900.14441097523,40.0000640001024,
3.45035,480.009216176951,1725.11903321329,271.431518399343,16076.998817907,17224.3589711516,1126541.64013371,4050.65620630542,650.016900439411,1750.1225085756,140.00078400439,
3.87508,440.007744136297,2025.1640382871,228.573518386454,15509.6159618964,16197.9881973578,1127706.65622487,3700.5476810568,900.032401166442,2150.18491590277,60.0001440003456,
4.29961,420.007056118543,1325.07022872212,271.431518399343,15209.2472223112,17875.2718817595,1120245.07058735,4700.88376614804,900.032401166442,2200.1936170383,140.00078400439,
4.72425,460.00846415574,1600.10240655402,200.0016000128,15175.8733631737,17775.1292293174,1124976.31335481,3750.56258438766,950.036101371852,1300.06760351538,140.00078400439,
5.14904,460.00846415574,1450.08410487808,128.572089799319,16177.1278760265,17524.776105662,1164238.85787167,4450.7922410189,850.028900982633,1850.13691013135,160.001024006554,
5.57387,580.013456312186,1800.12960933187,214.287551036152,16844.6754147793,17537.2936428436,1125194.71978464,4200.70571856072,900.032401166442,1750.1225085756,160.001024006554,
5.9987,340.004624062887,1375.0756291596,228.573518386454,16978.1891977355,17612.3991289868,1151794.78024124,3750.56258438766,1200.05760276493,1800.12960933187,100.0004000016,
6.42331,260.002704028122,1675.11223251958,285.717551057726,16177.1278760265,17224.3589711516,1136411.15711119,4100.67251029169,850.028900982633,1450.08410487808,140.00078400439,
6.84799,440.007744136297,1700.11560786133,242.859502063734,15509.6159618964,16873.8814330266,1136265.42736627,4050.65620630542,950.036101371852,2050.16811378533,260.002704028122,
