1308H1-3e:01/28/2015 04:58:30 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.15307917888563;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2029.32551319648;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=36.5850588629138;Exhaust Flow Readback=0.545660801564027;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=24.3438782630382;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.798631476051;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,440.007744136297,1475.08703013478,242.859502063734,23054.5742811043,19014.4509827469,1172748.5154817,4300.73972723308,450.008100145803,2200.1936170383,0,
0.47758,300.003600043201,1750.1225085756,228.573518386454,21618.6785382571,19590.3392356215,1156209.06553281,4650.86506090133,300.003600043201,2150.18491590277,40.0000640001024,
0.90222,340.004624062887,1550.09610595857,228.573518386454,22653.8426121782,19177.1993232813,1158033.58552003,4900.9605882753,500.010000200004,2250.20251822664,160.001024006554,
1.32693,440.007744136297,1775.12603394841,171.429746946836,22019.3770518056,17775.1292293174,1159967.8546315,4300.73972723308,250.002500025,1950.15211186473,120.000576002765,
1.75149,360.005184074651,1475.08703013478,242.859502063734,18580.4657592372,19089.5653383532,1140200.70097562,4000.64010241639,700.019600548815,2050.16811378533,20.0000160000128,
2.176,660.017424460006,1400.07840439065,314.289665355793,20082.7864499238,18325.9237391389,1149022.93304177,4600.84655576626,400.006400102402,2400.23042212052,120.000576002765,
2.60064,300.003600043201,1500.09000540032,171.429746946836,20450.0478391005,19778.1346154135,1164603.96557715,3700.5476810568,150.0009000054,2500.2500250025,0,
3.02544,700.019600548815,1500.09000540032,228.573518386454,18480.3174611646,19765.6148357202,1190625.85119534,4000.64010241639,400.006400102402,2100.17641481884,80.0002560008192,
3.45004,500.010000200004,1550.09610595857,357.147959256561,21919.201220269,19427.5855201564,1181885.20744431,3550.50417159237,250.002500025,2800.31363512713,80.0002560008192,
3.87479,600.014400345608,1525.09303067487,214.287551036152,22119.5536854579,19627.8980860485,1178631.81394881,3550.50417159237,250.002500025,2200.1936170383,120.000576002765,
4.29929,480.009216176951,1300.06760351538,200.0016000128,20583.6001083558,19840.7337018255,1191833.17688078,4250.72262284588,400.006400102402,2300.21161946899,100.0004000016,
4.72387,560.012544280992,1450.08410487808,157.143844904168,22553.6617004126,20053.5729387104,1163910.26964875,4050.65620630542,550.012100266206,1850.13691013135,60.0001440003456,
5.14848,380.005776087797,1250.06250312516,242.859502063734,22754.0243261206,18901.7802950129,1168876.482903,4100.67251029169,250.002500025,2600.27042812453,40.0000640001024,
5.57331,480.009216176951,1425.08122963009,185.715665316371,20850.7089241034,19014.4509827469,1179253.18618964,3100.38444767151,450.008100145803,1900.14441097523,120.000576002765,
5.99791,580.013456312186,1500.09000540032,214.287551036152,18346.7876442725,19177.1993232813,1156683.41624421,4050.65620630542,600.014400345608,1700.11560786133,40.0000640001024,
6.42246,440.007744136297,1425.08122963009,200.0016000128,21017.6548300572,18576.2928974764,1162011.92150559,3800.57768780855,500.010000200004,1800.12960933187,60.0001440003456,
6.8472,580.013456312186,1475.08703013478,142.857959188338,23121.3641404658,19853.2535566972,1157632.16928382,4000.64010241639,100.0004000016,1700.11560786133,20.0000160000128,
