1308H1-4c:01/28/2015 05:02:40 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.670381231671555;Torch Vertical Position Readback=0.121407624633431;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.985337243402;Extraction Lens 1 Positive Readback=2.62463343108504;Extraction Lens 2 Readback=-566.959921798632;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.7565982404692;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.97653958944282;CCT Entry Lens Readback=-70.6256109481916;CCT Focus Lens Readback=3.11339198435973;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=5.91220869236558E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.9522492789465;Exhaust Flow Readback=0.527537634408602;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=23.4334286558825;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0193768817204302;Nebulizer Flow Readback=0.624633431085044;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,560.012544280992,950.036101371852,242.859502063734,18914.2992102029,19990.972787257,1163764.23308774,4800.92177698118,300.003600043201,2400.23042212052,40.0000640001024,
0.47756,480.009216176951,1475.08703013478,100.0004000016,20783.9311855048,19402.5466749464,1153728.12676538,3450.47616571087,900.032401166442,1700.11560786133,20.0000160000128,
0.90225,400.006400102402,1150.05290243351,200.0016000128,21885.8094546697,20303.9766770734,1155552.30064238,3850.59299132066,600.014400345608,2300.21161946899,100.0004000016,
1.32683,640.016384419441,1500.09000540032,157.143844904168,20016.0128102482,19915.8530190031,1181117.47991036,2800.31363512713,250.002500025,1950.15211186473,60.0001440003456,
1.75151,460.00846415574,1425.08122963009,128.572089799319,20717.1538033492,20203.8145802736,1162048.42560281,3900.60849492521,550.012100266206,1950.15211186473,60.0001440003456,
2.17626,740.021904648378,1575.09923125157,214.287551036152,21685.460732635,19440.1049615551,1150080.54224807,5001.00020004001,450.008100145803,2550.26012653291,0,
2.60087,640.016384419441,1300.06760351538,128.572089799319,20082.7864499238,19577.8196438713,1152633.74456897,4400.77453631839,450.008100145803,1900.14441097523,80.0002560008192,
3.02567,840.028224948358,1050.04410185228,300.0036000432,20082.7864499238,19277.3532006411,1128726.13053772,3850.59299132066,450.008100145803,2300.21161946899,40.0000640001024,
3.45026,460.00846415574,1450.08410487808,128.572089799319,20616.9883984403,18238.2957175781,1143189.38544682,3900.60849492521,400.006400102402,1400.07840439065,60.0001440003456,
3.87506,440.007744136297,1375.0756291596,114.286236737082,20483.4357727526,19665.4570492407,1149095.86886124,4200.70571856072,450.008100145803,2100.17641481884,40.0000640001024,
4.2997,580.013456312186,1325.07022872212,71.4287755107872,22052.7691738986,19014.4509827469,1163143.59589036,4050.65620630542,450.008100145803,2250.20251822664,0,
4.72439,460.00846415574,1175.0552275957,257.145502068021,19682.1499579669,18926.8181379213,1133387.59786083,5101.04061228491,450.008100145803,2400.23042212052,0,
5.14894,500.010000200004,1350.07290393681,128.572089799319,19548.6073118463,19415.0660912868,1184078.96280325,3900.60849492521,500.010000200004,2500.2500250025,80.0002560008192,
5.57355,580.013456312186,1875.14063554767,171.429746946836,21785.6346926057,18964.3749962472,1148330.06304885,4200.70571856072,300.003600043201,2450.24012353211,120.000576002765,
5.99833,600.014400345608,1225.06002794137,328.575746995532,20717.1538033492,19577.8196438713,1162522.98813687,3950.62419862338,150.0009000054,2200.1936170383,140.00078400439,
6.42296,540.011664251948,1225.06002794137,200.0016000128,20049.3995855345,18939.3370781682,1175927.36075454,3000.36004320518,250.002500025,2600.27042812453,20.0000160000128,
6.84769,360.005184074651,1575.09923125157,157.143844904168,19682.1499579669,19227.2761617303,1184956.56788537,4050.65620630542,750.02250067502,1600.10240655402,120.000576002765,
7.27224,320.004096052429,1725.11903321329,257.145502068021,20650.3767776338,19515.221873061,1153217.40367596,4100.67251029169,350.004900068601,1800.12960933187,80.0002560008192,
7.69679,420.007056118543,1175.0552275957,257.145502068021,20283.1095074407,18688.9606536082,1179180.08204206,3950.62419862338,450.008100145803,2550.26012653291,60.0001440003456,
8.12142,520.010816224977,1400.07840439065,271.431518399343,21051.0442785864,19001.9319673292,1184005.83170178,3750.56258438766,300.003600043201,1900.14441097523,40.0000640001024,
8.54624,440.007744136297,1525.09303067487,300.0036000432,22086.1613851159,20955.0498542529,1146835.04763605,4300.73972723308,450.008100145803,1350.07290393681,0,
8.97084,480.009216176951,1625.10563186607,228.573518386454,21051.0442785864,20128.6935339481,1193589.48568363,3300.43565750679,250.002500025,1900.14441097523,60.0001440003456,
9.39557,400.006400102402,1200.05760276493,171.429746946836,20950.8762003384,18839.185906988,1147381.98466299,4150.68901437639,450.008100145803,2050.16811378533,80.0002560008192,
9.82009,600.014400345608,1450.08410487808,285.717551057726,21284.7729134917,18163.1864733797,1144829.80761588,4200.70571856072,150.0009000054,2250.20251822664,80.0002560008192,
10.24468,440.007744136297,1600.10240655402,157.143844904168,20116.1734034163,19790.6544076364,1171944.79185278,3700.5476810568,350.004900068601,2250.20251822664,60.0001440003456,
10.66933,600.014400345608,1200.05760276493,128.572089799319,19648.7641627892,18088.0776801628,1141330.48915658,3750.56258438766,300.003600043201,1700.11560786133,100.0004000016,
11.09387,460.00846415574,1300.06760351538,114.286236737082,20450.0478391005,19139.6418259969,1163326.13318598,4200.70571856072,300.003600043201,1850.13691013135,120.000576002765,
11.51865,460.00846415574,1600.10240655402,142.857959188338,21618.6785382571,18926.8181379213,1114897.19087274,3350.44896016066,200.0016000128,1950.15211186473,60.0001440003456,
11.94327,400.006400102402,1400.07840439065,200.0016000128,20950.8762003384,20066.0930065913,1188174.95656255,4250.72262284588,400.006400102402,2100.17641481884,80.0002560008192,
12.36806,500.010000200004,1525.09303067487,271.431518399343,20783.9311855048,17887.7897696853,1132185.65419662,3550.50417159237,300.003600043201,2500.2500250025,20.0000160000128,
