1308H1-5a:01/28/2015 05:06:50 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.649266862170088;Torch Vertical Position Readback=0.15307917888563;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.2346041055718;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-160.068426197458;CCT Bias Readback=-2.8396871945259;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.18181818181818;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=34.798693581476;Exhaust Flow Readback=0.539619745845552;Quad Board Temperature Readback=30.3440860215054;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=22.044647034427;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-545.576735092864;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.621700879765396;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,320.004096052429,1900.14441097523,214.287551036152,21084.4338162291,19390.0272711351,1174246.49579188,4100.67251029169,400.006400102402,2600.27042812453,80.0002560008192,
0.47761,600.014400345608,1600.10240655402,271.431518399343,21551.8967003579,18688.9606536082,1156026.6275326,4500.81014582625,500.010000200004,1800.12960933187,60.0001440003456,
0.90223,440.007744136297,1425.08122963009,385.720236826511,20283.1095074407,19352.4691348758,1174794.58021213,3650.53297781476,250.002500025,1600.10240655402,40.0000640001024,
1.32704,460.00846415574,1250.06250312516,200.0016000128,20283.1095074407,18338.4420780432,1155406.35736794,4250.72262284588,600.014400345608,1650.10890718787,100.0004000016,
1.75185,480.009216176951,1275.06502831644,228.573518386454,20884.0979270698,19552.7804979592,1152305.44776931,3050.37214540174,450.008100145803,1400.07840439065,80.0002560008192,
2.17644,520.010816224977,1525.09303067487,171.429746946836,20583.6001083558,18651.4046221458,1169753.06918864,3550.50417159237,650.016900439411,2500.2500250025,180.001296009331,
2.60113,500.010000200004,1475.08703013478,200.0016000128,20216.3347985172,19189.7185141003,1185468.53135134,3650.53297781476,250.002500025,1950.15211186473,60.0001440003456,
3.02581,540.011664251948,1325.07022872212,214.287551036152,22119.5536854579,19352.4691348758,1189125.99553598,3850.59299132066,350.004900068601,2750.30253327866,120.000576002765,
3.45058,360.005184074651,1175.0552275957,300.0036000432,20149.5604460125,18914.2992102029,1140820.25014325,4250.72262284588,350.004900068601,2000.16001280102,40.0000640001024,
3.8752,340.004624062887,1350.07290393681,128.572089799319,21652.069590886,18476.1446328113,1131967.13086332,3650.53297781476,400.006400102402,1600.10240655402,200.0016000128,
4.29992,260.002704028122,1375.0756291596,185.715665316371,20349.8845727859,19014.4509827469,1168365.16802184,3400.46246289495,700.019600548815,2250.20251822664,40.0000640001024,
4.72456,700.019600548815,1500.09000540032,385.720236826511,19882.4666001249,20053.5729387104,1148330.06304885,3150.3969500157,300.003600043201,2200.1936170383,60.0001440003456,
5.14935,700.019600548815,1350.07290393681,271.431518399343,19615.3784567101,17912.8255831175,1145267.28829654,3850.59299132066,450.008100145803,2000.16001280102,80.0002560008192,
5.57397,640.016384419441,1450.08410487808,257.145502068021,19548.6073118463,20904.9660991759,1164823.03509156,3500.49006860961,600.014400345608,2150.18491590277,60.0001440003456,
5.99875,600.014400345608,1375.0756291596,257.145502068021,18847.5318072948,19965.9328143859,1181629.29326357,4250.72262284588,750.02250067502,2550.26012653291,120.000576002765,
6.42356,520.010816224977,1625.10563186607,214.287551036152,19849.0802703478,20053.5729387104,1167160.00485662,3200.40965243551,550.012100266206,1850.13691013135,180.001296009331,
6.84817,580.013456312186,1450.08410487808,171.429746946836,21017.6548300572,18638.8859700477,1181409.94223334,3950.62419862338,150.0009000054,2000.16001280102,120.000576002765,
