1308H1-5b:01/28/2015 05:08:13 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.110850439882697;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.8250244379277;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.8396871945259;CCT Entry Lens Readback=-71.1143695014663;CCT Focus Lens Readback=3.11339198435973;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=6.18443597427409E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=36.3326104165916;Exhaust Flow Readback=0.531565004887586;Quad Board Temperature Readback=30.1818181818182;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2329.41176470588;Peltier Temperature Hot Side Readback=24.0417426885951;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-545.576735092864;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0362263440860215;Nebulizer Flow Readback=0.621700879765396;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.890029325513196;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,600.014400345608,1075.04622698776,185.715665316371,20616.9883984403,17787.6470170291,1181300.26809651,4150.68901437639,500.010000200004,2200.1936170383,100.0004000016,
0.47752,500.010000200004,1775.12603394841,185.715665316371,21952.5930749911,19352.4691348758,1185175.978348,2950.34814108065,450.008100145803,2050.16811378533,100.0004000016,
0.90205,480.009216176951,1325.07022872212,285.717551057726,20383.2722391175,19440.1049615551,1183457.36146158,2800.31363512713,250.002500025,2200.1936170383,80.0002560008192,
1.3267,480.009216176951,1975.15603732695,242.859502063734,21384.9436651858,19903.3331014822,1152779.65690343,3800.57768780855,550.012100266206,1500.09000540032,80.0002560008192,
1.75149,560.012544280992,1350.07290393681,142.857959188338,20249.7221084264,19677.9767286971,1155698.24554551,3300.43565750679,550.012100266206,1950.15211186473,100.0004000016,
2.17609,460.00846415574,1625.10563186607,171.429746946836,19014.4509827469,19189.7185141003,1155771.21860784,4050.65620630542,500.010000200004,2050.16811378533,80.0002560008192,
2.60087,680.018496503105,1075.04622698776,214.287551036152,21117.8234429859,18275.8505087967,1176146.61992654,3850.59299132066,400.006400102402,2250.20251822664,240.002304022119,
3.02569,380.005776087797,1650.10890718787,271.431518399343,20283.1095074407,19077.0462477639,1155552.30064238,4650.86506090133,450.008100145803,1850.13691013135,100.0004000016,
3.45029,500.010000200004,1225.06002794137,242.859502063734,20884.0979270698,19001.9319673292,1145194.37383305,3800.57768780855,800.025600819226,2300.21161946899,80.0002560008192,
3.87502,520.010816224977,1250.06250312516,285.717551057726,20783.9311855048,19728.0555718184,1161026.34938574,3750.56258438766,250.002500025,1050.04410185228,40.0000640001024,
4.29967,420.007056118543,1675.11223251958,300.0036000432,21017.6548300572,20441.7008696105,1187992.07237104,3600.51847466035,450.008100145803,1950.15211186473,40.0000640001024,
4.72446,380.005776087797,1425.08122963009,185.715665316371,21117.8234429859,19602.8588399011,1175050.36079689,3250.42255493214,500.010000200004,2050.16811378533,60.0001440003456,
5.14906,580.013456312186,1250.06250312516,157.143844904168,22019.3770518056,20203.8145802736,1162595.99928559,3400.46246289495,300.003600043201,2550.26012653291,40.0000640001024,
5.57363,320.004096052429,1350.07290393681,128.572089799319,21017.6548300572,18851.7047595363,1157924.10714286,4500.81014582625,350.004900068601,2500.2500250025,60.0001440003456,
5.99837,480.009216176951,1900.14441097523,300.0036000432,20550.2119073799,18839.185906988,1195346.03004292,3650.53297781476,450.008100145803,1800.12960933187,40.0000640001024,
6.42302,360.005184074651,1550.09610595857,457.151216479387,20283.1095074407,18238.2957175781,1153910.53270285,3800.57768780855,550.012100266206,1400.07840439065,140.00078400439,
6.84779,780.024336759307,1075.04622698776,128.572089799319,21652.069590886,18701.4793558185,1164348.3891134,3900.60849492521,700.019600548815,2200.1936170383,60.0001440003456,
