NIST610:01/28/2015 04:34:50 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.121407624633431;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.90811339198436;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.6975349438822;Exhaust Flow Readback=0.537606060606061;Quad Board Temperature Readback=30.830889540567;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=23.1272301776909;Spray Chamber Temperature Readback=19.8760924774048;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0362263440860215;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.890029325513196;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05285,580.013456312186,1375.0756291596,200.0016000128,23087.9691662174,20654.5503312985,1180934.6942765,3900.60849492521,400.006400102402,2250.20251822664,80.0002560008192,
0.4774,540.011664251948,1100.04840212969,228.573518386454,22486.8748715512,19314.911111378,1151575.92883424,4200.70571856072,400.006400102402,2650.28092977856,20.0000160000128,
0.90221,440.007744136297,1600.10240655402,214.287551036152,21117.8234429859,19590.3392356215,1167634.75285192,3750.56258438766,200.0016000128,2200.1936170383,100.0004000016,
1.32705,420.007056118543,1475.08703013478,142.857959188338,23755.8855873843,20917.487019148,1166027.98299697,4350.75703172352,200.0016000128,2450.24012353211,20.0000160000128,
1.75163,620.015376381334,1400.07840439065,171.429746946836,22720.6303323418,20329.0173265778,1167926.91402685,4850.94108257002,300.003600043201,2550.26012653291,140.00078400439,
2.17643,580.013456312186,1250.06250312516,142.857959188338,22152.946074925,21581.1137105754,1160880.34501667,3200.40965243551,200.0016000128,2300.21161946899,60.0001440003456,
2.60125,700.019600548815,1725.11903321329,171.429746946836,23856.0761259067,21568.592126413,1197176.0142848,4400.77453631839,350.004900068601,1650.10890718787,80.0002560008192,
3.02587,640.016384419441,1250.06250312516,342.861844962445,22954.390160574,21005.1338098334,1183237.97979911,4050.65620630542,450.008100145803,2350.22092076655,40.0000640001024,
3.45067,600.014400345608,1125.05062727823,142.857959188338,23822.6791905894,20178.7741813773,1161573.88028464,3500.49006860961,150.0009000054,2000.16001280102,20.0000160000128,
3.87547,460.00846415574,1400.07840439065,257.145502068021,21852.417778193,20742.195279887,1145996.45530011,4100.67251029169,400.006400102402,1700.11560786133,60.0001440003456,
4.30009,540.011664251948,1600.10240655402,185.715665316371,23054.5742811043,20028.5328405389,1162924.55449772,3200.40965243551,450.008100145803,1900.14441097523,40.0000640001024,
4.72482,680.018496503105,1250.06250312516,157.143844904168,23288.3403487512,20441.7008696105,1168620.82296474,3550.50417159237,50.0001000002,2150.18491590277,40.0000640001024,
5.14945,620.015376381334,1625.10563186607,185.715665316371,22486.8748715512,21693.8085319972,1197871.47533837,4000.64010241639,400.006400102402,1800.12960933187,40.0000640001024,
5.57399,460.00846415574,1275.06502831644,185.715665316371,24156.6525552667,21042.6969080997,1180934.6942765,4000.64010241639,550.012100266206,2100.17641481884,40.0000640001024,
5.99873,760.023104702383,1400.07840439065,214.287551036152,22653.8426121782,20967.5708243508,1163727.72420222,4050.65620630542,200.0016000128,2800.31363512713,100.0004000016,
6.42334,500.010000200004,1100.04840212969,185.715665316371,24724.4277346018,21831.5480256524,1181629.29326357,3250.42255493214,400.006400102402,2150.18491590277,20.0000160000128,
6.84804,720.020736597214,1175.0552275957,128.572089799319,25058.4251697366,20141.21367701,1176950.60165103,3650.53297781476,300.003600043201,2300.21161946899,0,
