NIST610:01/28/2015 05:52:53 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.649266862170088;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.985337243402;Extraction Lens 1 Positive Readback=2.62463343108504;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.120234604106;Quad Entry Lens Readback=-20.2346041055718;Focus Lens Readback=17.7565982404692;D2 Lens Readback=-79.960899315738;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.8396871945259;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.47986564718397;Analyzer Pressure Readback=6.18443597427409E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.3137280514318;Exhaust Flow Readback=0.53055816226784;Quad Board Temperature Readback=30.425219941349;Inlet Fan Speed Readback=2423.52941176471;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=22.819657378328;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-545.576735092864;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9589442815249;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05285,460.00846415574,1200.05760276493,157.143844904168,18380.1699648675,17975.4153359189,1159456.88781988,4300.73972723308,450.008100145803,2400.23042212052,60.0001440003456,
0.47753,440.007744136297,1550.09610595857,214.287551036152,19581.9928397292,19415.0660912868,1160770.84280935,4300.73972723308,550.012100266206,2850.32493704282,160.001024006554,
0.90206,720.020736597214,1400.07840439065,185.715665316371,19515.221873061,17687.5050660817,1159639.37367545,3400.46246289495,550.012100266206,2350.22092076655,120.000576002765,
1.32659,560.012544280992,1800.12960933187,214.287551036152,17979.5879972407,19540.2609437971,1143043.58010507,3750.56258438766,300.003600043201,2750.30253327866,120.000576002765,
1.75126,500.010000200004,1500.09000540032,257.145502068021,19147.98792676,18951.8560309434,1168438.21178152,4200.70571856072,550.012100266206,2900.33643902693,100.0004000016,
2.17578,400.006400102402,1525.09303067487,142.857959188338,19448.4512627816,19077.0462477639,1178485.6130024,4150.68901437639,300.003600043201,2850.32493704282,0,
2.60055,680.018496503105,1525.09303067487,242.859502063734,20283.1095074407,19039.4890511679,1149205.27335333,4400.77453631839,550.012100266206,2050.16811378533,60.0001440003456,
3.02518,220.001936017037,1400.07840439065,214.287551036152,20850.7089241034,19152.1609792296,1164384.8997311,4100.67251029169,400.006400102402,2800.31363512713,80.0002560008192,
3.44984,400.006400102402,1000.04000160006,114.286236737082,19281.5262962657,19039.4890511679,1167817.35282173,4350.75703172352,900.032401166442,1850.13691013135,60.0001440003456,
3.87441,640.016384419441,1650.10890718787,200.0016000128,19782.3078780956,19214.7569333248,1165918.43769232,3050.37214540174,650.016900439411,1350.07290393681,180.001296009331,
4.29906,720.020736597214,1825.13323472614,314.289665355793,18012.9693379233,19127.1226852929,1136666.18807527,3550.50417159237,800.025600819226,2200.1936170383,40.0000640001024,
4.72383,460.00846415574,1525.09303067487,214.287551036152,19949.2395269828,19527.7414021644,1150481.72674072,4200.70571856072,150.0009000054,3050.37214540174,160.001024006554,
5.14844,600.014400345608,1600.10240655402,214.287551036152,19114.6035571176,18350.960429475,1144647.52831988,3750.56258438766,550.012100266206,2300.21161946899,60.0001440003456,
5.57317,500.010000200004,1650.10890718787,328.575746995532,19882.4666001249,19064.5271697033,1144574.61731315,3250.42255493214,600.014400345608,1850.13691013135,140.00078400439,
5.99782,420.007056118543,1325.07022872212,357.147959256561,19515.221873061,19465.1438819401,1165626.32136413,4700.88376614804,300.003600043201,2200.1936170383,0,
6.42258,600.014400345608,1250.06250312516,271.431518399343,19748.9218156198,18901.7802950129,1182250.80780971,3500.49006860961,800.025600819226,2650.28092977856,100.0004000016,
6.84718,660.017424460006,1450.08410487808,200.0016000128,18647.2317367211,18125.6320203988,1153618.68442416,3900.60849492521,700.019600548815,2150.18491590277,100.0004000016,
