1308H1-12b:01/28/2015 06:02:42 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.659824046920821;Torch Vertical Position Readback=0.121407624633431;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.97653958944282;CCT Entry Lens Readback=-70.8699902248289;CCT Focus Lens Readback=3.11339198435973;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.37070660868161;Analyzer Pressure Readback=6.18443597427409E-07;
Detector:Detector Voltage (Counting) Readback=1345.06353861193;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.3137280514318;Exhaust Flow Readback=0.528544477028348;Quad Board Temperature Readback=30.3440860215054;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2329.41176470588;Peltier Temperature Hot Side Readback=22.5107002478327;Spray Chamber Temperature Readback=20;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.624633431085044;Cool Flow Readback=13.9784946236559;Auxilliary Flow Readback=0.892961876832845;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,440.007744136297,1225.06002794137,214.287551036152,18713.9980705568,19327.4304400149,1175890.81791632,4000.64010241639,650.016900439411,2000.16001280102,80.0002560008192,
0.47747,480.009216176951,1725.11903321329,300.0036000432,20717.1538033492,18288.368797591,1130838.15185989,3050.37214540174,350.004900068601,2250.20251822664,120.000576002765,
0.90217,400.006400102402,1575.09923125157,242.859502063734,17879.4445096763,17674.987378583,1131748.61118467,4050.65620630542,750.02250067502,1700.11560786133,60.0001440003456,
1.32671,680.018496503105,1775.12603394841,257.145502068021,18647.2317367211,17887.7897696853,1165553.2933012,4400.77453631839,550.012100266206,1750.1225085756,120.000576002765,
1.75123,560.012544280992,1650.10890718787,214.287551036152,19882.4666001249,18739.0355376177,1158252.54502358,4150.68901437639,750.02250067502,2150.18491590277,100.0004000016,
2.17577,700.019600548815,1550.09610595857,228.573518386454,21318.1630749398,18588.8114869348,1165042.10827443,3050.37214540174,450.008100145803,2650.28092977856,60.0001440003456,
2.60036,480.009216176951,1425.08122963009,285.717551057726,19849.0802703478,19552.7804979592,1174027.2684506,4300.73972723308,850.028900982633,2150.18491590277,60.0001440003456,
3.02495,580.013456312186,1575.09923125157,271.431518399343,19715.5358422437,18914.2992102029,1161865.90613541,4700.88376614804,600.014400345608,2700.2916314962,140.00078400439,
3.44951,460.00846415574,1700.11560786133,185.715665316371,20283.1095074407,17424.6362591545,1158726.96985678,3550.50417159237,500.010000200004,2200.1936170383,20.0000160000128,
3.87404,640.016384419441,1500.09000540032,128.572089799319,18780.7647607471,18776.59183217,1141257.59664946,3300.43565750679,450.008100145803,1950.15211186473,20.0000160000128,
4.29881,500.010000200004,1600.10240655402,242.859502063734,18513.7001381022,18513.7001381022,1132404.18118467,3750.56258438766,450.008100145803,2450.24012353211,80.0002560008192,
4.72339,360.005184074651,1425.08122963009,200.0016000128,19648.7641627892,17687.5050660817,1135281.79409301,3600.51847466035,500.010000200004,2300.21161946899,100.0004000016,
5.14814,540.011664251948,1475.08703013478,185.715665316371,19348.2960155854,18113.1138944596,1157303.74698145,3750.56258438766,700.019600548815,1800.12960933187,40.0000640001024,
5.57277,580.013456312186,1400.07840439065,200.0016000128,19415.0660912868,19177.1993232813,1148694.72688909,3300.43565750679,700.019600548815,1800.12960933187,60.0001440003456,
5.99755,520.010816224977,1300.06760351538,228.573518386454,19381.6810088882,18375.9971699213,1166977.41406067,3950.62419862338,350.004900068601,1900.14441097523,100.0004000016,
6.42213,760.023104702383,1225.06002794137,228.573518386454,17512.2585810067,18839.185906988,1160077.35011671,4250.72262284588,750.02250067502,2700.2916314962,100.0004000016,
6.84668,620.015376381334,1900.14441097523,214.287551036152,19648.7641627892,19415.0660912868,1164750.01151249,3600.51847466035,550.012100266206,2050.16811378533,80.0002560008192,
