1308H1-15d:01/28/2015 06:24:54 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.670381231671555;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.007820136852;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-308.856304985337;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.6432062561095;D1 Lens Readback=-198.631476050831;CCT Exit Lens Readback=-159.824046920821;CCT Bias Readback=-2.8396871945259;CCT Entry Lens Readback=-70.6256109481916;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.37070660868161;Analyzer Pressure Readback=5.78062217507179E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=35.4418967358893;Exhaust Flow Readback=0.527537634408602;Quad Board Temperature Readback=30.019550342131;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=22.819657378328;Spray Chamber Temperature Readback=19.8760924774048;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1175.46432062561;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9980449657869;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.97067448680352;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05286,480.009216176951,1650.10890718787,285.717551057726,17645.7794898001,18338.4420780432,1182982.03917253,3400.46246289495,550.012100266206,2050.16811378533,100.0004000016,
0.47746,400.006400102402,1625.10563186607,185.715665316371,17311.9798900839,18914.2992102029,1156792.88423631,4000.64010241639,550.012100266206,1850.13691013135,120.000576002765,
0.90218,580.013456312186,1775.12603394841,185.715665316371,19348.2960155854,17887.7897696853,1167999.95533995,4200.70571856072,700.019600548815,2200.1936170383,100.0004000016,
1.3267,660.017424460006,1375.0756291596,285.717551057726,18981.0669694742,17900.307670138,1147673.69376681,4200.70571856072,500.010000200004,2400.23042212052,80.0002560008192,
1.75135,460.00846415574,1375.0756291596,114.286236737082,19047.8350851115,18588.8114869348,1145814.15973628,4250.72262284588,1050.04410185228,2200.1936170383,120.000576002765,
2.17616,440.007744136297,1675.11223251958,328.575746995532,17512.2585810067,17925.3435086239,1155990.14023796,3400.46246289495,650.016900439411,1500.09000540032,60.0001440003456,
2.60077,400.006400102402,1475.08703013478,214.287551036152,20082.7864499238,17900.307670138,1139508.29842257,3350.44896016066,600.014400345608,1950.15211186473,100.0004000016,
3.0255,480.009216176951,1650.10890718787,185.715665316371,17145.083430511,17950.3793972175,1152378.40190138,4400.77453631839,400.006400102402,2150.18491590277,100.0004000016,
3.45013,520.010816224977,1575.09923125157,242.859502063734,17812.6826300326,18325.9237391389,1155333.38634148,4100.67251029169,500.010000200004,3200.40965243551,20.0000160000128,
3.87472,480.009216176951,1025.0420267231,57.1429877554006,18814.1482394761,18213.259252736,1176512.06004264,4650.86506090133,600.014400345608,2050.16811378533,120.000576002765,
4.29949,460.00846415574,1550.09610595857,271.431518399343,17812.6826300326,18401.0339604779,1168986.05297719,3900.60849492521,600.014400345608,1900.14441097523,60.0001440003456,
4.72411,580.013456312186,1525.09303067487,142.857959188338,18513.7001381022,18626.3673304775,1151575.92883424,3400.46246289495,800.025600819226,2050.16811378533,120.000576002765,
5.14884,500.010000200004,1525.09303067487,314.289665355793,17245.2210390362,19515.221873061,1183164.85339522,3800.57768780855,750.02250067502,2650.28092977856,40.0000640001024,
5.5735,460.00846415574,1200.05760276493,257.145502068021,17679.1599396907,18751.5542899403,1160989.84814069,3550.50417159237,900.032401166442,2250.20251822664,120.000576002765,
5.99828,420.007056118543,1350.07290393681,271.431518399343,19782.3078780956,18926.8181379213,1140091.37181805,3750.56258438766,800.025600819226,2400.23042212052,60.0001440003456,
6.42289,400.006400102402,1600.10240655402,200.0016000128,17912.8255831175,18125.6320203988,1141038.92156712,3550.50417159237,750.02250067502,2150.18491590277,120.000576002765,
6.84759,620.015376381334,1650.10890718787,200.0016000128,17111.7044058136,18150.6683098588,1131857.87056717,4050.65620630542,450.008100145803,2700.2916314962,80.0002560008192,
