1308H1-16b:01/28/2015 06:29:04 PM;
Software:Name=Qtegra;Version=2.4.1800.96;File Version=1;
Configuration:Machine=iCAP Q;
STD_Laser_CP:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Additional Gas Flow 3=0;CCT Entry Lens=-70;Angular Deflection=-310;Deflection Entry Lens=-35.008547008547;Extraction Lens 1 Polarity=1;Extraction Lens 1 Negative=-300;Extraction Lens 1 Positive=0;Spray Chamber Temperature=20;Peristaltic Pump Speed=0;Cool Flow=14;Sampling Depth=2.4;Plasma Power=1550;Auxilliary Flow=0.9;Nebulizer Flow=0.636428571428572;Torch Horizontal Position=-0.796000000000001;Torch Vertical Position=0.140899315738025;Extraction Lens 2=-573.333333333333;CCT Focus Lens=3.34188034188034;CCT Bias=-2;CCT Exit Lens=-160;Focus Lens=17.2;D1 Lens=-200;D2 Lens=-80;Quad Entry Lens=-20;Pole Bias=-1;CCT1 Flow=0;CCT2 Flow=0;CCT1 Shut-Off Valve=0;CCT2 Shut-Off Valve=0;Virtual CCT Mass to Dac Factor=130.000047683761;Virtual CCT Mass to Dac Offset=-50.0011920940324;Virtual CCT Mass parameter b=0.650000238418807;Virtual CCT Mass Maximum Dac Limit Set=4095;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-1.10654936461388;Torch Horizontal Position Readback=-0.670381231671555;Torch Vertical Position Readback=0.142521994134897;Sampling Depth Readback=2.4;Extraction Lens 1 Negative Readback=-304.985337243402;Extraction Lens 1 Positive Readback=2.60019550342131;Extraction Lens 2 Readback=-567.937438905181;Angular Deflection Readback=-309.384164222874;Quad Entry Lens Readback=-20.1368523949169;Focus Lens Readback=17.6881720430108;D2 Lens Readback=-79.7653958944282;Deflection Exit Lens Readback=35;Deflection Entry Lens Readback=-34.5650048875855;D1 Lens Readback=-199.022482893451;CCT Exit Lens Readback=-160.312805474096;CCT Bias Readback=-2.8396871945259;CCT Entry Lens Readback=-70.6256109481916;CCT Focus Lens Readback=3.04496578690127;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.42467191150092;Analyzer Pressure Readback=5.91220869236558E-07;
Detector:Detector Voltage (Counting) Readback=1348.97360703812;Detector Voltage (Analog) Readback=-2025.41544477028;
Cooling System:Plasma Cooling Water Flow Readback=2.82039215686275;Interface Temperature Readback=36.2060497510433;Exhaust Flow Readback=0.539619745845552;Quad Board Temperature Readback=30.019550342131;Inlet Fan Speed Readback=2400;Outlet Fan Speed Readback=2352.94117647059;Peltier Temperature Hot Side Readback=24.0417426885951;Spray Chamber Temperature Readback=19.9783669914792;
Power Supply:Supply Voltage 500 V Readback=-546.187683284458;Supply Voltage 1 kV Readback=-1174.24242424242;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0278016129032259;Nebulizer Flow Readback=0.62316715542522;Cool Flow Readback=13.9980449657869;Auxilliary Flow Readback=0.891495601173021;CCT2 Flow Readback=0;Gas Flow 2 Readback=9.87292277614858;CCT1 Flow Readback=0;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,11B,24Mg,25Mg,27Al,43Ca,55Mn,57Fe,63Cu,66Zn,88Sr,
,dwell time=0.05;xcal factor=19172.33433,dwell time=0.04;xcal factor=21790.69903,dwell time=0.07;xcal factor=22180.5949,dwell time=0.03;xcal factor=22609.65214,dwell time=0.08;xcal factor=23236.23382,dwell time=0.03;xcal factor=27535.6076,dwell time=0.02;xcal factor=29435.67026,dwell time=0.02;xcal factor=30517.72045,dwell time=0.02;xcal factor=30356.31159,dwell time=0.05;xcal factor=28628.08196,
0.05284,540.011664251948,1425.08122963009,185.715665316371,16377.3883969372,17700.022766107,1165735.86422286,3850.59299132066,600.014400345608,1900.14441097523,80.0002560008192,
0.47762,460.00846415574,1475.08703013478,228.573518386454,18313.4054127621,18626.3673304775,1167780.8326239,3450.47616571087,600.014400345608,1650.10890718787,100.0004000016,
0.90223,480.009216176951,1625.10563186607,285.717551057726,17879.4445096763,18363.4787934344,1161062.85073265,3850.59299132066,350.004900068601,2000.16001280102,100.0004000016,
1.32693,640.016384419441,1275.06502831644,257.145502068021,17812.6826300326,18713.9980705568,1155260.41572217,3000.36004320518,500.010000200004,1700.11560786133,140.00078400439,
1.75156,460.00846415574,1125.05062727823,242.859502063734,19648.7641627892,17850.2361434884,1153691.6458832,4400.77453631839,350.004900068601,2500.2500250025,120.000576002765,
2.17636,480.009216176951,1925.1482364142,214.287551036152,18346.7876442725,17775.1292293174,1157960.59983343,3300.43565750679,950.036101371852,2150.18491590277,40.0000640001024,
2.60096,600.014400345608,1300.06760351538,242.859502063734,17946.2067456389,19289.8724916911,1152524.3113866,3550.50417159237,650.016900439411,2450.24012353211,80.0002560008192,
3.02569,580.013456312186,1525.09303067487,285.717551057726,18613.8487034354,18676.4419639261,1167634.75285192,4000.64010241639,550.012100266206,1550.09610595857,60.0001440003456,
3.45032,280.003136035124,1500.09000540032,157.143844904168,17145.083430511,18388.5155589358,1146470.43566295,4600.84655576626,750.02250067502,2250.20251822664,120.000576002765,
3.87509,560.012544280992,1400.07840439065,300.0036000432,18113.1138944596,19402.5466749464,1158070.07851606,3650.53297781476,750.02250067502,2100.17641481884,120.000576002765,
4.29972,380.005776087797,1725.11903321329,228.573518386454,17579.0188572504,18200.7410391059,1150117.01305693,3350.44896016066,650.016900439411,2000.16001280102,100.0004000016,
4.72425,540.011664251948,1375.0756291596,185.715665316371,19147.98792676,17987.93332406,1148512.39369758,4350.75703172352,500.010000200004,2300.21161946899,40.0000640001024,
5.14897,340.004624062887,1450.08410487808,128.572089799319,18079.7322865324,18764.0730547911,1116570.4416138,4200.70571856072,800.025600819226,2300.21161946899,140.00078400439,
5.57351,500.010000200004,1300.06760351538,300.0036000432,19548.6073118463,18088.0776801628,1141038.92156712,4800.92177698118,900.032401166442,2300.21161946899,80.0002560008192,
5.99817,340.004624062887,1850.13691013135,271.431518399343,19214.7569333248,18063.0415159745,1172237.04927918,3950.62419862338,750.02250067502,3200.40965243551,120.000576002765,
6.42292,500.010000200004,1550.09610595857,400.006400102402,17912.8255831175,17649.952041165,1122210.1479562,4100.67251029169,350.004900068601,2150.18491590277,80.0002560008192,
6.84751,640.016384419441,1500.09000540032,214.287551036152,18346.7876442725,17524.776105662,1130728.90100426,3300.43565750679,600.014400345608,1550.09610595857,20.0000160000128,
7.27227,260.002704028122,1425.08122963009,242.859502063734,16844.6754147793,16999.050855056,1134407.51555868,4500.81014582625,800.025600819226,1700.11560786133,140.00078400439,
7.69682,300.003600043201,1075.04622698776,214.287551036152,19014.4509827469,19052.0081041713,1150117.01305693,4600.84655576626,600.014400345608,2050.16811378533,120.000576002765,
8.12144,600.014400345608,1525.09303067487,300.0036000432,18613.8487034354,19364.9885010999,1145959.99598398,3950.62419862338,650.016900439411,2450.24012353211,120.000576002765,
8.54602,420.007056118543,1600.10240655402,300.0036000432,18079.7322865324,18839.185906988,1178120.1177806,3800.57768780855,500.010000200004,2100.17641481884,60.0001440003456,
8.97078,420.007056118543,1650.10890718787,342.861844962445,18446.9348733133,19026.9700106931,1175525.39514573,4150.68901437639,500.010000200004,2450.24012353211,80.0002560008192,
9.39541,380.005776087797,1425.08122963009,314.289665355793,18613.8487034354,19089.5653383532,1151758.30475237,4350.75703172352,450.008100145803,2300.21161946899,100.0004000016,
9.82013,340.004624062887,1800.12960933187,228.573518386454,17378.7390974263,19114.6035571176,1153582.2038473,3900.60849492521,450.008100145803,2400.23042212052,80.0002560008192,
10.24477,580.013456312186,1375.0756291596,271.431518399343,19448.4512627816,18113.1138944596,1153035.00740654,3800.57768780855,500.010000200004,1750.1225085756,40.0000640001024,
10.66957,420.007056118543,1400.07840439065,242.859502063734,17912.8255831175,18626.3673304775,1174319.5723884,4350.75703172352,700.019600548815,1450.08410487808,60.0001440003456,
11.09415,580.013456312186,1650.10890718787,171.429746946836,19849.0802703478,18338.4420780432,1158836.45495448,3000.36004320518,550.012100266206,1650.10890718787,60.0001440003456,
11.51889,520.010816224977,1425.08122963009,242.859502063734,18880.9154642037,18488.6631220472,1147746.62205977,3950.62419862338,650.016900439411,2150.18491590277,120.000576002765,
11.94343,500.010000200004,1250.06250312516,328.575746995532,17846.0635253147,18338.4420780432,1136702.62147642,3750.56258438766,1050.04410185228,1800.12960933187,180.001296009331,
12.36795,560.012544280992,1400.07840439065,271.431518399343,18814.1482394761,18038.0054018948,1177279.51750038,3800.57768780855,550.012100266206,2450.24012353211,160.001024006554,
12.79257,440.007744136297,1875.14063554767,371.434089877907,18847.5318072948,19189.7185141003,1150189.95497983,3450.47616571087,800.025600819226,1550.09610595857,60.0001440003456,
13.2173,380.005776087797,1675.11223251958,228.573518386454,17612.3991289868,18150.6683098588,1168876.482903,3700.5476810568,500.010000200004,2500.2500250025,140.00078400439,
13.64195,560.012544280992,1225.06002794137,228.573518386454,17979.5879972407,18263.3322325297,1163034.07473558,3300.43565750679,800.025600819226,2100.17641481884,180.001296009331,
14.06666,520.010816224977,1750.1225085756,214.287551036152,17712.5404786589,17887.7897696853,1154092.94118468,3650.53297781476,550.012100266206,1800.12960933187,80.0002560008192,
14.49122,400.006400102402,1650.10890718787,214.287551036152,17545.6386745904,17487.2235692749,1161391.36743849,4000.64010241639,650.016900439411,1700.11560786133,100.0004000016,
14.91588,560.012544280992,1400.07840439065,342.861844962445,19348.2960155854,18588.8114869348,1146506.89640266,3000.36004320518,550.012100266206,1600.10240655402,60.0001440003456,
15.34041,620.015376381334,1450.08410487808,114.286236737082,18446.9348733133,18038.0054018948,1160259.84462898,3700.5476810568,450.008100145803,2150.18491590277,40.0000640001024,
15.76522,640.016384419441,2025.1640382871,271.431518399343,18580.4657592372,18713.9980705568,1160551.84114476,4900.9605882753,350.004900068601,2450.24012353211,100.0004000016,
16.18983,500.010000200004,1175.0552275957,242.859502063734,19014.4509827469,18826.6670669679,1145449.57623455,4150.68901437639,550.012100266206,2500.2500250025,40.0000640001024,
16.61455,380.005776087797,1875.14063554767,314.289665355793,17846.0635253147,19677.9767286971,1169460.867235,4300.73972723308,850.028900982633,2350.22092076655,100.0004000016,
17.0392,400.006400102402,1650.10890718787,271.431518399343,17979.5879972407,18964.3749962472,1164932.57122444,4500.81014582625,700.019600548815,1950.15211186473,80.0002560008192,
17.46398,660.017424460006,1575.09923125157,214.287551036152,20717.1538033492,17324.4972143209,1154676.66542519,3800.57768780855,850.028900982633,2300.21161946899,100.0004000016,
17.88859,440.007744136297,1325.07022872212,200.0016000128,17679.1599396907,16861.3645597132,1148767.66087768,3850.59299132066,750.02250067502,2750.30253327866,120.000576002765,
18.3133,400.006400102402,1675.11223251958,200.0016000128,17779.3018238295,18501.1816238108,1178412.51314156,3500.49006860961,550.012100266206,2150.18491590277,100.0004000016,
18.73788,440.007744136297,1175.0552275957,185.715665316371,17545.6386745904,18288.368797591,1157340.23794112,4300.73972723308,900.032401166442,2200.1936170383,120.000576002765,
19.16252,480.009216176951,1325.07022872212,300.0036000432,18213.259252736,19227.2761617303,1177535.34665339,3900.60849492521,950.036101371852,2100.17641481884,100.0004000016,
19.58707,520.010816224977,1650.10890718787,185.715665316371,17111.7044058136,18864.223624613,1155296.90098093,3650.53297781476,450.008100145803,2050.16811378533,100.0004000016,
20.01185,480.009216176951,1800.12960933187,171.429746946836,19915.8530190031,19928.3729490539,1145887.07765677,4350.75703172352,600.014400345608,1700.11560786133,20.0000160000128,
20.43646,300.003600043201,1525.09303067487,228.573518386454,17378.7390974263,17762.6114541324,1155807.7052917,4200.70571856072,500.010000200004,2050.16811378533,40.0000640001024,
20.86118,500.010000200004,1650.10890718787,300.0036000432,20016.0128102482,18851.7047595363,1149095.86886124,3450.47616571087,400.006400102402,1900.14441097523,40.0000640001024,
21.28572,520.010816224977,1600.10240655402,228.573518386454,18847.5318072948,18200.7410391059,1159347.3975286,4250.72262284588,500.010000200004,1900.14441097523,80.0002560008192,
21.71031,400.006400102402,1250.06250312516,257.145502068021,20683.7652459366,18601.3300889211,1143189.38544682,3800.57768780855,750.02250067502,2550.26012653291,60.0001440003456,
22.13488,380.005776087797,1500.09000540032,300.0036000432,17345.3594492181,17637.4343912458,1146543.35724406,3850.59299132066,450.008100145803,1800.12960933187,80.0002560008192,
22.55945,420.007056118543,1875.14063554767,285.717551057726,16344.0114207949,18313.4054127621,1161683.38921469,3850.59299132066,600.014400345608,1850.13691013135,120.000576002765,
22.9842,400.006400102402,1550.09610595857,200.0016000128,17946.2067456389,19277.3532006411,1155150.96055664,3700.5476810568,650.016900439411,2100.17641481884,80.0002560008192,
23.4088,420.007056118543,1600.10240655402,114.286236737082,18747.3813711074,19640.4177279164,1171177.64716228,3250.42255493214,950.036101371852,2250.20251822664,80.0002560008192,
23.83356,460.00846415574,1800.12960933187,200.0016000128,19448.4512627816,18939.3370781682,1171542.94854884,4250.72262284588,1100.04840212969,1950.15211186473,40.0000640001024,
24.25818,400.006400102402,1575.09923125157,228.573518386454,18547.0829041263,18426.070801145,1163107.08873689,4100.67251029169,500.010000200004,2350.22092076655,140.00078400439,
24.68295,480.009216176951,1300.06760351538,242.859502063734,18346.7876442725,19089.5653383532,1167306.07932811,4650.86506090133,650.016900439411,2100.17641481884,120.000576002765,
25.10752,460.00846415574,1650.10890718787,314.289665355793,18213.259252736,17424.6362591545,1159602.87630066,4150.68901437639,550.012100266206,2000.16001280102,20.0000160000128,
25.53233,480.009216176951,1450.08410487808,200.0016000128,17946.2067456389,18501.1816238108,1163034.07473558,3650.53297781476,450.008100145803,1800.12960933187,20.0000160000128,
25.95713,700.019600548815,1500.09000540032,314.289665355793,16544.2746136111,18000.4513247281,1163581.68967899,3400.46246289495,300.003600043201,2050.16811378533,120.000576002765,
