statistic,sample,rep,11B,24Mg,25Mg,27Al,55Mn,57Fe,63Cu,66Zn,88Sr
mean,NCC_0,0,,,,,,,,,
mean,NCC_1,0,,,,,,,,,
mean,NIST612_0,0,,,,,,,,,
mean,NIST612_0,1,,,,,,,,,
mean,NIST612_1,0,,,,,,,,,
mean,1308H1-1a,0,4.4144067287921955e-05,0.006494298834621873,0.006396291423124905,0.00010355358581043237,3.463344039202779e-05,0.0007044555122264496,9.781765158873143e-05,7.306607735451771e-05,0.0015474609284941933
mean,1308H1-1b,0,3.539258362344143e-05,0.0063951319911813,0.006037197195468118,0.0001018121941889236,2.568176861079052e-05,0.00064866702310743,5.748503635816407e-05,6.045016274437131e-05,0.0015378511798864799
mean,1308H1-1c,0,3.5276656446223225e-05,0.007531187765124796,0.0068853712281540915,8.84788008408903e-05,2.966177862498178e-05,0.0006606124121363504,8.637358792138301e-05,5.922514145753063e-05,0.0015191392742905264
mean,1308H1-1d,0,3.428171921047343e-05,0.00824451790403588,0.007836794006104373,7.885339867516081e-05,4.213636343725179e-05,0.0006509833160443358,9.248546128141638e-05,4.607021456465276e-05,0.0014611240258239348
mean,1308H1-1e,0,4.382533130164568e-05,0.007977167685047819,0.007525764338470811,0.0001457813871063235,4.920228170154377e-05,0.0006416838939188846,8.288605201218151e-05,4.8438416439952305e-05,0.0014237600309691145
mean,1308H1-1f,0,4.110005767768337e-05,0.006217094901733452,0.005941950680423002,0.00023080955885407037,2.6598721130515696e-05,0.000653990948077202,7.353630365926312e-05,5.3066889737512856e-05,0.0016556084777125067
mean,1308H1-2a,0,,,,,,,,,
mean,1308H1-2b,0,5.365736701961948e-05,0.0021322902474478623,0.0022077548197367144,0.00021289228389211197,1.2867823050181256e-05,0.0006451507280693191,4.6252836355140475e-05,2.9458540037875497e-05,0.001542663711260091
mean,1308H1-2c,0,4.684290891921411e-05,0.0019056327805904896,0.0017806736170623053,7.903896870553613e-05,1.0047301419991318e-05,0.0006230770479592504,1.2454496414978497e-05,1.9512050991384372e-05,0.0014787370524163396
mean,1308H1-2d,0,4.79448146640846e-05,0.0024429614084677384,0.0023311647145817173,7.62155584751279e-05,1.0908822501995607e-05,0.0006229156711768706,3.413004477538174e-05,4.497594062433663e-05,0.001464497922492168
mean,1308H1-2e,0,4.559649879589008e-05,0.0019885902482403685,0.0018837759724505815,0.00021253249145895478,8.8484606991852e-06,0.0006293484863129774,2.0610154383713144e-05,2.5685688247612837e-05,0.0014953581446455724
mean,1308H1-3a,0,3.957911334921849e-05,0.002217689249772081,0.002101091671489578,5.28095019932225e-05,6.450231703685892e-06,0.0006096489812173347,1.9000615110386384e-05,1.8105334305514766e-05,0.0014538177373033536
mean,1308H1-3b,0,4.1528950817953444e-05,0.002362110323522902,0.002265798602488327,8.030523416285333e-05,7.421419777714155e-06,0.0006500938467791243,2.4936870154681216e-05,2.1679624353936397e-05,0.0014668697112523743
mean,1308H1-3c,0,4.154161087131463e-05,0.0030833455303568946,0.0030267472230150823,0.00023658828315780442,2.9555185800639875e-05,0.0007361149091078687,6.892468525653428e-05,5.5506666731913637e-05,0.0014430604940180794
mean,1308H1-3d,0,3.85554522918754e-05,0.0022995281006809288,0.002210999520073765,0.00010567088550966657,1.5269027633268207e-05,0.0006593817910376552,4.1657928348520986e-05,4.4934858719138034e-05,0.0014947298549433054
mean,1308H1-3e,0,4.831870945435029e-05,0.002326252843347262,0.0022338218647699705,1.578481031264561e-05,7.72866947611828e-06,0.0006249197498870763,4.551679565005459e-05,4.2703567493664875e-05,0.0014334509963536367
mean,1308H1-4a,0,,,,,,,,,
mean,1308H1-4a,1,4.617169069317471e-05,0.0018896649443187763,0.0017569701807792727,1.8459640861129268e-05,5.174930966583702e-06,0.0006234824017363144,3.9979409710945724e-05,3.2844742210902716e-05,0.0014863806235381912
mean,1308H1-4b,0,4.882467831555766e-05,0.0020199901303476022,0.0019555848157075035,1.5359445880163943e-05,7.102158605185189e-06,0.0005991226306655381,5.654539184640487e-05,3.4722173600190284e-05,0.001425272527854705
mean,1308H1-4c,0,,,,,,,,,
mean,1308H1-4d,0,3.814450599714862e-05,0.0031268717530516846,0.0031053136622505853,0.00027170450230363694,4.118519556305795e-05,0.0007285529297870171,8.724309894636784e-05,5.680229522496526e-05,0.0014135662814195027
mean,1308H1-4e,0,4.893403588088568e-05,0.0025054878911513145,0.0024079583707402575,1.5088663778499434e-05,7.103843349436271e-06,0.0005745165231528854,8.106700977805826e-05,6.645483174665222e-05,0.0014729039115787953
mean,1308H1-5a,0,,,,,,,,,
mean,1308H1-5b,0,,,,,,,,,
mean,1308H1-5c,0,3.52239988551069e-05,0.0026538444470459418,0.0025305144740113456,6.885602702849987e-05,1.0791698787841622e-05,0.0006190959848669066,4.7102618649756746e-05,5.976406548540214e-05,0.0014977990183036131
mean,1308H1-5d,0,3.514431052969379e-05,0.0023345045894633573,0.002255754128392686,3.884241304580527e-05,4.7723708288084666e-06,0.000614276462055566,1.9945685529086398e-05,3.887838472336364e-05,0.001426717541361151
mean,1308H1-6a,0,6.585304471895102e-05,0.0015358313103059106,0.0014357499110665805,5.459932307266452e-05,5.671901376208739e-06,0.0006309371740608348,1.6127490966544346e-05,1.2900280242900456e-05,0.00137899120283072
mean,1308H1-6b,0,7.287167880320942e-05,0.0015459343100471268,0.0014302994678404685,8.957532925396049e-05,3.419727855695979e-06,0.0006181336352287167,1.7642890649723086e-05,1.2392702713487423e-05,0.0014194515741308069
mean,1308H1-6c,0,6.135975138913796e-05,0.0022379240779872205,0.0021355075244360406,6.478733926572755e-05,9.958752684581022e-06,0.0006246340415451232,3.1311730309415026e-05,2.721980178885113e-05,0.0014180738654389561
mean,1308H1-6d,0,6.552743868479218e-05,0.0018328421477985365,0.0017371739845408196,7.820421564970988e-05,7.0883661531732785e-06,0.0006150909252326423,2.0468882116633744e-05,2.57017483049027e-05,0.0014396359432227086
mean,1308H1-6e,0,7.371492176992369e-05,0.0018269427583668214,0.0017406056175627205,5.636325799597176e-05,4.516512214603392e-06,0.0006276367744655691,4.836435404962883e-05,2.9194993316720098e-05,0.001456235978564218
mean,1308H1-7a,0,5.0235345534386344e-05,0.0021045380663722063,0.0020046030069111676,5.0293056719889854e-05,8.376727132818742e-06,0.0006222952759766217,3.06578566496549e-05,2.952670860578826e-05,0.001448968466157072
mean,1308H1-7b,0,5.1883926592001394e-05,0.002115157752033656,0.002065452352102611,9.861429435040206e-06,4.1521565575159766e-06,0.0006050850661512585,3.037354945233959e-05,2.1041219168939925e-05,0.0014037434256600858
mean,1308H1-7c,0,6.38444340642497e-05,0.0018465388474032708,0.0017755616284552188,6.829421572181828e-05,7.553383701827774e-06,0.000628606397539025,4.3607913235365765e-05,2.419700830633525e-05,0.0014977946247762303
mean,1308H1-7d,0,6.787966892657049e-05,0.001799732039242501,0.0016704699448826532,8.528340246056503e-05,9.570871894171417e-06,0.0006285647552420759,4.137230914109142e-05,1.936584556266807e-05,0.0015106081108279803
mean,1308H1-8a,0,4.8040338187281524e-05,0.0033234106294005123,0.003144093847470762,9.19550231459993e-05,8.985605191075128e-06,0.0006463617849142098,2.7542567084227455e-05,2.069317114225073e-05,0.00134730960201577
mean,1308H1-8b,0,5.064912502118285e-05,0.0028711654673401143,0.0027536118196623345,3.416312825114898e-05,1.0767217875910571e-05,0.000613776764323072,4.698855949737184e-05,1.5014556420840471e-05,0.0013827189760491315
mean,1308H1-8c,0,4.5297567080278064e-05,0.0041987072378983584,0.0039913445175967606,0.00020031035156631256,1.690518379617655e-05,0.0006290531939962848,2.3158467689162864e-05,1.58904543180886e-05,0.00138530571510854
mean,1308H1-8d,0,4.5607381091015175e-05,0.00461621973187565,0.00432146879457058,6.656717972896647e-05,1.915242717395611e-05,0.0006273988642772493,4.221568516127069e-05,2.4193750616837817e-05,0.00137082724330144
mean,1308H1-9a,0,7.007855513840991e-05,0.0023252971945607274,0.0022062298210690176,0.00034927708062302507,1.27973555252467e-05,0.0007280561083212577,1.7152298558774912e-05,2.6918203134197853e-05,0.0013902510415473768
mean,1308H1-9b,0,6.635410369275879e-05,0.0020534926796843284,0.0019789662608271493,0.00019617274354296363,1.7030439394196783e-05,0.0006759397023071485,1.6217416781792005e-05,1.3051828004257871e-05,0.001362764135469872
mean,1308H1-9c,0,3.472377305394487e-05,0.0023323328315544237,0.0021885530003850646,0.00012082980055183938,1.1350335382581365e-05,0.0006319093199695778,2.0952938693395646e-05,1.9776511944922634e-05,0.001394698032765185
