C:\Agilent\ICPMH\1\DATA\141215_Antony_Zircon.b\152.d,,,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,Counts,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 15/12/2014 9:04:33 PM using Batch 141215_Antony_Zircon.b,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Li7,Mg24,Al27,Si29,P31,Ca43,Ti49,Y89,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf177,Pb206,Th232,U238
0.541,49,8,2,282.2,78.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.072,50,2,12,249.16,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1.603,66,6,3,239.14,90.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2.134,51,3,4,231.13,73,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.665,38,1,0,242.15,79.01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.196,46,2,4,236.14,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.727,45,2,3,224.13,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.258,43,1,0,242.15,89.01,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.79,44,4,8,279.2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.321,54,2,6,260.17,81.01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.852,49,4,4,239.14,108.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.383,35,5,2,239.14,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.914,61,5,4,245.15,95.01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.445,47,5,9,271.19,83.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7.976,51,3,7,240.15,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8.507,46,0,5,281.2,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
9.038,54,4,2,233.14,59,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
9.569,50,2,7,222.12,91.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
10.1,45,0,5,242.15,62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
10.631,43,2,2,239.14,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.162,57,2,3,229.13,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.694,44,2,8,217.12,89.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.225,63,2,6,217.12,71,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
12.756,40,0,9,252.16,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.287,47,2,8,260.17,76,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
13.818,49,9,2,237.14,92.01,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14.349,44,0,10,242.15,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.88,68,3,5,225.13,95.01,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
15.411,63,9,2,242.15,75,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.942,57,1,4,247.15,75,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
16.473,47,3,3,307.24,81.01,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17.004,47,2,9,272.19,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
17.535,31,2,7,257.17,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1
18.066,43,2,3,244.15,85.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
18.598,44,2,4,278.2,108.01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19.129,47,3,3,235.14,70,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
19.66,51,8,5,265.18,84.01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
20.191,50,4,10,248.16,84.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.722,52,1,8,271.19,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.253,46,5,5,262.17,78.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.784,44,5,5,257.17,87.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.314,43,1,2,224.13,100.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.846,49,0,11,280.2,86.01,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23.377,57,7,9,239.14,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.908,29,4,5,249.16,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24.439,36,3,0,265.18,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.97,46,3,6,253.16,80.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25.502,45,1,3,237.14,92.01,1,0,15,0,0,0,0,0,2,1,0,5,17,29,27,31,43.01,1049.15,102.01,1039.81,2535.83
26.033,68,63.01,136.05,1498.65,121.01,0,3,2039.02,15,78.02,10,15,6,5,47,60.01,164.08,259.19,366.38,295.25,572.94,434.54,14207.14,806.48,8107.92,15026.93
26.564,88,227.13,823.71,5601.14,316.08,0,0,7380.33,39,204.12,24,32,14,7,117.02,127.05,341.33,508.73,904.32,565.91,1230.31,962.65,29677.55,1507.67,13935.89,27629.44
27.095,114.01,424.45,699.23,7903.71,483.2,2,9,10937.74,30,253.18,35,27,28,14,132.02,136.05,480.65,565.91,1105.46,790.78,1614.41,1284.71,36410.14,1907.67,16750.45,32682.04
27.626,128.01,406.41,479.58,9906.87,571.28,0,14,12305.67,29,270.2,19,23,18,17,130.02,176.09,451.58,711.43,1213.17,848.04,1772.93,1420.76,40819.32,2002.94,18001.37,35750.04
28.157,129.01,277.19,381.37,10019.32,553.26,1,16,14111.35,19,286.23,10,10,33,9,117.02,149.06,478.65,784.74,1197.06,883.22,1936.65,1541.78,42746.68,2224.62,19577.79,37780.86
28.688,139.01,223.13,407.42,10359.16,541.25,0,6,13492.21,22,329.3,12,11,15,11,125.02,164.08,496.7,744.57,1326.99,902.31,2028.69,1575.07,43121.31,2392.19,19793,39337.36
29.219,134.01,158.06,234.14,10429.73,616.32,0,10,13321.65,18,268.2,3,13,30,9,95.01,136.05,490.68,709.43,1208.13,836.99,1722.43,1485.29,42932.01,2375.13,20510.16,37469.99
29.75,95.01,1123.16,180.08,10205.48,575.28,0,9,13604.93,10,320.29,7,17,10,7,117.02,122.04,498.7,763.65,1269.56,889.25,1844.67,1551.86,46899.74,2393.19,22060.4,40844.28
30.281,143.01,80.02,125.04,10971.89,618.32,6,7,13632.85,17,290.23,7,10,19,4,150.03,183.09,513.75,785.75,1261.51,980.73,2048.92,1765.88,46121.32,2512.62,21486.13,41025.97
30.812,136.01,80.02,166.07,10793.47,608.31,0,5,13964.99,9,345.33,8,17,17,8,142.03,148.06,523.78,795.79,1276.62,890.25,1929.58,1555.9,42981.22,2374.13,21847.58,39464.57
31.343,142.01,87.02,142.05,11384.22,620.32,2,6,13059.13,20,338.32,27,23,26,11,148.03,179.09,527.79,818.9,1274.6,886.23,1829.51,1599.29,44896.96,2392.19,22649.64,40380.17
31.874,136.01,122.04,212.11,11251.97,584.29,1,9,14912.92,22,356.35,12,16,22,10,149.03,185.1,593,737.54,1318.93,890.25,2083.32,1660.86,46876.57,2438.35,21794.9,40946.27
32.406,121.01,108.03,176.08,10840.96,628.33,0,9,13942.4,14,352.35,9,15,33,10,149.03,173.08,516.76,840,1470.12,842.02,1746.67,1730.53,43262.78,2512.62,21536.72,38732.33
32.937,146.01,104.03,246.15,10446.58,571.28,3,0,13493.29,16,309.27,12,15,21,11,117.02,140.06,483.66,668.27,1197.06,914.38,1595.24,1550.86,45669.28,2308.9,21402.51,39126.43
33.468,125.01,70.01,116.03,11567.4,583.29,0,7,12858.99,36,317.28,10,12,22,16,125.02,161.07,548.85,704.41,1196.05,897.29,1836.58,1456.04,43953.87,2233.65,20275.14,38004.05
33.999,136.01,49.01,132.04,10198.11,514.22,2,1,14213.66,18,311.27,20,28,26,20,124.02,190.1,464.61,720.47,1288.7,893.27,1778.99,1497.39,43877.81,2362.09,21074.32,38670.91
34.53,135.01,51.01,108.03,10848.35,570.27,2,3,13059.13,31,288.23,14,20,30,7,151.03,179.09,514.75,833.97,1223.24,926.44,1817.38,1459.07,44108.63,2358.07,21280.71,38622.19
35.061,140.01,73.01,124.04,10828.3,587.29,3,5,13612.44,21,351.34,20,15,13,11,125.02,169.08,477.65,772.69,1336.05,976.71,1855.78,1630.58,42593,2275.79,21028.92,38596.78
35.592,116.01,78.02,125.04,10522.44,568.27,2,5,13632.85,33,331.31,18,24,27,15,136.03,166.08,504.72,728.5,1160.82,791.78,1783.03,1563.97,45531.18,2465.45,21213.63,38534.31
36.123,146.01,87.02,150.06,11212.84,534.24,0,7,13426.76,42,339.32,16,25,26,15,149.03,190.1,449.57,764.66,1308.85,848.04,1810.31,1557.92,43494.13,2344.02,20712.25,37404.45
36.654,100.01,54.01,117.03,10660.55,577.28,2,7,13283.05,32,316.28,27,32,32,18,145.03,156.07,501.71,794.79,1389.47,953.58,1849.72,1462.09,42304.85,2240.68,20155.61,36900.41
37.185,109.01,45.01,130.04,10447.63,566.27,4,3,13608.15,41,327.3,29,21,32,13,155.03,175.09,526.79,706.41,1171.89,770.69,1792.13,1500.42,44318.11,2315.93,20482.32,36179.36
37.715,117.01,71.01,167.07,10773.42,540.25,2,6,13527.63,29,330.3,26,27,38,20,144.03,162.07,507.73,720.47,1283.67,805.85,1784.04,1489.32,43577.64,2316.93,19726.06,36462.2
38.246,150.01,75.01,169.07,11072.25,647.35,0,9,13738.13,37,311.27,46,28,30,7,136.03,153.07,466.62,800.82,1225.25,792.79,1771.92,1410.67,40902.94,2229.64,18892.47,35510.72
38.777,121.01,90.02,171.07,9820.73,547.25,1,3,12774.5,36,296.24,40,44,43,12,145.03,203.12,528.79,715.45,1129.61,763.66,1610.37,1367.33,38966.45,2131.33,18426.73,33503.45
39.309,125.01,97.02,229.13,10343.37,590.29,0,1,12962.78,56,361.36,46,56,26,20,181.05,178.09,602.03,721.48,1233.31,784.75,1580.1,1301.83,37643.55,2132.33,19352.36,33325.85
39.84,112.01,115.03,229.13,9714.68,554.26,3,16,14410.88,98.01,390.42,56,54,44,17,196.05,225.14,522.77,802.83,1324.97,887.24,1683.05,1446.97,39390.85,2142.36,19821.84,35623.52
40.371,115.01,117.03,238.14,10431.83,567.27,0,3,14891.3,92.01,362.36,59,62.01,25,31,198.06,199.11,532.8,902.31,1359.23,778.72,1672.96,1393.54,40470.25,2240.68,19973.25,35306.24
40.902,140.01,107.03,298.22,9973.07,539.25,2,17,14641.77,98.01,344.33,109.02,84.01,64.01,27,189.05,255.18,648.19,768.67,1289.71,833.98,1712.33,1496.38,39860.87,2128.32,20179.3,34772.17
41.433,121.01,93.02,258.17,10037.19,621.33,0,14,14901.03,112.01,377.4,85.01,89.01,39,21,156.03,200.11,540.83,811.87,1327.99,862.11,1690.12,1447.98,37810.57,2163.43,19496.46,34309.02
41.964,132.01,83.02,293.22,10083.46,611.32,3,5,15372.91,81.01,341.32,57,76.01,70.01,25,213.06,239.16,548.85,739.55,1320.94,778.72,1751.72,1415.71,37832.68,2154.4,19527.35,33909.27
42.495,116.01,110.03,248.16,9466.06,595.3,11,6,14013.41,87.01,326.3,68.01,73.01,59,36,196.05,235.16,526.79,828.95,1223.24,823.93,1669.93,1506.47,36673.78,2087.19,18605.59,33537.08
43.026,103.01,136.05,264.18,9612.89,599.3,0,5,14130.73,92.01,348.34,71.01,65.01,47,18,226.07,210.12,543.84,763.65,1220.22,852.06,1685.07,1483.27,38534.34,2125.31,18669.33,33309.04
43.557,132.01,126.04,242.15,9654.86,663.37,4,12,14515.5,88.01,339.32,54,66.01,55,25,203.06,163.08,610.05,832.97,1235.32,842.02,1544.79,1347.18,38163.5,2050.08,19622.06,33748.38
