C:\Agilent\ICPMH\1\DATA\141215_Antony_Zircon.b\NIST610z-01.d,,,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,Counts,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 15/12/2014 7:20:04 PM using Batch 141215_Antony_Zircon.b,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Li7,Mg24,Al27,Si29,P31,Ca43,Ti49,Y89,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf177,Pb206,Th232,U238
0.541,51,0,5,235.14,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1.072,46,5,6,254.16,80.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1.603,42,3,5,253.16,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.134,56,2,4,239.14,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2.666,48,2,7,281.2,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.197,50,9,7,233.14,82.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.728,38,0,2,243.15,98.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4.259,58,2,2,239.14,91.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.79,54,5,9,256.17,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.321,48,2,10,259.17,49,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5.852,45,2,0,265.18,95.01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.383,47,3,7,278.2,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
6.914,69,2,5,256.17,60,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.445,48,1,2,223.13,82.01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7.976,54,0,1,271.19,80.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
8.507,59,2,13,306.24,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.038,34,7,2,285.21,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9.57,44,2,5,279.2,87.01,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.101,47,6,6,268.18,91.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.632,48,6,4,274.19,78.01,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.163,46,0,6,243.15,79.01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.694,45,3,7,229.13,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12.225,47,7,6,262.17,85.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12.756,45,1,5,306.24,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13.287,42,4,7,259.17,98.01,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13.818,48,2,6,269.18,68,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.349,61,4,5,243.15,66,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2
14.88,39,0,6,270.18,51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.411,53,4,7,269.18,77,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.942,57,3,4,289.21,84.01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
16.474,37,1,2,280.2,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
